   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.280482, 0, 3.71246e-11, 0, 1.41421, -3.71246e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36091e-13, 0, 0, 2.40474e-15, 1.72242e-14, 0, 3.68689e-11, 0, 0, 0
0.288362, 0, 5.81606e-11, 0, 1.41421, -5.81606e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69956e-13, 0, 0, 3.89924e-15, 2.82638e-14, 0, 5.77585e-11, 0, 0, 0
0.296242, 0, 9.04906e-11, 6.44597e-44, 1.41421, -9.04906e-11, 0, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 5.7579e-13, 6.44597e-44, 6.44597e-44, 6.30358e-15, 4.62269e-14, 6.44597e-44, 8.98623e-11, 6.44597e-44, 6.44597e-44, 6.44597e-44
0.304122, 0, 1.39771e-10, 1.10983e-42, 1.41421, -1.39771e-10, 0, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 1.10983e-42, 8.89694e-13, 1.10983e-42, 1.10983e-42, 1.01306e-14, 7.51294e-14, 1.10983e-42, 1.38796e-10, 1.10983e-42, 1.10983e-42, 1.10983e-42
0.312002, 0, 2.14383e-10, 1.57268e-41, 1.41421, -2.14383e-10, 0, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.57268e-41, 1.36526e-12, 1.57268e-41, 1.57268e-41, 1.62184e-14, 1.21561e-13, 1.57268e-41, 2.1288e-10, 1.57268e-41, 1.57268e-41, 1.57268e-41
0.319882, 0, 3.26542e-10, 1.9729e-40, 1.41421, -3.26542e-10, 0, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 1.9729e-40, 2.08069e-12, 1.9729e-40, 1.9729e-40, 2.58756e-14, 1.95865e-13, 1.9729e-40, 3.24239e-10, 1.9729e-40, 1.9729e-40, 1.9729e-40
0.327762, 0, 4.9395e-10, 2.22292e-39, 1.41421, -4.9395e-10, 0, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 2.22292e-39, 3.14957e-12, 2.22292e-39, 2.22292e-39, 4.11612e-14, 3.1435e-13, 2.22292e-39, 4.90445e-10, 2.22292e-39, 2.22292e-39, 2.22292e-39
0.335642, 0, 7.42059e-10, 2.26299e-38, 1.41421, -7.42059e-10, 0, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 2.26299e-38, 4.73554e-12, 2.26299e-38, 2.26299e-38, 6.53133e-14, 5.02668e-13, 2.26299e-38, 7.36756e-10, 2.26299e-38, 2.26299e-38, 2.26299e-38
0.343522, 0, 1.1072e-09, 2.09344e-37, 1.41421, -1.1072e-09, 0, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 2.09344e-37, 7.07282e-12, 2.09344e-37, 2.09344e-37, 1.03428e-13, 8.01096e-13, 2.09344e-37, 1.09922e-09, 2.09344e-37, 2.09344e-37, 2.09344e-37
0.351402, 0, 1.64083e-09, 1.76887e-36, 1.41421, -1.64083e-09, 0, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.76887e-36, 1.04943e-11, 1.76887e-36, 1.76887e-36, 1.63532e-13, 1.27276e-12, 1.76887e-36, 1.6289e-09, 1.76887e-36, 1.76887e-36, 1.76887e-36
0.359282, 0, 2.41532e-09, 1.37215e-35, 1.41421, -2.41532e-09, 0, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.37215e-35, 1.54699e-11, 1.37215e-35, 1.37215e-35, 2.58274e-13, 2.01645e-12, 1.37215e-35, 2.39758e-09, 1.37215e-35, 1.37215e-35, 1.37215e-35
0.367162, 0, 3.53165e-09, 9.81674e-35, 1.41421, -3.53165e-09, 0, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 9.81674e-35, 2.26583e-11, 9.81674e-35, 9.81674e-35, 4.07605e-13, 3.18655e-12, 9.81674e-35, 3.5054e-09, 9.81674e-35, 9.81674e-35, 9.81674e-35
0.375042, 0, 5.12974e-09, 6.82399e-34, 1.41421, -5.12974e-09, 0, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 6.82399e-34, 3.29772e-11, 6.82399e-34, 6.82399e-34, 6.43006e-13, 5.02402e-12, 6.82399e-34, 5.0911e-09, 6.82399e-34, 6.82399e-34, 6.82399e-34
0.382922, 0, 7.40204e-09, 4.5894e-33, 1.41421, -7.40204e-09, 0, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.5894e-33, 4.76967e-11, 4.5894e-33, 4.5894e-33, 1.01417e-12, 7.90436e-12, 4.5894e-33, 7.34542e-09, 4.5894e-33, 4.5894e-33, 4.5894e-33
0.390802, 0, 1.06113e-08, 2.90114e-32, 1.41421, -1.06113e-08, 0, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 2.90114e-32, 6.85636e-11, 2.90114e-32, 2.90114e-32, 1.59949e-12, 1.24118e-11, 2.90114e-32, 1.05287e-08, 2.90114e-32, 2.90114e-32, 2.90114e-32
0.398682, 0, 1.51137e-08, 1.71366e-31, 1.41421, -1.51137e-08, 0, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 1.71366e-31, 9.79662e-11, 1.71366e-31, 1.71366e-31, 2.52257e-12, 1.94539e-11, 1.71366e-31, 1.49938e-08, 1.71366e-31, 1.71366e-31, 1.71366e-31
0.406562, 0, 2.13889e-08, 9.46659e-31, 1.41421, -2.13889e-08, 0, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 9.46659e-31, 1.3915e-10, 9.46659e-31, 9.46659e-31, 3.97793e-12, 3.04365e-11, 9.46659e-31, 2.12153e-08, 9.46659e-31, 9.46659e-31, 9.46659e-31
0.414442, 0, 3.00777e-08, 4.90416e-30, 1.41421, -3.00777e-08, 0, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 4.90416e-30, 1.96503e-10, 4.90416e-30, 4.90416e-30, 6.27108e-12, 4.75324e-11, 4.90416e-30, 2.98274e-08, 4.90416e-30, 4.90416e-30, 4.90416e-30
0.422322, 0, 4.20311e-08, 2.38988e-29, 1.41421, -4.20311e-08, 0, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.38988e-29, 2.75918e-10, 2.38988e-29, 2.38988e-29, 9.88044e-12, 7.40886e-11, 2.38988e-29, 4.16712e-08, 2.38988e-29, 2.38988e-29, 2.38988e-29
0.430202, 0, 5.83706e-08, 1.09902e-28, 1.41421, -5.83706e-08, 0, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 1.09902e-28, 3.85276e-10, 1.09902e-28, 1.09902e-28, 1.55525e-11, 1.15241e-10, 1.09902e-28, 5.78546e-08, 1.09902e-28, 1.09902e-28, 1.09902e-28
0.438082, 0, 8.05653e-08, 4.78406e-28, 1.41421, -8.05653e-08, 0, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 4.78406e-28, 5.35056e-10, 4.78406e-28, 4.78406e-28, 2.44472e-11, 1.78834e-10, 4.78406e-28, 7.98269e-08, 4.78406e-28, 4.78406e-28, 4.78406e-28
0.445962, 0, 1.10525e-07, 1.97683e-27, 1.41421, -1.10525e-07, 0, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 1.97683e-27, 7.39117e-10, 1.97683e-27, 1.97683e-27, 3.83581e-11, 2.76795e-10, 1.97683e-27, 1.09471e-07, 1.97683e-27, 1.97683e-27, 1.97683e-27
0.453842, 0, 1.50719e-07, 7.7751e-27, 1.41421, -1.50719e-07, 0, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 7.7751e-27, 1.01571e-09, 7.7751e-27, 7.7751e-27, 6.00436e-11, 4.2715e-10, 7.7751e-27, 1.49216e-07, 7.7751e-27, 7.7751e-27, 7.7751e-27
0.461722, 0, 2.04317e-07, 2.91822e-26, 1.41421, -2.04317e-07, 0, 2.91822e-26, 2.91822e-26, 2.91822e-26, 2.91822e-26, 2.91822e-26, 2.91822e-26, 2.91822e-26, 1.2374e-13, 2.91822e-26, 2.91822e-26, 1.38872e-09, 2.91822e-26, 2.91822e-26, 9.37212e-11, 6.56973e-10, 2.91822e-26, 2.02177e-07, 2.91822e-26, 2.91822e-26, 2.91822e-26
0.469602, 0, 2.75359e-07, 1.04777e-25, 1.41421, -2.75359e-07, 0, 1.04777e-25, 1.04777e-25, 1.04777e-25, 1.04777e-25, 1.04777e-25, 1.04777e-25, 1.04777e-25, 4.07018e-13, 1.04777e-25, 1.04777e-25, 1.8893e-09, 1.04777e-25, 1.04777e-25, 1.45798e-10, 1.00665e-09, 1.04777e-25, 2.72317e-07, 1.04777e-25, 1.04777e-25, 1.04777e-25
0.477482, 0, 3.71261e-07, 3.64798e-25, 1.41421, -3.71261e-07, 0, 1.92558e-14, 1.36516e-13, 1.10701e-13, 3.16646e-13, 1.99936e-13, 5.05722e-13, 6.35172e-14, 6.75985e-12, 7.8377e-12, 2.20525e-09, 2.55789e-09, 2.62682e-13, 2.56089e-14, 2.25943e-10, 1.536e-09, 3.28112e-15, 3.64698e-07, 3.64798e-25, 3.64798e-25, 2.10444e-11
0.485362, 0, 4.99826e-07, 7.26393e-10, 1.41421, -4.99826e-07, 7.26393e-10, 7.26456e-10, 7.2684e-10, 7.26756e-10, 7.2743e-10, 7.27048e-10, 7.28049e-10, 7.26601e-10, 7.47531e-10, 7.52053e-10, 7.94624e-09, 4.17299e-09, 7.27253e-10, 7.26477e-10, 1.07506e-09, 3.05931e-09, 7.26404e-10, 4.86357e-07, 7.26393e-10, 7.26393e-10, 7.95291e-10
0.493242, 0, 6.72727e-07, 2.37187e-09, 1.41421, -6.72727e-07, 2.37187e-09, 2.37203e-09, 2.37301e-09, 2.37279e-09, 2.3745e-09, 2.37353e-09, 2.37607e-09, 2.3724e-09, 2.42468e-09, 2.43694e-09, 2.06801e-08, 6.99425e-09, 2.37405e-09, 2.37209e-09, 2.90742e-09, 5.89729e-09, 2.3719e-09, 6.45429e-07, 2.37187e-09, 2.37187e-09, 2.54659e-09
0.501121, 0, 9.08209e-07, 5.9989e-09, 1.41421, -9.08209e-07, 5.9989e-09, 5.99927e-09, 6.00152e-09, 6.00102e-09, 6.00497e-09, 6.00273e-09, 6.00859e-09, 6.00012e-09, 6.1198e-09, 6.14903e-09, 4.82402e-08, 1.21696e-08, 6.00393e-09, 5.99939e-09, 6.8173e-09, 1.12973e-08, 5.99896e-09, 8.52975e-07, 5.9989e-09, 5.9989e-09, 6.402e-09
0.509001, 0, 1.23521e-06, 1.3814e-08, 1.41421, -1.23521e-06, 1.3814e-08, 1.38148e-08, 1.38198e-08, 1.38187e-08, 1.38273e-08, 1.38224e-08, 1.38353e-08, 1.38167e-08, 1.40781e-08, 1.41437e-08, 1.06564e-07, 2.20144e-08, 1.38251e-08, 1.38151e-08, 1.50579e-08, 2.17308e-08, 1.38142e-08, 1.12355e-06, 1.3814e-08, 1.3814e-08, 1.46991e-08
0.516881, 0, 1.7019e-06, 3.02822e-08, 1.41421, -1.7019e-06, 3.02822e-08, 3.02839e-08, 3.02944e-08, 3.02921e-08, 3.03105e-08, 3.03001e-08, 3.03274e-08, 3.02879e-08, 3.08409e-08, 3.09825e-08, 2.27334e-07, 4.11309e-08, 3.03057e-08, 3.02845e-08, 3.21621e-08, 4.20396e-08, 3.02825e-08, 1.47707e-06, 3.02822e-08, 3.02822e-08, 3.21626e-08
0.524761, 0, 2.39105e-06, 6.42419e-08, 1.41421, -2.39105e-06, 6.42419e-08, 6.42454e-08, 6.42671e-08, 6.42623e-08, 6.43004e-08, 6.42788e-08, 6.43354e-08, 6.42536e-08, 6.5504e-08, 6.56916e-08, 4.72141e-07, 7.85306e-08, 6.42904e-08, 6.42466e-08, 6.7066e-08, 8.16067e-08, 6.42425e-08, 1.94177e-06, 6.42419e-08, 6.42419e-08, 6.81344e-08
0.532641, 0, 3.44699e-06, 1.32799e-07, 1.41421, -3.44699e-06, 1.32799e-07, 1.32806e-07, 1.3285e-07, 1.3284e-07, 1.32917e-07, 1.32874e-07, 1.32988e-07, 1.32823e-07, 1.35481e-07, 1.35732e-07, 9.58045e-07, 1.51536e-07, 1.32897e-07, 1.32808e-07, 1.37015e-07, 1.58257e-07, 1.328e-07, 2.55923e-06, 1.32799e-07, 1.32799e-07, 1.40674e-07
0.540522, 0, 5.12721e-06, 2.68692e-07, 1.41421, -5.12721e-06, 2.68692e-07, 2.68707e-07, 2.68794e-07, 2.68774e-07, 2.68927e-07, 2.68841e-07, 2.69067e-07, 2.68739e-07, 2.76321e-07, 2.74505e-07, 1.90415e-06, 2.93154e-07, 2.68887e-07, 2.68711e-07, 2.7495e-07, 3.05762e-07, 2.68695e-07, 3.39369e-06, 2.68692e-07, 2.68692e-07, 2.84299e-07
0.548401, 0, 7.87144e-06, 5.3105e-07, 1.41421, -7.87144e-06, 5.3105e-07, 5.31078e-07, 5.31247e-07, 5.3121e-07, 5.31506e-07, 5.31338e-07, 5.31778e-07, 5.31142e-07, 5.47381e-07, 5.42322e-07, 3.70247e-06, 5.6285e-07, 5.31428e-07, 5.31087e-07, 5.40278e-07, 5.84651e-07, 5.31055e-07, 4.54516e-06, 5.3105e-07, 5.3105e-07, 5.61315e-07
0.556281, 0, 1.2454e-05, 1.02852e-06, 1.41421, -1.2454e-05, 1.02852e-06, 1.02858e-06, 1.0289e-06, 1.02883e-06, 1.02939e-06, 1.02907e-06, 1.0299e-06, 1.0287e-06, 1.0623e-06, 1.04995e-06, 7.0564e-06, 1.06968e-06, 1.02924e-06, 1.02859e-06, 1.04204e-06, 1.10549e-06, 1.02853e-06, 6.17727e-06, 1.02852e-06, 1.02852e-06, 1.08605e-06
0.564161, 0, 2.01945e-05, 1.95255e-06, 1.41421, -2.01945e-05, 1.95255e-06, 1.95265e-06, 1.95325e-06, 1.95311e-06, 1.95416e-06, 1.95357e-06, 1.95513e-06, 1.95287e-06, 2.02011e-06, 1.99247e-06, 1.31846e-05, 2.00561e-06, 1.95389e-06, 1.95268e-06, 1.97222e-06, 2.06229e-06, 1.95257e-06, 8.55697e-06, 1.95255e-06, 1.95255e-06, 2.05974e-06
0.572041, 0, 3.33121e-05, 3.63397e-06, 1.41421, -3.33121e-05, 3.63397e-06, 3.63415e-06, 3.63524e-06, 3.635e-06, 3.63692e-06, 3.63583e-06, 3.63868e-06, 3.63456e-06, 3.76708e-06, 3.70691e-06, 2.41553e-05, 3.70208e-06, 3.63642e-06, 3.63421e-06, 3.66242e-06, 3.78938e-06, 3.634e-06, 1.21216e-05, 3.63397e-06, 3.63397e-06, 3.82981e-06
0.579921, 0, 5.54661e-05, 6.63177e-06, 1.41421, -5.54661e-05, 6.63177e-06, 6.63209e-06, 6.63405e-06, 6.63362e-06, 6.63705e-06, 6.63511e-06, 6.6402e-06, 6.63283e-06, 6.89012e-06, 6.76245e-06, 4.34004e-05, 6.71886e-06, 6.63615e-06, 6.6322e-06, 6.67264e-06, 6.8504e-06, 6.63183e-06, 1.75836e-05, 6.63177e-06, 6.63177e-06, 6.98265e-06
0.587801, 0, 9.25708e-05, 1.18689e-05, 1.41421, -9.25708e-05, 1.18689e-05, 1.18695e-05, 1.18729e-05, 1.18721e-05, 1.18782e-05, 1.18748e-05, 1.18837e-05, 1.18708e-05, 1.23628e-05, 1.20985e-05, 7.64842e-05, 1.19798e-05, 1.18766e-05, 1.18696e-05, 1.19272e-05, 1.21745e-05, 1.1869e-05, 2.60922e-05, 1.18689e-05, 1.18689e-05, 1.24855e-05
