   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_833.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00272953, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00513055, 0, 4.69141e-26, 0, 1.41421, -4.69141e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24905e-27, 0, 3.9665e-26, 0, 0, 0
0.0129906, 0, 1.56596e-25, 0, 1.41421, -1.56596e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5631e-26, 0, 1.30965e-25, 0, 0, 0
0.0208507, 0, 4.98547e-25, 0, 1.41421, -4.98547e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55558e-26, 0, 4.12991e-25, 0, 0, 0
0.0287108, 0, 1.52473e-24, 0, 1.41421, -1.52473e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72395e-25, 0, 1.25233e-24, 0, 0, 0
0.0365709, 0, 4.50309e-24, 0, 1.41421, -4.50309e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33157e-25, 0, 3.66993e-24, 0, 0, 0
0.044431, 0, 1.28937e-23, 0, 1.41421, -1.28937e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46095e-24, 0, 1.04328e-23, 0, 0, 0
0.052291, 0, 3.59039e-23, 0, 1.41421, -3.59039e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04779e-24, 0, 2.88561e-23, 0, 0, 0
0.0601511, 0, 9.74709e-23, 0, 1.41421, -9.74709e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96301e-23, 0, 7.78408e-23, 0, 0, 0
0.0680112, 0, 2.58496e-22, 0, 1.41421, -2.58496e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33078e-23, 0, 2.05189e-22, 0, 0, 0
0.0758713, 0, 6.70829e-22, 0, 1.41421, -6.70829e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41429e-22, 0, 5.294e-22, 0, 0, 0
0.0837314, 0, 1.70594e-21, 0, 1.41421, -1.70594e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67203e-22, 0, 1.33873e-21, 0, 0, 0
0.0915915, 0, 4.25632e-21, 0, 1.41421, -4.25632e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.34362e-22, 0, 3.32196e-21, 0, 0, 0
0.0994515, 0, 1.04298e-20, 0, 1.41421, -1.04298e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33288e-21, 0, 8.09697e-21, 0, 0, 0
0.107312, 0, 2.51366e-20, 0, 1.41421, -2.51366e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72596e-21, 0, 1.94107e-20, 0, 0, 0
0.115172, 0, 5.95955e-20, 0, 1.41421, -5.95955e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38158e-20, 0, 4.57798e-20, 0, 0, 0
0.123032, 0, 1.39096e-19, 0, 1.41421, -1.39096e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27975e-20, 0, 1.06298e-19, 0, 0, 0
0.130892, 0, 3.19806e-19, 0, 1.41421, -3.19806e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66593e-20, 0, 2.43147e-19, 0, 0, 0
0.138752, 0, 7.24724e-19, 0, 1.41421, -7.24724e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76533e-19, 0, 5.48191e-19, 0, 0, 0
0.146612, 0, 1.61953e-18, 0, 1.41421, -1.61953e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00749e-19, 0, 1.21878e-18, 0, 0, 0
0.154472, 0, 3.57052e-18, 0, 1.41421, -3.57052e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97281e-19, 0, 2.67324e-18, 0, 0, 0
0.162332, 0, 7.90769e-18, 0, 1.41421, -7.90769e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02488e-18, 0, 5.88281e-18, 0, 0, 0
0.170192, 0, 1.69533e-17, 0, 1.41421, -1.69533e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40592e-18, 0, 1.25473e-17, 0, 0, 0
0.178052, 0, 3.59051e-17, 0, 1.41421, -3.59051e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46974e-18, 0, 2.64353e-17, 0, 0, 0
0.185912, 0, 7.51412e-17, 0, 1.41421, -7.51412e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01114e-17, 0, 5.50298e-17, 0, 0, 0
0.193773, 0, 1.55429e-16, 0, 1.41421, -1.55429e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22165e-17, 0, 1.13213e-16, 0, 0, 0
0.201633, 0, 3.1785e-16, 0, 1.41421, -3.1785e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76148e-17, 0, 2.30235e-16, 0, 0, 0
0.209493, 0, 6.42751e-16, 0, 1.41421, -6.42751e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79821e-16, 0, 4.6293e-16, 0, 0, 0
0.217353, 0, 1.28554e-15, 0, 1.41421, -1.28554e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65074e-16, 0, 9.20465e-16, 0, 0, 0
0.225213, 0, 2.54352e-15, 0, 1.41421, -2.54352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33334e-16, 0, 1.81019e-15, 0, 0, 0
0.233073, 0, 4.97938e-15, 0, 1.41421, -4.97938e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45781e-15, 0, 3.52156e-15, 0, 0, 0
0.240933, 0, 9.64666e-15, 0, 1.41421, -9.64666e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86862e-15, 0, 6.77804e-15, 0, 0, 0
0.248793, 0, 1.84977e-14, 0, 1.41421, -1.84977e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58869e-15, 0, 1.2909e-14, 0, 0, 0
0.256653, 0, 3.51129e-14, 0, 1.41421, -3.51129e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0782e-14, 0, 2.43309e-14, 0, 0, 0
0.264513, 0, 6.59914e-14, 0, 1.41421, -6.59914e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06025e-14, 0, 4.5389e-14, 0, 0, 0
0.272373, 0, 1.22814e-13, 0, 1.41421, -1.22814e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89994e-14, 0, 8.38143e-14, 0, 0, 0
0.280233, 0, 2.26362e-13, 0, 1.41421, -2.26362e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.31461e-14, 0, 1.53216e-13, 0, 0, 0
0.288094, 0, 4.13258e-13, 0, 1.41421, -4.13258e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35956e-13, 0, 2.77302e-13, 0, 0, 0
0.295954, 0, 7.47428e-13, 0, 1.41421, -7.47428e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50492e-13, 0, 4.96936e-13, 0, 0, 0
0.303814, 0, 1.33939e-12, 0, 1.41421, -1.33939e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57558e-13, 0, 8.8183e-13, 0, 0, 0
0.311674, 0, 2.37847e-12, 0, 1.41421, -2.37847e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28799e-13, 0, 1.54967e-12, 0, 0, 0
0.319534, 0, 4.18611e-12, 0, 1.41421, -4.18611e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48902e-12, 0, 2.69709e-12, 0, 0, 0
