   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_301.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00249735, 0, 3.07008e-15, 0, 1.41421, -3.07008e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3272e-17, 0, 0, 3.47958e-17, 0, 3.0163e-18, 0, 3.01899e-15, 0, 0
0.0103519, 0, 4.87492e-15, 0, 1.41421, -4.87492e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10693e-17, 0, 0, 5.62759e-17, 0, 4.92718e-18, 0, 4.79265e-15, 0, 0
0.0182064, 0, 7.70335e-15, 0, 1.41421, -7.70335e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32854e-17, 0, 0, 9.05862e-17, 0, 8.01333e-18, 0, 7.57146e-15, 0, 0
0.0260609, 0, 1.21145e-14, 0, 1.41421, -1.21145e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23321e-17, 0, 0, 1.45138e-16, 0, 1.2976e-17, 0, 1.1904e-14, 0, 0
0.0339155, 0, 1.89609e-14, 0, 1.41421, -1.89609e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.18857e-17, 0, 0, 2.31474e-16, 0, 2.09217e-17, 0, 1.86266e-14, 0, 0
0.04177, 0, 2.95364e-14, 0, 1.41421, -2.95364e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27524e-16, 0, 0, 3.67492e-16, 0, 3.35895e-17, 0, 2.90078e-14, 0, 0
0.0496245, 0, 4.5795e-14, 0, 1.41421, -4.5795e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97665e-16, 0, 0, 5.8082e-16, 0, 5.36999e-17, 0, 4.49628e-14, 0, 0
0.057479, 0, 7.06729e-14, 0, 1.41421, -7.06729e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04959e-16, 0, 0, 9.13919e-16, 0, 8.54925e-17, 0, 6.93686e-14, 0, 0
0.0653336, 0, 1.08562e-13, 0, 1.41421, -1.08562e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68313e-16, 0, 0, 1.43176e-15, 0, 1.35544e-16, 0, 1.06526e-13, 0, 0
0.0731881, 0, 1.65997e-13, 0, 1.41421, -1.65997e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15862e-16, 0, 0, 2.23333e-15, 0, 2.14028e-16, 0, 1.62834e-13, 0, 0
