   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_498.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup
-0.000995897, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00686506, 0, 1.59769e-23, 0, 1.41421, -1.59769e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07748e-25, 0, 0, 4.0982e-28, 0, 3.88799e-24, 1.18807e-23, 0, 0
0.014726, 0, 4.16251e-23, 0, 1.41421, -4.16251e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.375e-25, 0, 0, 1.07156e-27, 0, 1.03479e-23, 3.07386e-23, 0, 0
0.022587, 0, 1.06083e-22, 0, 1.41421, -1.06083e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36082e-24, 0, 0, 2.74227e-27, 0, 2.68966e-23, 7.78227e-23, 0, 0
0.0304479, 0, 2.64897e-22, 0, 1.41421, -2.64897e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37669e-24, 0, 0, 6.87967e-27, 0, 6.84071e-23, 1.93107e-22, 0, 0
0.0383089, 0, 6.49019e-22, 0, 1.41421, -6.49019e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22303e-24, 0, 0, 1.69421e-26, 0, 1.70519e-22, 4.70259e-22, 0, 0
0.0461698, 0, 1.56207e-21, 0, 1.41421, -1.56207e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96751e-23, 0, 0, 4.10019e-26, 0, 4.17175e-22, 1.12518e-21, 0, 0
0.0540308, 0, 3.69701e-21, 0, 1.41421, -3.69701e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62991e-23, 0, 0, 9.76127e-26, 0, 1.00286e-21, 2.64776e-21, 0, 0
0.0618917, 0, 8.61175e-21, 0, 1.41421, -8.61175e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07243e-22, 0, 0, 2.28795e-25, 0, 2.37126e-21, 6.13302e-21, 0, 0
0.0697527, 0, 1.97588e-20, 0, 1.41421, -1.97588e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44699e-22, 0, 0, 5.2839e-25, 0, 5.51973e-21, 1.39939e-20, 0, 0
0.0776136, 0, 4.46841e-20, 0, 1.41421, -4.46841e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50358e-22, 0, 0, 1.20314e-24, 0, 1.26586e-20, 3.14739e-20, 0, 0
