Column1,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
10,80,shot_10,10.78,793.5,0.74%,0.76,316.5,0.27%,21.82,27478.5,1.10%,56.21,139220.2,2.82%,0.15,465.8,0.16%,0.89,5480.2,0.30%,3.4047,42405.8,0.54%,8.97,80962.7,0.48%,6.71,68692,0.34%,0.29,3609.2,0.23%,0,0,,0,0,,0.19,5011.8,0.19%,0.0204,657.8,0.03%,0.0122,317.3,0.03%,0.0356,368.5,0.04%
11,81,shot_11,9.56,699.8,0.68%,0.66,278,0.24%,21.68,27554.5,1.10%,55.65,138489.8,2.79%,0.18,558.9,0.18%,0.91,5576.6,0.30%,3.4161,42513.6,0.54%,9.11,81911.3,0.49%,6.73,68315.1,0.34%,0.26,3227,0.22%,0,0,,0,0,,0.2,5150.3,0.19%,0.0157,502.9,0.03%,0.008,206.1,0.02%,0.049,502.6,0.02%
12,82,shot_12,11.05,819.7,0.75%,0.58,241,0.22%,22.09,28005.8,1.12%,55.89,139104,2.80%,0.14,437.8,0.15%,0.86,5313.3,0.29%,3.4029,42713.3,0.55%,9.1,82688.3,0.49%,6.7,68951.8,0.34%,0.24,3016.6,0.21%,0,0,,0,0,,0.17,4460.4,0.17%,0.015,489.9,0.03%,0.0133,349.9,0.03%,0.0371,387.8,0.04%
13,83,shot_13,10.34,764,0.71%,0.78,326,0.27%,21.64,27488.1,1.09%,55.47,138495,2.78%,0.16,505.1,0.17%,0.93,5772.2,0.31%,3.3806,42430.8,0.55%,9.24,83811.1,0.49%,6.72,68750,0.34%,0.23,2910.7,0.21%,0,0,,0,0,,0.2,5188.9,0.19%,0.0154,498.4,0.03%,0.0106,275.1,0.02%,0.0351,363.4,0.04%
14,84,shot_14,1.79,137.4,0.57%,0.57,270.4,0.21%,45.7,63565.8,2.30%,18.19,34145.5,0.92%,0.15,462,0.16%,0.56,3308.9,0.20%,1.4323,17192.1,0.42%,1.22,11398.7,0.38%,0.98,11844.5,0.32%,0.14,2179,0.15%,0,0,,0,0,,0.15,5024.2,0.16%,0.025,1058.9,0.03%,0.0108,370.9,0.02%,0.0258,354.4,0.04%
15,85,shot_15,1.54,117.8,0.53%,0.57,271.7,0.21%,44.88,62597.9,2.26%,17.45,32696.9,0.88%,0.17,523.3,0.18%,0.48,2848.2,0.19%,1.4661,17595.9,0.43%,1.25,11628.9,0.39%,0.98,11709.9,0.32%,0.18,2869.3,0.18%,0,0,,0,0,,0.11,3623.4,0.12%,0.0247,1040.8,0.03%,0.0137,466.2,0.03%,0.0251,343.7,0.04%
16,86,shot_16,11.39,840,0.76%,0.57,234.1,0.21%,22.02,27678.5,1.11%,56.31,139226.9,2.83%,0.18,559.5,0.18%,0.91,5609.6,0.30%,3.426,42708.1,0.54%,9.08,82029.3,0.48%,6.7,68615.5,0.34%,0.27,3385,0.22%,0,0,,0,0,,0.19,4906.3,0.19%,0.0167,540.5,0.03%,0.0118,306.6,0.03%,0.0433,450.1,0.03%
17,87,shot_17,10.69,786.9,0.73%,0.71,297.2,0.26%,22.17,27987.2,1.12%,56.41,139686.9,2.83%,0.14,456.6,0.16%,0.88,5416.5,0.29%,3.4206,42621.8,0.54%,9.14,82403.1,0.49%,6.73,68764.3,0.34%,0.27,3382.4,0.22%,0,0,,0,0,,0.18,4727.7,0.18%,0.0184,593.6,0.03%,0.0123,319.6,0.03%,0.0445,461,0.03%
18,88,shot_18,10.31,756.5,0.72%,0.77,323,0.27%,21.68,27377.4,1.10%,55.84,138598.9,2.80%,0.15,459,0.16%,0.98,6048.3,0.32%,3.3844,42171.8,0.55%,8.92,80422.8,0.48%,6.9,70568.5,0.35%,0.3,3795,0.23%,0,0,,0,0,,0.2,5304.2,0.19%,0.0179,576.8,0.03%,0.0141,365.7,0.03%,0.0368,378.9,0.04%
19,89,shot_19,10.12,742.8,0.70%,0.75,311.3,0.26%,21.7,27461.1,1.10%,56.19,139568,2.82%,0.18,563.6,0.18%,0.88,5397,0.29%,3.3914,42196.9,0.55%,8.84,79635.5,0.47%,6.82,69817.8,0.34%,0.34,4236.4,0.23%,0,0,,0,81.1,0.01%,0.19,4899.1,0.19%,0.0207,665.3,0.03%,0.013,337.7,0.03%,0.0423,436.6,0.03%
20,90,shot_20,10.78,793.9,0.74%,0.78,324.3,0.27%,22.23,28003.4,1.12%,56.47,139510.4,2.83%,0.17,526.1,0.17%,0.92,5652.4,0.31%,3.4329,42673.6,0.54%,8.67,78187.1,0.46%,6.79,69822.1,0.34%,0.35,4417,0.23%,0,0,,0,2.2,,0.19,4916.7,0.19%,0.018,584.9,0.03%,0.0097,254.6,0.02%,0.0434,451.6,0.03%
21,91,shot_21,10.63,785.2,0.73%,0.69,288,0.25%,21.64,27424.2,1.09%,55.8,139063.5,2.80%,0.16,511.6,0.17%,0.94,5828.4,0.31%,3.3687,42180.3,0.55%,8.78,79693.5,0.47%,6.8,70130,0.34%,0.35,4388.8,0.23%,0,0,,0,0,,0.2,5210.7,0.19%,0.0199,646.7,0.03%,0.0118,308.3,0.03%,0.0393,408.5,0.04%
