Column1,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
34,107,shot_34,13.95,1019.7,0.89%,1.05,414.4,0.35%,2.59,3121.5,0.56%,71.73,199445.1,3.60%,0.38,1153.6,0.23%,0.61,3597.6,0.22%,0.1665,2030.6,0.17%,0.09,845,0.10%,11.5,142149.8,0.58%,0.14,1877.4,0.15%,0.05,1190.2,0.07%,0.05,1351.5,0.06%,0.15,4173.4,0.16%,0.0501,1766.9,0.02%,0.039,1107.5,0.02%,0.0108,122.4,0.03%
35,108,shot_35,15.26,1122.8,0.95%,1.07,417.7,0.35%,2.74,3277.2,0.57%,72.07,198820.8,3.61%,0.4,1196,0.23%,0.64,3770.9,0.23%,0.159,1942,0.17%,0.07,720.3,0.09%,11.44,141923.9,0.57%,0.13,1819,0.14%,0,356.1,,0.05,1466.2,0.07%,0.16,4510.9,0.16%,0.0338,1203,0.03%,0.0361,1036.3,0.02%,0.0226,258.9,0.04%
36,109,shot_36,15.1,1110.1,0.94%,1.02,399,0.34%,2.61,3131.1,0.56%,72.44,200354.8,3.63%,0.36,1086.8,0.23%,0.61,3569.7,0.22%,0.1486,1813.6,0.16%,0.07,728.3,0.09%,11.44,141835.8,0.57%,0.13,1797.4,0.14%,0,524.5,,0.06,1582.4,0.07%,0.14,3923.3,0.15%,0.0439,1565.5,0.02%,0.0338,970.1,0.03%,0.0097,110.6,0.02%
37,110,shot_37,15.02,1103.4,0.94%,1.07,420.7,0.35%,2.63,3151,0.56%,72.26,199710.1,3.62%,0.42,1272.7,0.22%,0.6,3510.6,0.21%,0.1517,1851.5,0.16%,0.07,683.1,0.09%,11.54,142970.2,0.58%,0.14,1914.1,0.15%,0,197.4,,0.05,1432.3,0.07%,0.15,4211.1,0.16%,0.0446,1586.1,0.02%,0.0399,1141.4,0.02%,0.0151,172.2,0.03%
38,111,shot_38,15.43,1136.2,0.96%,1.07,417.9,0.35%,2.57,3073,0.56%,72.65,200640.1,3.64%,0.37,1119.3,0.23%,0.57,3326.7,0.20%,0.1474,1800.3,0.16%,0.06,603.5,0.08%,11.51,142822.9,0.58%,0.13,1766.3,0.14%,0,476.2,,0.06,1482.6,0.07%,0.12,3489.5,0.14%,0.0407,1453.8,0.02%,0.0411,1181.5,0.02%,0.0097,111.5,0.02%
39,112,shot_39,14.89,1093.4,0.93%,1.06,414.2,0.35%,2.72,3266.7,0.57%,72.16,199546,3.62%,0.42,1263.4,0.22%,0.6,3507.9,0.21%,0.168,2051.2,0.17%,0.09,849.8,0.10%,11.57,143229.8,0.58%,0.14,1862.8,0.15%,0,348.2,,0.05,1396.2,0.07%,0.14,4109.2,0.15%,0.0457,1623.5,0.02%,0.0413,1179.3,0.02%,0.0135,154,0.03%
40,113,shot_40,15.54,1143.2,0.96%,0.86,336.5,0.30%,2.73,3270,0.57%,72.77,200796.3,3.65%,0.42,1259.5,0.22%,0.62,3642.2,0.22%,0.1503,1834.4,0.16%,0.07,732.3,0.09%,11.56,143275.2,0.58%,0.13,1741.2,0.14%,0,337.7,,0.05,1355.7,0.06%,0.13,3776.8,0.14%,0.0394,1404.9,0.02%,0.0418,1197.8,0.02%,0.0223,255.3,0.04%
41,114,shot_41,16.11,1188.9,0.99%,0.96,371.8,0.32%,2.65,3157.3,0.56%,73.04,201153.5,3.66%,0.35,1041.7,0.23%,0.57,3345.2,0.20%,0.1476,1805.2,0.16%,0.09,844.9,0.10%,11.54,143332.6,0.58%,0.13,1855,0.15%,0.05,1257.6,0.07%,0.05,1459.7,0.07%,0.12,3517.1,0.14%,0.0396,1414.7,0.02%,0.0398,1145.1,0.02%,0.0134,153.4,0.03%
42,115,shot_42,15.19,1116.8,0.95%,1.08,424.7,0.35%,2.77,3314.7,0.57%,72.64,200537.2,3.64%,0.41,1229.4,0.22%,0.61,3560.8,0.21%,0.1511,1844.1,0.16%,0.07,716.9,0.09%,11.51,142667.2,0.58%,0.13,1822.1,0.14%,0,445.4,,0.05,1359.9,0.06%,0.14,4151.5,0.15%,0.0423,1506,0.02%,0.0368,1055.5,0.02%,0.0111,126.6,0.03%
43,116,shot_43,15.18,1115.5,0.94%,1.06,414,0.35%,2.84,3397.2,0.57%,72.24,199210.1,3.62%,0.42,1255.8,0.22%,0.68,3995.3,0.24%,0.1693,2067.3,0.17%,0.09,895.7,0.11%,11.52,142702.7,0.58%,0.13,1821.5,0.14%,0.05,1161.5,0.06%,0.05,1316.4,0.06%,0.16,4675,0.17%,0.0416,1478.1,0.02%,0.0386,1102.9,0.02%,0.0211,240.7,0.04%
