,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
10,135,shot_10,10.69,763.4,0.74%,0.64,260.9,0.24%,21.98,26961.2,1.11%,55.79,134527.3,2.80%,0.1,319.4,0.12%,0.81,4867,0.28%,3.4485,41926.6,0.54%,9.65,84614.1,0.51%,6.82,67141.9,0.34%,0.3,3582.7,0.23%,0,0,,0,0,,0.14,3492.6,0.15%,0.0151,468.7,0.03%,0.0147,369,0.03%,0.0353,351.4,0.04%
11,136,shot_11,10.28,732.9,0.73%,0.46,186.5,0.21%,21.8,26830.9,1.10%,55.52,134158.3,2.79%,0.12,384.6,0.14%,0.81,4860.3,0.27%,3.3548,40756.2,0.55%,9.57,83853.6,0.51%,6.84,67300.7,0.34%,0.25,3064.6,0.22%,0,0,,0,0,,0.15,3653.4,0.16%,0.013,403.9,0.03%,0.0136,339.5,0.03%,0.0379,377.2,0.04%
12,137,shot_12,10.59,754.3,0.74%,0.41,165.5,0.23%,21.91,26888.6,1.11%,55.88,134728.2,2.80%,0.11,340.1,0.13%,0.82,4915.8,0.28%,3.4425,41755.9,0.54%,9.77,85373.3,0.52%,6.85,67048.6,0.34%,0.24,2924,0.21%,0,0,,0,0,,0.13,3218.7,0.14%,0.0133,412,0.03%,0.0149,371.5,0.03%,0.0419,415.9,0.03%
13,138,shot_13,65.54,740.5,4.60%,3.18,209.4,0.71%,141.52,27161.2,7.15%,413.43,134210,20.74%,0.86,349.5,0.31%,6.18,4906.4,0.34%,25.1789,41406.5,1.27%,68.02,84096.6,3.63%,54.4,66728,2.74%,1.83,2742.5,0.49%,0,0,,0,0,,1.05,3234.2,0.34%,0.1017,388.9,0.04%,0.1204,370.7,0.05%,0.2707,331.5,0.11%
14,139,shot_14,3.76,43.2,1.85%,2.79,205.4,0.72%,363.15,65803.2,18.25%,89.69,19534.8,4.54%,1.11,404.6,0.36%,3.69,2656,0.53%,9.8076,14288,0.51%,4.04,4619.1,0.48%,4.13,6203.2,0.46%,0.5,1025.1,0.18%,0,0,,0,0,,0.7,3004.9,0.24%,0.2769,1488.8,0.11%,0.0836,363.6,0.04%,0.2412,422.1,0.10%
15,140,shot_15,7.89,91,1.90%,3.82,278.5,0.68%,368.49,66111.6,18.52%,94.04,20576.9,4.76%,1.29,472,0.40%,4.08,2940.2,0.48%,9.7438,14238.5,0.51%,4.33,4972.2,0.43%,4.15,6252.8,0.46%,0.94,1924,0.31%,0,0,,0,0,,0.89,3843.1,0.30%,0.2511,1350.5,0.10%,0.0915,398,0.04%,0.2108,369.2,0.09%
16,141,shot_16,64.62,729.5,4.56%,2.84,186.6,0.71%,138.92,26721.7,7.02%,415.72,135280.9,20.86%,0.77,310.6,0.28%,6.08,4816.3,0.34%,25.4046,41689.2,1.28%,67.28,83050.9,3.59%,54.57,66900.3,2.74%,1.92,2871.2,0.51%,0,0,,0,0,,1.02,3149.7,0.33%,0.1143,436.7,0.05%,0.1115,342.8,0.05%,0.4147,506.9,0.16%
17,142,shot_17,64.88,731.8,4.58%,2.98,195.6,0.72%,139.85,26851.1,7.07%,413.76,134468.2,20.76%,0.86,347.7,0.30%,6.24,4947.5,0.35%,25.0015,41080.4,1.26%,67.56,83536.2,3.60%,54.63,66996.3,2.75%,2.03,3036.7,0.52%,0,0,,0,0,,1.1,3381.6,0.35%,0.1141,435.4,0.05%,0.0956,293.7,0.04%,0.2638,322.5,0.11%
18,143,shot_18,72.35,794.3,4.97%,2.61,165.4,0.72%,145.41,26944.5,7.35%,429.65,134251.1,21.56%,0.81,316.7,0.29%,6.71,5135,0.37%,26.0647,41352.1,1.32%,69.34,83036.1,3.70%,56.78,67275.1,2.85%,2.39,3446.1,0.55%,0,0,,0,0,,1.12,3322.7,0.36%,0.1357,500.5,0.06%,0.1243,368.9,0.05%,0.316,373,0.13%
19,144,shot_19,75.56,856,5.08%,2.48,160.8,0.70%,141.07,26751.2,7.13%,416.27,134176.9,20.89%,0.78,313.4,0.28%,6.29,4977.6,0.35%,25.2712,41444.1,1.28%,66.01,81740.9,3.52%,54.24,67000.1,2.73%,2.5,3764.6,0.56%,0,0,,0,0,,1.09,3390.8,0.35%,0.1472,566.9,0.06%,0.0921,285.3,0.04%,0.3083,380.4,0.12%
20,145,shot_20,61.21,688.2,4.42%,2.32,152.5,0.69%,138.74,26735.8,7.01%,412.55,134311.3,20.70%,0.66,267.7,0.25%,6.45,5101.2,0.36%,25.1036,41111.3,1.27%,65.01,80324.2,3.47%,54.89,67488,2.76%,2.7,4030.1,0.57%,0,0,,0,0,,1.18,3626.8,0.37%,0.1406,536.1,0.06%,0.1081,331.5,0.05%,0.3152,384.5,0.13%
21,146,shot_21,66.58,751.2,4.66%,2.99,196.1,0.71%,138.89,26597.5,7.02%,413.72,134351.1,20.76%,0.77,311.9,0.28%,6.31,5001,0.35%,24.8761,40853.5,1.26%,65.92,81714.1,3.52%,54.95,67714.2,2.76%,2.65,3968.1,0.56%,0,0,,0,0,,1.06,3262.8,0.34%,0.1705,652.5,0.07%,0.1149,353.6,0.05%,0.337,412.7,0.13%
22,147,shot_22,69.89,788.6,4.82%,3.48,226.9,0.71%,137.42,26171.9,6.95%,415.31,134511.3,20.84%,0.66,264.2,0.25%,6.71,5305.5,0.37%,25.0825,41088.9,1.27%,65.82,81359.8,3.51%,54.33,66916.8,2.73%,2.44,3664.2,0.55%,0,0,,0,0,,1.14,3522.8,0.36%,0.1147,439.6,0.05%,0.112,345.5,0.05%,0.3853,472.8,0.15%
23,148,shot_23,70.53,798.9,4.84%,2.31,150.8,0.69%,139.33,26645.1,7.04%,415.85,134960.4,20.87%,0.81,327.5,0.29%,6.31,5008.4,0.35%,25.0947,41232.5,1.27%,66.64,82501,3.55%,53.87,66436.5,2.71%,2.26,3399.1,0.54%,0,0,,0,0,,1.11,3433.9,0.35%,0.1402,539.3,0.06%,0.1295,400.7,0.06%,0.2976,366.4,0.12%
24,149,shot_24,13.61,156,2.15%,2.5,178.4,0.71%,347.75,62719,17.48%,132.91,30671.8,6.71%,0.99,368.4,0.33%,3.71,2701.3,0.53%,11.5132,17089,0.60%,9.74,11337,0.53%,8.48,12390,0.43%,0.95,1844.2,0.31%,0,0,,0,0,,0.67,2754.8,0.24%,0.3024,1547.9,0.11%,0.0851,351.7,0.04%,0.3023,501.9,0.12%
25,152,shot_25,0,0,,0.43,24.7,0.27%,0.46,81,0.22%,93.29,36401,4.70%,0.3,99.5,0.23%,0.23,150.1,0.21%,0.1332,177.8,0.15%,0,1.8,0.01%,0.05,66.7,0.07%,0.02,46.7,0.05%,0.01,28.9,0.02%,0,0,,0.04,163.7,0.06%,0.0156,83.8,0.03%,0.0039,16.9,0.01%,0.0197,34.5,0.04%
26,153,shot_26,elements,,,0,0,,0.04,17.2,0.07%,0.09,121.8,0.11%,10.36,32158.1,0.52%,0.04,106.2,0.06%,0.02,101.6,0.05%,0.0042,45.2,0.01%,0,0,,0,3.3,,0,4.5,0.00%,0,29.3,0.00%,0,0,,0,9.9,,0.0021,90.7,0.01%,0.0012,41.5,0.00%
27,154,shot_27,elements,,,0,0,,0.03,12.5,0.06%,0,18.5,,11.71,36585.8,0.59%,0,11.1,,0.03,132.6,0.05%,0.0355,376.2,0.06%,0,0.8,,0,13.1,0.00%,0.01,115.7,0.02%,0,2,,0,0,,0,2.9,,0.001,42,0.00%,0.0031,107.1,0.01%
28,155,shot_28,elements,,,0,0,,0.04,15.2,0.07%,0.05,67,0.07%,11.55,36068.6,0.58%,0.04,99,0.06%,0.02,124.9,0.05%,0.0254,270.6,0.05%,0,4.1,0.00%,0,0,,0,54.8,0.01%,0,21.6,0.00%,0,0,,0,107.1,0.01%,0.0013,56.8,0.00%,0.0035,120.6,0.01%
