,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,73,shot_0,0.8,7.5,0.99%,0.29,17.5,0.27%,0.87,158.2,0.31%,88.38,35836.9,4.45%,0.25,86.9,0.22%,0.3,200.5,0.23%,0.2142,301.1,0.20%,0,0,,0.04,55.2,0.06%,0.04,84.7,0.06%,0.01,45.4,0.03%,0,0,,0.04,187.9,0.06%,0.0027,15,0.01%,0.0123,56.1,0.03%,0.0279,51.5,0.04%
1,74,shot_1,0,0,,0.59,36.1,0.28%,0,0.8,,94.37,38801.8,4.75%,0.18,61.7,0.18%,0.28,187.1,0.23%,0.0884,124.1,0.11%,0,0.8,,0.04,67.6,0.07%,0.04,94.4,0.07%,0.01,41.5,0.03%,0,0,,0.07,318.2,0.09%,0.0116,65.3,0.03%,0.0227,103.7,0.04%,0.0378,69.4,0.04%
2,75,shot_2,0,0,,0.5,30.2,0.24%,0.74,136.2,0.27%,88.49,36096.5,4.46%,0.21,72.2,0.20%,0.36,239.9,0.23%,0.1697,238.2,0.18%,0,0,,0.04,60.5,0.06%,0.02,51.4,0.05%,0.01,39.7,0.03%,0,0,,0.05,241.9,0.07%,0.0263,147.8,0.03%,0.0119,54,0.03%,0.0254,46.7,0.04%
3,76,shot_3,0,0,,0.61,36.9,0.27%,0.67,122.6,0.25%,89.62,36591,4.51%,0.21,73.3,0.20%,0.26,173.3,0.22%,0.1893,265.9,0.19%,0,4.2,0.02%,0.05,70.3,0.07%,0.03,61.7,0.06%,0.01,43.5,0.03%,0,0,,0.05,210.9,0.06%,0.0086,48.5,0.02%,0.011,50.1,0.03%,0.0039,7.3,0.01%
4,77,shot_4,0,0,,0.41,24.6,0.27%,0.67,121.9,0.25%,80.38,32812.6,4.05%,0.24,82,0.21%,0.21,139.7,0.20%,0.1813,254.4,0.18%,0,0,,0.02,31.1,0.05%,0.02,39,0.04%,0.01,29.2,0.02%,0,0,,0.04,177,0.06%,0.012,67.3,0.03%,0.0097,44.2,0.02%,0.0106,19.5,0.03%
5,78,shot_5,0.37,3.5,1.08%,0.7,42.5,0.31%,0.45,81.9,0.24%,94.98,38699.8,4.78%,0.11,38.6,0.13%,0.33,225.4,0.23%,0.1627,228.3,0.17%,0,0,,0.05,74,0.06%,0.02,50.3,0.05%,0.01,24.1,0.02%,0,0,,0.05,244.7,0.07%,0.0092,51.8,0.02%,0.0109,49.8,0.03%,0.0237,43.8,0.04%
6,79,shot_6,0,0,,0.08,37.3,0.10%,0.08,105.1,0.09%,10.94,35251.8,0.55%,0.03,82,0.06%,0.04,207.6,0.06%,0.0261,288.9,0.05%,0,0,,0.01,65.1,0.02%,0,67.7,0.01%,0,19.1,0.00%,0,0,,0.01,215.7,0.02%,0.0007,31.9,0.00%,0.0005,17.1,0.00%,0.0018,26.2,0.01%
7,80,shot_7,0,0,,0.05,20.8,0.07%,0.11,151.1,0.13%,10.63,34220.2,0.54%,0.02,61.6,0.05%,0.04,228.2,0.06%,0.0309,342,0.06%,0,0,,0.01,78.1,0.02%,0,69.2,0.01%,0,53.6,0.01%,0,0,,0.01,240.5,0.02%,0.0002,10.3,0.00%,0.0016,58.7,0.00%,0.0008,12.2,0.00%
8,81,shot_8,0.16,11,0.20%,0.05,23.8,0.07%,0.12,161.2,0.13%,9.94,31948.3,0.50%,0.03,73.8,0.05%,0.04,240.2,0.06%,0.0285,322.1,0.06%,0,0,,0.01,134.3,0.03%,0,42.9,0.01%,0,24.5,0.00%,0,0,,0.01,253.7,0.02%,0.0009,41.5,0.00%,0.0007,25.6,0.00%,0.0014,21.2,0.00%
9,82,shot_9,0,0,,0.07,31.6,0.09%,0.1,137.4,0.12%,10.13,32973,0.51%,0.03,89.4,0.06%,0.06,327.1,0.08%,0.0309,347.4,0.06%,0,2.2,,0.01,117.8,0.03%,0,79.1,0.01%,0,49.2,0.01%,0,0,,0.01,316.2,0.02%,0.0007,31.9,0.00%,0.0008,28.2,0.00%,0.0007,9.7,0.00%
10,83,shot_10,0,0,,0.55,33.3,0.25%,0.66,121,0.25%,82.37,33588.6,4.15%,0.24,84.6,0.22%,0.49,329.4,0.19%,0.1905,267.4,0.19%,0,0,,0.08,124.7,0.10%,0.03,73,0.06%,0,7.3,0.01%,0,0,,0.09,384.7,0.10%,0.0026,14.4,0.01%,0.0106,48.2,0.02%,0.0136,25,0.03%
11,84,shot_11,0,0,,0.5,30.3,0.25%,0.74,135.5,0.27%,91.04,37191.6,4.59%,0.32,112.9,0.23%,0.53,358.8,0.19%,0.2185,306.9,0.20%,0,3.7,0.01%,0.12,177,0.13%,0.02,36.9,0.04%,0.01,19.2,0.02%,0,0,,0.08,344,0.09%,0.0025,13.8,0.01%,0.0109,49.4,0.03%,0.0123,22.6,0.03%
12,85,shot_12,0,0,,0.44,26.4,0.27%,0.76,139.4,0.28%,89.84,36699.6,4.53%,0.23,80.8,0.21%,0.49,332.6,0.19%,0.2254,316.3,0.21%,0,0,,0.08,121.1,0.10%,0.03,60.6,0.06%,0.01,29.5,0.02%,0,0,,0.08,341.1,0.09%,0.0069,38.4,0.02%,0.0044,20.1,0.01%,0.0077,14.2,0.02%
13,86,shot_13,0,0,,0.57,34.3,0.26%,0.8,147,0.29%,87.81,35751.9,4.42%,0.32,109.9,0.23%,0.45,303.2,0.21%,0.2033,285.2,0.20%,0,0,,0.07,114.8,0.09%,0.02,49,0.05%,0.01,19.1,0.02%,0,0,,0.08,341.6,0.09%,0.0126,70.6,0.03%,0.0112,50.8,0.03%,0.009,16.6,0.02%
14,87,shot_14,0,0,,0.51,30.9,0.25%,0.59,108.4,0.23%,91.23,37287.5,4.60%,0.22,77.4,0.21%,0.47,316.2,0.20%,0.1916,268.9,0.19%,0,0,,0.06,99.1,0.08%,0.03,56.4,0.06%,0.02,57,0.04%,0,0,,0.09,380.5,0.10%,0.012,67.5,0.03%,0.0106,48.3,0.03%,0.0308,56.5,0.04%
