   PIQUANT 0.0.0-main  ps__0570_0717573838_000rbs__02900001985090613338___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0909354, 103.996, 9.32451e-13, 0, 10.2954, 103.996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.28082e-18, 0, 5.29876e-16, 0, 9.31913e-13, 0, 0, 0
0.0987984, 91.8228, 1.74888e-12, 0, 9.68622, 91.8228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57685e-17, 0, 1.01546e-15, 0, 1.74784e-12, 0, 0, 0
0.106661, 85.0212, 3.25185e-12, 0, 9.32852, 85.0212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97762e-17, 0, 1.92998e-15, 0, 3.24989e-12, 0, 0, 0
0.114524, 74.8108, 5.99526e-12, 0, 8.76418, 74.8108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57682e-17, 0, 3.63862e-15, 0, 5.99157e-12, 0, 0, 0
0.122387, 74.501, 1.09612e-11, 0, 8.74648, 74.501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03612e-16, 0, 6.80608e-15, 0, 1.09543e-11, 0, 0, 0
0.13025, 65.495, 1.98762e-11, 0, 8.21553, 65.495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90987e-16, 0, 1.26332e-14, 0, 1.98633e-11, 0, 0, 0
0.138113, 62.0639, 3.5751e-11, 0, 8.00399, 62.0639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49319e-16, 0, 2.32733e-14, 0, 3.57274e-11, 0, 0, 0
0.145976, 58.0832, 6.37932e-11, 0, 7.75133, 58.0832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34052e-16, 0, 4.256e-14, 0, 6.375e-11, 0, 0, 0
0.153839, 47.9336, 1.12937e-10, 0, 7.06637, 47.9336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14225e-15, 0, 7.72696e-14, 0, 1.12858e-10, 0, 0, 0
0.161702, 36.5937, 1.98386e-10, 0, 6.21238, 36.5937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04261e-15, 0, 1.39297e-13, 0, 1.98245e-10, 0, 0, 0
0.169565, 31.865, 3.45813e-10, 0, 5.81936, 31.865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62619e-15, 0, 2.49378e-13, 0, 3.4556e-10, 0, 0, 0
0.177428, 25.7655, 5.9822e-10, 0, 5.2693, 25.7655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39145e-15, 0, 4.43417e-13, 0, 5.9777e-10, 0, 0, 0
0.185291, 19.9276, 1.02708e-09, 0, 4.68269, 19.9276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11862e-14, 0, 7.83173e-13, 0, 1.02628e-09, 0, 0, 0
0.193154, 17.2472, 1.75022e-09, 0, 4.38716, 17.2472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94419e-14, 0, 1.37417e-12, 0, 1.74883e-09, 0, 0, 0
0.201017, 17.6757, 2.96049e-09, 0, 4.43573, 17.6757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35599e-14, 0, 2.39559e-12, 0, 2.95806e-09, 0, 0, 0
0.20888, 12.9951, 4.97092e-09, 0, 3.87235, 12.9951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75405e-14, 0, 4.14968e-12, 0, 4.96671e-09, 0, 0, 0
0.216743, 8.55696, 8.28586e-09, 0, 3.24915, 8.55696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80053e-14, 0, 7.14389e-12, 0, 8.27862e-09, 0, 0, 0
0.224606, 7.98071, 1.37116e-08, 0, 3.15923, 7.98071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65846e-13, 0, 1.22236e-11, 0, 1.36992e-08, 0, 0, 0
0.232469, 7.98074, 2.25273e-08, 0, 3.15923, 7.98074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78865e-13, 0, 2.07902e-11, 0, 2.25062e-08, 0, 0, 0
