   PIQUANT 0.0.0-main  ps__0573_0717843531_000rbs__02900001995576371687___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0751951, 57.5075, 1.37346e-13, 0, 7.71411, 57.5075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64368e-18, 0, 0, 1.1557e-18, 0, 6.60256e-17, 0, 1.37277e-13, 0, 0, 0
0.0830576, 59.7331, 2.62524e-13, 0, 7.85704, 59.7331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14171e-18, 0, 0, 2.2415e-18, 0, 1.28889e-16, 0, 2.6239e-13, 0, 0, 0
0.09092, 45.9669, 4.9728e-13, 0, 6.92581, 45.9669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95103e-18, 0, 0, 4.30945e-18, 0, 2.49408e-16, 0, 4.9702e-13, 0, 0, 0
0.0987824, 44.8915, 9.3366e-13, 0, 6.84774, 44.8915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11731e-17, 0, 0, 8.21446e-18, 0, 4.78519e-16, 0, 9.33162e-13, 0, 0, 0
0.106645, 44.8916, 1.73782e-12, 0, 6.84774, 44.8916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07963e-17, 0, 0, 1.5527e-17, 0, 9.1049e-16, 0, 1.73687e-12, 0, 0, 0
0.114507, 44.4389, 3.20712e-12, 0, 6.81461, 44.4389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83788e-17, 0, 0, 2.91085e-17, 0, 1.71842e-15, 0, 3.20533e-12, 0, 0, 0
0.12237, 40.7421, 5.86928e-12, 0, 6.53774, 40.7421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02352e-17, 0, 0, 5.4131e-17, 0, 3.21768e-15, 0, 5.86593e-12, 0, 0, 0
0.130232, 30.6408, 1.06529e-11, 0, 5.71321, 30.6408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27477e-16, 0, 0, 9.9868e-17, 0, 5.97856e-15, 0, 1.06467e-11, 0, 0, 0
0.138095, 27.3991, 1.91787e-11, 0, 5.42209, 27.3991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29498e-16, 0, 0, 1.82819e-16, 0, 1.10246e-14, 0, 1.91673e-11, 0, 0, 0
0.145957, 29.3761, 3.42522e-11, 0, 5.60144, 29.3761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09865e-16, 0, 0, 3.32114e-16, 0, 2.01797e-14, 0, 3.42313e-11, 0, 0, 0
0.153819, 25.3804, 6.06905e-11, 0, 5.23263, 25.3804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26216e-16, 0, 0, 5.98789e-16, 0, 3.66705e-14, 0, 6.06526e-11, 0, 0, 0
0.161682, 20.6786, 1.06699e-10, 0, 4.76221, 20.6786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27672e-15, 0, 0, 1.07162e-15, 0, 6.61653e-14, 0, 1.0663e-10, 0, 0, 0
0.169544, 16.5812, 1.8614e-10, 0, 4.31059, 16.5812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22726e-15, 0, 0, 1.90385e-15, 0, 1.18554e-13, 0, 1.86017e-10, 0, 0, 0
0.177407, 17.3514, 3.22255e-10, 0, 4.39902, 17.3514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85589e-15, 0, 0, 3.35816e-15, 0, 2.10974e-13, 0, 3.22037e-10, 0, 0, 0
0.185269, 12.6733, 5.53696e-10, 0, 3.83057, 12.6733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62507e-15, 0, 0, 5.88155e-15, 0, 3.72924e-13, 0, 5.53311e-10, 0, 0, 0
