,PMC,x,y,z
203,335,-0.14055399999999998,0.12832000000000002,0.24264499999999997
204,336,-0.140073,0.12831900000000002,0.242644
205,337,-0.139593,0.12831900000000002,0.24264299999999997
206,338,-0.13911199999999999,0.12831800000000002,0.242642
207,339,-0.138632,0.12831800000000002,0.242641
208,340,-0.138631,0.127839,0.242641
209,341,-0.13911199999999999,0.127839,0.242642
210,342,-0.139593,0.12784,0.24264299999999997
211,343,-0.140073,0.12784,0.242644
212,344,-0.14055399999999998,0.127841,0.24264499999999997
213,345,-0.14055399999999998,0.12736199999999998,0.24264499999999997
214,346,-0.140073,0.127361,0.242644
215,347,-0.139593,0.127361,0.24264299999999997
216,348,-0.13911199999999999,0.12736,0.242642
217,349,-0.138632,0.12736,0.242641
218,350,-0.138632,0.126881,0.242641
219,351,-0.13911300000000001,0.126881,0.242642
220,352,-0.139593,0.126882,0.24264299999999997
221,353,-0.140074,0.126882,0.242644
222,354,-0.14055399999999998,0.126883,0.24264499999999997
223,355,-0.14055399999999998,0.126404,0.24264499999999997
224,356,-0.140074,0.126403,0.242644
225,357,-0.139593,0.126403,0.24264299999999997
226,358,-0.13911300000000001,0.126402,0.242642
227,359,-0.138632,0.12640099999999999,0.242641
