,PMC,x,y,z
153,229,-0.140878,0.128656,0.250714
154,230,-0.140378,0.128655,0.250718
155,231,-0.139877,0.128654,0.250721
156,232,-0.139376,0.128654,0.250725
157,233,-0.138876,0.128653,0.250729
158,234,-0.138876,0.128154,0.250729
159,235,-0.139376,0.128155,0.250725
160,236,-0.139877,0.128155,0.250721
161,237,-0.140378,0.128156,0.250718
162,238,-0.140878,0.128157,0.250714
163,239,-0.140878,0.127658,0.250714
164,240,-0.140378,0.127657,0.250718
165,241,-0.139877,0.127656,0.250721
166,242,-0.139377,0.127656,0.250725
167,243,-0.138876,0.127655,0.250729
168,244,-0.138876,0.127156,0.250729
169,245,-0.139377,0.127157,0.250725
170,246,-0.139877,0.127157,0.250721
171,247,-0.140378,0.127158,0.250718
172,248,-0.140878,0.127159,0.250714
173,249,-0.140878,0.12666,0.250714
174,250,-0.140378,0.126659,0.250718
175,251,-0.139878,0.126658,0.250721
176,252,-0.139377,0.126658,0.250725
177,253,-0.138877,0.126657,0.250729
