,PMC,x,y,z
203,242,-0.140698,0.128551,0.242709
204,243,-0.140217,0.12855,0.242707
205,244,-0.139736,0.12855,0.2427050000000001
206,245,-0.139256,0.128549,0.2427030000000001
207,246,-0.138775,0.128549,0.2427
208,247,-0.138775,0.12807000000000002,0.2427
209,248,-0.139256,0.12807000000000002,0.2427030000000001
210,249,-0.139736,0.128071,0.2427050000000001
211,250,-0.140217,0.128071,0.242707
212,251,-0.14069700000000002,0.128072,0.242709
213,252,-0.140698,0.127593,0.242709
214,253,-0.140217,0.127592,0.242707
215,254,-0.139737,0.127592,0.2427050000000001
216,255,-0.139256,0.127591,0.2427030000000001
217,256,-0.138775,0.127591,0.2427
218,257,-0.138776,0.127112,0.2427
219,258,-0.139256,0.127112,0.2427030000000001
220,259,-0.139737,0.127113,0.2427050000000001
221,260,-0.140217,0.127113,0.242707
222,261,-0.140698,0.127114,0.242709
223,262,-0.140698,0.126635,0.242709
224,263,-0.140217,0.126634,0.242707
225,264,-0.139737,0.126634,0.2427050000000001
226,265,-0.139257,0.126633,0.2427030000000001
227,266,-0.138776,0.126633,0.2427
