   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0224253, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0145244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0066236, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00127724, 0, 7.28518e-19, 0, 1.41421, -7.28518e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24269e-23, 0, 6.39498e-22, 0, 7.27806e-19, 0, 0, 0
0.00917808, 0, 1.44142e-18, 0, 1.41421, -1.44142e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45356e-22, 0, 1.29e-21, 0, 1.43998e-18, 0, 0, 0
0.0170789, 0, 2.82427e-18, 0, 1.41421, -2.82427e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88947e-22, 0, 2.57709e-21, 0, 2.82141e-18, 0, 0, 0
0.0249798, 0, 5.48169e-18, 0, 1.41421, -5.48169e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69091e-22, 0, 5.10048e-21, 0, 5.47602e-18, 0, 0, 0
0.0328806, 0, 1.05421e-17, 0, 1.41421, -1.05421e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11081e-21, 0, 1.00039e-20, 0, 1.0531e-17, 0, 0, 0
0.0407814, 0, 2.00934e-17, 0, 1.41421, -2.00934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14933e-21, 0, 1.94503e-20, 0, 2.00718e-17, 0, 0, 0
0.0486823, 0, 3.79648e-17, 0, 1.41421, -3.79648e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12348e-21, 0, 3.74972e-20, 0, 3.79232e-17, 0, 0, 0
