   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_183.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0221791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142951, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00641121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00147271, 0, 1.95251e-21, 0, 1.41421, -1.95251e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43218e-25, 0, 1.6245e-24, 0, 1.95075e-21, 0, 0, 0
0.00935664, 0, 4.49375e-21, 0, 1.41421, -4.49375e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35097e-25, 0, 3.80473e-24, 0, 4.48961e-21, 0, 0, 0
0.0172406, 0, 1.01888e-20, 0, 1.41421, -1.01888e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72416e-25, 0, 8.77448e-24, 0, 1.01793e-20, 0, 0, 0
0.0251245, 0, 2.27749e-20, 0, 1.41421, -2.27749e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75536e-24, 0, 1.99423e-23, 0, 2.27532e-20, 0, 0, 0
0.0330084, 0, 5.02221e-20, 0, 1.41421, -5.02221e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93557e-24, 0, 4.46998e-23, 0, 5.01735e-20, 0, 0, 0
0.0408923, 0, 1.09317e-19, 0, 1.41421, -1.09317e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7102e-24, 0, 9.88769e-23, 0, 1.09209e-19, 0, 0, 0
0.0487763, 0, 2.34991e-19, 0, 1.41421, -2.34991e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90396e-23, 0, 2.1597e-22, 0, 2.34756e-19, 0, 0, 0
0.0566602, 0, 4.99102e-19, 0, 1.41421, -4.99102e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11242e-23, 0, 4.66048e-22, 0, 4.98594e-19, 0, 0, 0
0.0645441, 0, 1.0478e-18, 0, 1.41421, -1.0478e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78079e-23, 0, 9.94045e-22, 0, 1.04671e-18, 0, 0, 0
0.072428, 0, 2.17507e-18, 0, 1.41421, -2.17507e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85409e-22, 0, 2.09655e-21, 0, 2.17279e-18, 0, 0, 0
0.080312, 0, 4.46605e-18, 0, 1.41421, -4.46605e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87291e-22, 0, 4.37414e-21, 0, 4.46129e-18, 0, 0, 0
0.0881959, 0, 9.07312e-18, 0, 1.41421, -9.07312e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0055e-22, 0, 9.03068e-21, 0, 9.06328e-18, 0, 0, 0
0.0960798, 0, 1.82427e-17, 0, 1.41421, -1.82427e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63798e-21, 0, 1.84556e-20, 0, 1.82226e-17, 0, 0, 0
0.103964, 0, 3.63104e-17, 0, 1.41421, -3.63104e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31828e-21, 0, 3.73459e-20, 0, 3.62698e-17, 0, 0, 0
0.111848, 0, 7.15614e-17, 0, 1.41421, -7.15614e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65738e-21, 0, 7.48485e-20, 0, 7.14799e-17, 0, 0, 0
0.119732, 0, 1.39676e-16, 0, 1.41421, -1.39676e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32304e-20, 0, 1.48613e-19, 0, 1.39514e-16, 0, 0, 0
0.127616, 0, 2.70048e-16, 0, 1.41421, -2.70048e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60503e-20, 0, 2.92392e-19, 0, 2.6973e-16, 0, 0, 0
