   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.035109, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0270826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0190561, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0110296, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00300317, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0050233, 0, 4.48926e-14, 0, 1.41421, -4.48926e-14, 0, 0, 0, 0, 0, 0, 0, 2.02368e-16, 0, 0, 7.57382e-19, 1.63353e-17, 0, 4.46732e-14, 0, 0
0.0130498, 0, 7.65798e-14, 0, 1.41421, -7.65798e-14, 0, 0, 0, 0, 0, 0, 0, 3.45203e-16, 0, 0, 1.32339e-18, 2.89961e-17, 0, 7.62043e-14, 0, 0
0.0210762, 0, 1.29079e-13, 0, 1.41421, -1.29079e-13, 0, 0, 0, 0, 0, 0, 0, 5.81848e-16, 0, 0, 2.279e-18, 5.06211e-17, 0, 1.28444e-13, 0, 0
0.0291027, 0, 2.16051e-13, 0, 1.41421, -2.16051e-13, 0, 0, 0, 0, 0, 0, 0, 9.73879e-16, 0, 0, 3.898e-18, 8.78089e-17, 0, 2.14986e-13, 0, 0
0.0371292, 0, 3.59135e-13, 0, 1.41421, -3.59135e-13, 0, 0, 0, 0, 0, 0, 0, 1.61882e-15, 0, 0, 6.62257e-18, 1.51356e-16, 0, 3.57358e-13, 0, 0
0.0451556, 0, 5.92912e-13, 0, 1.41421, -5.92912e-13, 0, 0, 0, 0, 0, 0, 0, 2.67254e-15, 0, 0, 1.11774e-17, 2.59271e-16, 0, 5.89969e-13, 0, 0
0.0531821, 0, 9.72277e-13, 0, 1.41421, -9.72277e-13, 0, 0, 0, 0, 0, 0, 0, 4.38246e-15, 0, 0, 1.87425e-17, 4.414e-16, 0, 9.67434e-13, 0, 0
0.0612085, 0, 1.58375e-12, 0, 1.41421, -1.58375e-12, 0, 0, 0, 0, 0, 0, 0, 7.13852e-15, 0, 0, 3.12263e-17, 7.46907e-16, 0, 1.57583e-12, 0, 0
0.069235, 0, 2.56279e-12, 0, 1.41421, -2.56279e-12, 0, 0, 0, 0, 0, 0, 0, 1.15512e-14, 0, 0, 5.16972e-17, 1.25629e-15, 0, 2.54993e-12, 0, 0
0.0772615, 0, 4.11997e-12, 0, 1.41421, -4.11997e-12, 0, 0, 0, 0, 0, 0, 0, 1.85697e-14, 0, 0, 8.50553e-17, 2.10052e-15, 0, 4.09922e-12, 0, 0
0.0852879, 0, 6.58055e-12, 0, 1.41421, -6.58055e-12, 0, 0, 0, 0, 0, 0, 0, 2.96597e-14, 0, 0, 1.39081e-16, 3.4915e-15, 0, 6.54726e-12, 0, 0
0.0933144, 0, 1.04434e-11, 0, 1.41421, -1.04434e-11, 0, 0, 0, 0, 0, 0, 0, 4.70699e-14, 0, 0, 2.26049e-16, 5.77018e-15, 0, 1.03903e-11, 0, 0
0.101341, 0, 1.64686e-11, 0, 1.41421, -1.64686e-11, 0, 0, 0, 0, 0, 0, 0, 7.42264e-14, 0, 0, 3.65219e-16, 9.48144e-15, 0, 1.63846e-11, 0, 0
0.109367, 0, 2.58069e-11, 0, 1.41421, -2.58069e-11, 0, 0, 0, 0, 0, 0, 0, 1.16316e-13, 0, 0, 5.86628e-16, 1.54915e-14, 0, 2.56745e-11, 0, 0
0.117394, 0, 4.01884e-11, 0, 1.41421, -4.01884e-11, 0, 0, 0, 0, 0, 0, 0, 1.81137e-13, 0, 0, 9.36864e-16, 2.51696e-14, 0, 3.99811e-11, 0, 0
0.12542, 0, 6.21976e-11, 0, 1.41421, -6.21976e-11, 0, 0, 0, 0, 0, 0, 0, 2.80342e-13, 0, 0, 1.48788e-15, 4.06677e-14, 0, 6.18751e-11, 0, 0
0.133447, 0, 9.57249e-11, 0, 1.41421, -9.57249e-11, 0, 0, 0, 0, 0, 0, 0, 4.31479e-13, 0, 0, 2.35414e-15, 6.54953e-14, 0, 9.52256e-11, 0, 0
