   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0110969, 252, 0, 0, 15.9374, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00323903, 294, 0, 0, 17.2047, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00461886, 0, 7.37152e-17, 0, 1.41421, -7.37152e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41321e-19, 0, 0, 2.95556e-22, 5.471e-21, 0, 7.34682e-17, 0, 0
0.0124767, 0, 1.42158e-16, 0, 1.41421, -1.42158e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6538e-19, 0, 0, 5.7888e-22, 1.07957e-20, 0, 1.41681e-16, 0, 0
0.0203346, 0, 2.71601e-16, 0, 1.41421, -2.71601e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89134e-19, 0, 0, 1.12353e-21, 2.11111e-20, 0, 2.70689e-16, 0, 0
0.0281925, 0, 5.14212e-16, 0, 1.41421, -5.14212e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68336e-18, 0, 0, 2.16146e-21, 4.0927e-20, 0, 5.12485e-16, 0, 0
0.0360504, 0, 9.64913e-16, 0, 1.41421, -9.64913e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15881e-18, 0, 0, 4.1224e-21, 7.8671e-20, 0, 9.61672e-16, 0, 0
0.0439083, 0, 1.79494e-15, 0, 1.41421, -1.79494e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87602e-18, 0, 0, 7.7961e-21, 1.49976e-19, 0, 1.78891e-15, 0, 0
0.0517662, 0, 3.31058e-15, 0, 1.41421, -3.31058e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08377e-17, 0, 0, 1.46221e-20, 2.83616e-19, 0, 3.29945e-15, 0, 0
0.0596241, 0, 6.05507e-15, 0, 1.41421, -6.05507e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98222e-17, 0, 0, 2.7203e-20, 5.32137e-19, 0, 6.03469e-15, 0, 0
0.0674819, 0, 1.0984e-14, 0, 1.41421, -1.0984e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59575e-17, 0, 0, 5.02072e-20, 9.90785e-19, 0, 1.0947e-14, 0, 0
0.0753398, 0, 1.97643e-14, 0, 1.41421, -1.97643e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4701e-17, 0, 0, 9.19436e-20, 1.83094e-18, 0, 1.96977e-14, 0, 0
0.0831977, 0, 3.52809e-14, 0, 1.41421, -3.52809e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15496e-16, 0, 0, 1.67085e-19, 3.35872e-18, 0, 3.51619e-14, 0, 0
0.0910556, 0, 6.24865e-14, 0, 1.41421, -6.24865e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04556e-16, 0, 0, 3.01347e-19, 6.11709e-18, 0, 6.22755e-14, 0, 0
0.0989135, 0, 1.09816e-13, 0, 1.41421, -1.09816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59494e-16, 0, 0, 5.39464e-19, 1.10623e-17, 0, 1.09445e-13, 0, 0
0.106771, 0, 1.91524e-13, 0, 1.41421, -1.91524e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2697e-16, 0, 0, 9.58672e-19, 1.98672e-17, 0, 1.90876e-13, 0, 0
0.114629, 0, 3.3151e-13, 0, 1.41421, -3.3151e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08522e-15, 0, 0, 1.69134e-18, 3.54378e-17, 0, 3.30387e-13, 0, 0
0.122487, 0, 5.69541e-13, 0, 1.41421, -5.69541e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86443e-15, 0, 0, 2.96277e-18, 6.27898e-17, 0, 5.67611e-13, 0, 0
0.130345, 0, 9.71277e-13, 0, 1.41421, -9.71277e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17954e-15, 0, 0, 5.1536e-18, 1.10522e-16, 0, 9.67982e-13, 0, 0
0.138203, 0, 1.64431e-12, 0, 1.41421, -1.64431e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38276e-15, 0, 0, 8.90248e-18, 1.9328e-16, 0, 1.63873e-12, 0, 0
0.146061, 0, 2.76362e-12, 0, 1.41421, -2.76362e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04691e-15, 0, 0, 1.52736e-17, 3.35855e-16, 0, 2.75423e-12, 0, 0
