   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_2.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.457655, 0, 2.81831e-10, 4.25818e-36, 1.41421, -2.81831e-10, 4.25818e-36, 0, 4.25818e-36, 4.25818e-36, 4.25818e-36, 4.25818e-36, 4.25818e-36, 4.25818e-36, 6.49589e-13, 4.25818e-36, 8.55338e-16, 1.19694e-13, 2.81061e-10, 4.25818e-36, 4.25818e-36
0.465977, 0, 5.96729e-10, 4.07987e-35, 1.41421, -5.96729e-10, 4.07987e-35, 0, 4.07987e-35, 4.07987e-35, 4.07987e-35, 4.07987e-35, 4.07987e-35, 4.07987e-35, 1.3756e-12, 4.07987e-35, 1.86763e-15, 2.61134e-13, 5.9509e-10, 4.07987e-35, 4.07987e-35
0.4743, 0, 1.24043e-09, 3.56724e-34, 1.41421, -1.24043e-09, 3.56724e-34, 0, 3.56724e-34, 3.56724e-34, 3.56724e-34, 3.56724e-34, 3.56724e-34, 3.56724e-34, 2.86031e-12, 3.56724e-34, 4.03081e-15, 5.60265e-13, 1.23701e-09, 3.56724e-34, 3.56724e-34
0.482622, 0, 2.5318e-09, 2.86215e-33, 1.41421, -2.5318e-09, 2.86215e-33, 0, 2.86215e-33, 2.86215e-33, 2.86215e-33, 2.86215e-33, 2.86215e-33, 2.86215e-33, 5.84091e-12, 2.86215e-33, 8.61481e-15, 1.18294e-12, 2.52476e-09, 2.86215e-33, 2.86215e-33
0.490944, 0, 5.07459e-09, 2.24242e-32, 1.41421, -5.07459e-09, 2.24242e-32, 0, 2.24242e-32, 2.24242e-32, 2.24242e-32, 2.24242e-32, 2.24242e-32, 2.24242e-32, 1.17161e-11, 2.24242e-32, 1.82712e-14, 2.46013e-12, 5.06039e-09, 2.24242e-32, 2.24242e-32
0.499266, 0, 9.98949e-09, 1.66872e-31, 1.41421, -9.98949e-09, 1.66872e-31, 0, 1.66872e-31, 1.66872e-31, 1.66872e-31, 1.66872e-31, 1.66872e-31, 1.66872e-31, 2.30897e-11, 1.66872e-31, 3.85415e-14, 5.04528e-12, 9.96132e-09, 1.66872e-31, 1.66872e-31
0.507588, 0, 1.9316e-08, 1.16313e-30, 1.41421, -1.9316e-08, 1.16313e-30, 0, 1.16313e-30, 1.16313e-30, 1.16313e-30, 1.16313e-30, 1.16313e-30, 1.16313e-30, 4.47196e-11, 1.16313e-30, 8.10383e-14, 1.02189e-11, 1.9261e-08, 1.16313e-30, 1.16313e-30
0.51591, 0, 3.66931e-08, 7.56844e-30, 1.41421, -3.66931e-08, 7.56844e-30, 0, 7.56844e-30, 7.56844e-30, 7.56844e-30, 7.56844e-30, 7.56844e-30, 7.56844e-30, 8.51427e-11, 7.56844e-30, 1.70172e-13, 2.04806e-11, 3.65874e-08, 7.56844e-30, 7.56844e-30
0.524233, 0, 6.8488e-08, 4.60274e-29, 1.41421, -6.8488e-08, 4.60274e-29, 0, 4.60274e-29, 4.60274e-29, 4.60274e-29, 4.60274e-29, 4.60274e-29, 4.60274e-29, 1.5941e-10, 4.60274e-29, 3.57376e-13, 4.07135e-11, 6.82876e-08, 4.60274e-29, 4.60274e-29
0.532555, 0, 1.25627e-07, 2.62349e-28, 1.41421, -1.25627e-07, 2.62349e-28, 0, 2.62349e-28, 2.62349e-28, 2.62349e-28, 2.62349e-28, 2.62349e-28, 2.62349e-28, 2.93606e-10, 2.62349e-28, 7.51041e-13, 8.05049e-11, 1.25252e-07, 2.62349e-28, 2.62349e-28
0.540877, 0, 2.26499e-07, 1.40623e-27, 1.41421, -2.26499e-07, 1.40623e-27, 0, 1.40623e-27, 1.40623e-27, 1.40623e-27, 1.40623e-27, 1.40623e-27, 1.40623e-27, 5.32208e-10, 1.40623e-27, 1.57893e-12, 1.58841e-10, 2.25806e-07, 1.40623e-27, 1.40623e-27
0.549199, 0, 4.01472e-07, 7.11367e-27, 1.41421, -4.01472e-07, 7.11367e-27, 0, 7.11367e-27, 7.11367e-27, 7.11367e-27, 7.11367e-27, 7.11367e-27, 7.11367e-27, 9.49879e-10, 7.11367e-27, 3.31665e-12, 3.13743e-10, 4.00205e-07, 7.11367e-27, 7.11367e-27
0.557521, 0, 6.99759e-07, 3.40783e-26, 1.41421, -6.99759e-07, 3.40783e-26, 0, 3.40783e-26, 3.40783e-26, 3.40783e-26, 3.40783e-26, 3.40783e-26, 3.40783e-26, 1.67012e-09, 3.40783e-26, 6.94764e-12, 6.22218e-10, 6.97459e-07, 3.40783e-26, 3.40783e-26
0.565844, 0, 1.19963e-06, 1.55104e-25, 1.41421, -1.19963e-06, 1.55104e-25, 0, 1.55104e-25, 1.55104e-25, 1.55104e-25, 1.55104e-25, 1.55104e-25, 1.55104e-25, 2.89436e-09, 1.55104e-25, 1.44787e-11, 1.24166e-09, 1.19548e-06, 1.55104e-25, 1.55104e-25
0.574166, 0, 2.02333e-06, 6.72776e-25, 1.41421, -2.02333e-06, 6.72776e-25, 0, 6.72776e-25, 6.72776e-25, 6.72776e-25, 6.72776e-25, 6.72776e-25, 6.72776e-25, 4.9467e-09, 6.72776e-25, 2.99408e-11, 2.49554e-09, 2.01586e-06, 6.72776e-25, 6.72776e-25
0.582488, 0, 3.35835e-06, 2.78906e-24, 1.41421, -3.35835e-06, 2.78906e-24, 0, 2.78906e-24, 2.78906e-24, 2.78906e-24, 2.78906e-24, 2.78906e-24, 2.78906e-24, 8.34203e-09, 2.78906e-24, 6.12852e-11, 5.04881e-09, 3.3449e-06, 2.78906e-24, 2.78906e-24
0.59081, 0, 5.48911e-06, 1.11337e-23, 1.41421, -5.48911e-06, 3.30986e-10, 0, 9.30563e-14, 1.5912e-13, 3.61827e-12, 3.70491e-11, 8.56649e-12, 1.58426e-10, 1.38882e-08, 6.10702e-12, 1.23891e-10, 1.02615e-08, 5.46366e-06, 1.11337e-23, 6.37593e-10
0.599132, 0, 8.85863e-06, 2.11003e-08, 1.41421, -8.85863e-06, 2.2709e-08, 2.11003e-08, 2.11008e-08, 2.11011e-08, 2.11179e-08, 2.12804e-08, 2.1142e-08, 2.18703e-08, 4.39367e-08, 2.113e-08, 2.13473e-08, 4.19885e-08, 8.80891e-06, 2.11003e-08, 2.41993e-08
0.607455, 0, 1.41286e-05, 1.02175e-07, 1.41421, -1.41286e-05, 1.08421e-07, 1.02175e-07, 1.02177e-07, 1.02178e-07, 1.02243e-07, 1.02874e-07, 1.02336e-07, 1.05165e-07, 1.39274e-07, 1.0229e-07, 1.02659e-07, 1.446e-07, 1.40262e-05, 1.02175e-07, 1.14207e-07
0.615777, 0, 2.23696e-05, 3.95455e-07, 1.41421, -2.23696e-05, 4.176e-07, 3.95455e-07, 3.95462e-07, 3.95466e-07, 3.95697e-07, 3.97934e-07, 3.96029e-07, 4.06055e-07, 4.55018e-07, 3.95864e-07, 3.9639e-07, 4.81098e-07, 2.21443e-05, 3.95455e-07, 4.38113e-07
0.624099, 0, 3.54483e-05, 1.39826e-06, 1.41421, -3.54483e-05, 1.47194e-06, 1.39826e-06, 1.39828e-06, 1.39829e-06, 1.39906e-06, 1.4065e-06, 1.40016e-06, 1.43352e-06, 1.49278e-06, 1.39961e-06, 1.40003e-06, 1.56951e-06, 3.49174e-05, 1.39826e-06, 1.5402e-06
0.632421, 0, 5.70116e-05, 4.64147e-06, 1.41421, -5.70116e-05, 4.87326e-06, 4.64147e-06, 4.64153e-06, 4.64158e-06, 4.644e-06, 4.66741e-06, 4.64747e-06, 4.75241e-06, 4.78976e-06, 4.64575e-06, 4.64477e-06, 4.97996e-06, 5.56933e-05, 4.64147e-06, 5.08797e-06
0.640743, 0, 9.49681e-05, 1.45674e-05, 1.41421, -9.49681e-05, 1.52583e-05, 1.45674e-05, 1.45676e-05, 1.45678e-05, 1.4575e-05, 1.46448e-05, 1.45853e-05, 1.48981e-05, 1.47974e-05, 1.45802e-05, 1.45735e-05, 1.52265e-05, 9.16046e-05, 1.45674e-05, 1.58982e-05
0.649065, 0, 0.00016757, 4.33249e-05, 1.41421, -0.00016757, 4.52779e-05, 4.33249e-05, 4.33255e-05, 4.33259e-05, 4.33463e-05, 4.35435e-05, 4.33755e-05, 4.42597e-05, 4.36777e-05, 4.3361e-05, 4.33358e-05, 4.45871e-05, 0.000158966, 4.33249e-05, 4.7087e-05
0.657388, 0, 0.000317589, 0.000122216, 1.41421, -0.000317589, 0.000127456, 0.000122216, 0.000122218, 0.000122219, 0.000122274, 0.000122803, 0.000122352, 0.000124724, 0.000122752, 0.000122313, 0.000122236, 0.000124593, 0.000295938, 0.000122216, 0.000132309
0.66571, 1.93338, 0.000643405, 0.000327206, 1.98328, 1.93274, 0.000340551, 0.000327206, 0.00032721, 0.000327212, 0.000327352, 0.0003287, 0.000327551, 0.000333594, 0.00032801, 0.000327452, 0.00032724, 0.000331607, 0.000590482, 0.000327206, 0.000352914
0.674032, 0.0666187, 0.0013627, 0.000831818, 1.43757, 0.0652559, 0.000864113, 0.000831818, 0.000831827, 0.000831834, 0.000832171, 0.000835433, 0.000832654, 0.000847276, 0.000833014, 0.000832414, 0.000831877, 0.00083984, 0.00123804, 0.000831818, 0.000894029
0.682354, 0, 0.0029339, 0.00200897, 1.41421, -0.0029339, 0.00208325, 0.00200897, 0.00200899, 0.00200901, 0.00200978, 0.00201728, 0.00201089, 0.00204452, 0.00201073, 0.00201034, 0.00200907, 0.00202339, 0.00265221, 0.00200897, 0.00215206
0.690676, 0.959465, 0.00627008, 0.00461193, 1.72031, 0.953195, 0.00477441, 0.00461193, 0.00461197, 0.00461201, 0.0046137, 0.00463012, 0.00461613, 0.0046897, 0.00461451, 0.00461493, 0.0046121, 0.00463755, 0.00566119, 0.00461193, 0.00492492
0.698999, 0.040535, 0.0130848, 0.010069, 1.42847, 0.0274502, 0.0104072, 0.010069, 0.0100691, 0.0100692, 0.0100727, 0.0101069, 0.0100778, 0.0102309, 0.0100728, 0.0100752, 0.0100693, 0.0101141, 0.0118273, 0.010069, 0.0107205
0.707321, 0, 0.0263993, 0.020919, 1.41421, -0.0263993, 0.0215892, 0.020919, 0.0209191, 0.0209193, 0.0209263, 0.020994, 0.0209363, 0.0212398, 0.0209244, 0.0209313, 0.0209194, 0.0209978, 0.0239197, 0.020919, 0.0222101
0.715643, 1, 0.0512038, 0.0413821, 1.73205, 0.948796, 0.0426479, 0.0413821, 0.0413825, 0.0413827, 0.041396, 0.0415238, 0.0414149, 0.041988, 0.04139, 0.0414055, 0.0413829, 0.0415193, 0.0465356, 0.0413821, 0.0438204
0.723965, 0.949823, 0.0951931, 0.0780005, 1.7175, 0.85463, 0.0802797, 0.0780005, 0.0780011, 0.0780016, 0.0780254, 0.0782556, 0.0780595, 0.0790914, 0.0780117, 0.0780425, 0.0780018, 0.0782373, 0.0868003, 0.0780005, 0.082391
0.732287, 1.94499, 0.169396, 0.140189, 1.9862, 1.77559, 0.144105, 0.140189, 0.14019, 0.140191, 0.140232, 0.140627, 0.14029, 0.142063, 0.140205, 0.140261, 0.140191, 0.140594, 0.154978, 0.140189, 0.147734
0.74061, 0.105187, 0.288403, 0.240439, 1.45093, -0.183215, 0.246868, 0.240439, 0.240441, 0.240442, 0.24051, 0.241159, 0.240606, 0.243517, 0.240461, 0.240558, 0.240443, 0.241124, 0.264721, 0.240439, 0.252824
0.748932, 2.88516, 0.469849, 0.393877, 2.21024, 2.41531, 0.403968, 0.393877, 0.39388, 0.393882, 0.393988, 0.395007, 0.394138, 0.398707, 0.393908, 0.394063, 0.393883, 0.395015, 0.432623, 0.393877, 0.413315
0.757254, 1.9952, 0.732846, 0.616891, 1.9988, 1.26235, 0.632051, 0.616891, 0.616896, 0.616899, 0.617057, 0.618588, 0.617284, 0.624148, 0.616933, 0.617171, 0.6169, 0.618736, 0.676786, 0.616891, 0.646094
0.765576, 3.0574, 1.09526, 0.924749, 2.24887, 1.96214, 0.946579, 0.924749, 0.924755, 0.92476, 0.924988, 0.927193, 0.925314, 0.935198, 0.924804, 0.925152, 0.924762, 0.927657, 1.01429, 0.924749, 0.966801
0.773898, 3.93295, 1.57015, 1.32845, 2.43576, 2.3628, 1.35862, 1.32845, 1.32846, 1.32846, 1.32878, 1.33182, 1.32923, 1.34289, 1.32852, 1.329, 1.32847, 1.33289, 1.45782, 1.32845, 1.38657
0.78222, 4.79398, 2.162, 1.83137, 2.60653, 2.63199, 1.87146, 1.83137, 1.83138, 1.83139, 1.8318, 1.83585, 1.8324, 1.85056, 1.83146, 1.83211, 1.8314, 1.8379, 2.0121, 1.83137, 1.90859
0.790543, 7.05746, 2.86378, 2.42661, 3.00956, 4.19367, 2.47791, 2.42661, 2.42662, 2.42663, 2.42717, 2.43235, 2.42794, 2.45116, 2.42672, 2.42755, 2.42665, 2.43587, 2.67105, 2.42661, 2.52544
0.798865, 6.06219, 3.65608, 3.09592, 2.8394, 2.40611, 3.15929, 3.09592, 3.09594, 3.09595, 3.09662, 3.10302, 3.09756, 3.12626, 3.09605, 3.09709, 3.09599, 3.10852, 3.41686, 3.09592, 3.218
0.807187, 8.76994, 4.50881, 3.8108, 3.28176, 4.26113, 3.88652, 3.8108, 3.81082, 3.81084, 3.81163, 3.81928, 3.81276, 3.84704, 3.81095, 3.8122, 3.8109, 3.82722, 4.22158, 3.8108, 3.95668
0.815509, 5.21561, 5.386, 4.53582, 2.68619, -0.17039, 4.62357, 4.53582, 4.53585, 4.53587, 4.53678, 4.54565, 4.53809, 4.57782, 4.536, 4.53744, 4.53596, 4.55633, 5.05163, 4.53582, 4.7049
0.823831, 8.9928, 6.2529, 5.23357, 3.31554, 2.73989, 5.33247, 5.23357, 5.2336, 5.23362, 5.23465, 5.24464, 5.23613, 5.28091, 5.23377, 5.2354, 5.23376, 5.25809, 5.87455, 5.23357, 5.42418
0.832154, 7.74815, 7.08405, 5.86999, 3.1222, 0.6641, 5.97874, 5.86999, 5.87003, 5.87005, 5.87118, 5.88217, 5.87281, 5.92204, 5.87021, 5.872, 5.87024, 5.89804, 6.66678, 5.86999, 6.07971
0.840476, 12.7338, 7.87068, 6.41902, 3.83846, 4.86312, 6.53604, 6.41902, 6.41905, 6.41907, 6.4203, 6.43211, 6.42205, 6.47503, 6.41925, 6.42117, 6.41933, 6.44973, 7.4208, 6.41902, 6.64496
0.848798, 12.9782, 8.62562, 6.8653, 3.87017, 4.35257, 6.98895, 6.8653, 6.86533, 6.86536, 6.86665, 6.87914, 6.8685, 6.92448, 6.86554, 6.86757, 6.86568, 6.89751, 8.14988, 6.8653, 7.10461
