   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_9.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0497493, 237, 0, 0, 15.4596, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0417405, 279, 0, 0, 16.7631, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0337316, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0257227, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0177139, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00970498, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00169611, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00631276, 0, 1.20309e-16, 0, 1.41421, -1.20309e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.85068e-19, 0, 0, 1.39977e-21, 1.79521e-20, 1.19805e-16, 0, 0
0.0143216, 0, 2.31325e-16, 0, 1.41421, -2.31325e-16, 0, 0, 0, 0, 0, 0, 0, 0, 9.3266e-19, 0, 0, 2.73715e-21, 3.52761e-20, 2.30354e-16, 0, 0
0.0223305, 0, 4.40638e-16, 0, 1.41421, -4.40638e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.77657e-18, 0, 0, 5.30344e-21, 6.87019e-20, 4.38787e-16, 0, 0
0.0303394, 0, 8.31706e-16, 0, 1.41421, -8.31706e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.35327e-18, 0, 0, 1.01843e-20, 1.32644e-19, 8.2821e-16, 0, 0
0.0383482, 0, 1.55586e-15, 0, 1.41421, -1.55586e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.27287e-18, 0, 0, 1.93866e-20, 2.53945e-19, 1.54931e-15, 0, 0
0.0463571, 0, 2.8851e-15, 0, 1.41421, -2.8851e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.1632e-17, 0, 0, 3.659e-20, 4.8219e-19, 2.87295e-15, 0, 0
0.054366, 0, 5.30417e-15, 0, 1.41421, -5.30417e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.1385e-17, 0, 0, 6.84838e-20, 9.08271e-19, 5.28181e-15, 0, 0
0.0623748, 0, 9.74503e-15, 0, 1.41421, -9.74503e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.92892e-17, 0, 0, 1.28532e-19, 1.71925e-18, 9.70389e-15, 0, 0
0.0703837, 0, 1.76039e-14, 0, 1.41421, -1.76039e-14, 0, 0, 0, 0, 0, 0, 0, 0, 7.09737e-17, 0, 0, 2.36453e-19, 3.1855e-18, 1.75295e-14, 0, 0
0.0783926, 0, 3.15447e-14, 0, 1.41421, -3.15447e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.27178e-16, 0, 0, 4.31609e-19, 5.85879e-18, 3.14113e-14, 0, 0
0.0864015, 0, 5.60774e-14, 0, 1.41421, -5.60774e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.26085e-16, 0, 0, 7.81815e-19, 1.06979e-17, 5.58398e-14, 0, 0
0.0944103, 0, 9.89101e-14, 0, 1.41421, -9.89101e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.98769e-16, 0, 0, 1.40553e-18, 1.93958e-17, 9.84905e-14, 0, 0
0.102419, 0, 1.73114e-13, 0, 1.41421, -1.73114e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.97927e-16, 0, 0, 2.50812e-18, 3.49219e-17, 1.72378e-13, 0, 0
0.110428, 0, 3.00679e-13, 0, 1.41421, -3.00679e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.21221e-15, 0, 0, 4.44306e-18, 6.24491e-17, 2.99399e-13, 0, 0
0.118437, 0, 5.18315e-13, 0, 1.41421, -5.18315e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.08962e-15, 0, 0, 7.81433e-18, 1.10928e-16, 5.16107e-13, 0, 0
0.126446, 0, 8.86837e-13, 0, 1.41421, -8.86837e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.57532e-15, 0, 0, 1.36465e-17, 1.95748e-16, 8.83052e-13, 0, 0
0.134455, 0, 1.50621e-12, 0, 1.41421, -1.50621e-12, 0, 0, 0, 0, 0, 0, 0, 0, 6.07232e-15, 0, 0, 2.36656e-17, 3.43191e-16, 1.49977e-12, 0, 0
0.142464, 0, 2.53952e-12, 0, 1.41421, -2.53952e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.02381e-14, 0, 0, 4.07588e-17, 5.97863e-16, 2.52864e-12, 0, 0
0.150472, 0, 4.25081e-12, 0, 1.41421, -4.25081e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.71373e-14, 0, 0, 6.97229e-17, 1.03498e-15, 4.23257e-12, 0, 0
0.158481, 0, 7.06441e-12, 0, 1.41421, -7.06441e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.84805e-14, 0, 0, 1.18475e-16, 1.78062e-15, 7.03403e-12, 0, 0
0.16649, 0, 1.16571e-11, 0, 1.41421, -1.16571e-11, 0, 0, 0, 0, 0, 0, 0, 0, 4.69967e-14, 0, 0, 1.99995e-16, 3.04494e-15, 1.16069e-11, 0, 0
0.174499, 0, 1.91002e-11, 0, 1.41421, -1.91002e-11, 0, 0, 0, 0, 0, 0, 0, 0, 7.70056e-14, 0, 0, 3.35429e-16, 5.17581e-15, 1.90177e-11, 0, 0
0.182508, 0, 3.10774e-11, 0, 1.41421, -3.10774e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.25297e-13, 0, 0, 5.5901e-16, 8.74598e-15, 3.09428e-11, 0, 0
0.190517, 0, 5.02149e-11, 0, 1.41421, -5.02149e-11, 0, 0, 0, 0, 0, 0, 0, 0, 2.02462e-13, 0, 0, 9.25831e-16, 1.4693e-14, 4.99968e-11, 0, 0
0.198526, 0, 8.05789e-11, 0, 1.41421, -8.05789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 3.24904e-13, 0, 0, 1.52408e-15, 2.45425e-14, 8.02279e-11, 0, 0
0.206535, 0, 1.2842e-10, 0, 1.41421, -1.2842e-10, 0, 0, 0, 0, 0, 0, 0, 0, 5.17842e-13, 0, 0, 2.49407e-15, 4.07642e-14, 1.27859e-10, 0, 0
0.214543, 0, 2.03277e-10, 0, 1.41421, -2.03277e-10, 0, 0, 0, 0, 0, 0, 0, 0, 8.1977e-13, 0, 0, 4.05794e-15, 6.73341e-14, 2.02386e-10, 0, 0
0.222552, 0, 3.19599e-10, 0, 1.41421, -3.19599e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.28902e-12, 0, 0, 6.56574e-15, 1.10619e-13, 3.18193e-10, 0, 0
0.230561, 0, 4.99116e-10, 0, 1.41421, -4.99116e-10, 0, 0, 0, 0, 0, 0, 0, 0, 2.01337e-12, 0, 0, 1.05665e-14, 1.80766e-13, 4.96911e-10, 0, 0
0.23857, 0, 7.74275e-10, 0, 1.41421, -7.74275e-10, 0, 0, 0, 0, 0, 0, 0, 0, 3.12392e-12, 0, 0, 1.69182e-14, 2.93862e-13, 7.7084e-10, 0, 0
0.246579, 0, 1.19318e-09, 0, 1.41421, -1.19318e-09, 0, 0, 0, 0, 0, 0, 0, 0, 4.81523e-12, 0, 0, 2.69568e-14, 4.75304e-13, 1.18786e-09, 0, 0
0.254588, 0, 1.82701e-09, 0, 1.41421, -1.82701e-09, 0, 0, 0, 0, 0, 0, 0, 0, 7.37556e-12, 0, 0, 4.28256e-14, 7.66213e-13, 1.81883e-09, 0, 0
