   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0545292, 232, 0, 0, 15.2971, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0464945, 274, 0, 0, 16.6132, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0384598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0304251, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223904, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143557, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00632105, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00171364, 0, 7.6549e-17, 0, 1.41421, -7.6549e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.08845e-19, 0, 0, 3.79619e-22, 7.73977e-21, 0, 7.63321e-17, 0, 0
0.00974833, 0, 1.48557e-16, 0, 1.41421, -1.48557e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.05299e-19, 0, 0, 7.48896e-22, 1.53688e-20, 0, 1.48135e-16, 0, 0
0.017783, 0, 2.8559e-16, 0, 1.41421, -2.8559e-16, 0, 0, 0, 0, 0, 0, 0, 0, 7.79157e-19, 0, 0, 1.46381e-21, 3.02394e-20, 0, 2.84779e-16, 0, 0
0.0258177, 0, 5.43984e-16, 0, 1.41421, -5.43984e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.48412e-18, 0, 0, 2.83553e-21, 5.8972e-20, 0, 5.42438e-16, 0, 0
0.0338524, 0, 1.02685e-15, 0, 1.41421, -1.02685e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.80148e-18, 0, 0, 5.44452e-21, 1.14015e-19, 0, 1.02393e-15, 0, 0
0.0418871, 0, 1.92126e-15, 0, 1.41421, -1.92126e-15, 0, 0, 0, 0, 0, 0, 0, 0, 5.24161e-18, 0, 0, 1.03644e-20, 2.18584e-19, 0, 1.91579e-15, 0, 0
0.0499218, 0, 3.56365e-15, 0, 1.41421, -3.56365e-15, 0, 0, 0, 0, 0, 0, 0, 0, 9.72237e-18, 0, 0, 1.95644e-20, 4.15633e-19, 0, 3.55349e-15, 0, 0
0.0579564, 0, 6.55389e-15, 0, 1.41421, -6.55389e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.78803e-17, 0, 0, 3.66262e-20, 7.84001e-19, 0, 6.53519e-15, 0, 0
0.0659911, 0, 1.19527e-14, 0, 1.41421, -1.19527e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.26092e-17, 0, 0, 6.80128e-20, 1.46731e-18, 0, 1.19185e-14, 0, 0
0.0740258, 0, 2.16195e-14, 0, 1.41421, -2.16195e-14, 0, 0, 0, 0, 0, 0, 0, 0, 5.8982e-17, 0, 0, 1.25291e-19, 2.72517e-18, 0, 2.15577e-14, 0, 0
0.0820605, 0, 3.87883e-14, 0, 1.41421, -3.87883e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.05821e-16, 0, 0, 2.29004e-19, 5.02353e-18, 0, 3.86772e-14, 0, 0
0.0900952, 0, 6.90361e-14, 0, 1.41421, -6.90361e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.88341e-16, 0, 0, 4.15346e-19, 9.19242e-18, 0, 6.88381e-14, 0, 0
0.0981299, 0, 1.21904e-13, 0, 1.41421, -1.21904e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.32572e-16, 0, 0, 7.47601e-19, 1.67e-17, 0, 1.21554e-13, 0, 0
0.106165, 0, 2.13585e-13, 0, 1.41421, -2.13585e-13, 0, 0, 0, 0, 0, 0, 0, 0, 5.82689e-16, 0, 0, 1.33559e-18, 3.01254e-17, 0, 2.12971e-13, 0, 0
0.114199, 0, 3.72596e-13, 0, 1.41421, -3.72596e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.01649e-15, 0, 0, 2.38111e-18, 5.43411e-17, 0, 3.71523e-13, 0, 0
0.122234, 0, 6.42637e-13, 0, 1.41421, -6.42637e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.75319e-15, 0, 0, 4.18978e-18, 9.66316e-17, 0, 6.40783e-13, 0, 0
0.130269, 0, 1.10011e-12, 0, 1.41421, -1.10011e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.00123e-15, 0, 0, 7.31999e-18, 1.70693e-16, 0, 1.09693e-12, 0, 0
0.138303, 0, 1.86933e-12, 0, 1.41421, -1.86933e-12, 0, 0, 0, 0, 0, 0, 0, 0, 5.09976e-15, 0, 0, 1.26993e-17, 2.99547e-16, 0, 1.86392e-12, 0, 0
0.146338, 0, 3.15315e-12, 0, 1.41421, -3.15315e-12, 0, 0, 0, 0, 0, 0, 0, 0, 8.60218e-15, 0, 0, 2.188e-17, 5.22292e-16, 0, 3.144e-12, 0, 0
0.154373, 0, 5.28007e-12, 0, 1.41421, -5.28007e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.44048e-14, 0, 0, 3.74413e-17, 9.04901e-16, 0, 5.26472e-12, 0, 0
0.162407, 0, 8.77806e-12, 0, 1.41421, -8.77806e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.3948e-14, 0, 0, 6.36412e-17, 1.558e-15, 0, 8.75249e-12, 0, 0
0.170442, 0, 1.44893e-11, 0, 1.41421, -1.44893e-11, 0, 0, 0, 0, 0, 0, 0, 0, 3.95299e-14, 0, 0, 1.07462e-16, 2.66616e-15, 0, 1.4447e-11, 0, 0
