   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cl_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.107245, 0, 9.95508e-14, 0, 1.41421, -9.95508e-14, 0, 0, 0, 0, 0, 0, 6.53473e-16, 0, 0, 3.18691e-18, 3.08207e-17, 0, 9.88633e-14, 0, 0
0.114643, 0, 1.67668e-13, 0, 1.41421, -1.67668e-13, 0, 0, 0, 0, 0, 0, 1.1006e-15, 0, 0, 5.46919e-18, 5.33798e-17, 0, 1.66508e-13, 0, 0
0.122041, 0, 2.80431e-13, 0, 1.41421, -2.80431e-13, 0, 0, 0, 0, 0, 0, 1.84077e-15, 0, 0, 9.32337e-18, 9.18771e-17, 0, 2.78489e-13, 0, 0
0.129439, 0, 4.65806e-13, 0, 1.41421, -4.65806e-13, 0, 0, 0, 0, 0, 0, 3.05756e-15, 0, 0, 1.57892e-17, 1.57171e-16, 0, 4.62575e-13, 0, 0
0.136837, 0, 7.68461e-13, 0, 1.41421, -7.68461e-13, 0, 0, 0, 0, 0, 0, 5.04415e-15, 0, 0, 2.65657e-17, 2.67249e-16, 0, 7.63123e-13, 0, 0
0.144235, 0, 1.25924e-12, 0, 1.41421, -1.25924e-12, 0, 0, 0, 0, 0, 0, 8.26551e-15, 0, 0, 4.44118e-17, 4.51725e-16, 0, 1.25048e-12, 0, 0
0.151633, 0, 2.0497e-12, 0, 1.41421, -2.0497e-12, 0, 0, 0, 0, 0, 0, 1.34539e-14, 0, 0, 7.37785e-17, 7.59075e-16, 0, 2.03541e-12, 0, 0
0.15903, 0, 3.31435e-12, 0, 1.41421, -3.31435e-12, 0, 0, 0, 0, 0, 0, 2.17547e-14, 0, 0, 1.21802e-16, 1.26819e-15, 0, 3.2912e-12, 0, 0
0.166428, 0, 5.32425e-12, 0, 1.41421, -5.32425e-12, 0, 0, 0, 0, 0, 0, 3.4947e-14, 0, 0, 1.99852e-16, 2.10681e-15, 0, 5.28699e-12, 0, 0
0.173826, 0, 8.49758e-12, 0, 1.41421, -8.49758e-12, 0, 0, 0, 0, 0, 0, 5.57758e-14, 0, 0, 3.25939e-16, 3.48044e-15, 0, 8.438e-12, 0, 0
0.181224, 0, 1.34751e-11, 0, 1.41421, -1.34751e-11, 0, 0, 0, 0, 0, 0, 8.84471e-14, 0, 0, 5.2842e-16, 5.71802e-15, 0, 1.33804e-11, 0, 0
0.188622, 0, 2.12323e-11, 0, 1.41421, -2.12323e-11, 0, 0, 0, 0, 0, 0, 1.39364e-13, 0, 0, 8.51698e-16, 9.34324e-15, 0, 2.10827e-11, 0, 0
0.19602, 0, 3.32435e-11, 0, 1.41421, -3.32435e-11, 0, 0, 0, 0, 0, 0, 2.18205e-13, 0, 0, 1.3649e-15, 1.51853e-14, 0, 3.30087e-11, 0, 0
0.203418, 0, 5.17233e-11, 0, 1.41421, -5.17233e-11, 0, 0, 0, 0, 0, 0, 3.39512e-13, 0, 0, 2.17518e-15, 2.45508e-14, 0, 5.13571e-11, 0, 0
0.210816, 0, 7.99754e-11, 0, 1.41421, -7.99754e-11, 0, 0, 0, 0, 0, 0, 5.24975e-13, 0, 0, 3.44759e-15, 3.94874e-14, 0, 7.94075e-11, 0, 0
0.218214, 0, 1.22896e-10, 0, 1.41421, -1.22896e-10, 0, 0, 0, 0, 0, 0, 8.06749e-13, 0, 0, 5.43535e-15, 6.31898e-14, 0, 1.2202e-10, 0, 0
0.225612, 0, 1.87768e-10, 0, 1.41421, -1.87768e-10, 0, 0, 0, 0, 0, 0, 1.23269e-12, 0, 0, 8.53822e-15, 1.00809e-13, 0, 1.86426e-10, 0, 0
0.23301, 0, 2.85013e-10, 0, 1.41421, -2.85013e-10, 0, 0, 0, 0, 0, 0, 1.87126e-12, 0, 0, 1.33256e-14, 1.59728e-13, 0, 2.82968e-10, 0, 0
0.240407, 0, 4.3001e-10, 0, 1.41421, -4.3001e-10, 0, 0, 0, 0, 0, 0, 2.82356e-12, 0, 0, 2.06986e-14, 2.51887e-13, 0, 4.26914e-10, 0, 0
0.247805, 0, 6.44889e-10, 0, 1.41421, -6.44889e-10, 0, 0, 0, 0, 0, 0, 4.2351e-12, 0, 0, 3.20055e-14, 3.95388e-13, 0, 6.40227e-10, 0, 0
0.255203, 0, 9.61394e-10, 0, 1.41421, -9.61394e-10, 0, 0, 0, 0, 0, 0, 6.31476e-12, 0, 0, 4.92769e-14, 6.17862e-13, 0, 9.54413e-10, 0, 0
0.262601, 0, 1.42478e-09, 0, 1.41421, -1.42478e-09, 0, 0, 0, 0, 0, 0, 9.36046e-12, 0, 0, 7.55635e-14, 9.61323e-13, 0, 1.41438e-09, 0, 0
0.269999, 0, 2.09914e-09, 0, 1.41421, -2.09914e-09, 0, 0, 0, 0, 0, 0, 1.37946e-11, 0, 0, 1.1544e-13, 1.48944e-12, 0, 2.08374e-09, 0, 0
0.277397, 0, 3.07468e-09, 7.73517e-43, 1.41421, -3.07468e-09, 0, 7.73517e-43, 7.73517e-43, 7.73517e-43, 7.73517e-43, 7.73517e-43, 2.02121e-11, 7.73517e-43, 7.73517e-43, 1.75754e-13, 2.29834e-12, 7.73517e-43, 3.052e-09, 7.73517e-43, 7.73517e-43
0.284795, 0, 4.4776e-09, 1.18466e-41, 1.41421, -4.4776e-09, 0, 1.18466e-41, 1.18466e-41, 1.18466e-41, 1.18466e-41, 1.18466e-41, 2.94463e-11, 1.18466e-41, 1.18466e-41, 2.66752e-13, 3.5328e-12, 1.18466e-41, 4.44435e-09, 1.18466e-41, 1.18466e-41
0.292193, 0, 6.48327e-09, 1.52935e-40, 1.41421, -6.48327e-09, 0, 1.52935e-40, 1.52935e-40, 1.52935e-40, 1.52935e-40, 1.52935e-40, 4.26569e-11, 1.52935e-40, 1.52935e-40, 4.03753e-13, 5.41015e-12, 1.52935e-40, 6.4348e-09, 1.52935e-40, 1.52935e-40
0.299591, 0, 9.33397e-09, 1.76461e-39, 1.41421, -9.33397e-09, 0, 1.76461e-39, 1.76461e-39, 1.76461e-39, 1.76461e-39, 1.76461e-39, 6.14488e-11, 1.76461e-39, 1.76461e-39, 6.09654e-13, 8.25587e-12, 1.76461e-39, 9.26366e-09, 1.76461e-39, 1.76461e-39
0.306989, 0, 1.33623e-08, 1.84349e-38, 1.41421, -1.33623e-08, 0, 1.84349e-38, 1.84349e-38, 1.84349e-38, 1.84349e-38, 1.84349e-38, 8.80296e-11, 1.84349e-38, 1.84349e-38, 9.187e-13, 1.25562e-11, 1.84349e-38, 1.32608e-08, 1.84349e-38, 1.84349e-38
0.314387, 0, 1.90222e-08, 1.75534e-37, 1.41421, -1.90222e-08, 0, 1.75534e-37, 1.75534e-37, 1.75534e-37, 1.75534e-37, 1.75534e-37, 1.25419e-10, 1.75534e-37, 1.75534e-37, 1.38212e-12, 1.90358e-11, 1.75534e-37, 1.88764e-08, 1.75534e-37, 1.75534e-37
0.321784, 0, 2.69291e-08, 1.5302e-36, 1.41421, -2.69291e-08, 0, 1.5302e-36, 1.5302e-36, 1.5302e-36, 1.5302e-36, 1.5302e-36, 1.77723e-10, 1.5302e-36, 1.5302e-36, 2.0766e-12, 2.87728e-11, 1.5302e-36, 2.67206e-08, 1.5302e-36, 1.5302e-36
0.329182, 0, 3.79131e-08, 1.22694e-35, 1.41421, -3.79131e-08, 0, 1.22694e-35, 1.22694e-35, 1.22694e-35, 1.22694e-35, 1.22694e-35, 2.50498e-10, 1.22694e-35, 1.22694e-35, 3.11705e-12, 4.33676e-11, 1.22694e-35, 3.76161e-08, 1.22694e-35, 1.22694e-35
0.33658, 0, 5.30863e-08, 9.08739e-35, 1.41421, -5.30863e-08, 0, 9.08739e-35, 9.08739e-35, 9.08739e-35, 9.08739e-35, 9.08739e-35, 3.51214e-10, 9.08739e-35, 9.08739e-35, 4.6757e-12, 6.51913e-11, 9.08739e-35, 5.26652e-08, 9.08739e-35, 9.08739e-35
0.343978, 0, 7.39305e-08, 6.24271e-34, 1.41421, -7.39305e-08, 0, 6.24271e-34, 6.24271e-34, 6.24271e-34, 6.24271e-34, 6.24271e-34, 4.89872e-10, 6.24271e-34, 6.24271e-34, 7.01088e-12, 9.77511e-11, 6.24271e-34, 7.33359e-08, 6.24271e-34, 6.24271e-34
0.351376, 0, 1.02409e-07, 3.99296e-33, 1.41421, -1.02409e-07, 0, 3.99296e-33, 3.99296e-33, 3.99296e-33, 3.99296e-33, 3.99296e-33, 6.7978e-10, 3.99296e-33, 3.99296e-33, 1.05101e-11, 1.46222e-10, 3.99296e-33, 1.01572e-07, 3.99296e-33, 3.99296e-33
0.358774, 0, 1.4111e-07, 7.26967e-32, 1.41421, -1.4111e-07, 0, 7.26967e-32, 7.26967e-32, 7.26967e-32, 7.26967e-32, 7.26967e-32, 9.38608e-10, 7.26967e-32, 7.26967e-32, 1.57738e-11, 2.18385e-10, 7.26967e-32, 1.39937e-07, 7.26967e-32, 7.26967e-32
0.366172, 0, 1.93412e-07, 4.20149e-31, 1.41421, -1.93412e-07, 0, 4.20149e-31, 4.20149e-31, 4.20149e-31, 4.20149e-31, 4.20149e-31, 1.28953e-09, 4.20149e-31, 4.20149e-31, 2.36429e-11, 3.25184e-10, 4.20149e-31, 1.91774e-07, 4.20149e-31, 4.20149e-31
