   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_20.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0152063, 248, 0, 0, 15.8114, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0230794, 290, 0, 0, 17.088, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0309525, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0388257, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0466988, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.054572, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0624451, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0703183, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0781914, 0, 1.14088e-28, 0, 1.41421, -1.14088e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09217e-31, 0, 0, 3.9098e-34, 1.20968e-34, 0, 1.13878e-28, 0, 0
0.0860646, 0, 1.24148e-27, 0, 1.41421, -1.24148e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27662e-30, 0, 0, 4.25449e-33, 2.17351e-32, 0, 1.23918e-27, 0, 0
0.0939377, 0, 8.47934e-27, 0, 1.41421, -8.47934e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55492e-29, 0, 0, 2.9058e-32, 2.32013e-31, 0, 8.46353e-27, 0, 0
0.101811, 0, 4.62903e-26, 0, 1.41421, -4.62903e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.48854e-29, 0, 0, 1.58709e-31, 1.5767e-30, 0, 4.62037e-26, 0, 0
0.109684, 0, 2.20102e-25, 0, 1.41421, -2.20102e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03613e-28, 0, 0, 7.56145e-31, 8.58976e-30, 0, 2.19689e-25, 0, 0
0.117557, 0, 9.49882e-25, 0, 1.41421, -9.49882e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74184e-27, 0, 0, 3.2742e-30, 4.07936e-29, 0, 9.48096e-25, 0, 0
0.12543, 0, 3.8079e-24, 0, 1.41421, -3.8079e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9827e-27, 0, 0, 1.31823e-29, 1.75888e-28, 0, 3.80073e-24, 0, 0
0.133303, 0, 1.43857e-23, 0, 1.41421, -1.43857e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63795e-26, 0, 0, 5.00477e-29, 7.04676e-28, 0, 1.43585e-23, 0, 0
0.141177, 0, 5.17124e-23, 0, 1.41421, -5.17124e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48267e-26, 0, 0, 1.80885e-28, 2.6612e-27, 0, 5.16148e-23, 0, 0
0.14905, 0, 1.78094e-22, 0, 1.41421, -1.78094e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26576e-25, 0, 0, 6.2657e-28, 9.56457e-27, 0, 1.77757e-22, 0, 0
0.156923, 0, 5.90594e-22, 0, 1.41421, -5.90594e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08299e-24, 0, 0, 2.09056e-27, 3.29386e-26, 0, 5.89476e-22, 0, 0
0.164796, 0, 1.89323e-21, 0, 1.41421, -1.89323e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47166e-24, 0, 0, 6.7447e-27, 1.09243e-25, 0, 1.88965e-21, 0, 0
0.172669, 0, 5.8847e-21, 0, 1.41421, -5.8847e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07909e-23, 0, 0, 2.11055e-26, 3.50278e-25, 0, 5.87354e-21, 0, 0
