   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_8.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.10886, 236, 0, 0, 15.4272, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.100598, 278, 0, 0, 16.7332, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0923361, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0840743, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0758125, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0675508, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.059289, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0510273, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0427655, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0345037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.026242, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0179802, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00971845, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00145668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00680507, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0150668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0233286, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0315904, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0398521, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0481139, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0563756, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0646374, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0728992, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0811609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0894227, 0, 1.99644e-28, 0, 1.41421, -1.99644e-28, 0, 0, 0, 0, 0, 0, 0, 4.80909e-31, 0, 9.85675e-34, 9.03581e-34, 0, 1.99161e-28, 0, 0
0.0976845, 0, 2.22094e-27, 0, 1.41421, -2.22094e-27, 0, 0, 0, 0, 0, 0, 0, 5.34932e-30, 0, 1.0964e-32, 2.37967e-31, 0, 2.21534e-27, 0, 0
0.105946, 0, 1.55216e-26, 0, 1.41421, -1.55216e-26, 0, 0, 0, 0, 0, 0, 0, 3.73828e-29, 0, 7.66201e-32, 2.54184e-30, 0, 1.54815e-26, 0, 0
0.114208, 0, 8.67352e-26, 0, 1.41421, -8.67352e-26, 0, 0, 0, 0, 0, 0, 0, 2.08889e-28, 0, 4.29393e-31, 1.74127e-29, 0, 8.65084e-26, 0, 0
0.12247, 0, 4.22143e-25, 0, 1.41421, -4.22143e-25, 0, 0, 0, 0, 0, 0, 0, 1.01664e-27, 0, 2.10166e-30, 9.60812e-29, 0, 4.21028e-25, 0, 0
0.130731, 0, 1.86439e-24, 0, 1.41421, -1.86439e-24, 0, 0, 0, 0, 0, 0, 0, 4.48989e-27, 0, 9.35019e-30, 4.63379e-28, 0, 1.85942e-24, 0, 0
0.138993, 0, 7.64594e-24, 0, 1.41421, -7.64594e-24, 0, 0, 0, 0, 0, 0, 0, 1.8413e-26, 0, 3.86645e-29, 2.03223e-27, 0, 7.62546e-24, 0, 0
0.147255, 0, 2.95372e-23, 0, 1.41421, -2.95372e-23, 0, 0, 0, 0, 0, 0, 0, 7.11305e-26, 0, 1.50693e-28, 8.28794e-27, 0, 2.94576e-23, 0, 0
0.155517, 0, 1.09759e-22, 0, 1.41421, -1.09759e-22, 0, 0, 0, 0, 0, 0, 0, 2.64315e-25, 0, 5.66302e-28, 3.24043e-26, 0, 1.09462e-22, 0, 0
0.163779, 0, 3.88903e-22, 0, 1.41421, -3.88903e-22, 0, 0, 0, 0, 0, 0, 0, 9.36516e-25, 0, 2.02844e-27, 1.19754e-25, 0, 3.87844e-22, 0, 0
0.17204, 0, 1.32275e-21, 0, 1.41421, -1.32275e-21, 0, 0, 0, 0, 0, 0, 0, 3.18527e-24, 0, 6.97333e-27, 4.22323e-25, 0, 1.31913e-21, 0, 0
