   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_19.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00460084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00327936, 0, 2.53806e-13, 0, 1.41421, -2.53806e-13, 0, 0, 0, 0, 0, 0, 0, 9.33318e-16, 0, 0, 4.0749e-18, 1.0113e-16, 0, 2.52767e-13, 0, 0
0.0111596, 0, 4.08049e-13, 0, 1.41421, -4.08049e-13, 0, 0, 0, 0, 0, 0, 0, 1.50049e-15, 0, 0, 6.69209e-18, 1.68354e-16, 0, 4.06373e-13, 0, 0
0.0190398, 0, 6.52166e-13, 0, 1.41421, -6.52166e-13, 0, 0, 0, 0, 0, 0, 0, 2.39813e-15, 0, 0, 1.0927e-17, 2.78726e-16, 0, 6.49478e-13, 0, 0
0.0269199, 0, 1.03626e-12, 0, 1.41421, -1.03626e-12, 0, 0, 0, 0, 0, 0, 0, 3.81043e-15, 0, 0, 1.77404e-17, 4.58953e-16, 0, 1.03197e-12, 0, 0
0.0348001, 0, 1.63706e-12, 0, 1.41421, -1.63706e-12, 0, 0, 0, 0, 0, 0, 0, 6.01956e-15, 0, 0, 2.86411e-17, 7.51655e-16, 0, 1.63026e-12, 0, 0
0.0426803, 0, 2.57141e-12, 0, 1.41421, -2.57141e-12, 0, 0, 0, 0, 0, 0, 0, 9.45509e-15, 0, 0, 4.59843e-17, 1.22448e-15, 0, 2.56068e-12, 0, 0
0.0505605, 0, 4.01618e-12, 0, 1.41421, -4.01618e-12, 0, 0, 0, 0, 0, 0, 0, 1.47673e-14, 0, 0, 7.34272e-17, 1.98421e-15, 0, 3.99936e-12, 0, 0
0.0584407, 0, 6.23753e-12, 0, 1.41421, -6.23753e-12, 0, 0, 0, 0, 0, 0, 0, 2.29348e-14, 0, 0, 1.16619e-16, 3.19871e-15, 0, 6.21128e-12, 0, 0
0.0663209, 0, 9.63363e-12, 0, 1.41421, -9.63363e-12, 0, 0, 0, 0, 0, 0, 0, 3.54216e-14, 0, 0, 1.84238e-16, 5.13002e-15, 0, 9.5929e-12, 0, 0
