   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_23.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.050342, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0422361, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0341301, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260241, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0179181, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00981215, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00170618, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00639979, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0145058, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0226117, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0307177, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0388237, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0469297, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0550356, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0631416, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0712476, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0793536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0874595, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0955655, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.103671, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.111777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.119883, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.127989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.136095, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.144201, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.152307, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.160413, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.168519, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.176625, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.184731, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.192837, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.200943, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.209049, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.217155, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.225261, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.233367, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.241473, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.249579, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.257685, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.265791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.273897, 0, 4.90098e-28, 0, 1.41421, -4.90098e-28, 0, 0, 0, 0, 0, 0, 0, 0, 1.85061e-30, 0, 0, 2.44071e-33, 1.28543e-33, 4.88244e-28, 0, 0
0.282003, 0, 1.33745e-26, 0, 1.41421, -1.33745e-26, 0, 0, 0, 0, 0, 0, 0, 0, 5.05002e-29, 0, 0, 6.66032e-32, 5.33145e-31, 1.33234e-26, 0, 0
0.290109, 0, 2.43592e-25, 0, 1.41421, -2.43592e-25, 0, 0, 0, 0, 0, 0, 0, 0, 9.19741e-28, 0, 0, 1.21448e-30, 1.63542e-29, 2.42655e-25, 0, 0
0.298215, 0, 4.06979e-24, 0, 1.41421, -4.06979e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.53662e-26, 0, 0, 2.03586e-29, 3.52294e-28, 4.05405e-24, 0, 0
0.306321, 0, 3.68286e-23, 0, 1.41421, -3.68286e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.39052e-25, 0, 0, 1.84644e-28, 3.45844e-27, 3.66859e-23, 0, 0
0.314427, 0, 2.92172e-22, 0, 1.41421, -2.92172e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.10313e-24, 0, 0, 1.46869e-27, 2.93096e-26, 2.91038e-22, 0, 0
0.322533, 0, 2.07472e-21, 0, 1.41421, -2.07472e-21, 0, 0, 0, 0, 0, 0, 0, 0, 7.83329e-24, 0, 0, 1.04611e-26, 2.20266e-25, 2.06665e-21, 0, 0
0.330639, 0, 1.33829e-20, 0, 1.41421, -1.33829e-20, 0, 0, 0, 0, 0, 0, 0, 0, 5.05283e-23, 0, 0, 6.7717e-26, 1.49439e-24, 1.33308e-20, 0, 0
0.338745, 0, 7.94259e-20, 0, 1.41421, -7.94259e-20, 0, 0, 0, 0, 0, 0, 0, 0, 2.99877e-22, 0, 0, 4.03621e-25, 9.29915e-24, 7.91163e-20, 0, 0
0.346851, 0, 4.61108e-19, 0, 1.41421, -4.61108e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.74093e-21, 0, 0, 2.35905e-24, 5.70948e-23, 4.59307e-19, 0, 0
0.354957, 0, 2.34328e-18, 0, 1.41421, -2.34328e-18, 0, 0, 0, 0, 0, 0, 0, 0, 8.84707e-21, 0, 0, 1.20536e-23, 3.01739e-22, 2.33412e-18, 0, 0
0.363063, 0, 1.11768e-17, 0, 1.41421, -1.11768e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.21979e-20, 0, 0, 5.78404e-23, 1.49388e-21, 1.1133e-17, 0, 0
0.371169, 0, 5.02342e-17, 0, 1.41421, -5.02342e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.89658e-19, 0, 0, 2.61706e-22, 6.95811e-21, 5.00373e-17, 0, 0
0.379275, 0, 2.13463e-16, 0, 1.41421, -2.13463e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.05919e-19, 0, 0, 1.1203e-21, 3.05998e-20, 2.12625e-16, 0, 0
0.387381, 0, 8.60114e-16, 0, 1.41421, -8.60114e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.24729e-18, 0, 0, 4.55084e-21, 1.27463e-19, 8.56735e-16, 0, 0
0.395487, 0, 3.32858e-15, 0, 1.41421, -3.32858e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.25666e-17, 0, 0, 1.77904e-20, 5.11042e-19, 3.31548e-15, 0, 0
0.403593, 0, 1.21313e-14, 0, 1.41421, -1.21313e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.57994e-17, 0, 0, 6.54774e-20, 1.92183e-18, 1.20835e-14, 0, 0
0.411699, 0, 4.22302e-14, 0, 1.41421, -4.22302e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.59428e-16, 0, 0, 2.30401e-19, 6.90006e-18, 4.20636e-14, 0, 0
0.419804, 0, 1.40676e-13, 0, 1.41421, -1.40676e-13, 0, 0, 0, 0, 0, 0, 0, 0, 5.31064e-16, 0, 0, 7.76643e-19, 2.37004e-17, 1.4012e-13, 0, 0
0.42791, 0, 4.49208e-13, 0, 1.41421, -4.49208e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.69573e-15, 0, 0, 2.51241e-18, 7.80249e-17, 4.47432e-13, 0, 0
0.436016, 0, 1.37714e-12, 0, 1.41421, -1.37714e-12, 0, 0, 0, 0, 0, 0, 0, 0, 5.19832e-15, 0, 0, 7.81338e-18, 2.46612e-16, 1.37169e-12, 0, 0
0.444122, 0, 4.06517e-12, 5.35296e-42, 1.41421, -4.06517e-12, 5.35296e-42, 0, 5.35296e-42, 5.35296e-42, 5.35296e-42, 5.35296e-42, 5.35296e-42, 5.35296e-42, 1.53438e-14, 5.35296e-42, 5.35296e-42, 2.34471e-17, 7.51174e-16, 4.04906e-12, 5.35296e-42, 5.35296e-42
0.452228, 0, 1.15323e-11, 1.10314e-40, 1.41421, -1.15323e-11, 1.10314e-40, 0, 1.10314e-40, 1.10314e-40, 1.10314e-40, 1.10314e-40, 1.10314e-40, 1.10314e-40, 4.35246e-14, 1.10314e-40, 1.10314e-40, 6.7699e-17, 2.19765e-15, 1.14865e-11, 1.10314e-40, 1.10314e-40
0.460334, 0, 3.15347e-11, 1.94585e-39, 1.41421, -3.15347e-11, 1.94585e-39, 0, 1.94585e-39, 1.94585e-39, 1.94585e-39, 1.94585e-39, 1.94585e-39, 1.94585e-39, 1.19008e-13, 1.94585e-39, 1.94585e-39, 1.88827e-16, 6.20009e-15, 3.14093e-11, 1.94585e-39, 1.94585e-39
0.46844, 0, 8.32123e-11, 3.02433e-38, 1.41421, -8.32123e-11, 3.02433e-38, 0, 3.02433e-38, 3.02433e-38, 3.02433e-38, 3.02433e-38, 3.02433e-38, 3.02433e-38, 3.14007e-13, 3.02433e-38, 3.02433e-38, 5.09653e-16, 1.68896e-14, 8.28809e-11, 3.02433e-38, 3.02433e-38
0.476546, 0, 2.12122e-10, 4.19018e-37, 1.41421, -2.12122e-10, 4.19018e-37, 0, 4.19018e-37, 4.19018e-37, 4.19018e-37, 4.19018e-37, 4.19018e-37, 4.19018e-37, 8.00411e-13, 4.19018e-37, 4.19018e-37, 1.33372e-15, 4.44833e-14, 2.11276e-10, 4.19018e-37, 4.19018e-37
0.484652, 0, 5.22889e-10, 5.21215e-36, 1.41421, -5.22889e-10, 5.21215e-36, 0, 5.21215e-36, 5.21215e-36, 5.21215e-36, 5.21215e-36, 5.21215e-36, 5.21215e-36, 1.97303e-12, 5.21215e-36, 5.21215e-36, 3.39147e-15, 1.13421e-13, 5.20799e-10, 5.21215e-36, 5.21215e-36
0.492758, 0, 1.24764e-09, 5.85782e-35, 1.41421, -1.24764e-09, 5.85782e-35, 0, 5.85782e-35, 5.85782e-35, 5.85782e-35, 5.85782e-35, 5.85782e-35, 5.85782e-35, 4.70817e-12, 5.85782e-35, 5.85782e-35, 8.40238e-15, 2.80365e-13, 1.24264e-09, 5.85782e-35, 5.85782e-35
0.500864, 0, 2.88461e-09, 1.10613e-33, 1.41421, -2.88461e-09, 1.10613e-33, 0, 1.10613e-33, 1.10613e-33, 1.10613e-33, 1.10613e-33, 1.10613e-33, 1.10613e-33, 1.08884e-11, 1.10613e-33, 1.10613e-33, 2.03737e-14, 6.73304e-13, 2.87302e-09, 1.10613e-33, 1.10613e-33
0.50897, 0, 6.46635e-09, 1.00355e-32, 1.41421, -6.46635e-09, 1.00355e-32, 0, 1.00355e-32, 1.00355e-32, 1.00355e-32, 1.00355e-32, 1.00355e-32, 1.00355e-32, 2.44199e-11, 1.00355e-32, 1.00355e-32, 4.84003e-14, 1.57197e-12, 6.44031e-09, 1.00355e-32, 1.00355e-32
0.517076, 0, 1.40689e-08, 8.70326e-32, 1.41421, -1.40689e-08, 8.70326e-32, 0, 8.70326e-32, 8.70326e-32, 8.70326e-32, 8.70326e-32, 8.70326e-32, 8.70326e-32, 5.31746e-11, 8.70326e-32, 8.70326e-32, 1.13247e-13, 3.5775e-12, 1.4012e-08, 8.70326e-32, 8.70326e-32
0.525182, 0, 2.97342e-08, 7.09675e-31, 1.41421, -2.97342e-08, 7.09675e-31, 0, 7.09675e-31, 7.09675e-31, 7.09675e-31, 7.09675e-31, 7.09675e-31, 7.09675e-31, 1.12533e-10, 7.09675e-31, 7.09675e-31, 2.62074e-13, 7.95691e-12, 2.96134e-08, 7.09675e-31, 7.09675e-31
0.533288, 0, 6.10962e-08, 5.40213e-30, 1.41421, -6.10962e-08, 5.40213e-30, 0, 5.40213e-30, 5.40213e-30, 5.40213e-30, 5.40213e-30, 5.40213e-30, 5.40213e-30, 2.31696e-10, 5.40213e-30, 5.40213e-30, 6.02185e-13, 1.73516e-11, 6.08465e-08, 5.40213e-30, 5.40213e-30
0.541394, 0, 1.22148e-07, 3.8322e-29, 1.41421, -1.22148e-07, 3.8322e-29, 0, 3.8322e-29, 3.8322e-29, 3.8322e-29, 3.8322e-29, 3.8322e-29, 3.8322e-29, 4.646e-10, 3.8322e-29, 3.8322e-29, 1.37791e-12, 3.72457e-11, 1.21645e-07, 3.8322e-29, 3.8322e-29
0.5495, 0, 2.37813e-07, 2.5362e-28, 1.41421, -2.37813e-07, 2.5362e-28, 0, 2.5362e-28, 2.5362e-28, 2.5362e-28, 2.5362e-28, 2.5362e-28, 2.5362e-28, 9.0833e-10, 2.5362e-28, 2.5362e-28, 3.14436e-12, 7.90651e-11, 2.36823e-07, 2.5362e-28, 2.5362e-28
0.557606, 0, 4.51254e-07, 2.08476e-27, 1.41421, -4.51254e-07, 2.08476e-27, 0, 2.08476e-27, 2.08476e-27, 2.08476e-27, 2.08476e-27, 2.08476e-27, 2.08476e-27, 1.7335e-09, 2.08476e-27, 2.08476e-27, 7.15811e-12, 1.66986e-10, 4.49347e-07, 2.08476e-27, 2.08476e-27
0.565712, 0, 8.35184e-07, 1.17365e-26, 1.41421, -8.35184e-07, 1.17365e-26, 0, 1.17365e-26, 1.17365e-26, 1.17365e-26, 1.17365e-26, 1.17365e-26, 1.17365e-26, 3.23303e-09, 1.17365e-26, 1.17365e-26, 1.62044e-11, 3.52081e-10, 8.31582e-07, 1.17365e-26, 1.17365e-26
0.573818, 0, 1.50898e-06, 6.2323e-26, 1.41421, -1.50898e-06, 6.2323e-26, 0, 6.2323e-26, 6.2323e-26, 6.2323e-26, 6.2323e-26, 6.2323e-26, 6.2323e-26, 5.89979e-09, 6.2323e-26, 6.2323e-26, 3.63897e-11, 7.44831e-10, 1.5023e-06, 6.2323e-26, 6.2323e-26
0.581924, 0, 2.66367e-06, 3.13039e-25, 1.41421, -2.66367e-06, 3.13039e-25, 0, 3.13039e-25, 3.13039e-25, 3.13039e-25, 3.13039e-25, 3.13039e-25, 3.13039e-25, 1.0547e-08, 3.13039e-25, 3.13039e-25, 8.07715e-11, 1.58484e-09, 2.65146e-06, 3.13039e-25, 3.13039e-25
0.59003, 0, 4.59757e-06, 1.4912e-24, 1.41421, -4.59757e-06, 1.4912e-24, 0, 1.4912e-24, 1.4912e-24, 1.4912e-24, 1.4912e-24, 1.4912e-24, 1.4912e-24, 1.84923e-08, 1.4912e-24, 1.4912e-24, 1.7657e-10, 3.3918e-09, 4.57551e-06, 1.4912e-24, 1.4912e-24
0.598136, 0, 7.76562e-06, 6.75961e-24, 1.41421, -7.76562e-06, 6.75961e-24, 0, 6.75961e-24, 6.75961e-24, 6.75961e-24, 6.75961e-24, 6.75961e-24, 6.75961e-24, 3.18339e-08, 6.75961e-24, 6.75961e-24, 3.78975e-10, 7.28342e-09, 7.72612e-06, 6.75961e-24, 6.75961e-24
0.606242, 0, 1.285e-05, 2.93313e-23, 1.41421, -1.285e-05, 3.50142e-10, 0, 4.21962e-13, 8.43462e-13, 3.79455e-12, 1.05838e-10, 2.20651e-11, 3.91989e-10, 5.38589e-08, 1.36828e-11, 4.67342e-13, 7.96696e-10, 1.56256e-08, 1.27774e-05, 2.93313e-23, 1.38334e-09
0.614348, 0, 2.08948e-05, 4.3689e-08, 1.41421, -2.08948e-05, 4.57696e-08, 4.3689e-08, 4.36915e-08, 4.3694e-08, 4.37115e-08, 4.43179e-08, 4.38201e-08, 4.60183e-08, 1.33316e-07, 4.37703e-08, 4.36917e-08, 4.53271e-08, 7.70104e-08, 2.07567e-05, 4.3689e-08, 5.19092e-08
0.622454, 0, 3.34257e-05, 2.03737e-07, 1.41421, -3.34257e-05, 2.12533e-07, 2.03737e-07, 2.03748e-07, 2.03759e-07, 2.03833e-07, 2.06396e-07, 2.04292e-07, 2.13584e-07, 3.50533e-07, 2.04081e-07, 2.03749e-07, 2.07028e-07, 2.73979e-07, 3.31483e-05, 2.03737e-07, 2.38487e-07
0.63056, 0, 5.29365e-05, 8.46721e-07, 1.41421, -5.29365e-05, 8.80741e-07, 8.46721e-07, 8.46762e-07, 8.46803e-07, 8.4709e-07, 8.57005e-07, 8.48865e-07, 8.84807e-07, 1.08347e-06, 8.48051e-07, 8.46767e-07, 8.53176e-07, 9.92444e-07, 5.23268e-05, 8.46721e-07, 9.81128e-07
0.638666, 0, 8.38844e-05, 3.22343e-06, 1.41421, -8.38844e-05, 3.34487e-06, 3.22343e-06, 3.22358e-06, 3.22373e-06, 3.22475e-06, 3.26014e-06, 3.23109e-06, 3.35938e-06, 3.59954e-06, 3.22818e-06, 3.2236e-06, 3.23581e-06, 3.52009e-06, 8.24111e-05, 3.22343e-06, 3.7032e-06
0.646772, 0, 0.000135427, 1.13377e-05, 1.41421, -0.000135427, 1.17394e-05, 1.13377e-05, 1.13382e-05, 1.13387e-05, 1.13421e-05, 1.14591e-05, 1.1363e-05, 1.17875e-05, 1.19265e-05, 1.13534e-05, 1.13383e-05, 1.13609e-05, 1.19283e-05, 0.000131617, 1.13377e-05, 1.29248e-05
0.654878, 0, 0.000228408, 3.69954e-05, 1.41421, -0.000228408, 3.82307e-05, 3.69954e-05, 3.69969e-05, 3.69984e-05, 3.70088e-05, 3.73688e-05, 3.70732e-05, 3.83783e-05, 3.79039e-05, 3.70437e-05, 3.6997e-05, 3.70379e-05, 3.81441e-05, 0.00021829, 3.69954e-05, 4.18758e-05
0.662984, 0, 0.000412148, 0.000112324, 1.41421, -0.000412148, 0.000115864, 0.000112324, 0.000112328, 0.000112332, 0.000112362, 0.000113394, 0.000112547, 0.000116287, 0.000113707, 0.000112462, 0.000112328, 0.0001124, 0.000114506, 0.000385529, 0.000112324, 0.00012631
0.67109, 0.973932, 0.000801685, 0.000318122, 1.72451, 0.97313, 0.000327601, 0.000318122, 0.000318134, 0.000318145, 0.000318225, 0.000320988, 0.00031872, 0.000328734, 0.000320201, 0.000318493, 0.000318135, 0.000318258, 0.000322174, 0.0007339, 0.000318122, 0.00035557
0.679196, 0.0260684, 0.0016536, 0.000842482, 1.4234, 0.0244148, 0.000866247, 0.000842482, 0.00084251, 0.000842539, 0.000842739, 0.000849665, 0.000843979, 0.000869087, 0.000845569, 0.000843411, 0.000842514, 0.000842718, 0.00084985, 0.00148867, 0.000842482, 0.000936373
0.687302, 0, 0.0035069, 0.002091, 1.41421, -0.0035069, 0.00214693, 0.002091, 0.00209107, 0.00209114, 0.00209161, 0.00210791, 0.00209453, 0.00215361, 0.00209554, 0.00209319, 0.00209108, 0.00209141, 0.00210417, 0.00312581, 0.002091, 0.00231195
0.695408, 0, 0.00742049, 0.00487465, 1.41421, -0.00742049, 0.00499844, 0.00487465, 0.0048748, 0.00487495, 0.00487599, 0.00491207, 0.00488245, 0.00501324, 0.00488127, 0.00487948, 0.00487481, 0.00487534, 0.00489783, 0.0065865, 0.00487465, 0.00536374
0.703514, 0, 0.0153335, 0.0106971, 1.41421, -0.0153335, 0.0109555, 0.0106971, 0.0106974, 0.0106978, 0.0106999, 0.0107752, 0.0107134, 0.0109864, 0.0107067, 0.0107072, 0.0106975, 0.0106983, 0.0107375, 0.0136056, 0.0106971, 0.0117178
0.71162, 0, 0.0305488, 0.0221438, 1.41421, -0.0305488, 0.0226531, 0.0221438, 0.0221444, 0.022145, 0.0221493, 0.0222977, 0.0221759, 0.0227139, 0.0221576, 0.0221637, 0.0221445, 0.0221457, 0.0222136, 0.0271577, 0.0221438, 0.0241559
0.719726, 1, 0.0582884, 0.0433308, 1.73205, 0.941712, 0.0442813, 0.0433308, 0.0433319, 0.043333, 0.0433411, 0.0436181, 0.0433907, 0.0443949, 0.0433504, 0.0433679, 0.043332, 0.0433339, 0.0434504, 0.0519762, 0.0433308, 0.0470863
0.727832, 1.95705, 0.106198, 0.0803153, 1.98923, 1.85085, 0.0819985, 0.0803153, 0.0803173, 0.0803193, 0.0803335, 0.0808241, 0.0804213, 0.0821996, 0.0803431, 0.080381, 0.0803175, 0.0803204, 0.0805188, 0.0950364, 0.0803153, 0.0869653
0.735937, 0.0429516, 0.184598, 0.141301, 1.42932, -0.141647, 0.144135, 0.141301, 0.141305, 0.141308, 0.141332, 0.142158, 0.14148, 0.144474, 0.14134, 0.141412, 0.141305, 0.14131, 0.141643, 0.165818, 0.141301, 0.152496
0.744043, 1.90446, 0.306246, 0.23644, 1.97597, 1.59822, 0.240985, 0.23644, 0.236446, 0.236451, 0.236489, 0.237814, 0.236727, 0.241528, 0.236494, 0.236618, 0.236446, 0.236453, 0.237004, 0.276119, 0.23644, 0.254394
0.752149, 0.0955376, 0.485401, 0.377062, 1.4476, -0.389864, 0.384021, 0.377062, 0.377071, 0.377079, 0.377138, 0.379166, 0.377501, 0.384852, 0.377135, 0.377334, 0.377072, 0.377083, 0.377973, 0.439234, 0.377062, 0.404554
0.760255, 0, 0.736124, 0.574265, 1.41421, -0.736124, 0.584459, 0.574265, 0.574278, 0.57429, 0.574376, 0.577347, 0.574908, 0.585678, 0.574362, 0.574664, 0.574279, 0.574298, 0.575693, 0.668404, 0.574265, 0.61454
0.768361, 2.89, 1.06998, 0.837002, 2.21133, 1.82001, 0.851322, 0.837002, 0.837019, 0.837037, 0.837157, 0.841331, 0.837905, 0.853033, 0.837128, 0.837562, 0.837021, 0.837052, 0.839172, 0.974698, 0.837002, 0.893576
0.776467, 1.99517, 1.49359, 1.16999, 1.99879, 0.501578, 1.18932, 1.16999, 1.17001, 1.17003, 1.17019, 1.17583, 1.1712, 1.19163, 1.17015, 1.17074, 1.17001, 1.17006, 1.17317, 1.3647, 1.16999, 1.24636
0.784573, 1.9952, 2.00656, 1.57188, 1.9988, -0.0113567, 1.59702, 1.57188, 1.57191, 1.57194, 1.57215, 1.57948, 1.57346, 1.60002, 1.57208, 1.57286, 1.57191, 1.57199, 1.57637, 1.83859, 1.57188, 1.6712
0.792679, 2.99517, 2.60067, 2.03434, 2.23499, 0.394494, 2.0659, 2.03434, 2.03438, 2.03441, 2.03468, 2.04388, 2.03633, 2.06967, 2.03458, 2.03557, 2.03438, 2.0345, 2.04044, 2.3893, 2.03434, 2.15905
0.800785, 2.05983, 3.26071, 2.54215, 2.0149, -1.20088, 2.58051, 2.54215, 2.54219, 2.54224, 2.54256, 2.55374, 2.54456, 2.58509, 2.54243, 2.54365, 2.5422, 2.54238, 2.55011, 3.00323, 2.54215, 2.69373
0.808891, 1.99758, 3.96717, 3.0747, 1.9994, -1.96959, 3.11995, 3.0747, 3.07476, 3.07481, 3.07519, 3.08838, 3.07755, 3.12536, 3.07503, 3.07647, 3.07476, 3.07502, 3.08467, 3.66282, 3.0747, 3.25352
0.816997, 3.85868, 4.7007, 3.60844, 2.42047, -0.842022, 3.66037, 3.60844, 3.6085, 3.60856, 3.609, 3.62414, 3.61171, 3.66658, 3.60881, 3.61047, 3.60851, 3.60887, 3.62044, 4.35069, 3.60844, 3.81375
0.825103, 3.1365, 5.44735, 4.11982, 2.26638, -2.31085, 4.17798, 4.11982, 4.11989, 4.11996, 4.12045, 4.1374, 4.12349, 4.18493, 4.12023, 4.12209, 4.1199, 4.12039, 4.13371, 5.0547, 4.11982, 4.34991
0.833209, 11.5519, 6.2038, 4.58821, 3.68129, 5.34808, 4.65193, 4.58821, 4.58828, 4.58836, 4.5889, 4.60747, 4.59222, 4.65955, 4.58866, 4.59069, 4.58829, 4.58894, 4.60366, 5.77286, 4.58821, 4.84068
