   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0559707, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0478372, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0397037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0315702, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234367, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153032, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00716977, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000963715, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0090972, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0172307, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0253642, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0334977, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0416311, 0, 1.13831e-28, 0, 1.41421, -1.13831e-28, 0, 0, 0, 0, 0, 0, 0, 0, 5.21874e-31, 0, 0, 5.24737e-34, 3.21005e-34, 0, 1.13308e-28, 0, 0
0.0497646, 0, 1.18567e-27, 0, 1.41421, -1.18567e-27, 0, 0, 0, 0, 0, 0, 0, 0, 5.43577e-30, 0, 0, 5.46559e-33, 2.88624e-32, 0, 1.1802e-27, 0, 0
0.0578981, 0, 7.76407e-27, 0, 1.41421, -7.76407e-27, 0, 0, 0, 0, 0, 0, 0, 0, 3.55942e-29, 0, 0, 3.57896e-32, 3.18211e-31, 0, 7.72813e-27, 0, 0
0.0660316, 0, 4.07046e-26, 0, 1.41421, -4.07046e-26, 0, 0, 0, 0, 0, 0, 0, 0, 1.86607e-28, 0, 0, 1.87631e-31, 2.17759e-30, 0, 4.05156e-26, 0, 0
0.0741651, 0, 1.86175e-25, 0, 1.41421, -1.86175e-25, 0, 0, 0, 0, 0, 0, 0, 0, 8.53496e-28, 0, 0, 8.58811e-31, 1.17794e-29, 0, 1.85309e-25, 0, 0
0.0822986, 0, 7.74139e-25, 0, 1.41421, -7.74139e-25, 0, 0, 0, 0, 0, 0, 0, 0, 3.54892e-27, 0, 0, 3.57708e-30, 5.51479e-29, 0, 7.70531e-25, 0, 0
0.0904321, 0, 2.99484e-24, 0, 1.41421, -2.99484e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.37293e-26, 0, 0, 1.38727e-29, 2.33536e-28, 0, 2.98086e-24, 0, 0
0.0985655, 0, 1.09351e-23, 0, 1.41421, -1.09351e-23, 0, 0, 0, 0, 0, 0, 0, 0, 5.01295e-26, 0, 0, 5.08091e-29, 9.1704e-28, 0, 1.0884e-23, 0, 0
0.106699, 0, 3.80476e-23, 0, 1.41421, -3.80476e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.7442e-25, 0, 0, 1.77407e-28, 3.39133e-27, 0, 3.78696e-23, 0, 0
0.114833, 0, 1.27009e-22, 0, 1.41421, -1.27009e-22, 0, 0, 0, 0, 0, 0, 0, 0, 5.82237e-25, 0, 0, 5.94504e-28, 1.1933e-26, 0, 1.26414e-22, 0, 0
0.122966, 0, 4.08802e-22, 0, 1.41421, -4.08802e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.87404e-24, 0, 0, 1.92152e-27, 4.02391e-26, 0, 4.06886e-22, 0, 0
0.131099, 0, 1.2736e-21, 0, 1.41421, -1.2736e-21, 0, 0, 0, 0, 0, 0, 0, 0, 5.83843e-24, 0, 0, 6.01313e-27, 1.30726e-25, 0, 1.26762e-21, 0, 0
0.139233, 0, 3.85217e-21, 0, 1.41421, -3.85217e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.7659e-23, 0, 0, 1.82737e-26, 4.10808e-25, 0, 3.83408e-21, 0, 0
0.147366, 0, 1.13393e-20, 0, 1.41421, -1.13393e-20, 0, 0, 0, 0, 0, 0, 0, 0, 5.19813e-23, 0, 0, 5.40608e-26, 1.25272e-24, 0, 1.1286e-20, 0, 0
0.1555, 0, 3.25941e-20, 0, 1.41421, -3.25941e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.49416e-22, 0, 0, 1.56267e-25, 3.72536e-24, 0, 3.24408e-20, 0, 0
