   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_21.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0500779, 1.6182, 0, 0, 1.90216, 1.6182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0419806, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0338833, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.025786, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0176888, 0.357696, 0, 0, 1.53548, 0.357696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00959148, 1.81874, 0, 0, 1.95416, 1.81874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00149421, 0.823563, 0, 0, 1.68035, 0.823563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00660306, 0, 1.27315e-11, 0, 1.41421, -1.27315e-11, 0, 0, 0, 0, 0, 0, 1.53872e-13, 0, 0, 4.75452e-16, 4.60806e-14, 0, 1.25311e-11, 0, 0
0.0147003, 0.338408, 1.89283e-11, 0, 1.52919, 0.338408, 0, 0, 0, 0, 0, 0, 2.28737e-13, 0, 0, 7.25094e-16, 7.12603e-14, 0, 1.86276e-11, 0, 0
0.0227976, 1.82839, 2.80006e-11, 0, 1.95663, 1.82839, 0, 0, 0, 0, 0, 0, 3.38324e-13, 0, 0, 1.1009e-15, 1.09665e-13, 0, 2.75515e-11, 0, 0
0.0308949, 0.997589, 4.12398e-11, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 4.98228e-13, 0, 0, 1.66744e-15, 1.68301e-13, 0, 4.05716e-11, 0, 0
0.0389922, 0.997589, 6.0401e-11, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 7.29628e-13, 0, 0, 2.50998e-15, 2.56506e-13, 0, 5.94124e-11, 0, 0
0.0470894, 0.997589, 8.80337e-11, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 1.06329e-12, 0, 0, 3.76282e-15, 3.89112e-13, 0, 8.65775e-11, 0, 0
0.0551867, 0.997589, 1.27687e-10, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 1.54206e-12, 0, 0, 5.6187e-15, 5.87541e-13, 0, 1.25552e-10, 0, 0
0.063284, 0.842851, 1.84311e-10, 0, 1.68608, 0.842851, 0, 0, 0, 0, 0, 0, 2.22567e-12, 0, 0, 8.35794e-15, 8.8311e-13, 0, 1.81194e-10, 0, 0
0.0713812, 0, 2.6478e-10, 0, 1.41421, -2.6478e-10, 0, 0, 0, 0, 0, 0, 3.19707e-12, 0, 0, 1.23871e-14, 1.32139e-12, 0, 2.60249e-10, 0, 0
0.0794785, 0, 3.7858e-10, 0, 1.41421, -3.7858e-10, 0, 0, 0, 0, 0, 0, 4.57078e-12, 0, 0, 1.82944e-14, 1.96839e-12, 0, 3.72022e-10, 0, 0
0.0875758, 0, 5.38752e-10, 0, 1.41421, -5.38752e-10, 0, 0, 0, 0, 0, 0, 6.50421e-12, 0, 0, 2.69288e-14, 2.91936e-12, 0, 5.29301e-10, 0, 0
0.0956731, 0, 7.63118e-10, 0, 1.41421, -7.63118e-10, 0, 0, 0, 0, 0, 0, 9.21257e-12, 0, 0, 3.95138e-14, 4.31108e-12, 0, 7.49555e-10, 0, 0
0.10377, 0.142685, 1.07593e-09, 0, 1.46379, 0.142685, 0, 0, 0, 0, 0, 0, 1.29887e-11, 0, 0, 5.78091e-14, 6.33925e-12, 0, 1.05654e-09, 0, 0
0.111868, 0.857315, 1.51e-09, 0, 1.69036, 0.857315, 0, 0, 0, 0, 0, 0, 1.82293e-11, 0, 0, 8.43428e-14, 9.28271e-12, 0, 1.4824e-09, 0, 0
0.119965, 0, 2.10954e-09, 0, 1.41421, -2.10954e-09, 0, 0, 0, 0, 0, 0, 2.54688e-11, 0, 0, 1.22743e-13, 1.35373e-11, 0, 2.07041e-09, 0, 0
0.128062, 0, 2.93383e-09, 0, 1.41421, -2.93383e-09, 0, 0, 0, 0, 0, 0, 3.54243e-11, 0, 0, 1.78216e-13, 1.96629e-11, 0, 2.87856e-09, 0, 0
0.136159, 0.133042, 4.0619e-09, 0, 1.46049, 0.133042, 0, 0, 0, 0, 0, 0, 4.90531e-11, 0, 0, 2.58219e-13, 2.84482e-11, 0, 3.98414e-09, 0, 0
0.144257, 0.866958, 5.59928e-09, 0, 1.69321, 0.866958, 0, 0, 0, 0, 0, 0, 6.76354e-11, 0, 0, 3.74081e-13, 4.1032e-11, 0, 5.49023e-09, 0, 0
0.152354, 0, 7.68368e-09, 0, 1.41421, -7.68368e-09, 0, 0, 0, 0, 0, 0, 9.28409e-11, 0, 0, 5.40137e-13, 5.89148e-11, 0, 7.53138e-09, 0, 0
0.160451, 0, 1.04979e-08, 0, 1.41421, -1.04979e-08, 0, 0, 0, 0, 0, 0, 1.26893e-10, 0, 0, 7.788e-13, 8.42833e-11, 0, 1.02859e-08, 0, 0
0.168549, 0, 1.42807e-08, 0, 1.41421, -1.42807e-08, 0, 0, 0, 0, 0, 0, 1.72699e-10, 0, 0, 1.12156e-12, 1.20148e-10, 0, 1.39867e-08, 0, 0
0.176646, 0, 1.9343e-08, 3.78351e-43, 1.41421, -1.9343e-08, 0, 3.78351e-43, 3.78351e-43, 3.78351e-43, 3.78351e-43, 3.78351e-43, 2.34054e-10, 3.78351e-43, 3.78351e-43, 1.61354e-12, 1.70684e-10, 3.78351e-43, 1.89366e-08, 3.78351e-43, 3.78351e-43
0.184743, 0, 2.60882e-08, 7.16344e-42, 1.41421, -2.60882e-08, 0, 7.16344e-42, 7.16344e-42, 7.16344e-42, 7.16344e-42, 7.16344e-42, 3.15893e-10, 7.16344e-42, 7.16344e-42, 2.31936e-12, 2.41667e-10, 7.16344e-42, 2.55283e-08, 7.16344e-42, 7.16344e-42
0.19284, 0, 3.5037e-08, 1.14761e-40, 1.41421, -3.5037e-08, 0, 1.14761e-40, 1.14761e-40, 1.14761e-40, 1.14761e-40, 1.14761e-40, 4.24606e-10, 1.14761e-40, 1.14761e-40, 3.33164e-12, 3.41062e-10, 1.14761e-40, 3.4268e-08, 1.14761e-40, 1.14761e-40
0.200938, 0, 4.68586e-08, 1.61983e-39, 1.41421, -4.68586e-08, 0, 1.61983e-39, 1.61983e-39, 1.61983e-39, 1.61983e-39, 1.61983e-39, 5.68432e-10, 1.61983e-39, 1.61983e-39, 4.78296e-12, 4.7983e-10, 1.61983e-39, 4.58056e-08, 1.61983e-39, 1.61983e-39
0.209035, 0, 6.24093e-08, 2.03658e-38, 1.41421, -6.24093e-08, 0, 2.03658e-38, 2.03658e-38, 2.03658e-38, 2.03658e-38, 2.03658e-38, 7.57951e-10, 2.03658e-38, 2.03658e-38, 6.86314e-12, 6.73012e-10, 2.03658e-38, 6.09715e-08, 2.03658e-38, 2.03658e-38
0.217132, 0, 8.278e-08, 2.29591e-37, 1.41421, -8.278e-08, 0, 2.29591e-37, 2.29591e-37, 2.29591e-37, 2.29591e-37, 2.29591e-37, 1.0067e-09, 2.29591e-37, 2.29591e-37, 9.84371e-12, 9.41203e-10, 2.29591e-37, 8.08222e-08, 2.29591e-37, 2.29591e-37
0.225229, 0, 1.09354e-07, 2.33431e-36, 1.41421, -1.09354e-07, 0, 2.33431e-36, 2.33431e-36, 2.33431e-36, 2.33431e-36, 2.33431e-36, 1.33194e-09, 2.33431e-36, 2.33431e-36, 1.41127e-11, 1.31253e-09, 2.33431e-36, 1.06696e-07, 2.33431e-36, 2.33431e-36
0.233327, 0, 1.4388e-07, 2.15265e-35, 1.41421, -1.4388e-07, 0, 2.15265e-35, 2.15265e-35, 2.15265e-35, 2.15265e-35, 2.15265e-35, 1.75557e-09, 2.15265e-35, 2.15265e-35, 2.02238e-11, 1.82532e-09, 2.15265e-35, 1.40279e-07, 2.15265e-35, 2.15265e-35
