   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_10.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0154274, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0232148, 0, 1.38982e-28, 0, 1.41421, -1.38982e-28, 0, 0, 0, 0, 0, 0, 0, 5.15241e-31, 0, 0, 8.84957e-34, 2.57789e-34, 0, 1.38466e-28, 0, 0
0.0310023, 0, 1.42358e-27, 0, 1.41421, -1.42358e-27, 0, 0, 0, 0, 0, 0, 0, 5.27743e-30, 0, 0, 9.0643e-33, 3.94296e-32, 0, 1.41826e-27, 0, 0
0.0387897, 0, 9.13929e-27, 0, 1.41421, -9.13929e-27, 0, 0, 0, 0, 0, 0, 0, 3.38801e-29, 0, 0, 5.81912e-32, 4.03705e-31, 0, 9.10494e-27, 0, 0
0.0465772, 0, 4.68776e-26, 0, 1.41421, -4.68776e-26, 0, 0, 0, 0, 0, 0, 0, 1.73777e-28, 0, 0, 2.98473e-31, 2.60997e-30, 0, 4.67009e-26, 0, 0
0.0543647, 0, 2.09469e-25, 0, 1.41421, -2.09469e-25, 0, 0, 0, 0, 0, 0, 0, 7.76504e-28, 0, 0, 1.33587e-30, 1.34698e-29, 0, 2.08677e-25, 0, 0
0.0621521, 0, 8.50067e-25, 0, 1.41421, -8.50067e-25, 0, 0, 0, 0, 0, 0, 0, 3.15119e-27, 0, 0, 5.43951e-30, 6.04774e-29, 0, 8.4685e-25, 0, 0
0.0699396, 0, 3.20722e-24, 0, 1.41421, -3.20722e-24, 0, 0, 0, 0, 0, 0, 0, 1.18891e-26, 0, 0, 2.06197e-29, 2.46333e-28, 0, 3.19506e-24, 0, 0
0.077727, 0, 1.14147e-23, 0, 1.41421, -1.14147e-23, 0, 0, 0, 0, 0, 0, 0, 4.23136e-26, 0, 0, 7.38034e-29, 9.32041e-28, 0, 1.13713e-23, 0, 0
0.0855145, 0, 3.86969e-23, 0, 1.41421, -3.86969e-23, 0, 0, 0, 0, 0, 0, 0, 1.43447e-25, 0, 0, 2.51792e-28, 3.32512e-27, 0, 3.85498e-23, 0, 0
