   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00952453, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00163129, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00626194, 0, 2.89305e-13, 0, 1.41421, -2.89305e-13, 0, 0, 0, 0, 0, 0, 1.92465e-15, 0, 0, 5.7677e-18, 1.15803e-16, 0, 2.87259e-13, 0, 0
0.0141552, 0, 4.76085e-13, 0, 1.41421, -4.76085e-13, 0, 0, 0, 0, 0, 0, 3.16717e-15, 0, 0, 9.71411e-18, 1.98155e-16, 0, 4.72709e-13, 0, 0
0.0220484, 0, 7.79664e-13, 0, 1.41421, -7.79664e-13, 0, 0, 0, 0, 0, 0, 5.18665e-15, 0, 0, 1.63143e-17, 3.38745e-16, 0, 7.74123e-13, 0, 0
0.0299416, 0, 1.2647e-12, 0, 1.41421, -1.2647e-12, 0, 0, 0, 0, 0, 0, 8.41315e-15, 0, 0, 2.70932e-17, 5.71702e-16, 0, 1.25569e-12, 0, 0
0.0378349, 0, 2.0373e-12, 0, 1.41421, -2.0373e-12, 0, 0, 0, 0, 0, 0, 1.35525e-14, 0, 0, 4.46935e-17, 9.5857e-16, 0, 2.02274e-12, 0, 0
0.0457281, 0, 3.25948e-12, 0, 1.41421, -3.25948e-12, 0, 0, 0, 0, 0, 0, 2.16822e-14, 0, 0, 7.32433e-17, 1.59687e-15, 0, 3.23613e-12, 0, 0
0.0536213, 0, 5.17971e-12, 0, 1.41421, -5.17971e-12, 0, 0, 0, 0, 0, 0, 3.4455e-14, 0, 0, 1.19255e-16, 2.64329e-15, 0, 5.14249e-12, 0, 0
0.0615146, 0, 8.17635e-12, 0, 1.41421, -8.17635e-12, 0, 0, 0, 0, 0, 0, 5.43876e-14, 0, 0, 1.92941e-16, 4.34797e-15, 0, 8.11742e-12, 0, 0
0.0694078, 0, 1.28217e-11, 0, 1.41421, -1.28217e-11, 0, 0, 0, 0, 0, 0, 8.52863e-14, 0, 0, 3.10208e-16, 7.10762e-15, 0, 1.2729e-11, 0, 0
0.077301, 0, 1.99754e-11, 0, 1.41421, -1.99754e-11, 0, 0, 0, 0, 0, 0, 1.32869e-13, 0, 0, 4.95698e-16, 1.15475e-14, 0, 1.98305e-11, 0, 0
0.0851943, 0, 3.09202e-11, 0, 1.41421, -3.09202e-11, 0, 0, 0, 0, 0, 0, 2.05669e-13, 0, 0, 7.8735e-16, 1.86472e-14, 0, 3.06951e-11, 0, 0
0.0930875, 0, 4.75572e-11, 0, 1.41421, -4.75572e-11, 0, 0, 0, 0, 0, 0, 3.16331e-13, 0, 0, 1.24331e-15, 2.99316e-14, 0, 4.72097e-11, 0, 0
