   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_6.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0672484, 0.188491, 0, 0, 1.47936, 0.188491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0590922, 0.811509, 0, 0, 1.67676, 0.811509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.050936, 0.183669, 0, 0, 1.47772, 0.183669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0427798, 0.816331, 0, 0, 1.67819, 0.816331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0346236, 0.357696, 0, 0, 1.53548, 0.357696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0264674, 1.81874, 0, 0, 1.95416, 1.81874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0183112, 1.34564, 0, 0, 1.82911, 1.34564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.010155, 2.64954, 0, 0, 2.15628, 2.64954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00199879, 0.828386, 0, 0, 1.68178, 0.828386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00615741, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0143136, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0224698, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.030626, 0.159561, 0, 0, 1.46954, 0.159561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0387822, 0.840439, 0, 0, 1.68536, 0.840439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0469384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0550946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0632508, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.071407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0795632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0877194, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0958756, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.104032, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.112188, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.120344, 0, 1.23751e-28, 0, 1.41421, -1.23751e-28, 0, 0, 0, 0, 0, 0, 0, 0, 3.18386e-31, 0, 7.56219e-34, 3.18339e-34, 0, 1.23432e-28, 0, 0
0.1285, 0, 1.43695e-27, 0, 1.41421, -1.43695e-27, 0, 0, 0, 0, 0, 0, 0, 0, 3.69677e-30, 0, 8.78045e-33, 8.00215e-32, 0, 1.43317e-27, 0, 0
0.136657, 0, 1.04808e-26, 0, 1.41421, -1.04808e-26, 0, 0, 0, 0, 0, 0, 0, 0, 2.69626e-29, 0, 6.40407e-32, 8.93483e-31, 0, 1.04529e-26, 0, 0
0.144813, 0.125809, 6.10851e-26, 0, 1.45802, 0.125809, 0, 0, 0, 0, 0, 0, 0, 0, 1.57143e-28, 0, 3.73999e-31, 6.3953e-30, 0, 6.09211e-26, 0, 0
0.152969, 0.874191, 3.09808e-25, 0, 1.69534, 0.874191, 0, 0, 0, 0, 0, 0, 0, 0, 7.96978e-28, 0, 1.9046e-30, 3.68346e-29, 0, 3.08972e-25, 0, 0
0.161125, 0, 1.42435e-24, 0, 1.41421, -1.42435e-24, 0, 0, 0, 0, 0, 0, 0, 0, 3.66409e-27, 0, 8.80408e-30, 1.85219e-28, 0, 1.42049e-24, 0, 0
0.169281, 0.118576, 6.07418e-24, 0, 1.45553, 0.118576, 0, 0, 0, 0, 0, 0, 0, 0, 1.56255e-26, 0, 3.77795e-29, 8.45801e-28, 0, 6.05768e-24, 0, 0
0.177438, 0.881424, 2.43738e-23, 0, 1.69748, 0.881424, 0, 0, 0, 0, 0, 0, 0, 0, 6.26996e-26, 0, 1.5262e-28, 3.58692e-27, 0, 2.43074e-23, 0, 0
0.185594, 0, 9.29186e-23, 0, 1.41421, -9.29186e-23, 0, 0, 0, 0, 0, 0, 0, 0, 2.39024e-25, 0, 5.85961e-28, 1.43253e-26, 0, 9.26646e-23, 0, 0
0.19375, 0, 3.38845e-22, 0, 1.41421, -3.38845e-22, 0, 0, 0, 0, 0, 0, 0, 0, 8.71638e-25, 0, 2.15268e-27, 5.43871e-26, 0, 3.37916e-22, 0, 0
0.201906, 0, 1.18805e-21, 0, 1.41421, -1.18805e-21, 0, 0, 0, 0, 0, 0, 0, 0, 3.05609e-24, 0, 7.6059e-27, 1.97613e-25, 0, 1.18479e-21, 0, 0
0.210062, 0, 4.03353e-21, 0, 1.41421, -4.03353e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.03757e-23, 0, 2.6049e-26, 6.93929e-25, 0, 4.02244e-21, 0, 0
0.218219, 0, 1.32475e-20, 0, 1.41421, -1.32475e-20, 0, 0, 0, 0, 0, 0, 0, 0, 3.40771e-23, 0, 8.63154e-26, 2.3494e-24, 0, 1.3211e-20, 0, 0
0.226375, 0, 4.22094e-20, 0, 1.41421, -4.22094e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.08576e-22, 0, 2.77518e-25, 7.69658e-24, 0, 4.20928e-20, 0, 0
0.234531, 0, 1.30763e-19, 0, 1.41421, -1.30763e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.36362e-22, 0, 8.67736e-25, 2.44646e-23, 0, 1.30401e-19, 0, 0
0.242687, 0, 3.94593e-19, 0, 1.41421, -3.94593e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.01501e-21, 0, 2.64349e-24, 7.56204e-23, 0, 3.93499e-19, 0, 0
0.250843, 0, 1.16162e-18, 0, 1.41421, -1.16162e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.98802e-21, 0, 7.85836e-24, 2.27715e-22, 0, 1.1584e-18, 0, 0
0.259, 0, 3.34023e-18, 0, 1.41421, -3.34023e-18, 0, 0, 0, 0, 0, 0, 0, 0, 8.59199e-21, 0, 2.28247e-23, 6.69025e-22, 0, 3.33094e-18, 0, 0
0.267156, 0, 9.39196e-18, 0, 1.41421, -9.39196e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.41586e-20, 0, 6.48455e-23, 1.92023e-21, 0, 9.36581e-18, 0, 0
0.275312, 0, 2.58471e-17, 0, 1.41421, -2.58471e-17, 0, 0, 0, 0, 0, 0, 0, 0, 6.64853e-20, 0, 1.80375e-22, 5.39011e-21, 0, 2.57751e-17, 0, 0
0.283468, 0, 6.96782e-17, 0, 1.41421, -6.96782e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.79228e-19, 0, 4.91653e-22, 1.48112e-20, 0, 6.94836e-17, 0, 0
0.291624, 0, 1.84132e-16, 0, 1.41421, -1.84132e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.73624e-19, 0, 1.3142e-21, 3.98757e-20, 0, 1.83617e-16, 0, 0
0.299781, 0, 4.77292e-16, 0, 1.41421, -4.77292e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.22767e-18, 0, 3.44728e-21, 1.05261e-19, 0, 4.75955e-16, 0, 0
0.307937, 0, 1.21427e-15, 0, 1.41421, -1.21427e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.12323e-18, 0, 8.87909e-21, 2.72626e-19, 0, 1.21086e-15, 0, 0
0.316093, 0, 3.0335e-15, 0, 1.41421, -3.0335e-15, 0, 0, 0, 0, 0, 0, 0, 0, 7.80231e-18, 0, 2.24688e-20, 6.93212e-19, 0, 3.02498e-15, 0, 0
0.324249, 0, 7.4451e-15, 0, 1.41421, -7.4451e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.91486e-17, 0, 5.58887e-20, 1.7314e-18, 0, 7.42416e-15, 0, 0
0.332405, 0, 1.79586e-14, 0, 1.41421, -1.79586e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.61872e-17, 0, 1.36708e-19, 4.24981e-18, 0, 1.7908e-14, 0, 0
0.340562, 0, 4.25895e-14, 0, 1.41421, -4.25895e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.0953e-16, 0, 3.28977e-19, 1.02557e-17, 0, 4.24694e-14, 0, 0
0.348718, 0, 9.93346e-14, 0, 1.41421, -9.93346e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.55449e-16, 0, 7.79092e-19, 2.43417e-17, 0, 9.9054e-14, 0, 0
0.356874, 0, 2.27922e-13, 0, 1.41421, -2.27922e-13, 0, 0, 0, 0, 0, 0, 0, 0, 5.86087e-16, 0, 1.81656e-18, 5.68428e-17, 0, 2.27277e-13, 0, 0
0.36503, 0, 5.14596e-13, 0, 1.41421, -5.14596e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.32315e-15, 0, 4.17147e-18, 1.30639e-16, 0, 5.13138e-13, 0, 0
0.373186, 0, 1.14348e-12, 0, 1.41421, -1.14348e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.93991e-15, 0, 9.43735e-18, 2.95572e-16, 0, 1.14024e-12, 0, 0
0.381343, 0, 2.50126e-12, 0, 1.41421, -2.50126e-12, 0, 0, 0, 0, 0, 0, 0, 0, 6.43016e-15, 0, 2.10422e-17, 6.58506e-16, 0, 2.49415e-12, 0, 0
0.389499, 0, 5.38668e-12, 0, 1.41421, -5.38668e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.38465e-14, 0, 4.62575e-17, 1.44498e-15, 0, 5.37135e-12, 0, 0
0.397655, 0, 1.14231e-11, 3.08986e-42, 1.41421, -1.14231e-11, 3.08986e-42, 0, 3.08986e-42, 3.08986e-42, 3.08986e-42, 3.08986e-42, 3.08986e-42, 3.08986e-42, 2.93601e-14, 3.08986e-42, 1.00304e-16, 3.12374e-15, 3.08986e-42, 1.13905e-11, 3.08986e-42, 3.08986e-42
0.405811, 0, 2.38563e-11, 5.95314e-41, 1.41421, -2.38563e-11, 5.95314e-41, 0, 5.95314e-41, 5.95314e-41, 5.95314e-41, 5.95314e-41, 5.95314e-41, 5.95314e-41, 6.13102e-14, 5.95314e-41, 2.14649e-16, 6.6546e-15, 5.95314e-41, 2.37881e-11, 5.95314e-41, 5.95314e-41
0.413967, 0, 4.90711e-11, 9.25814e-40, 1.41421, -4.90711e-11, 9.25814e-40, 0, 9.25814e-40, 9.25814e-40, 9.25814e-40, 9.25814e-40, 9.25814e-40, 9.25814e-40, 1.26101e-13, 9.25814e-40, 4.53611e-16, 1.39735e-14, 9.25814e-40, 4.89306e-11, 9.25814e-40, 9.25814e-40
