   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0799273, 235, 0, 0, 15.3948, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.071784, 277, 0, 0, 16.7033, 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0636407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0554975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0473542, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0392109, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0310676, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229243, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0147811, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00663776, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00150552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0096488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0177921, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0259354, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0340786, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0422219, 0, 2.61676e-28, 0, 1.41421, -2.61676e-28, 0, 0, 0, 0, 0, 0, 0, 0, 6.62519e-31, 0, 4.73909e-34, 4.13188e-34, 0, 2.61012e-28, 0, 0
0.0503652, 0, 2.58735e-27, 0, 1.41421, -2.58735e-27, 0, 0, 0, 0, 0, 0, 0, 0, 6.5506e-30, 0, 4.68573e-33, 5.77216e-32, 0, 2.58074e-27, 0, 0
0.0585085, 0, 1.61152e-26, 0, 1.41421, -1.61152e-26, 0, 0, 0, 0, 0, 0, 0, 0, 4.07996e-29, 0, 2.91845e-32, 5.71025e-31, 0, 1.60738e-26, 0, 0
0.0666518, 0, 8.05192e-26, 0, 1.41421, -8.05192e-26, 0, 0, 0, 0, 0, 0, 0, 0, 2.03852e-28, 0, 1.45818e-31, 3.58764e-30, 0, 8.03116e-26, 0, 0
0.0747951, 0, 3.51668e-25, 0, 1.41421, -3.51668e-25, 0, 0, 0, 0, 0, 0, 0, 0, 8.9032e-28, 0, 6.37792e-31, 1.80703e-29, 0, 3.50759e-25, 0, 0
0.0829384, 0, 1.39895e-24, 0, 1.41421, -1.39895e-24, 0, 0, 0, 0, 0, 0, 0, 0, 3.54171e-27, 0, 2.54435e-30, 7.94582e-29, 0, 1.39532e-24, 0, 0
0.0910816, 0, 5.1871e-24, 0, 1.41421, -5.1871e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.31321e-26, 0, 9.46997e-30, 3.17908e-28, 0, 5.17364e-24, 0, 0
0.0992249, 0, 1.81846e-23, 0, 1.41421, -1.81846e-23, 0, 0, 0, 0, 0, 0, 0, 0, 4.60376e-26, 0, 3.33472e-29, 1.18492e-27, 0, 1.81374e-23, 0, 0
0.107368, 0, 6.08526e-23, 0, 1.41421, -6.08526e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.54058e-25, 0, 1.1214e-28, 4.17426e-27, 0, 6.06943e-23, 0, 0
0.115511, 0, 1.95688e-22, 0, 1.41421, -1.95688e-22, 0, 0, 0, 0, 0, 0, 0, 0, 4.95415e-25, 0, 3.62515e-28, 1.40331e-26, 0, 1.95178e-22, 0, 0
0.123655, 0, 6.07726e-22, 0, 1.41421, -6.07726e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.53855e-24, 0, 1.13207e-27, 4.53271e-26, 0, 6.06141e-22, 0, 0
0.131798, 0, 1.83864e-21, 0, 1.41421, -1.83864e-21, 0, 0, 0, 0, 0, 0, 0, 0, 4.65478e-24, 0, 3.44774e-27, 1.42457e-25, 0, 1.83384e-21, 0, 0
0.139941, 0, 5.4003e-21, 0, 1.41421, -5.4003e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.36716e-23, 0, 1.01943e-26, 4.32894e-25, 0, 5.38618e-21, 0, 0
0.148085, 0, 1.54425e-20, 0, 1.41421, -1.54425e-20, 0, 0, 0, 0, 0, 0, 0, 0, 3.90948e-23, 0, 2.93505e-26, 1.27679e-24, 0, 1.54021e-20, 0, 0
0.156228, 0, 4.30905e-20, 0, 1.41421, -4.30905e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.09089e-22, 0, 8.24711e-26, 3.66579e-24, 0, 4.29777e-20, 0, 0
