   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0251241, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0171356, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00914715, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00115866, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00682983, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0148183, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0228068, 0, 1.2034e-28, 0, 1.41421, -1.2034e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30187e-31, 0, 0, 5.32955e-34, 1.76968e-34, 0, 1.1981e-28, 0, 0
0.0307953, 0, 1.14676e-27, 0, 1.41421, -1.14676e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05215e-30, 0, 0, 5.07853e-33, 4.1706e-32, 0, 1.14166e-27, 0, 0
0.0387838, 0, 6.8838e-27, 0, 1.41421, -6.8838e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03265e-29, 0, 0, 3.04849e-32, 3.8174e-31, 0, 6.85307e-27, 0, 0
0.0467723, 0, 3.31638e-26, 0, 1.41421, -3.31638e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46101e-28, 0, 0, 1.47268e-31, 2.24811e-30, 0, 3.30153e-26, 0, 0
0.0547608, 0, 1.39759e-25, 0, 1.41421, -1.39759e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15692e-28, 0, 0, 6.24286e-31, 1.07077e-29, 0, 1.39132e-25, 0, 0
0.0627493, 0, 5.36919e-25, 0, 1.41421, -5.36919e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36532e-27, 0, 0, 2.41756e-30, 4.47777e-29, 0, 5.34506e-25, 0, 0
0.0707378, 0, 1.92445e-24, 0, 1.41421, -1.92445e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47784e-27, 0, 0, 8.74468e-30, 1.71053e-28, 0, 1.91579e-24, 0, 0
0.0787262, 0, 6.52816e-24, 0, 1.41421, -6.52816e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87586e-26, 0, 0, 2.99546e-29, 6.10497e-28, 0, 6.49876e-24, 0, 0
0.0867147, 0, 2.11595e-23, 0, 1.41421, -2.11595e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.32141e-26, 0, 0, 9.80747e-29, 2.06421e-27, 0, 2.10642e-23, 0, 0
0.0947032, 0, 6.59725e-23, 0, 1.41421, -6.59725e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90628e-25, 0, 0, 3.08943e-28, 6.67351e-27, 0, 6.56749e-23, 0, 0
