   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_20.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0223152, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143564, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0063975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00156136, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00952023, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0174791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.025438, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0333968, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0413557, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0493146, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0572734, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0652323, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0731912, 0, 3.03217e-28, 0, 1.41421, -3.03217e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60558e-31, 0, 0, 1.53987e-33, 4.03675e-34, 0, 3.02555e-28, 0, 0
0.08115, 0, 3.18929e-27, 0, 1.41421, -3.18929e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94766e-30, 0, 0, 1.61961e-32, 9.84925e-32, 0, 3.18223e-27, 0, 0
0.0891089, 0, 2.10582e-26, 0, 1.41421, -2.10582e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58731e-29, 0, 0, 1.06937e-31, 9.95599e-31, 0, 2.10112e-26, 0, 0
0.0970678, 0, 1.11178e-25, 0, 1.41421, -1.11178e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42188e-28, 0, 0, 5.65813e-31, 6.44814e-30, 0, 1.10929e-25, 0, 0
0.105027, 0, 5.11501e-25, 0, 1.41421, -5.11501e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11423e-27, 0, 0, 2.61604e-30, 3.3634e-29, 0, 5.10351e-25, 0, 0
0.112986, 0, 2.13718e-24, 0, 1.41421, -2.13718e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65552e-27, 0, 0, 1.1006e-29, 1.53402e-28, 0, 2.13236e-24, 0, 0
0.120944, 0, 8.3e-24, 0, 1.41421, -8.3e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80802e-26, 0, 0, 4.30894e-29, 6.36589e-28, 0, 8.28124e-24, 0, 0
0.128903, 0, 3.03963e-23, 0, 1.41421, -3.03963e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62129e-26, 0, 0, 1.59194e-28, 2.45871e-27, 0, 3.03274e-23, 0, 0
0.136862, 0, 1.24104e-22, 0, 1.41421, -1.24104e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70337e-25, 0, 0, 6.60754e-28, 1.07754e-26, 0, 1.23822e-22, 0, 0
0.144821, 0, 4.05638e-22, 0, 1.41421, -4.05638e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83603e-25, 0, 0, 2.18005e-27, 3.64312e-26, 0, 4.04716e-22, 0, 0
0.15278, 0, 1.2872e-21, 0, 1.41421, -1.2872e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80389e-24, 0, 0, 6.99209e-27, 1.19384e-25, 0, 1.28427e-21, 0, 0
0.160739, 0, 3.95818e-21, 0, 1.41421, -3.95818e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62207e-24, 0, 0, 2.17323e-26, 3.77849e-25, 0, 3.94916e-21, 0, 0
0.168698, 0, 1.18279e-20, 0, 1.41421, -1.18279e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57646e-23, 0, 0, 6.56453e-26, 1.15914e-24, 0, 1.18009e-20, 0, 0
0.176656, 0, 3.44236e-20, 0, 1.41421, -3.44236e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49843e-23, 0, 0, 1.93149e-25, 3.45628e-24, 0, 3.4345e-20, 0, 0
0.184615, 0, 9.77528e-20, 0, 1.41421, -9.77528e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12933e-22, 0, 0, 5.54597e-25, 1.0039e-23, 0, 9.75293e-20, 0, 0
0.192574, 0, 2.71256e-19, 0, 1.41421, -2.71256e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90868e-22, 0, 0, 1.55639e-24, 2.84556e-23, 0, 2.70635e-19, 0, 0
0.200533, 0, 7.36471e-19, 0, 1.41421, -7.36471e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60423e-21, 0, 0, 4.27442e-24, 7.88292e-23, 0, 7.34783e-19, 0, 0
0.208492, 0, 1.95852e-18, 0, 1.41421, -1.95852e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26618e-21, 0, 0, 1.15009e-23, 2.137e-22, 0, 1.95403e-18, 0, 0
0.216451, 0, 5.1063e-18, 0, 1.41421, -5.1063e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11228e-20, 0, 0, 3.0346e-23, 5.67538e-22, 0, 5.09458e-18, 0, 0
0.22441, 0, 1.30631e-17, 0, 1.41421, -1.30631e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84547e-20, 0, 0, 7.85876e-23, 1.478e-21, 0, 1.30331e-17, 0, 0
0.232369, 0, 3.28141e-17, 0, 1.41421, -3.28141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14772e-20, 0, 0, 1.99901e-22, 3.77756e-21, 0, 3.27386e-17, 0, 0
0.240327, 0, 8.09907e-17, 0, 1.41421, -8.09907e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76417e-19, 0, 0, 4.9978e-22, 9.4827e-21, 0, 8.08043e-17, 0, 0
0.248286, 0, 1.96526e-16, 0, 1.41421, -1.96526e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28079e-19, 0, 0, 1.22888e-21, 2.33952e-20, 0, 1.96073e-16, 0, 0
0.256245, 0, 4.69076e-16, 0, 1.41421, -4.69076e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02175e-18, 0, 0, 2.97337e-21, 5.67626e-20, 0, 4.67994e-16, 0, 0
0.264204, 0, 1.10182e-15, 0, 1.41421, -1.10182e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39999e-18, 0, 0, 7.08297e-21, 1.35511e-19, 0, 1.09928e-15, 0, 0
0.272163, 0, 2.54802e-15, 0, 1.41421, -2.54802e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55008e-18, 0, 0, 1.66189e-20, 3.18478e-19, 0, 2.54213e-15, 0, 0
0.280122, 0, 5.80349e-15, 0, 1.41421, -5.80349e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2641e-17, 0, 0, 3.84229e-20, 7.37174e-19, 0, 5.79008e-15, 0, 0
0.288081, 0, 1.30232e-14, 0, 1.41421, -1.30232e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83664e-17, 0, 0, 8.75664e-20, 1.68121e-18, 0, 1.29931e-14, 0, 0
0.296039, 0, 2.88018e-14, 0, 1.41421, -2.88018e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27335e-17, 0, 0, 1.96785e-19, 3.77914e-18, 0, 2.87351e-14, 0, 0
0.303998, 0, 6.27936e-14, 0, 1.41421, -6.27936e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36768e-16, 0, 0, 4.36195e-19, 8.37583e-18, 0, 6.2648e-14, 0, 0
0.311957, 0, 1.34993e-13, 0, 1.41421, -1.34993e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94017e-16, 0, 0, 9.53953e-19, 1.83088e-17, 0, 1.3468e-13, 0, 0
0.319916, 0, 2.86219e-13, 0, 1.41421, -2.86219e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23372e-16, 0, 0, 2.05906e-18, 3.94826e-17, 0, 2.85554e-13, 0, 0
0.327875, 0, 5.98634e-13, 0, 1.41421, -5.98634e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30376e-15, 0, 0, 4.38751e-18, 8.40194e-17, 0, 5.97242e-13, 0, 0
0.335834, 0, 1.23531e-12, 0, 1.41421, -1.23531e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69028e-15, 0, 0, 9.23182e-18, 1.76476e-16, 0, 1.23244e-12, 0, 0
0.343793, 0, 2.51542e-12, 0, 1.41421, -2.51542e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47793e-15, 0, 0, 1.91865e-17, 3.65951e-16, 0, 2.50956e-12, 0, 0
0.351752, 0, 5.05506e-12, 0, 1.41421, -5.05506e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10082e-14, 0, 0, 3.93979e-17, 7.49358e-16, 0, 5.04326e-12, 0, 0
0.35971, 0, 1.00271e-11, 0, 1.41421, -1.00271e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1835e-14, 0, 0, 7.99575e-17, 1.51557e-15, 0, 1.00037e-11, 0, 0
0.367669, 0, 1.96343e-11, 0, 1.41421, -1.96343e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27542e-14, 0, 0, 1.60441e-16, 3.02839e-15, 0, 1.95883e-11, 0, 0
0.375628, 0, 3.79566e-11, 8.43582e-43, 1.41421, -3.79566e-11, 8.43582e-43, 0, 8.43582e-43, 8.43582e-43, 8.43582e-43, 8.43582e-43, 8.43582e-43, 8.43582e-43, 8.43582e-43, 8.26503e-14, 8.43582e-43, 8.43582e-43, 3.18439e-16, 5.97986e-15, 8.43582e-43, 3.78676e-11, 8.43582e-43, 8.43582e-43
0.383587, 0, 7.24499e-11, 1.60112e-41, 1.41421, -7.24499e-11, 1.60112e-41, 0, 1.60112e-41, 1.60112e-41, 1.60112e-41, 1.60112e-41, 1.60112e-41, 1.60112e-41, 1.60112e-41, 1.5776e-13, 1.60112e-41, 1.60112e-41, 6.25475e-16, 1.16717e-14, 1.60112e-41, 7.22798e-11, 1.60112e-41, 1.60112e-41
0.391546, 0, 1.36555e-10, 2.48215e-40, 1.41421, -1.36555e-10, 2.48215e-40, 0, 2.48215e-40, 2.48215e-40, 2.48215e-40, 2.48215e-40, 2.48215e-40, 2.48215e-40, 2.48215e-40, 2.97359e-13, 2.48215e-40, 2.48215e-40, 1.21651e-15, 2.25259e-14, 2.48215e-40, 1.36234e-10, 2.48215e-40, 2.48215e-40
0.399505, 0, 2.54281e-10, 1.35362e-38, 1.41421, -2.54281e-10, 1.35362e-38, 0, 1.35362e-38, 1.35362e-38, 1.35362e-38, 1.35362e-38, 1.35362e-38, 1.35362e-38, 1.35362e-38, 5.53766e-13, 1.35362e-38, 1.35362e-38, 2.34951e-15, 4.30575e-14, 1.35362e-38, 2.53682e-10, 1.35362e-38, 1.35362e-38
0.407464, 0, 4.67424e-10, 1.48794e-37, 1.41421, -4.67424e-10, 1.48794e-37, 0, 1.48794e-37, 1.48794e-37, 1.48794e-37, 1.48794e-37, 1.48794e-37, 1.48794e-37, 1.48794e-37, 1.01808e-12, 1.48794e-37, 1.48794e-37, 4.49008e-15, 8.134e-14, 1.48794e-37, 4.6632e-10, 1.48794e-37, 1.48794e-37
0.415423, 0, 8.48697e-10, 1.48149e-36, 1.41421, -8.48697e-10, 1.48149e-36, 0, 1.48149e-36, 1.48149e-36, 1.48149e-36, 1.48149e-36, 1.48149e-36, 1.48149e-36, 1.48149e-36, 1.84889e-12, 1.48149e-36, 1.48149e-36, 8.51627e-15, 1.52141e-13, 1.48149e-36, 8.46687e-10, 1.48149e-36, 1.48149e-36
