   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0230782, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150896, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00710103, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00088755, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00887614, 0, 5.73462e-18, 0, 1.41421, -5.73462e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53145e-20, 0, 0, 2.22538e-23, 4.09557e-22, 0, 5.71888e-18, 0, 0
0.0168647, 0, 1.19278e-17, 0, 1.41421, -1.19278e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18536e-20, 0, 0, 4.69926e-23, 8.70021e-22, 0, 1.18951e-17, 0, 0
0.0248533, 0, 2.45239e-17, 0, 1.41421, -2.45239e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54917e-20, 0, 0, 9.81071e-23, 1.82682e-21, 0, 2.44565e-17, 0, 0
0.0328419, 0, 4.98591e-17, 0, 1.41421, -4.98591e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3315e-19, 0, 0, 2.0257e-22, 3.79312e-21, 0, 4.9722e-17, 0, 0
0.0408305, 0, 1.00269e-16, 0, 1.41421, -1.00269e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67769e-19, 0, 0, 4.13813e-22, 7.79126e-21, 0, 9.99927e-17, 0, 0
0.0488191, 0, 1.99516e-16, 0, 1.41421, -1.99516e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3281e-19, 0, 0, 8.36601e-22, 1.58375e-20, 0, 1.98967e-16, 0, 0
0.0568076, 0, 3.92921e-16, 0, 1.41421, -3.92921e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0493e-18, 0, 0, 1.67434e-21, 3.18697e-20, 0, 3.91838e-16, 0, 0
0.0647962, 0, 7.6604e-16, 0, 1.41421, -7.6604e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04571e-18, 0, 0, 3.31816e-21, 6.35068e-20, 0, 7.63927e-16, 0, 0
0.0727848, 0, 1.49633e-15, 0, 1.41421, -1.49633e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99595e-18, 0, 0, 6.61463e-21, 1.27501e-19, 0, 1.4922e-15, 0, 0
0.0807734, 0, 2.85741e-15, 0, 1.41421, -2.85741e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63067e-18, 0, 0, 1.28441e-20, 2.49e-19, 0, 2.84952e-15, 0, 0
0.088762, 0, 5.4059e-15, 0, 1.41421, -5.4059e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44363e-17, 0, 0, 2.4716e-20, 4.81998e-19, 0, 5.39096e-15, 0, 0
