   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_0.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.232712, 0, 7.02669e-24, 0, 1.41421, -7.02669e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.89917e-26, 0, 2.95399e-29, 1.19642e-27, 7.00647e-24, 0, 0
0.241014, 0, 3.2468e-23, 0, 1.41421, -3.2468e-23, 0, 0, 0, 0, 0, 0, 0, 0, 8.7753e-26, 0, 1.36657e-28, 5.9556e-27, 3.23741e-23, 0, 0
0.249316, 0, 1.41892e-22, 0, 1.41421, -1.41892e-22, 0, 0, 0, 0, 0, 0, 0, 0, 3.83494e-25, 0, 5.98051e-28, 2.77398e-26, 1.4148e-22, 0, 0
0.257618, 0, 5.90603e-22, 0, 1.41421, -5.90603e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.59622e-24, 0, 2.49324e-27, 1.22115e-25, 5.88882e-22, 0, 0
0.265921, 0, 2.35369e-21, 0, 1.41421, -2.35369e-21, 0, 0, 0, 0, 0, 0, 0, 0, 6.36123e-24, 0, 9.95379e-27, 5.11724e-25, 2.3468e-21, 0, 0
0.274223, 0, 9.01756e-21, 0, 1.41421, -9.01756e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.43712e-23, 0, 3.82105e-26, 2.05233e-24, 8.9911e-21, 0, 0
0.282525, 0, 3.33212e-20, 0, 1.41421, -3.33212e-20, 0, 0, 0, 0, 0, 0, 0, 0, 9.00542e-23, 0, 1.41499e-25, 7.91065e-24, 3.32231e-20, 0, 0
0.290827, 0, 1.19066e-19, 0, 1.41421, -1.19066e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.21785e-22, 0, 5.06818e-25, 2.94016e-23, 1.18714e-19, 0, 0
0.299129, 0, 4.12309e-19, 0, 1.41421, -4.12309e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.11429e-21, 0, 1.7596e-24, 1.05655e-22, 4.11087e-19, 0, 0
0.307431, 0, 1.38615e-18, 0, 1.41421, -1.38615e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.74612e-21, 0, 5.93238e-24, 3.679e-22, 1.38203e-18, 0, 0
0.315733, 0, 4.53108e-18, 0, 1.41421, -4.53108e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.22453e-20, 0, 1.94517e-23, 1.24362e-21, 4.51757e-18, 0, 0
0.324036, 0, 1.44196e-17, 0, 1.41421, -1.44196e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.89686e-20, 0, 6.21095e-23, 4.0873e-21, 1.43765e-17, 0, 0
0.332338, 0, 4.47234e-17, 0, 1.41421, -4.47234e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.20862e-19, 0, 1.93336e-22, 1.3078e-20, 4.45893e-17, 0, 0
0.34064, 0, 1.35317e-16, 0, 1.41421, -1.35317e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.65677e-19, 0, 5.87268e-22, 4.07842e-20, 1.3491e-16, 0, 0
0.348942, 0, 3.99715e-16, 0, 1.41421, -3.99715e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.08016e-18, 0, 1.74215e-21, 1.2408e-19, 3.98509e-16, 0, 0
0.357244, 0, 1.15354e-15, 0, 1.41421, -1.15354e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.11713e-18, 0, 5.05099e-21, 3.6858e-19, 1.15005e-15, 0, 0
0.365546, 0, 3.25434e-15, 0, 1.41421, -3.25434e-15, 0, 0, 0, 0, 0, 0, 0, 0, 8.79358e-18, 0, 1.43213e-20, 1.06978e-18, 3.24446e-15, 0, 0
0.373848, 0, 8.97967e-15, 0, 1.41421, -8.97967e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.42628e-17, 0, 3.97321e-20, 3.03571e-18, 8.95234e-15, 0, 0
0.38215, 0, 2.42456e-14, 0, 1.41421, -2.42456e-14, 0, 0, 0, 0, 0, 0, 0, 0, 6.55064e-17, 0, 1.07913e-19, 8.42706e-18, 2.41715e-14, 0, 0
0.390453, 0, 6.40828e-14, 0, 1.41421, -6.40828e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.73124e-16, 0, 2.87058e-19, 2.28951e-17, 6.38865e-14, 0, 0
0.398755, 0, 1.65861e-13, 0, 1.41421, -1.65861e-13, 0, 0, 0, 0, 0, 0, 0, 0, 4.48043e-16, 0, 7.48203e-19, 6.09049e-17, 1.65352e-13, 0, 0
0.407057, 0, 4.20501e-13, 0, 1.41421, -4.20501e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.13578e-15, 0, 1.9116e-18, 1.58696e-16, 4.19204e-13, 0, 0
0.415359, 0, 1.04454e-12, 7.39886e-43, 1.41421, -1.04454e-12, 7.39886e-43, 0, 7.39886e-43, 7.39886e-43, 7.39886e-43, 7.39886e-43, 7.39886e-43, 7.39886e-43, 2.82096e-15, 7.39886e-43, 4.78936e-18, 4.05171e-16, 1.04131e-12, 7.39886e-43, 7.39886e-43
0.423661, 0, 2.54286e-12, 1.57982e-41, 1.41421, -2.54286e-12, 1.57982e-41, 0, 1.57982e-41, 1.57982e-41, 1.57982e-41, 1.57982e-41, 1.57982e-41, 1.57982e-41, 6.86643e-15, 1.57982e-41, 1.17718e-17, 1.01391e-15, 2.53496e-12, 1.57982e-41, 1.57982e-41
0.431963, 0, 6.06785e-12, 2.6776e-40, 1.41421, -6.06785e-12, 2.6776e-40, 0, 2.6776e-40, 2.6776e-40, 2.6776e-40, 2.6776e-40, 2.6776e-40, 2.6776e-40, 1.63824e-14, 2.6776e-40, 2.83979e-17, 2.48756e-15, 6.04895e-12, 2.6776e-40, 2.6776e-40
0.440265, 0, 1.41957e-11, 3.93539e-39, 1.41421, -1.41957e-11, 3.93539e-39, 0, 3.93539e-39, 3.93539e-39, 3.93539e-39, 3.93539e-39, 3.93539e-39, 3.93539e-39, 3.83205e-14, 3.93539e-39, 6.72764e-17, 5.98536e-15, 1.41513e-11, 3.93539e-39, 3.93539e-39
0.448568, 0, 3.25646e-11, 5.13123e-38, 1.41421, -3.25646e-11, 5.13123e-38, 0, 5.13123e-38, 5.13123e-38, 5.13123e-38, 5.13123e-38, 5.13123e-38, 5.13123e-38, 8.78936e-14, 5.13123e-38, 1.5662e-16, 1.41274e-14, 3.24624e-11, 5.13123e-38, 5.13123e-38
0.45687, 0, 7.32607e-11, 5.99005e-37, 1.41421, -7.32607e-11, 5.99005e-37, 0, 5.99005e-37, 5.99005e-37, 5.99005e-37, 5.99005e-37, 5.99005e-37, 5.99005e-37, 1.9771e-13, 5.99005e-37, 3.58591e-16, 3.27208e-14, 7.303e-11, 5.99005e-37, 5.99005e-37
0.465172, 0, 1.61655e-10, 6.30453e-36, 1.41421, -1.61655e-10, 6.30453e-36, 0, 6.30453e-36, 6.30453e-36, 6.30453e-36, 6.30453e-36, 6.30453e-36, 6.30453e-36, 4.36227e-13, 6.30453e-36, 8.08292e-16, 7.43896e-14, 1.61144e-10, 6.30453e-36, 6.30453e-36
0.473474, 0, 3.49911e-10, 6.02079e-35, 1.41421, -3.49911e-10, 6.02079e-35, 0, 6.02079e-35, 6.02079e-35, 6.02079e-35, 6.02079e-35, 6.02079e-35, 6.02079e-35, 9.44238e-13, 6.02079e-35, 1.79603e-15, 1.66069e-13, 3.48799e-10, 6.02079e-35, 6.02079e-35
0.481776, 0, 7.43066e-10, 5.24824e-34, 1.41421, -7.43066e-10, 5.24824e-34, 0, 5.24824e-34, 5.24824e-34, 5.24824e-34, 5.24824e-34, 5.24824e-34, 5.24824e-34, 2.00542e-12, 5.24824e-34, 3.94029e-15, 3.64214e-13, 7.40692e-10, 5.24824e-34, 5.24824e-34
0.490078, 0, 1.54828e-09, 4.19888e-33, 1.41421, -1.54828e-09, 4.19888e-33, 0, 4.19888e-33, 4.19888e-33, 4.19888e-33, 4.19888e-33, 4.19888e-33, 4.19888e-33, 4.17988e-12, 4.19888e-33, 8.55141e-15, 7.85167e-13, 1.54331e-09, 4.19888e-33, 4.19888e-33
0.49838, 0, 3.16579e-09, 3.25869e-32, 1.41421, -3.16579e-09, 3.25869e-32, 0, 3.25869e-32, 3.25869e-32, 3.25869e-32, 3.25869e-32, 3.25869e-32, 3.25869e-32, 8.55148e-12, 3.25869e-32, 1.83995e-14, 1.66507e-12, 3.15555e-09, 3.25869e-32, 3.25869e-32
0.506682, 0, 6.35292e-09, 2.4109e-31, 1.41421, -6.35292e-09, 2.4109e-31, 0, 2.4109e-31, 2.4109e-31, 2.4109e-31, 2.4109e-31, 2.4109e-31, 2.4109e-31, 1.71765e-11, 2.4109e-31, 3.93448e-14, 3.47688e-12, 6.33223e-09, 2.4109e-31, 2.4109e-31
0.514985, 0, 1.25136e-08, 1.67432e-30, 1.41421, -1.25136e-08, 1.67432e-30, 0, 1.67432e-30, 1.67432e-30, 1.67432e-30, 1.67432e-30, 1.67432e-30, 1.67432e-30, 3.38811e-11, 1.67432e-30, 8.38215e-14, 7.15801e-12, 1.24725e-08, 1.67432e-30, 1.67432e-30
0.523287, 0, 2.41976e-08, 1.0868e-29, 1.41421, -2.41976e-08, 1.0868e-29, 0, 1.0868e-29, 1.0868e-29, 1.0868e-29, 1.0868e-29, 1.0868e-29, 1.0868e-29, 6.56498e-11, 1.0868e-29, 1.78316e-13, 1.45532e-11, 2.41172e-08, 1.0868e-29, 1.0868e-29
0.531589, 0, 4.59421e-08, 6.59822e-29, 1.41421, -4.59421e-08, 6.59822e-29, 0, 6.59822e-29, 6.59822e-29, 6.59822e-29, 6.59822e-29, 6.59822e-29, 6.59822e-29, 1.25002e-10, 6.59822e-29, 3.79442e-13, 2.92826e-11, 4.57874e-08, 6.59822e-29, 6.59822e-29
0.539891, 0, 8.56581e-08, 3.75633e-28, 1.41421, -8.56581e-08, 3.75633e-28, 0, 3.75633e-28, 3.75633e-28, 3.75633e-28, 3.75633e-28, 3.75633e-28, 3.75633e-28, 2.33974e-10, 3.75633e-28, 8.08369e-13, 5.8462e-11, 8.53649e-08, 3.75633e-28, 3.75633e-28
0.548193, 0, 1.56867e-07, 2.01184e-27, 1.41421, -1.56867e-07, 2.01184e-27, 0, 2.01184e-27, 2.01184e-27, 2.01184e-27, 2.01184e-27, 2.01184e-27, 2.01184e-27, 4.30709e-10, 2.01184e-27, 1.72399e-12, 1.16168e-10, 1.56318e-07, 2.01184e-27, 2.01184e-27
0.556495, 0, 2.82219e-07, 1.01725e-26, 1.41421, -2.82219e-07, 1.01725e-26, 0, 1.01725e-26, 1.01725e-26, 1.01725e-26, 1.01725e-26, 1.01725e-26, 1.01725e-26, 7.80139e-10, 1.01725e-26, 3.67629e-12, 2.30522e-10, 2.81205e-07, 1.01725e-26, 1.01725e-26
0.564797, 0, 4.98927e-07, 4.87233e-26, 1.41421, -4.98927e-07, 4.87233e-26, 0, 4.87233e-26, 4.87233e-26, 4.87233e-26, 4.87233e-26, 4.87233e-26, 4.87233e-26, 1.39113e-09, 4.87233e-26, 7.82266e-12, 4.58386e-10, 4.9707e-07, 4.87233e-26, 4.87233e-26
0.573099, 0, 8.66943e-07, 2.21788e-25, 1.41421, -8.66943e-07, 2.21788e-25, 0, 2.21788e-25, 2.21788e-25, 2.21788e-25, 2.21788e-25, 2.21788e-25, 2.21788e-25, 2.44346e-09, 2.21788e-25, 1.65662e-11, 9.16054e-10, 8.63567e-07, 2.21788e-25, 2.21788e-25
0.581402, 0, 1.48105e-06, 9.6242e-25, 1.41421, -1.48105e-06, 9.6242e-25, 0, 9.6242e-25, 9.6242e-25, 9.6242e-25, 1.25446e-12, 9.6242e-25, 9.6242e-25, 4.23001e-09, 9.6242e-25, 3.48158e-11, 1.84351e-09, 1.47494e-06, 9.6242e-25, 9.6242e-25
0.589704, 0, 2.48828e-06, 3.99254e-24, 1.41421, -2.48828e-06, 3.99254e-24, 0, 3.99254e-24, 3.99254e-24, 3.99254e-24, 6.21465e-12, 3.99254e-24, 3.99254e-24, 7.22118e-09, 3.99254e-24, 7.24081e-11, 3.73805e-09, 2.47724e-06, 3.99254e-24, 3.99254e-24
0.598006, 0.985982, 4.11493e-06, 1.59376e-23, 1.728, 0.985978, 5.03064e-10, 0, 8.49985e-14, 2.21617e-13, 3.6993e-12, 8.13817e-11, 2.86361e-11, 1.32787e-10, 1.21632e-08, 4.74575e-12, 1.48651e-10, 7.62905e-09, 4.09342e-06, 1.59376e-23, 8.12965e-10
0.606308, 0.0140178, 6.72773e-06, 2.72545e-08, 1.41916, 0.014011, 2.97347e-08, 2.72545e-08, 2.72549e-08, 2.72556e-08, 2.72728e-08, 2.76233e-08, 2.73957e-08, 2.79092e-08, 4.74773e-08, 2.72779e-08, 2.75552e-08, 4.28876e-08, 6.68387e-06, 2.72545e-08, 3.12626e-08
0.61461, 0, 1.0889e-05, 1.33839e-07, 1.41421, -1.0889e-05, 1.4362e-07, 1.33839e-07, 1.33841e-07, 1.33844e-07, 1.33911e-07, 1.35244e-07, 1.34396e-07, 1.36421e-07, 1.6704e-07, 1.33932e-07, 1.34437e-07, 1.6589e-07, 1.07928e-05, 1.33839e-07, 1.49646e-07
0.622912, 0, 1.75773e-05, 5.26409e-07, 1.41421, -1.75773e-05, 5.61602e-07, 5.26409e-07, 5.26415e-07, 5.26424e-07, 5.26667e-07, 5.3134e-07, 5.28412e-07, 5.35698e-07, 5.80245e-07, 5.26741e-07, 5.27577e-07, 5.91882e-07, 1.73479e-05, 5.26409e-07, 5.83282e-07
0.631214, 0.976333, 2.86755e-05, 1.89001e-06, 1.72521, 0.976304, 2.00867e-06, 1.89001e-06, 1.89003e-06, 1.89006e-06, 1.89088e-06, 1.9063e-06, 1.89676e-06, 1.92133e-06, 1.97625e-06, 1.89113e-06, 1.89225e-06, 2.02279e-06, 2.80874e-05, 1.89001e-06, 2.08177e-06
0.639516, 1.02367, 4.82857e-05, 6.3599e-06, 1.73887, 1.02362, 6.73735e-06, 6.3599e-06, 6.35996e-06, 6.36007e-06, 6.36268e-06, 6.41076e-06, 6.38139e-06, 6.45953e-06, 6.49639e-06, 6.36346e-06, 6.36412e-06, 6.62644e-06, 4.67125e-05, 6.3599e-06, 6.96987e-06
0.647819, 0, 8.61511e-05, 2.01932e-05, 1.41421, -8.61511e-05, 2.13284e-05, 2.01932e-05, 2.01934e-05, 2.01937e-05, 2.02016e-05, 2.03449e-05, 2.02579e-05, 2.04929e-05, 2.04067e-05, 2.02039e-05, 2.0201e-05, 2.07213e-05, 8.18967e-05, 2.01932e-05, 2.20276e-05
0.656121, 0, 0.000166168, 6.06192e-05, 1.41421, -0.000166168, 6.38495e-05, 6.06192e-05, 6.06198e-05, 6.06206e-05, 6.0643e-05, 6.10503e-05, 6.08031e-05, 6.14719e-05, 6.09492e-05, 6.06497e-05, 6.06334e-05, 6.16488e-05, 0.00015482, 6.06192e-05, 6.58394e-05
0.664423, 0, 0.00034635, 0.000172205, 1.41421, -0.00034635, 0.000180908, 0.000172205, 0.000172206, 0.000172209, 0.000172269, 0.000173375, 0.0001727, 0.000174502, 0.000172709, 0.000172287, 0.00017223, 0.00017418, 0.000316963, 0.000172205, 0.000186269
0.672725, 1, 0.0007625, 0.000463177, 1.73205, 0.999237, 0.000485389, 0.000463177, 0.00046318, 0.000463186, 0.00046334, 0.000466197, 0.000464441, 0.00046904, 0.000463939, 0.000463386, 0.000463221, 0.000466905, 0.000689322, 0.000463177, 0.000499072
0.681027, 0, 0.00171708, 0.00118012, 1.41421, -0.00171708, 0.00123385, 0.00118012, 0.00118013, 0.00118014, 0.00118052, 0.00118757, 0.00118318, 0.0011943, 0.00118126, 0.00118063, 0.0011802, 0.00118705, 0.00154276, 0.00118012, 0.00126694
0.689329, 1.95947, 0.00384622, 0.0028497, 1.98984, 1.95562, 0.00297292, 0.0028497, 0.00284972, 0.00284976, 0.00285061, 0.00286735, 0.00285672, 0.00288223, 0.0028514, 0.00285086, 0.00284984, 0.00286241, 0.00345, 0.0028497, 0.00304882
0.697631, 0.040535, 0.00840773, 0.00652502, 1.42847, 0.0321273, 0.00679314, 0.00652502, 0.00652507, 0.00652514, 0.00652699, 0.00656531, 0.00654028, 0.00659579, 0.00652753, 0.00652755, 0.00652525, 0.00654809, 0.00754955, 0.00652502, 0.0069583
0.705934, 1.9093, 0.0177328, 0.0141745, 1.97719, 1.89156, 0.0147284, 0.0141745, 0.0141746, 0.0141748, 0.0141786, 0.0142637, 0.0142061, 0.0143207, 0.0141782, 0.0141798, 0.0141749, 0.014216, 0.0159619, 0.0141745, 0.0150695
0.714236, 1.04294, 0.0358601, 0.0292307, 1.7444, 1.00708, 0.0303174, 0.0292307, 0.0292309, 0.0292312, 0.0292387, 0.0294229, 0.0292926, 0.0295175, 0.0292361, 0.0292409, 0.0292313, 0.0293049, 0.0323772, 0.0292307, 0.0309869
0.722538, 0.997592, 0.0693096, 0.0572605, 1.73136, 0.928282, 0.0592876, 0.0572605, 0.0572609, 0.0572614, 0.0572754, 0.0576658, 0.0573759, 0.0577956, 0.0572683, 0.0572796, 0.0572616, 0.0573924, 0.0627749, 0.0572605, 0.0605364
0.73084, 2.05018, 0.127849, 0.106626, 2.01251, 1.92233, 0.110223, 0.106626, 0.106626, 0.106627, 0.106652, 0.107464, 0.10683, 0.107575, 0.106637, 0.106659, 0.106627, 0.106858, 0.116137, 0.106626, 0.112439
0.739142, 0.944998, 0.224985, 0.188887, 1.7161, 0.720013, 0.194967, 0.188887, 0.188888, 0.18889, 0.188932, 0.190592, 0.189233, 0.190492, 0.188903, 0.188945, 0.18889, 0.189293, 0.204895, 0.188887, 0.198712
0.747444, 2.88275, 0.377806, 0.318609, 2.20969, 2.50494, 0.328403, 0.318609, 0.318611, 0.318613, 0.318681, 0.322007, 0.319167, 0.321194, 0.318631, 0.318701, 0.318614, 0.319306, 0.34475, 0.318609, 0.334436
0.755746, 2.11244, 0.605814, 0.512224, 2.02791, 1.50662, 0.52728, 0.512224, 0.512226, 0.51223, 0.512334, 0.518853, 0.513081, 0.516198, 0.512254, 0.512366, 0.512231, 0.513396, 0.553495, 0.512224, 0.536554
0.764048, 4.93535, 0.928545, 0.785757, 2.6335, 4.0068, 0.807875, 0.785757, 0.785761, 0.785767, 0.78592, 0.798356, 0.787017, 0.791596, 0.785798, 0.785966, 0.78577, 0.787676, 0.848632, 0.785757, 0.8215
0.772351, 5.8659, 1.36216, 1.15159, 2.80462, 4.50374, 1.18269, 1.15159, 1.1516, 1.1516, 1.15182, 1.17482, 1.15336, 1.1598, 1.15164, 1.15188, 1.15161, 1.15463, 1.24395, 1.15159, 1.20184
0.780653, 4.99033, 1.91555, 1.61478, 2.64392, 3.07478, 1.65669, 1.61478, 1.61479, 1.6148, 1.61509, 1.65614, 1.61716, 1.62584, 1.61485, 1.61517, 1.61481, 1.61943, 1.74564, 1.61478, 1.6825
0.788955, 1.19878, 2.58711, 2.16996, 1.78851, -1.38833, 2.22421, 2.16996, 2.16997, 2.16999, 2.17036, 2.24086, 2.17305, 2.18428, 2.17005, 2.17047, 2.17001, 2.17678, 2.349, 2.16996, 2.25763
0.797257, 4.71004, 3.36302, 2.79983, 2.59037, 1.34701, 2.86742, 2.79983, 2.79984, 2.79986, 2.80032, 2.91646, 2.80367, 2.81767, 2.79993, 2.80046, 2.7999, 2.80943, 3.03691, 2.79983, 2.90907
0.805559, 9.76513, 4.21813, 3.47603, 3.43003, 5.547, 3.55732, 3.47603, 3.47604, 3.47606, 3.47663, 3.6598, 3.48066, 3.49749, 3.47615, 3.47679, 3.47613, 3.48895, 3.78105, 3.47603, 3.6074
0.813861, 8.28748, 5.11937, 4.16259, 3.20741, 3.16811, 4.2572, 4.16259, 4.16261, 4.16263, 4.16329, 4.43949, 4.16798, 4.18757, 4.16273, 4.16349, 4.16274, 4.17922, 4.54603, 4.16259, 4.31551
0.822163, 5.9904, 6.03135, 4.82126, 2.82673, -0.0409527, 4.92815, 4.82126, 4.82128, 4.8213, 4.82204, 5.21981, 4.82734, 4.84947, 4.82141, 4.82227, 4.82146, 4.84167, 5.29617, 4.82126, 4.99406
0.830465, 13.3381, 6.92281, 5.41734, 3.91639, 6.41529, 5.53498, 5.41734, 5.41736, 5.41739, 5.4182, 5.96491, 5.42403, 5.44839, 5.4175, 5.41845, 5.41761, 5.44126, 6.00318, 5.41734, 5.60759
0.838768, 8.64261, 7.77275, 5.92476, 3.2623, 0.869863, 6.05133, 5.92476, 5.92478, 5.92482, 5.92569, 6.64255, 5.93197, 5.95817, 5.92494, 5.92596, 5.92511, 5.95151, 6.65344, 5.92476, 6.12962
0.84707, 12.5585, 8.57494, 6.329, 3.81557, 3.98361, 6.4626, 6.329, 6.32902, 6.32906, 6.32998, 7.22649, 6.3366, 6.36426, 6.32919, 6.33025, 6.32944, 6.35754, 7.25288, 6.329, 6.5456
