   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_10.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0571809, 238, 1.01292e-21, 0, 15.4919, 238, 0, 0, 0, 0, 0, 0, 0, 0, 2.14907e-24, 0, 0, 7.1635e-27, 6.27841e-26, 0, 1.0107e-21, 0, 0
0.0649134, 280, 2.773e-21, 0, 16.7929, 280, 0, 0, 0, 0, 0, 0, 0, 0, 5.88336e-24, 0, 0, 1.97829e-26, 1.78178e-25, 0, 2.76692e-21, 0, 0
0.0726459, 0, 7.39675e-21, 0, 1.41421, -7.39675e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.56934e-23, 0, 0, 5.32311e-26, 4.90959e-25, 0, 7.38051e-21, 0, 0
0.0803783, 0, 1.92679e-20, 0, 1.41421, -1.92679e-20, 0, 0, 0, 0, 0, 0, 0, 0, 4.08798e-23, 0, 0, 1.39882e-25, 1.31751e-24, 0, 1.92256e-20, 0, 0
0.0881108, 0, 4.91055e-20, 0, 1.41421, -4.91055e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.04185e-22, 0, 0, 3.59666e-25, 3.45169e-24, 0, 4.89975e-20, 0, 0
0.0958433, 0, 1.22626e-19, 0, 1.41421, -1.22626e-19, 0, 0, 0, 0, 0, 0, 0, 0, 2.60168e-22, 0, 0, 9.06241e-25, 8.84532e-24, 0, 1.22356e-19, 0, 0
0.103576, 0, 3.00425e-19, 0, 1.41421, -3.00425e-19, 0, 0, 0, 0, 0, 0, 0, 0, 6.37392e-22, 0, 0, 2.24056e-24, 2.22069e-23, 0, 2.99763e-19, 0, 0
0.111308, 0, 7.56164e-19, 0, 1.41421, -7.56164e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.6043e-21, 0, 0, 5.71668e-24, 5.77418e-23, 0, 7.54496e-19, 0, 0
0.119041, 0, 1.77933e-18, 0, 1.41421, -1.77933e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.77508e-21, 0, 0, 1.35778e-23, 1.38825e-22, 0, 1.7754e-18, 0, 0
0.126773, 0, 4.12188e-18, 0, 1.41421, -4.12188e-18, 0, 0, 0, 0, 0, 0, 0, 0, 8.74508e-21, 0, 0, 3.17551e-23, 3.28372e-22, 0, 4.11277e-18, 0, 0
0.134506, 0, 9.40591e-18, 0, 1.41421, -9.40591e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.99558e-20, 0, 0, 7.31766e-23, 7.64726e-22, 0, 9.38512e-18, 0, 0
0.142238, 0, 2.11554e-17, 0, 1.41421, -2.11554e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.48837e-20, 0, 0, 1.6625e-22, 1.75462e-21, 0, 2.11086e-17, 0, 0
0.149971, 0, 4.69218e-17, 0, 1.41421, -4.69218e-17, 0, 0, 0, 0, 0, 0, 0, 0, 9.95501e-20, 0, 0, 3.72571e-22, 3.96882e-21, 0, 4.68179e-17, 0, 0
0.157703, 0, 1.02674e-16, 0, 1.41421, -1.02674e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.17835e-19, 0, 0, 8.23994e-22, 8.85479e-21, 0, 1.02447e-16, 0, 0
0.165436, 0, 2.21749e-16, 0, 1.41421, -2.21749e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.70465e-19, 0, 0, 1.79926e-21, 1.94961e-20, 0, 2.21257e-16, 0, 0
0.173168, 0, 4.72867e-16, 0, 1.41421, -4.72867e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.00324e-18, 0, 0, 3.88054e-21, 4.23809e-20, 0, 4.71817e-16, 0, 0
0.180901, 0, 9.95957e-16, 0, 1.41421, -9.95957e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.11302e-18, 0, 0, 8.26938e-21, 9.09952e-20, 0, 9.93745e-16, 0, 0
0.188633, 0, 2.07255e-15, 0, 1.41421, -2.07255e-15, 0, 0, 0, 0, 0, 0, 0, 0, 4.39711e-18, 0, 0, 1.74174e-20, 1.93046e-19, 0, 2.06794e-15, 0, 0
0.196366, 0, 4.26236e-15, 0, 1.41421, -4.26236e-15, 0, 0, 0, 0, 0, 0, 0, 0, 9.04297e-18, 0, 0, 3.62702e-20, 4.04801e-19, 0, 4.25287e-15, 0, 0
0.204098, 0, 8.66539e-15, 0, 1.41421, -8.66539e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.83844e-17, 0, 0, 7.46951e-20, 8.39267e-19, 0, 8.64609e-15, 0, 0
0.211831, 0, 1.7419e-14, 0, 1.41421, -1.7419e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.69557e-17, 0, 0, 1.52167e-19, 1.72093e-18, 0, 1.73801e-14, 0, 0
0.219563, 0, 3.46291e-14, 0, 1.41421, -3.46291e-14, 0, 0, 0, 0, 0, 0, 0, 0, 7.34681e-17, 0, 0, 3.06712e-19, 3.49093e-18, 0, 3.45518e-14, 0, 0
0.227295, 0, 6.8097e-14, 0, 1.41421, -6.8097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.44472e-16, 0, 0, 6.11808e-19, 7.00722e-18, 0, 6.79449e-14, 0, 0
0.235028, 0, 1.32482e-13, 0, 1.41421, -1.32482e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.81068e-16, 0, 0, 1.20797e-18, 1.39212e-17, 0, 1.32186e-13, 0, 0
0.24276, 0, 2.55034e-13, 0, 1.41421, -2.55034e-13, 0, 0, 0, 0, 0, 0, 0, 0, 5.41067e-16, 0, 0, 2.36118e-18, 2.73793e-17, 0, 2.54463e-13, 0, 0
0.250493, 0, 4.85859e-13, 0, 1.41421, -4.85859e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.03077e-15, 0, 0, 4.57005e-18, 5.33184e-17, 0, 4.8477e-13, 0, 0
0.258225, 0, 9.1612e-13, 0, 1.41421, -9.1612e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.94359e-15, 0, 0, 8.76006e-18, 1.02831e-16, 0, 9.14065e-13, 0, 0
0.265958, 0, 1.70992e-12, 0, 1.41421, -1.70992e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.62766e-15, 0, 0, 1.66326e-17, 1.96444e-16, 0, 1.70608e-12, 0, 0
