   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_17.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.354077, 0, 6.10047e-07, 1.84343e-30, 1.41421, -6.10047e-07, 1.84343e-30, 0, 1.84343e-30, 1.84343e-30, 1.84343e-30, 1.84343e-30, 1.84343e-30, 1.84343e-30, 1.84343e-30, 1.84343e-30, 2.18316e-09, 1.84343e-30, 1.84343e-30, 2.66122e-11, 1.01911e-09, 1.84343e-30, 6.06818e-07, 1.84343e-30, 1.84343e-30
0.361976, 0, 8.25273e-07, 2.68171e-29, 1.41421, -8.25273e-07, 2.68171e-29, 0, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.68171e-29, 2.96574e-09, 2.68171e-29, 2.68171e-29, 4.00651e-11, 1.50358e-09, 2.68171e-29, 8.20763e-07, 2.68171e-29, 2.68171e-29
0.369874, 0, 1.11075e-06, 1.34267e-28, 1.41421, -1.11075e-06, 1.34267e-28, 0, 1.34267e-28, 1.34267e-28, 1.34267e-28, 1.34267e-28, 1.34267e-28, 1.34267e-28, 1.34267e-28, 1.34267e-28, 4.0104e-09, 1.34267e-28, 1.34267e-28, 6.02247e-11, 2.21185e-09, 1.34267e-28, 1.10447e-06, 1.34267e-28, 1.34267e-28
0.377772, 0, 1.48748e-06, 6.33549e-28, 1.41421, -1.48748e-06, 6.33549e-28, 0, 6.33549e-28, 6.33549e-28, 6.33549e-28, 6.33549e-28, 6.33549e-28, 6.33549e-28, 6.33549e-28, 6.33549e-28, 5.3989e-09, 6.33549e-28, 6.33549e-28, 9.04457e-11, 3.24526e-09, 6.33549e-28, 1.47875e-06, 6.33549e-28, 6.33549e-28
0.38567, 0, 1.98211e-06, 2.82533e-27, 1.41421, -1.98211e-06, 2.82533e-27, 0, 2.82533e-27, 2.82533e-27, 2.82533e-27, 2.82533e-27, 2.82533e-27, 2.82533e-27, 2.82533e-27, 2.82533e-27, 7.23648e-09, 2.82533e-27, 2.82533e-27, 1.35663e-10, 4.74852e-09, 2.82533e-27, 1.96999e-06, 2.82533e-27, 2.82533e-27
0.393569, 0, 2.62826e-06, 1.19409e-26, 1.41421, -2.62826e-06, 1.19409e-26, 0, 1.19409e-26, 1.19409e-26, 1.19409e-26, 1.19409e-26, 1.19409e-26, 1.19409e-26, 1.19409e-26, 1.19409e-26, 9.6582e-09, 1.19409e-26, 1.19409e-26, 2.0316e-10, 6.92818e-09, 1.19409e-26, 2.61147e-06, 1.19409e-26, 1.19409e-26
0.401467, 0, 3.46815e-06, 4.79563e-26, 1.41421, -3.46815e-06, 4.79563e-26, 0, 4.79563e-26, 4.79563e-26, 4.79563e-26, 4.79563e-26, 4.79563e-26, 4.79563e-26, 4.79563e-26, 4.79563e-26, 1.28367e-08, 4.79563e-26, 4.79563e-26, 3.03636e-10, 1.00776e-08, 4.79563e-26, 3.44493e-06, 4.79563e-26, 4.79563e-26
0.409365, 0, 4.55454e-06, 1.83493e-25, 1.41421, -4.55454e-06, 1.83493e-25, 0, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.83493e-25, 1.69918e-08, 1.83493e-25, 1.83493e-25, 4.52732e-10, 1.46112e-08, 1.83493e-25, 4.52249e-06, 1.83493e-25, 1.83493e-25
0.417263, 0, 5.95298e-06, 6.70542e-25, 1.41421, -5.95298e-06, 6.70542e-25, 0, 6.70542e-25, 6.70542e-25, 6.70542e-25, 6.70542e-25, 6.70542e-25, 6.70542e-25, 6.70542e-25, 6.70542e-25, 2.24023e-08, 6.70542e-25, 6.70542e-25, 6.73193e-10, 2.11113e-08, 6.70542e-25, 5.90879e-06, 6.70542e-25, 6.70542e-25
0.425162, 0, 7.74448e-06, 2.36423e-24, 1.41421, -7.74448e-06, 2.36423e-24, 0, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.36423e-24, 2.94204e-08, 2.36423e-24, 2.36423e-24, 9.9791e-10, 3.0391e-08, 2.36423e-24, 7.68367e-06, 2.36423e-24, 2.36423e-24
0.43306, 0, 1.0046e-05, 1.51219e-08, 1.41421, -1.0046e-05, 1.51636e-08, 1.51219e-08, 1.51222e-08, 1.51223e-08, 1.51231e-08, 1.51238e-08, 1.51231e-08, 1.5202e-08, 1.51239e-08, 1.53576e-08, 5.36122e-08, 1.51293e-08, 1.51222e-08, 1.65961e-08, 5.87006e-08, 1.51219e-08, 9.96131e-06, 1.51219e-08, 1.59304e-08
0.440958, 0, 1.29813e-05, 4.67923e-08, 1.41421, -1.29813e-05, 4.69216e-08, 4.67923e-08, 4.6793e-08, 4.67935e-08, 4.6796e-08, 4.6798e-08, 4.6796e-08, 4.70406e-08, 4.67984e-08, 4.75236e-08, 9.69599e-08, 4.68153e-08, 4.6793e-08, 4.8962e-08, 1.09022e-07, 4.67924e-08, 1.2863e-05, 4.67923e-08, 4.93007e-08
0.448856, 0, 1.67201e-05, 1.11518e-07, 1.41421, -1.67201e-05, 1.11827e-07, 1.11518e-07, 1.1152e-07, 1.11521e-07, 1.11527e-07, 1.11531e-07, 1.11527e-07, 1.12111e-07, 1.11532e-07, 1.13264e-07, 1.76665e-07, 1.11573e-07, 1.1152e-07, 1.14699e-07, 1.99991e-07, 1.11518e-07, 1.65546e-05, 1.11518e-07, 1.17508e-07
0.456755, 0, 2.14792e-05, 2.4102e-07, 1.41421, -2.14792e-05, 2.41689e-07, 2.4102e-07, 2.41024e-07, 2.41026e-07, 2.41039e-07, 2.41049e-07, 2.41039e-07, 2.42304e-07, 2.41052e-07, 2.44801e-07, 3.25312e-07, 2.41139e-07, 2.41024e-07, 2.45663e-07, 3.66223e-07, 2.4102e-07, 2.12462e-05, 2.4102e-07, 2.53989e-07
0.464653, 0, 2.75473e-05, 4.95411e-07, 1.41421, -2.75473e-05, 4.96787e-07, 4.95411e-07, 4.95419e-07, 4.95424e-07, 4.9545e-07, 4.95472e-07, 4.9545e-07, 4.98053e-07, 4.95476e-07, 5.03192e-07, 6.04084e-07, 4.95656e-07, 4.95419e-07, 5.02157e-07, 6.71735e-07, 4.95412e-07, 2.72166e-05, 4.95411e-07, 5.221e-07
0.472551, 0, 3.5318e-05, 9.86223e-07, 1.41421, -3.5318e-05, 9.88965e-07, 9.86223e-07, 9.86239e-07, 9.86248e-07, 9.86301e-07, 9.86343e-07, 9.86301e-07, 9.91487e-07, 9.86352e-07, 1.00173e-06, 1.12583e-06, 9.8671e-07, 9.86238e-07, 9.95979e-07, 1.23354e-06, 9.86224e-07, 3.48436e-05, 9.86223e-07, 1.0394e-06
0.480449, 0, 4.53449e-05, 1.91673e-06, 1.41421, -4.53449e-05, 1.92206e-06, 1.91673e-06, 1.91676e-06, 1.91678e-06, 1.91688e-06, 1.91696e-06, 1.91688e-06, 1.92697e-06, 1.91698e-06, 1.94688e-06, 2.09545e-06, 1.91768e-06, 1.91676e-06, 1.93077e-06, 2.2616e-06, 1.91673e-06, 4.46563e-05, 1.91673e-06, 2.02015e-06
0.488348, 0, 5.84332e-05, 3.65071e-06, 1.41421, -5.84332e-05, 3.66087e-06, 3.65071e-06, 3.65077e-06, 3.6508e-06, 3.651e-06, 3.65116e-06, 3.651e-06, 3.67022e-06, 3.65119e-06, 3.70817e-06, 3.87872e-06, 3.65252e-06, 3.65077e-06, 3.67082e-06, 4.12909e-06, 3.65071e-06, 5.74189e-05, 3.65071e-06, 3.8478e-06
0.496246, 0, 7.57859e-05, 6.82733e-06, 1.41421, -7.57859e-05, 6.84634e-06, 6.82733e-06, 6.82744e-06, 6.82751e-06, 6.82787e-06, 6.82816e-06, 6.82787e-06, 6.86383e-06, 6.82822e-06, 6.93483e-06, 7.11719e-06, 6.83071e-06, 6.82743e-06, 6.85599e-06, 7.48735e-06, 6.82734e-06, 7.4269e-05, 6.82733e-06, 7.19609e-06
0.504144, 0, 9.92421e-05, 1.25495e-05, 1.41421, -9.92421e-05, 1.25844e-05, 1.25495e-05, 1.25497e-05, 1.25498e-05, 1.25505e-05, 1.2551e-05, 1.25505e-05, 1.26166e-05, 1.25511e-05, 1.27472e-05, 1.29167e-05, 1.25557e-05, 1.25497e-05, 1.25901e-05, 1.34552e-05, 1.25495e-05, 9.69385e-05, 1.25495e-05, 1.32276e-05
0.512042, 0, 0.000131648, 2.26854e-05, 1.41421, -0.000131648, 2.27487e-05, 2.26854e-05, 2.26858e-05, 2.2686e-05, 2.26872e-05, 2.26882e-05, 2.26872e-05, 2.28068e-05, 2.26884e-05, 2.30429e-05, 2.31491e-05, 2.26967e-05, 2.26858e-05, 2.27428e-05, 2.39214e-05, 2.26854e-05, 0.0001281, 2.26854e-05, 2.39118e-05
0.519941, 0, 0.000177451, 4.03437e-05, 1.41421, -0.000177451, 4.04562e-05, 4.03437e-05, 4.03443e-05, 4.03447e-05, 4.03469e-05, 4.03486e-05, 4.03469e-05, 4.05597e-05, 4.0349e-05, 4.09798e-05, 4.09272e-05, 4.03637e-05, 4.03443e-05, 4.04242e-05, 4.20214e-05, 4.03437e-05, 0.000171924, 4.03437e-05, 4.25256e-05
0.527839, 0, 0.000243609, 7.06111e-05, 1.41421, -0.000243609, 7.0808e-05, 7.06111e-05, 7.06122e-05, 7.06129e-05, 7.06167e-05, 7.06197e-05, 7.06166e-05, 7.09892e-05, 7.06203e-05, 7.17248e-05, 7.13429e-05, 7.0646e-05, 7.06121e-05, 7.07235e-05, 7.2876e-05, 7.06111e-05, 0.000234923, 7.06111e-05, 7.44317e-05
0.535737, 0, 0.000340894, 0.000121613, 1.41421, -0.000340894, 0.000121953, 0.000121613, 0.000121615, 0.000121617, 0.000121623, 0.000121628, 0.000121623, 0.000122265, 0.000121629, 0.000123533, 0.000122528, 0.000121674, 0.000121615, 0.00012177, 0.000124655, 0.000121614, 0.00032717, 0.000121613, 0.000128197
0.543635, 0, 0.000485994, 0.000206187, 1.41421, -0.000485994, 0.000206763, 0.000206187, 0.00020619, 0.000206192, 0.000206203, 0.000206212, 0.000206203, 0.000207292, 0.000206214, 0.000209442, 0.000207327, 0.000206289, 0.00020619, 0.000206403, 0.000210252, 0.000206187, 0.000464271, 0.000206187, 0.000217353
0.551534, 0, 0.000704243, 0.000344171, 1.41421, -0.000704243, 0.000345132, 0.000344171, 0.000344176, 0.000344179, 0.000344198, 0.000344213, 0.000344198, 0.000346016, 0.000344216, 0.000349607, 0.000345587, 0.000344341, 0.000344176, 0.000344468, 0.000349576, 0.000344171, 0.0006699, 0.000344171, 0.000362819
0.559432, 0, 0.00103377, 0.000565682, 1.41421, -0.00103377, 0.000567264, 0.000565682, 0.000565691, 0.000565697, 0.000565727, 0.000565752, 0.000565727, 0.000568718, 0.000565756, 0.000574622, 0.000567436, 0.000565963, 0.000565691, 0.00056609, 0.000572838, 0.000565683, 0.000979679, 0.000565682, 0.000596348
0.56733, 0, 0.00153105, 0.000915628, 1.41421, -0.00153105, 0.000918188, 0.000915628, 0.000915642, 0.000915651, 0.0009157, 0.00091574, 0.0009157, 0.000920543, 0.000915748, 0.000930105, 0.000917794, 0.000916082, 0.000915642, 0.000916183, 0.000925062, 0.000915628, 0.00144639, 0.000915628, 0.00096529
0.575228, 0, 0.00227846, 0.0014597, 1.41421, -0.00227846, 0.00146379, 0.0014597, 0.00145973, 0.00145974, 0.00145982, 0.00145988, 0.00145982, 0.00146754, 0.0014599, 0.0014828, 0.00146237, 0.00146043, 0.00145973, 0.00146046, 0.00147209, 0.0014597, 0.00214699, 0.0014597, 0.00153892
0.583127, 0, 0.00339411, 0.00229229, 1.41421, -0.00339411, 0.00229871, 0.00229229, 0.00229233, 0.00229235, 0.00229247, 0.00229257, 0.00229247, 0.00230461, 0.00229259, 0.00232858, 0.00229557, 0.00229343, 0.00229233, 0.00229331, 0.00230851, 0.00229229, 0.00319186, 0.00229229, 0.00241677
0.591025, 0, 0.00504451, 0.0035464, 1.41421, -0.00504451, 0.00355634, 0.0035464, 0.00354646, 0.0035465, 0.00354669, 0.00354684, 0.00354669, 0.00356548, 0.00354687, 0.00360258, 0.00355042, 0.00354817, 0.00354646, 0.00354778, 0.00356757, 0.00354641, 0.00473662, 0.0035464, 0.00373911
0.598923, 0, 0.00746032, 0.00540605, 1.41421, -0.00746032, 0.00542121, 0.00540605, 0.00540614, 0.00540619, 0.00540648, 0.00540671, 0.00540648, 0.00543514, 0.00540676, 0.00549174, 0.00541097, 0.00540874, 0.00540613, 0.0054079, 0.00543361, 0.00540606, 0.00699686, 0.00540605, 0.00570001
0.606821, 0, 0.0109553, 0.00812092, 1.41421, -0.0109553, 0.0081437, 0.00812092, 0.00812105, 0.00812113, 0.00812157, 0.00812192, 0.00812156, 0.00816465, 0.00812199, 0.00824972, 0.00812692, 0.00812496, 0.00812105, 0.0081234, 0.00815671, 0.00812093, 0.010266, 0.00812092, 0.00856282
0.61472, 0, 0.0159488, 0.0120232, 1.41421, -0.0159488, 0.012057, 0.0120232, 0.0120234, 0.0120235, 0.0120242, 0.0120247, 0.0120242, 0.012088, 0.0120248, 0.012214, 0.0120305, 0.0120292, 0.0120234, 0.0120265, 0.0120696, 0.0120232, 0.0149359, 0.0120232, 0.012678
0.622618, 0, 0.0229905, 0.0175464, 1.41421, -0.0229905, 0.0175957, 0.0175464, 0.0175467, 0.0175469, 0.0175478, 0.0175486, 0.0175478, 0.017641, 0.0175487, 0.0178251, 0.0175553, 0.0175552, 0.0175467, 0.0175508, 0.0176064, 0.0175464, 0.0215212, 0.0175464, 0.0185027
0.630516, 0, 0.0327882, 0.0252447, 1.41421, -0.0327882, 0.0253156, 0.0252447, 0.0252451, 0.0252453, 0.0252467, 0.0252478, 0.0252467, 0.0253809, 0.025248, 0.025646, 0.0252555, 0.0252573, 0.0252451, 0.0252505, 0.0253222, 0.0252447, 0.0306838, 0.0252447, 0.0266218
