   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_13.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0204795, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125272, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0045748, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00337756, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0113299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0192823, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0272346, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.035187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0431393, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0510917, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0590441, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0669964, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0749488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0829011, 0, 6.89754e-28, 0, 1.41421, -6.89754e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8718e-30, 0, 0, 4.28666e-33, 1.52388e-32, 0, 6.86863e-28, 0, 0
0.0908535, 0, 5.92069e-27, 0, 1.41421, -5.92069e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46506e-29, 0, 0, 3.67953e-32, 1.89973e-31, 0, 5.89581e-27, 0, 0
0.0988058, 0, 3.51479e-26, 0, 1.41421, -3.51479e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46336e-28, 0, 0, 2.18655e-31, 1.37222e-30, 0, 3.49999e-26, 0, 0
0.106758, 0, 1.74663e-25, 0, 1.41421, -1.74663e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27195e-28, 0, 0, 1.08873e-30, 7.74561e-30, 0, 1.73927e-25, 0, 0
0.114711, 0, 7.755e-25, 0, 1.41421, -7.755e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22872e-27, 0, 0, 4.84658e-30, 3.77352e-29, 0, 7.72229e-25, 0, 0
0.122663, 0, 3.17393e-24, 0, 1.41421, -3.17393e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32143e-26, 0, 0, 1.98958e-29, 1.66101e-28, 0, 3.16053e-24, 0, 0
