   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_0.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0353304, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0272732, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0192161, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0111589, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00310173, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00495544, 0, 4.40195e-23, 0, 1.41421, -4.40195e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87999e-25, 0, 0, 1.66332e-28, 2.59225e-27, 0, 4.38287e-23, 0, 0
0.0130126, 0, 1.21483e-22, 0, 1.41421, -1.21483e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18831e-25, 0, 0, 4.64261e-28, 7.39678e-27, 0, 1.20957e-22, 0, 0
0.0210698, 0, 3.26064e-22, 0, 1.41421, -3.26064e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39255e-24, 0, 0, 1.26043e-27, 2.04549e-26, 0, 3.2465e-22, 0, 0
0.0291269, 0, 8.53606e-22, 0, 1.41421, -8.53606e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64557e-24, 0, 0, 3.338e-27, 5.5022e-26, 0, 8.49902e-22, 0, 0
0.0371841, 0, 2.18464e-21, 0, 1.41421, -2.18464e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33014e-24, 0, 0, 8.64308e-27, 1.44379e-25, 0, 2.17516e-21, 0, 0
0.0452413, 0, 5.47628e-21, 0, 1.41421, -5.47628e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3388e-23, 0, 0, 2.1922e-26, 3.70418e-25, 0, 5.4525e-21, 0, 0
0.0532984, 0, 1.34663e-20, 0, 1.41421, -1.34663e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75114e-23, 0, 0, 5.45512e-26, 9.30935e-25, 0, 1.34078e-20, 0, 0
0.0613556, 0, 3.25264e-20, 0, 1.41421, -3.25264e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38912e-22, 0, 0, 1.33356e-25, 2.29546e-24, 0, 3.2385e-20, 0, 0
0.0694128, 0, 7.72561e-20, 0, 1.41421, -7.72561e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29942e-22, 0, 0, 3.2062e-25, 5.5605e-24, 0, 7.69202e-20, 0, 0
0.0774699, 0, 1.80615e-19, 0, 1.41421, -1.80615e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71363e-22, 0, 0, 7.58861e-25, 1.32476e-23, 0, 1.7983e-19, 0, 0
0.0855271, 0, 4.1597e-19, 0, 1.41421, -4.1597e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7765e-21, 0, 0, 1.76967e-24, 3.10712e-23, 0, 4.1416e-19, 0, 0
0.0935843, 0, 9.44428e-19, 0, 1.41421, -9.44428e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03341e-21, 0, 0, 4.06911e-24, 7.1803e-23, 0, 9.40319e-19, 0, 0
0.101641, 0, 2.1152e-18, 0, 1.41421, -2.1152e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.03346e-21, 0, 0, 9.23134e-24, 1.6361e-22, 0, 2.10599e-18, 0, 0
0.109699, 0, 4.67576e-18, 0, 1.41421, -4.67576e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99689e-20, 0, 0, 2.06745e-23, 3.67822e-22, 0, 4.6554e-18, 0, 0
0.117756, 0, 1.02067e-17, 0, 1.41421, -1.02067e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.359e-20, 0, 0, 4.57332e-23, 8.16355e-22, 0, 1.01623e-17, 0, 0
0.125813, 0, 2.20112e-17, 0, 1.41421, -2.20112e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40036e-20, 0, 0, 9.99655e-23, 1.78959e-21, 0, 2.19153e-17, 0, 0
