PMC,x,y,z
32,-0.128229,0.135113,0.242452
33,-0.127939,0.135113,0.24245100000000003
34,-0.127649,0.135113,0.24245
35,-0.12736,0.13511199999999998,0.24244899999999997
36,-0.12707000000000002,0.13511199999999998,0.242448
37,-0.12707000000000002,0.134823,0.242448
38,-0.12736,0.134823,0.24244899999999997
39,-0.12765,0.134824,0.24245
40,-0.12794,0.134824,0.24245100000000003
41,-0.128229,0.134824,0.242452
42,-0.12822999999999998,0.134535,0.242452
43,-0.12794,0.134535,0.24245100000000003
44,-0.12765,0.134534,0.24245
45,-0.12736,0.134534,0.24244899999999997
46,-0.12707000000000002,0.134534,0.242448
47,-0.12707000000000002,0.134245,0.242448
48,-0.12736,0.134245,0.24244899999999997
49,-0.12765,0.134245,0.24245
50,-0.12794,0.134245,0.24245100000000003
51,-0.12822999999999998,0.134246,0.242452
52,-0.12822999999999998,0.133956,0.242452
53,-0.12794,0.133956,0.24245100000000003
54,-0.12765,0.133956,0.24245
55,-0.12736,0.133956,0.24244899999999997
56,-0.12707100000000002,0.133956,0.242448
59,-0.133972,0.13178299999999998,0.24247
60,-0.133952,0.131773,0.24247
61,-0.133933,0.131754,0.24247
62,-0.133914,0.131735,0.24247
63,-0.133895,0.131725,0.24247
64,-0.133875,0.131705,0.24247
65,-0.133856,0.131696,0.24247
66,-0.13383599999999998,0.131677,0.24247
67,-0.13381700000000002,0.131658,0.24247
68,-0.133798,0.13164800000000002,0.24247
69,-0.13378800000000002,0.131628,0.24247
70,-0.133769,0.131619,0.242469
71,-0.133749,0.1316,0.242469
72,-0.13373,0.13158,0.242469
73,-0.133711,0.131571,0.242469
74,-0.133691,0.131551,0.242469
75,-0.133672,0.13153199999999998,0.242469
76,-0.133653,0.131523,0.242469
77,-0.133634,0.131503,0.242469
78,-0.133615,0.131493,0.242469
79,-0.133604,0.131474,0.242469
80,-0.13358599999999998,0.131455,0.242469
81,-0.13356600000000002,0.131445,0.242469
82,-0.133547,0.131426,0.242469
83,-0.133527,0.131407,0.242469
84,-0.133508,0.131397,0.242469
85,-0.133489,0.131377,0.242469
86,-0.13347,0.131368,0.242469
87,-0.13345,0.131349,0.242468
88,-0.133431,0.13133,0.242468
89,-0.133412,0.13132,0.242468
90,-0.133402,0.1313,0.242468
91,-0.133382,0.13128099999999998,0.242468
92,-0.133363,0.131271,0.242468
93,-0.13334400000000002,0.131252,0.242468
94,-0.133325,0.131242,0.242468
95,-0.133305,0.131223,0.242468
96,-0.133286,0.131204,0.242468
97,-0.133266,0.131195,0.242468
98,-0.133247,0.131175,0.242468
99,-0.133228,0.131156,0.242468
100,-0.133218,0.131146,0.242468
101,-0.133199,0.131127,0.242468
102,-0.13318,0.131117,0.242468
103,-0.13316,0.131098,0.242468
104,-0.133141,0.131079,0.242467
105,-0.133122,0.13106900000000002,0.242467
106,-0.133103,0.131049,0.242467
107,-0.13308299999999998,0.13103,0.242467
108,-0.13306400000000002,0.131021,0.242467
109,-0.133045,0.131001,0.242467
110,-0.133364,0.130636,0.242468
111,-0.133383,0.130655,0.242468
112,-0.133402,0.130665,0.242468
113,-0.133421,0.130684,0.242468
114,-0.133441,0.130703,0.242468
115,-0.13345,0.13071300000000002,0.242468
116,-0.13347,0.130732,0.242469
117,-0.133489,0.130751,0.242469
118,-0.133509,0.130761,0.242469
119,-0.133528,0.13078,0.242469
120,-0.133548,0.13079000000000002,0.242469
121,-0.13356700000000002,0.13080899999999998,0.242469
122,-0.13358599999999998,0.130828,0.242469
123,-0.133605,0.130838,0.242469
124,-0.133624,0.130857,0.242469
125,-0.133634,0.130876,0.242469
126,-0.133654,0.130886,0.242469
127,-0.133673,0.130906,0.242469
128,-0.133692,0.130915,0.242469
129,-0.133711,0.130935,0.242469
130,-0.133731,0.130954,0.242469
131,-0.13375,0.13096300000000002,0.242469
132,-0.133769,0.130983,0.24247
133,-0.13378900000000002,0.131002,0.24247
134,-0.13380799999999998,0.131012,0.24247
135,-0.13381700000000002,0.13103099999999998,0.24247
136,-0.13383699999999998,0.13104000000000002,0.24247
137,-0.133856,0.13105999999999998,0.24247
138,-0.133876,0.131079,0.24247
139,-0.133895,0.131089,0.24247
140,-0.133914,0.131108,0.24247
141,-0.133933,0.131118,0.24247
142,-0.133953,0.13113699999999998,0.24247
143,-0.133972,0.131156,0.24247
144,-0.133991,0.131166,0.24247
145,-0.134001,0.131185,0.24247
146,-0.13402,0.131205,0.24247
147,-0.13404000000000002,0.131214,0.24247
148,-0.13405899999999998,0.131233,0.24247
149,-0.134078,0.131243,0.24247
150,-0.134098,0.131262,0.242471
151,-0.134117,0.13128099999999998,0.242471
152,-0.13413599999999998,0.13129100000000002,0.242471
153,-0.134156,0.13131099999999998,0.242471
154,-0.134175,0.13133,0.242471
155,-0.134185,0.131339,0.242471
156,-0.134204,0.131359,0.242471
157,-0.134223,0.131369,0.242471
158,-0.134242,0.131388,0.242471
159,-0.134262,0.131407,0.242471
160,-0.13428099999999998,0.131417,0.242471
161,-0.13459100000000002,0.131051,0.242472
162,-0.134581,0.13104100000000002,0.242472
163,-0.134562,0.131022,0.242472
164,-0.134542,0.131002,0.242472
165,-0.134523,0.130993,0.242472
166,-0.13450299999999998,0.130974,0.242472
167,-0.134484,0.130964,0.242472
168,-0.134465,0.130945,0.242472
169,-0.134446,0.130925,0.242472
170,-0.134426,0.130916,0.242472
171,-0.134407,0.130896,0.242472
172,-0.13439700000000002,0.130877,0.242472
173,-0.134379,0.130867,0.242471
