SCLK_A,SCLK_B,PMC,real_time_A,real_time_B,live_time_A,live_time_B,yellow_piece_temp,XPERCHAN_A,XPERCHAN_B,OFFSET_A,OFFSET_B
675554767,675554767,229,40,40,37.32827015,37.32849085,-2.736,7.862,7.881,-18.5,-22.4
675554813,675554814,230,40,40,37.3119331,37.33012404,-2.736,7.862,7.881,-18.5,-22.4
675554860,675554860,231,40,40,37.30286629,37.29803611,-2.736,7.862,7.881,-18.5,-22.4
675554906,675554907,232,40,40,37.32923958,37.33050011,-2.928,7.862,7.881,-18.5,-22.4
675554952,675554953,233,40,40,37.31641044,37.30903753,-2.736,7.862,7.881,-18.5,-22.4
675554998,675554999,234,40,40,37.30815095,37.31023623,-2.864,7.862,7.881,-18.5,-22.4
675555045,675555045,235,40,40,37.32208079,37.31195426,-2.928,7.862,7.881,-18.5,-22.4
675555091,675555092,236,40,40,37.33671412,37.30554212,-2.896,7.862,7.881,-18.5,-22.4
675555138,675555138,237,40,40,37.33898785,37.32649216,-2.896,7.862,7.881,-18.5,-22.4
675555184,675555185,238,40,40,37.30969239,37.31695772,-2.704,7.862,7.881,-18.5,-22.4
675555230,675555230,239,40,40,37.3174683,37.30503183,-2.928,7.862,7.881,-18.5,-22.4
675555276,675555277,240,40,40,37.33021894,37.31135031,-2.928,7.862,7.881,-18.5,-22.4
675555458,675555459,241,40,40,37.32232255,37.31406245,-2.64,7.862,7.881,-18.5,-22.4
675555504,675555505,242,40,40,37.30473136,37.29284189,-2.768,7.862,7.881,-18.5,-22.4
675555550,675555551,243,40,40,37.32621011,37.31624759,-2.64,7.862,7.881,-18.5,-22.4
675555596,675555597,244,40,40,37.32391986,37.32662228,-2.64,7.862,7.881,-18.5,-22.4
675555643,675555643,245,40,40,37.32147075,37.30442439,-2.607,7.862,7.881,-18.5,-22.4
675555689,675555690,246,40,40,37.30603143,37.29215889,-2.704,7.862,7.881,-18.5,-22.4
675555736,675555736,247,40,40,37.30586349,37.30960531,-2.704,7.862,7.881,-18.5,-22.4
675555782,675555783,248,40,40,37.32263346,37.28756223,-2.704,7.862,7.881,-18.5,-22.4
675555828,675555829,249,40,40,37.31669661,37.30312438,-2.479,7.862,7.881,-18.5,-22.4
675555875,675555875,250,40,40,37.30672273,37.31226181,-2.575,7.862,7.881,-18.5,-22.4
675555921,675555922,251,40,40,37.32860547,37.29353468,-2.575,7.862,7.881,-18.5,-22.4
675555967,675555968,252,40,40,37.30916087,37.30372365,-2.575,7.862,7.881,-18.5,-22.4
675556014,675556014,253,40,40,37.29731078,37.30070039,-2.768,7.862,7.881,-18.5,-22.4
