SCLK_A,SCLK_B,PMC,real_time_A,real_time_B,live_time_A,live_time_B,yellow_piece_temp,XPERCHAN_A,XPERCHAN_B,OFFSET_A,OFFSET_B
675553164,675553164,73,5,5,4.7232368870684605,4.727770244341854,-5.783,7.862,7.881,-18.5,-22.4
675553171,675553172,74,5,5,4.727205915359703,4.728650777229009,-5.783,7.862,7.881,-18.5,-22.4
675553179,675553180,75,5,5,4.725256320574162,4.729331349661282,-5.815,7.862,7.881,-18.5,-22.4
675553187,675553187,76,5,5,4.724934322877094,4.729211601343371,-5.783,7.862,7.881,-18.5,-22.4
675553195,675553195,77,5,5,4.727590868164849,4.731563704841575,-5.911,7.862,7.881,-18.5,-22.4
675553202,675553203,78,5,5,4.732466111758281,4.720598717673212,-5.879,7.862,7.881,-18.5,-22.4
675553210,675553211,79,5,5,4.7228894913155886,4.729916403345724,-5.815,7.862,7.881,-18.5,-22.4
675553218,675553219,80,5,5,4.728818967195844,4.726513102420857,-5.622,7.862,7.881,-18.5,-22.4
675553226,675553226,81,5,5,4.731591192973449,4.733279714382098,-5.686,7.862,7.881,-18.5,-22.4
675553234,675553234,82,5,5,4.73143702133081,4.721358281249999,-5.751,7.862,7.881,-18.5,-22.4
675553241,675553242,83,5,5,4.72740734492412,4.72395823342433,-5.654,7.862,7.881,-18.5,-22.4
675553249,675553250,84,5,5,4.720631025128187,4.726483347348838,-5.622,7.862,7.881,-18.5,-22.4
675553257,675553257,85,5,5,4.730858547430466,4.729032331022209,-5.686,7.862,7.881,-18.5,-22.4
675553265,675553265,86,5,5,4.725699608371247,4.731386755852843,-5.718,7.862,7.881,-18.5,-22.4
675553272,675553273,87,5,5,4.724370215428655,4.72483918016419,-5.622,7.862,7.881,-18.5,-22.4
675553280,675553281,88,5,5,4.726337701420057,4.73022424143192,-5.622,7.862,7.881,-18.5,-22.4
675553288,675553289,89,5,5,4.724613150423651,4.7237072207327975,-5.654,7.862,7.881,-18.5,-22.4
675553296,675553296,90,5,5,4.72700789618575,4.728991969286695,-5.558,7.862,7.881,-18.5,-22.4
675553304,675553304,91,5,5,4.7334815223286935,4.729963096610989,-5.462,7.862,7.881,-18.5,-22.4
675553311,675553312,92,5,5,4.728036020037752,4.7300241619726195,-5.654,7.862,7.881,-18.5,-22.4
675553319,675553320,93,5,5,4.72426912760464,4.717318222139949,-5.43,7.862,7.881,-18.5,-22.4
675553327,675553327,94,5,5,4.725264560931247,4.725852991452991,-5.43,7.862,7.881,-18.5,-22.4
675553335,675553335,95,5,5,4.727659097125211,4.726228435731155,-5.462,7.862,7.881,-18.5,-22.4
675553343,675553343,96,5,5,4.722642421624379,4.724929201766431,-5.462,7.862,7.881,-18.5,-22.4
675553350,675553351,97,5,5,4.727320747338692,4.724128967613615,-5.494,7.862,7.881,-18.5,-22.4
675553358,675553359,98,5,5,4.72966449938015,4.720261822735599,-5.526,7.862,7.881,-18.5,-22.4
675553366,675553366,99,5,5,4.727228834196891,4.726179155022555,-5.366,7.862,7.881,-18.5,-22.4
675553374,675553374,100,5,5,4.724539705622933,4.732048397098354,-5.622,7.862,7.881,-18.5,-22.4
675553382,675553382,101,5,5,4.722888744762185,4.7314833255581465,-5.494,7.862,7.881,-18.5,-22.4
675553389,675553390,102,5,5,4.724189300040184,4.732004616386852,-5.526,7.862,7.881,-18.5,-22.4
675553397,675553398,103,5,5,4.730509345491984,4.7224433420093685,-5.526,7.862,7.881,-18.5,-22.4
675553405,675553406,104,5,5,4.722446700590939,4.723213076923077,-5.59,7.862,7.881,-18.5,-22.4
675553413,675553413,105,5,5,4.724427536845178,4.7250689615017265,-5.494,7.862,7.881,-18.5,-22.4
675553421,675553421,106,5,5,4.7229102258473805,4.7253518335998805,-5.398,7.862,7.881,-18.5,-22.4
675553428,675553429,107,5,5,4.723261008852149,4.726553385202584,-5.558,7.862,7.881,-18.5,-22.4
675553436,675553437,108,5,5,4.723235138787436,4.721436802351541,-5.526,7.862,7.881,-18.5,-22.4
675553444,675553444,109,5,5,4.728917084490572,4.724054161056448,-5.366,7.862,7.881,-18.5,-22.4
675553452,675553452,110,5,5,4.730191062379935,4.7310152281538915,-4.788,7.862,7.881,-18.5,-22.4
675553459,675553460,111,5,5,4.7278658203125,4.724498819330854,-5.045,7.862,7.881,-18.5,-22.4
675553467,675553468,112,5,5,4.730662970709767,4.72930053601586,-4.82,7.862,7.881,-18.5,-22.4
675553475,675553475,113,5,5,4.729260584443801,4.7193952090611555,-4.82,7.862,7.881,-18.5,-22.4
675553483,675553483,114,5,5,4.728342274217043,4.727712955715757,-4.82,7.862,7.881,-18.5,-22.4
675553490,675553491,115,5,5,4.731102555841146,4.728760904665314,-4.756,7.862,7.881,-18.5,-22.4
675553498,675553499,116,5,5,4.729571392893924,4.7237734426948235,-4.692,7.862,7.881,-18.5,-22.4
675553506,675553507,117,5,5,4.732521384990182,4.725568468218638,-4.756,7.862,7.881,-18.5,-22.4
675553514,675553514,118,5,5,4.725946957567804,4.722229043575005,-4.66,7.862,7.881,-18.5,-22.4
675553522,675553522,119,5,5,4.731782660633484,4.722274902702102,-4.66,7.862,7.881,-18.5,-22.4
675553529,675553530,120,5,5,4.723245793474702,4.728561937417267,-4.756,7.862,7.881,-18.5,-22.4
675553537,675553538,121,5,5,4.723405835777125,4.7258869589242956,-4.532,7.862,7.881,-18.5,-22.4
675553545,675553545,122,5,5,4.724200823760361,4.727301630434782,-4.532,7.862,7.881,-18.5,-22.4
675553553,675553553,123,5,5,4.726528456751709,4.725639683884451,-4.532,7.862,7.881,-18.5,-22.4
675553564,675553564,124,5,5,4.7328071452036795,4.722825372393247,-4.339,7.862,7.881,-18.5,-22.4
675553572,675553572,125,5,5,4.728003709275022,4.732810911926334,-4.339,7.862,7.881,-18.5,-22.4
675553580,675553580,126,5,5,4.7240076281340135,4.715857861314683,-4.371,7.862,7.881,-18.5,-22.4
675553587,675553588,127,5,5,4.724881906480118,4.724611507441894,-4.468,7.862,7.881,-18.5,-22.4
675553595,675553596,128,5,5,4.720582614221541,4.7214643510170635,-4.468,7.862,7.881,-18.5,-22.4
675553603,675553603,129,5,5,4.718297075683912,4.722252952062102,-4.468,7.862,7.881,-18.5,-22.4
675553611,675553611,130,5,5,4.722041080525289,4.725500297128499,-4.596,7.862,7.881,-18.5,-22.4
675553618,675553619,131,5,5,4.718362949439222,4.727031303509162,-4.339,7.862,7.881,-18.5,-22.4
675553626,675553627,132,5,5,4.716892000144545,4.723201498765159,-4.307,7.862,7.881,-18.5,-22.4
