PMC,x,y,z
73,-0.13380699999999998,0.131872,0.250765
74,-0.133787,0.131852,0.250766
75,-0.133767,0.131832,0.250766
76,-0.133747,0.131822,0.250766
77,-0.13372699999999998,0.131801,0.250766
78,-0.133706,0.13179200000000002,0.250766
79,-0.133686,0.131772,0.250766
80,-0.133666,0.131752,0.250766
81,-0.13364600000000001,0.131741,0.250767
82,-0.13363599999999998,0.131721,0.250767
83,-0.133616,0.131701,0.250767
84,-0.133595,0.131691,0.250767
85,-0.133575,0.131671,0.250767
86,-0.133555,0.131661,0.250767
87,-0.133535,0.13164,0.250767
88,-0.13351500000000002,0.13162000000000001,0.250768
89,-0.133495,0.13161,0.250768
90,-0.133474,0.13159,0.250768
91,-0.133454,0.13157,0.250768
92,-0.133444,0.13155999999999998,0.250768
93,-0.133424,0.13154000000000002,0.250768
94,-0.133404,0.13153,0.250768
95,-0.133384,0.131509,0.250768
96,-0.133363,0.13149,0.250769
97,-0.13334300000000002,0.13147899999999998,0.250769
98,-0.133323,0.131459,0.250769
99,-0.133303,0.131439,0.250769
100,-0.13328199999999998,0.131429,0.250769
101,-0.133262,0.131409,0.250769
102,-0.133252,0.131399,0.250769
103,-0.133232,0.131378,0.25077
104,-0.133212,0.131358,0.25077
105,-0.133192,0.131348,0.25077
106,-0.133171,0.131328,0.25077
107,-0.133152,0.13130799999999998,0.25077
108,-0.133131,0.131298,0.25077
109,-0.13311099999999998,0.131278,0.25077
110,-0.13309100000000001,0.131268,0.250771
111,-0.133071,0.131248,0.250771
112,-0.13306099999999998,0.131227,0.250771
113,-0.13304000000000002,0.131217,0.250771
114,-0.13302,0.131197,0.250771
115,-0.133,0.131177,0.250771
116,-0.13298,0.131167,0.250771
117,-0.13296,0.131147,0.250772
118,-0.13294,0.13113699999999998,0.250772
119,-0.132919,0.131117,0.250772
120,-0.132899,0.131097,0.250772
121,-0.132879,0.13108599999999998,0.250772
122,-0.13286900000000001,0.13106600000000002,0.250772
123,-0.132849,0.131046,0.250772
124,-0.133172,0.130664,0.25077
125,-0.133192,0.130684,0.25077
126,-0.133213,0.130704,0.25077
127,-0.133232,0.130714,0.25077
128,-0.133253,0.130734,0.250769
129,-0.133273,0.13075499999999998,0.250769
130,-0.133293,0.13076400000000002,0.250769
131,-0.133303,0.13078499999999998,0.250769
132,-0.133323,0.130795,0.250769
133,-0.13334400000000002,0.130815,0.250769
134,-0.133364,0.13083499999999998,0.250769
135,-0.133384,0.13084500000000002,0.250768
136,-0.133404,0.130866,0.250768
137,-0.133424,0.130886,0.250768
138,-0.133445,0.130895,0.250768
139,-0.133465,0.130916,0.250768
140,-0.133485,0.130926,0.250768
141,-0.133495,0.130946,0.250768
142,-0.13351500000000002,0.130966,0.250768
143,-0.133535,0.130976,0.250767
144,-0.133555,0.130996,0.250767
145,-0.133575,0.131017,0.250767
146,-0.133595,0.131027,0.250767
147,-0.133616,0.131047,0.250767
148,-0.13363599999999998,0.131057,0.250767
149,-0.133656,0.131077,0.250767
150,-0.133677,0.131097,0.250766
151,-0.133686,0.131107,0.250766
152,-0.133707,0.131127,0.250766
153,-0.13372699999999998,0.131148,0.250766
154,-0.133747,0.131157,0.250766
155,-0.133767,0.131178,0.250766
156,-0.133787,0.131188,0.250766
157,-0.13380799999999998,0.131208,0.250765
158,-0.133828,0.13122799999999998,0.250765
159,-0.133848,0.13123800000000002,0.250765
160,-0.133868,0.131258,0.250765
161,-0.133878,0.131278,0.250765
162,-0.133898,0.13128900000000002,0.250765
163,-0.133919,0.13130799999999998,0.250765
164,-0.133939,0.13131900000000002,0.250764
165,-0.133959,0.131339,0.250764
166,-0.133979,0.131359,0.250764
167,-0.133999,0.131369,0.250764
168,-0.134019,0.131389,0.250764
169,-0.13404000000000002,0.131409,0.250764
170,-0.13405999999999998,0.13142,0.250764
171,-0.13407,0.131439,0.250764
172,-0.13409,0.131449,0.250763
173,-0.13410999999999998,0.13147,0.250763
174,-0.13413,0.13149,0.250763
175,-0.134463,0.131108,0.250761
176,-0.134444,0.13108699999999998,0.250761
177,-0.134423,0.13106700000000002,0.250761
178,-0.134403,0.131057,0.250761
179,-0.134383,0.131037,0.250761
180,-0.134363,0.131027,0.250761
181,-0.13434300000000002,0.13100699999999998,0.250762
182,-0.134322,0.130987,0.250762
183,-0.134302,0.130977,0.250762
184,-0.134292,0.130957,0.250762
185,-0.134272,0.130936,0.250762
186,-0.134252,0.130926,0.250762
187,-0.134231,0.130907,0.250762
188,-0.134211,0.130896,0.250762
189,-0.134191,0.130876,0.250763
190,-0.134171,0.130856,0.250763
191,-0.134151,0.130846,0.250763
192,-0.134131,0.130826,0.250763
193,-0.13410999999999998,0.130806,0.250763
194,-0.134101,0.130795,0.250763
195,-0.13408,0.130775,0.250763
196,-0.134061,0.13076500000000002,0.250764
197,-0.13404000000000002,0.130745,0.250764
198,-0.13402,0.130725,0.250764
199,-0.134,0.130715,0.250764
200,-0.13398,0.130694,0.250764
201,-0.13396,0.130674,0.250764
202,-0.133939,0.130665,0.250764
203,-0.133919,0.130644,0.250765
204,-0.133909,0.130634,0.250765
205,-0.133889,0.130614,0.250765
206,-0.13386900000000002,0.13059400000000002,0.250765
207,-0.133849,0.130584,0.250765
