   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0437344, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0519807, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.060227, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0684734, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0767197, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.084966, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0932123, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.101459, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.109705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.117951, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.126198, 0, 7.97885e-30, 0, 1.41421, -7.97885e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70085e-32, 0, 0, 1.08738e-34, 4.72956e-35, 0, 7.90168e-30, 0, 0, 0
0.134444, 0, 9.38915e-29, 0, 1.41421, -9.38915e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06122e-31, 0, 0, 1.27947e-33, 8.81177e-33, 0, 9.29752e-29, 0, 0, 0
0.14269, 0, 6.94137e-28, 0, 1.41421, -6.94137e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69858e-30, 0, 0, 9.45861e-33, 1.01447e-31, 0, 6.87327e-28, 0, 0, 0
0.150936, 0, 4.10037e-27, 0, 1.41421, -4.10037e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95681e-29, 0, 0, 5.591e-32, 7.45221e-31, 0, 4.06001e-27, 0, 0, 0
0.159183, 0, 2.10728e-26, 0, 1.41421, -2.10728e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03345e-28, 0, 0, 2.87898e-31, 4.3896e-30, 0, 2.08648e-26, 0, 0, 0
0.167429, 0, 9.81432e-26, 0, 1.41421, -9.81432e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.47025e-28, 0, 0, 1.34483e-30, 2.2522e-29, 0, 9.71723e-26, 0, 0, 0
0.175675, 0, 4.23834e-25, 0, 1.41421, -4.23834e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08969e-27, 0, 0, 5.82896e-30, 1.04772e-28, 0, 4.19634e-25, 0, 0, 0
0.183922, 0, 1.72166e-24, 0, 1.41421, -1.72166e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66125e-26, 0, 0, 2.3776e-29, 4.52108e-28, 0, 1.70457e-24, 0, 0, 0
0.192168, 0, 6.64188e-24, 0, 1.41421, -6.64188e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40873e-26, 0, 0, 9.21374e-29, 1.8355e-27, 0, 6.57586e-24, 0, 0, 0
0.200414, 0, 2.45021e-23, 0, 1.41421, -2.45021e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36417e-25, 0, 0, 3.41541e-28, 7.0784e-27, 0, 2.42583e-23, 0, 0, 0
0.208661, 0, 8.68766e-23, 0, 1.41421, -8.68766e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.38249e-25, 0, 0, 1.21721e-27, 2.61066e-26, 0, 8.6011e-23, 0, 0, 0
0.216907, 0, 2.97234e-22, 0, 1.41421, -2.97234e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8679e-24, 0, 0, 4.1871e-27, 9.25568e-26, 0, 2.94269e-22, 0, 0, 0
0.225153, 0, 9.84343e-22, 0, 1.41421, -9.84343e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49747e-24, 0, 0, 1.39458e-26, 3.16677e-25, 0, 9.74515e-22, 0, 0, 0
0.2334, 0, 3.16333e-21, 0, 1.41421, -3.16333e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05212e-23, 0, 0, 4.50874e-26, 1.04888e-24, 0, 3.13172e-21, 0, 0, 0
0.241646, 0, 9.88547e-21, 0, 1.41421, -9.88547e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53784e-23, 0, 0, 1.41794e-25, 3.37164e-24, 0, 9.78658e-21, 0, 0, 0
0.249892, 0, 3.00923e-20, 0, 1.41421, -3.00923e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90338e-22, 0, 0, 4.34518e-25, 1.05404e-23, 0, 2.9791e-20, 0, 0, 0
0.258139, 0, 9.30256e-20, 0, 1.41421, -9.30256e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97523e-22, 0, 0, 1.35645e-24, 3.36834e-23, 0, 9.2093e-20, 0, 0, 0
