   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_260.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.197013, 0, 1.68801e-12, 0, 1.41421, -1.68801e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76211e-14, 0, 0, 3.12491e-16, 4.72338e-13, 0, 1.19774e-12, 0, 0, 0
0.204883, 0, 2.72268e-12, 0, 1.41421, -2.72268e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81463e-14, 0, 0, 5.1133e-16, 7.80937e-13, 0, 1.91309e-12, 0, 0, 0
0.212753, 0, 4.36645e-12, 0, 1.41421, -4.36645e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46758e-14, 0, 0, 8.32123e-16, 1.2845e-12, 0, 3.03644e-12, 0, 0, 0
0.220624, 0, 6.96318e-12, 0, 1.41421, -6.96318e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04698e-14, 0, 0, 1.34698e-15, 2.10211e-12, 0, 4.78926e-12, 0, 0, 0
0.228494, 0, 1.10426e-11, 0, 1.41421, -1.10426e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10466e-13, 0, 0, 2.16915e-15, 3.42314e-12, 0, 7.50686e-12, 0, 0, 0
0.236364, 0, 1.74166e-11, 0, 1.41421, -1.74166e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72092e-13, 0, 0, 3.47581e-15, 5.54746e-12, 0, 1.16936e-11, 0, 0, 0
0.244234, 0, 2.73229e-11, 0, 1.41421, -2.73229e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66453e-13, 0, 0, 5.54305e-15, 8.94792e-12, 0, 1.8103e-11, 0, 0, 0
0.252104, 0, 4.26392e-11, 0, 1.41421, -4.26392e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10031e-13, 0, 0, 8.79964e-15, 1.43671e-11, 0, 2.78533e-11, 0, 0, 0
0.259974, 0, 6.62009e-11, 0, 1.41421, -6.62009e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27141e-13, 0, 0, 1.39096e-14, 2.29668e-11, 0, 4.25931e-11, 0, 0, 0
0.267844, 0, 1.0227e-10, 0, 1.41421, -1.0227e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53416e-13, 0, 0, 2.18986e-14, 3.65583e-11, 0, 6.47365e-11, 0, 0, 0
0.275714, 0, 1.57228e-10, 1.17709e-43, 1.41421, -1.57228e-10, 1.17709e-43, 0, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.44073e-12, 1.17709e-43, 1.17709e-43, 3.43481e-14, 5.79568e-11, 1.17709e-43, 9.77957e-11, 1.17709e-43, 1.17709e-43, 1.17709e-43
0.283584, 0, 2.40588e-10, 2.0543e-42, 1.41421, -2.40588e-10, 2.0543e-42, 0, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.0543e-42, 2.16412e-12, 2.0543e-42, 2.0543e-42, 5.3693e-14, 9.15244e-11, 2.0543e-42, 1.46846e-10, 2.0543e-42, 2.0543e-42, 2.0543e-42
0.291454, 0, 3.6649e-10, 3.02372e-41, 1.41421, -3.6649e-10, 3.02372e-41, 0, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.02372e-41, 3.23145e-12, 3.02372e-41, 3.02372e-41, 8.3678e-14, 1.44002e-10, 3.02372e-41, 2.19172e-10, 3.02372e-41, 3.02372e-41, 3.02372e-41
0.299324, 0, 5.55877e-10, 3.92015e-40, 1.41421, -5.55877e-10, 3.92015e-40, 0, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 3.92015e-40, 4.79674e-12, 3.92015e-40, 3.92015e-40, 1.30061e-13, 2.25784e-10, 3.92015e-40, 3.25166e-10, 3.92015e-40, 3.92015e-40, 3.92015e-40
0.307194, 0, 8.39685e-10, 4.55279e-39, 1.41421, -8.39685e-10, 4.55279e-39, 0, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 4.55279e-39, 7.07859e-12, 4.55279e-39, 4.55279e-39, 2.01691e-13, 3.52858e-10, 4.55279e-39, 4.79547e-10, 4.55279e-39, 4.55279e-39, 4.55279e-39
0.315065, 0, 1.26351e-09, 4.77549e-38, 1.41421, -1.26351e-09, 4.77549e-38, 0, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 4.77549e-38, 1.03853e-11, 4.77549e-38, 4.77549e-38, 3.12179e-13, 5.49779e-10, 4.77549e-38, 7.03033e-10, 4.77549e-38, 4.77549e-38, 4.77549e-38
0.322935, 0, 1.89441e-09, 4.54076e-37, 1.41421, -1.89441e-09, 4.54076e-37, 0, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 4.54076e-37, 1.5149e-11, 4.54076e-37, 4.54076e-37, 4.82464e-13, 8.54184e-10, 4.54076e-37, 1.02459e-09, 4.54076e-37, 4.54076e-37, 4.54076e-37
0.330805, 0, 2.83087e-09, 3.9395e-36, 1.41421, -2.83087e-09, 3.9395e-36, 0, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 3.9395e-36, 2.19717e-11, 3.9395e-36, 3.9395e-36, 7.44783e-13, 1.32368e-09, 3.9395e-36, 1.48447e-09, 3.9395e-36, 3.9395e-36, 3.9395e-36
0.338675, 0, 4.21737e-09, 3.13224e-35, 1.41421, -4.21737e-09, 3.13224e-35, 0, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.13224e-35, 3.16872e-11, 3.13224e-35, 3.13224e-35, 1.14881e-12, 2.04631e-09, 3.13224e-35, 2.13822e-09, 3.13224e-35, 3.13224e-35, 3.13224e-35
0.346545, 0, 6.26566e-09, 2.29249e-34, 1.41421, -6.26566e-09, 2.29249e-34, 0, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 2.29249e-34, 4.54433e-11, 2.29249e-34, 2.29249e-34, 1.77112e-12, 3.15646e-09, 2.29249e-34, 3.06199e-09, 2.29249e-34, 2.29249e-34, 2.29249e-34
0.354415, 0, 9.28597e-09, 1.53172e-33, 1.41421, -9.28597e-09, 1.53172e-33, 0, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 1.53172e-33, 6.48107e-11, 1.53172e-33, 1.53172e-33, 2.72983e-12, 4.85889e-09, 1.53172e-33, 4.35955e-09, 1.53172e-33, 1.53172e-33, 1.53172e-33
0.362285, 0, 1.37327e-08, 8.90226e-33, 1.41421, -1.37327e-08, 8.90226e-33, 0, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 8.90226e-33, 9.19275e-11, 8.90226e-33, 8.90226e-33, 4.20712e-12, 7.46515e-09, 8.90226e-33, 6.17136e-09, 8.90226e-33, 8.90226e-33, 8.90226e-33
0.370155, 0, 2.0271e-08, 5.31957e-32, 1.41421, -2.0271e-08, 5.31957e-32, 0, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 5.31957e-32, 1.29687e-10, 5.31957e-32, 5.31957e-32, 6.48394e-12, 1.14485e-08, 5.31957e-32, 8.68639e-09, 5.31957e-32, 5.31957e-32, 5.31957e-32
0.378025, 0, 2.98753e-08, 2.82845e-31, 1.41421, -2.98753e-08, 2.82845e-31, 0, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 2.82845e-31, 1.81985e-10, 2.82845e-31, 2.82845e-31, 9.99323e-12, 1.75261e-08, 2.82845e-31, 1.21572e-08, 2.82845e-31, 2.82845e-31, 2.82845e-31
0.385895, 0, 4.3971e-08, 1.47891e-30, 1.41421, -4.3971e-08, 1.47891e-30, 0, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 1.47891e-30, 2.54035e-10, 1.47891e-30, 1.47891e-30, 1.54011e-11, 2.67824e-08, 1.47891e-30, 1.69191e-08, 1.47891e-30, 1.47891e-30, 1.47891e-30
0.393765, 0, 6.46443e-08, 7.37387e-30, 1.41421, -6.46443e-08, 7.37387e-30, 0, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 7.37387e-30, 3.52786e-10, 7.37387e-30, 7.37387e-30, 2.37309e-11, 4.08528e-08, 7.37387e-30, 2.3415e-08, 7.37387e-30, 7.37387e-30, 7.37387e-30
0.401635, 0, 9.49445e-08, 3.47363e-29, 1.41421, -9.49445e-08, 3.47363e-29, 0, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 3.47363e-29, 4.87441e-10, 3.47363e-29, 3.47363e-29, 3.65503e-11, 6.21949e-08, 3.47363e-29, 3.22256e-08, 3.47363e-29, 3.47363e-29, 3.47363e-29
0.409506, 0, 1.39324e-07, 1.57454e-28, 1.41421, -1.39324e-07, 1.57454e-28, 0, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 1.57454e-28, 6.70145e-10, 1.57454e-28, 1.57454e-28, 5.62547e-11, 9.44896e-08, 1.57454e-28, 4.4108e-08, 1.57454e-28, 1.57454e-28, 1.57454e-28
0.417376, 0, 2.04272e-07, 6.85224e-28, 1.41421, -2.04272e-07, 6.85224e-28, 0, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 6.85224e-28, 9.16832e-10, 6.85224e-28, 6.85224e-28, 8.64897e-11, 1.43226e-07, 6.85224e-28, 6.00431e-08, 6.85224e-28, 6.85224e-28, 6.85224e-28
0.425246, 0, 2.99226e-07, 2.84388e-27, 1.41421, -2.99226e-07, 2.84388e-27, 0, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 2.84388e-27, 1.24832e-09, 2.84388e-27, 2.84388e-27, 1.32783e-10, 2.1655e-07, 2.84388e-27, 8.12944e-08, 2.84388e-27, 2.84388e-27, 2.84388e-27
0.433116, 0, 4.3787e-07, 1.12573e-26, 1.41421, -4.3787e-07, 1.12573e-26, 0, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.12573e-26, 1.69167e-09, 1.12573e-26, 1.12573e-26, 2.03477e-10, 3.26496e-07, 1.12573e-26, 1.09479e-07, 1.12573e-26, 1.12573e-26, 1.12573e-26
0.440986, 0, 6.39977e-07, 4.25355e-26, 1.41421, -6.39977e-07, 4.25355e-26, 0, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 4.25355e-26, 2.28193e-09, 4.25355e-26, 4.25355e-26, 3.11098e-10, 4.90729e-07, 4.25355e-26, 1.46655e-07, 4.25355e-26, 4.25355e-26, 4.25355e-26
0.448856, 0, 9.33999e-07, 1.53681e-25, 1.41421, -9.33999e-07, 1.53681e-25, 0, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 1.53681e-25, 3.06424e-09, 1.53681e-25, 1.53681e-25, 4.74358e-10, 7.35035e-07, 1.53681e-25, 1.95425e-07, 1.53681e-25, 1.53681e-25, 1.53681e-25
0.456726, 0, 1.36068e-06, 5.34444e-25, 1.41421, -1.36068e-06, 5.34444e-25, 0, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 5.34444e-25, 4.09651e-09, 5.34444e-25, 5.34444e-25, 7.21042e-10, 1.0968e-06, 5.34444e-25, 2.59063e-07, 5.34444e-25, 5.34444e-25, 5.34444e-25
0.464596, 0, 1.97931e-06, 1.08391e-10, 1.41421, -1.97931e-06, 1.49076e-10, 1.08391e-10, 1.08405e-10, 1.08602e-10, 1.46426e-10, 4.21884e-10, 1.20841e-10, 3.59759e-10, 2.96725e-10, 1.78205e-10, 1.15454e-10, 2.60714e-10, 5.56123e-09, 1.109e-10, 1.08524e-10, 1.20056e-09, 1.62997e-06, 1.08392e-10, 3.41815e-07, 1.08391e-10, 1.08391e-10, 1.17797e-10
0.472466, 0, 2.87226e-06, 3.40076e-10, 1.41421, -2.87226e-06, 4.68402e-10, 3.40076e-10, 3.40119e-10, 3.40741e-10, 4.60041e-10, 1.32886e-09, 3.79343e-10, 1.13292e-09, 9.34102e-10, 5.60275e-10, 3.62354e-10, 8.20519e-10, 7.56729e-09, 3.47988e-10, 3.40495e-10, 1.98815e-09, 2.41151e-06, 3.40078e-10, 4.4879e-07, 3.40076e-10, 3.40076e-10, 3.69744e-10
0.480336, 0, 4.15679e-06, 8.24589e-10, 1.41421, -4.15679e-06, 1.1375e-09, 8.24589e-10, 8.24693e-10, 8.2621e-10, 1.11711e-09, 3.23566e-09, 9.20338e-10, 2.75786e-09, 2.27307e-09, 1.36152e-09, 8.78913e-10, 1.9961e-09, 1.03633e-08, 8.43882e-10, 8.25611e-10, 3.30103e-09, 3.55067e-06, 8.24593e-10, 5.86571e-07, 8.24589e-10, 8.24589e-10, 8.9693e-10
0.488206, 0, 5.99747e-06, 1.81968e-09, 1.41421, -5.99747e-06, 2.51354e-09, 1.81968e-09, 1.81991e-09, 1.82327e-09, 2.46833e-09, 7.16611e-09, 2.032e-09, 6.10662e-09, 5.03161e-09, 3.01031e-09, 1.94014e-09, 4.41746e-09, 1.43571e-08, 1.86246e-09, 1.82194e-09, 5.52403e-09, 5.20126e-06, 1.81969e-09, 7.63269e-07, 1.81968e-09, 1.81968e-09, 1.98009e-09
0.496076, 0, 8.62514e-06, 3.83038e-09, 1.41421, -8.62514e-06, 5.29542e-09, 3.83038e-09, 3.83086e-09, 3.83797e-09, 5.19997e-09, 1.5119e-08, 4.27868e-09, 1.2882e-08, 1.06122e-08, 6.34431e-09, 4.08472e-09, 9.31542e-09, 2.02417e-08, 3.92071e-09, 3.83516e-09, 9.34489e-09, 7.57877e-06, 3.8304e-09, 9.89172e-07, 3.83038e-09, 3.83038e-09, 4.16908e-09
0.503947, 0, 1.23742e-05, 7.82095e-09, 1.41421, -1.23742e-05, 1.08181e-08, 7.82095e-09, 7.82195e-09, 7.83648e-09, 1.06229e-08, 3.09152e-08, 8.73808e-09, 2.63386e-08, 2.16951e-08, 1.29639e-08, 8.34129e-09, 1.90422e-08, 2.92165e-08, 8.00575e-09, 7.83074e-09, 1.59889e-08, 1.0995e-05, 7.82099e-09, 1.2774e-06, 7.82095e-09, 7.82095e-09, 8.51387e-09
0.511817, 0, 1.76775e-05, 1.55965e-08, 1.41421, -1.76775e-05, 2.15816e-08, 1.55965e-08, 1.55985e-08, 1.56275e-08, 2.11917e-08, 6.17139e-08, 1.74279e-08, 5.25749e-08, 4.33021e-08, 2.58666e-08, 1.66355e-08, 3.80045e-08, 4.33784e-08, 1.59655e-08, 1.5616e-08, 2.76311e-08, 1.58486e-05, 1.55965e-08, 1.64492e-06, 1.55965e-08, 1.55965e-08, 1.69802e-08
0.519687, 0, 2.51596e-05, 3.05205e-08, 1.41421, -2.51596e-05, 4.22477e-08, 3.05205e-08, 3.05243e-08, 3.05812e-08, 4.14836e-08, 1.20883e-07, 3.41089e-08, 1.02976e-07, 8.48066e-08, 5.06437e-08, 3.25564e-08, 7.44266e-08, 6.64522e-08, 3.12435e-08, 3.05587e-08, 4.81579e-08, 2.27093e-05, 3.05206e-08, 2.11427e-06, 3.05205e-08, 3.05205e-08, 3.32317e-08
0.527557, 0, 3.5676e-05, 5.84586e-08, 1.41421, -3.5676e-05, 8.09413e-08, 5.84586e-08, 5.84661e-08, 5.85751e-08, 7.94765e-08, 2.31695e-07, 6.53382e-08, 1.97365e-07, 1.62532e-07, 9.70376e-08, 6.23618e-08, 1.42632e-07, 1.04748e-07, 5.98448e-08, 5.8532e-08, 8.41746e-08, 3.23469e-05, 5.84589e-08, 2.71553e-06, 5.84586e-08, 5.84586e-08, 6.36564e-08
0.535427, 0, 5.04097e-05, 1.09984e-07, 1.41421, -5.04097e-05, 1.52321e-07, 1.09984e-07, 1.09998e-07, 1.10203e-07, 1.49562e-07, 4.36204e-07, 1.22939e-07, 3.71558e-07, 3.05965e-07, 1.82632e-07, 1.17334e-07, 2.68491e-07, 1.69385e-07, 1.12594e-07, 1.10122e-07, 1.47255e-07, 4.5802e-05, 1.09984e-07, 3.49105e-06, 1.09984e-07, 1.09984e-07, 1.19772e-07
0.543297, 0, 7.09917e-05, 2.03296e-07, 1.41421, -7.09917e-05, 2.81625e-07, 2.03296e-07, 2.03322e-07, 2.03702e-07, 2.76522e-07, 8.06846e-07, 2.27265e-07, 6.87242e-07, 5.65886e-07, 3.37704e-07, 2.16895e-07, 4.96556e-07, 2.79231e-07, 2.08126e-07, 2.03552e-07, 2.57011e-07, 6.44736e-05, 2.03297e-07, 4.5013e-06, 2.03296e-07, 2.03296e-07, 2.21405e-07
0.551167, 0, 9.96756e-05, 3.69249e-07, 1.41421, -9.96756e-05, 5.11654e-07, 3.69249e-07, 3.69296e-07, 3.69987e-07, 5.02376e-07, 1.46653e-06, 4.12825e-07, 1.24908e-06, 1.02845e-06, 6.13608e-07, 3.93972e-07, 9.02406e-07, 4.65952e-07, 3.78029e-07, 3.69714e-07, 4.46225e-07, 9.02358e-05, 3.69251e-07, 5.83476e-06, 3.69249e-07, 3.69249e-07, 4.02172e-07
0.559037, 0, 0.00013958, 6.59097e-07, 1.41421, -0.00013958, 9.13536e-07, 6.59097e-07, 6.59182e-07, 6.60416e-07, 8.96959e-07, 2.61963e-06, 7.36955e-07, 2.23112e-06, 1.83691e-06, 1.0957e-06, 7.0327e-07, 1.6117e-06, 7.8179e-07, 6.74785e-07, 6.59928e-07, 7.68785e-07, 0.000125592, 6.59101e-07, 7.62326e-06, 6.59097e-07, 6.59097e-07, 7.17921e-07
