   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00267349, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00519169, 0, 6.85794e-18, 0, 1.41421, -6.85794e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95088e-20, 0, 0, 1.01083e-22, 1.94946e-21, 0, 6.81638e-18, 0, 0
0.0130569, 0, 1.26217e-17, 0, 1.41421, -1.26217e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27135e-20, 0, 0, 1.8891e-22, 3.65984e-21, 0, 1.25451e-17, 0, 0
0.0209221, 0, 2.30492e-17, 0, 1.41421, -2.30492e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32786e-19, 0, 0, 3.50363e-22, 6.81948e-21, 0, 2.29092e-17, 0, 0
0.0287873, 0, 4.17719e-17, 0, 1.41421, -4.17719e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40645e-19, 0, 0, 6.44979e-22, 1.26146e-20, 0, 4.1518e-17, 0, 0
0.0366524, 0, 7.51401e-17, 0, 1.41421, -7.51401e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32874e-19, 0, 0, 1.17872e-21, 2.31695e-20, 0, 7.46829e-17, 0, 0
0.0445176, 0, 1.34179e-16, 0, 1.41421, -1.34179e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72982e-19, 0, 0, 2.13888e-21, 4.2263e-20, 0, 1.33361e-16, 0, 0
0.0523828, 0, 2.3789e-16, 0, 1.41421, -2.3789e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37044e-18, 0, 0, 3.8542e-21, 7.65738e-20, 0, 2.36439e-16, 0, 0
0.060248, 0, 4.18802e-16, 0, 1.41421, -4.18802e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41262e-18, 0, 0, 6.89786e-21, 1.37832e-19, 0, 4.16244e-16, 0, 0
0.0681132, 0, 7.32194e-16, 0, 1.41421, -7.32194e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21796e-18, 0, 0, 1.22625e-20, 2.46507e-19, 0, 7.27717e-16, 0, 0
