   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.201855, 0, 3.32719e-12, 0, 1.41421, -3.32719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33239e-15, 0, 4.83972e-17, 1.13276e-13, 0, 3.20454e-12, 0, 0
0.20972, 0, 5.23685e-12, 0, 1.41421, -5.23685e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46705e-14, 0, 7.79901e-17, 1.84932e-13, 0, 5.03717e-12, 0, 0
0.217584, 0, 8.19313e-12, 0, 1.41421, -8.19313e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29219e-14, 0, 1.25039e-16, 3.00454e-13, 0, 7.86963e-12, 0, 0
0.225449, 0, 1.27419e-11, 0, 1.41421, -1.27419e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5598e-14, 0, 1.99485e-16, 4.8582e-13, 0, 1.22203e-11, 0, 0
0.233314, 0, 1.9699e-11, 0, 1.41421, -1.9699e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49524e-14, 0, 3.16749e-16, 7.81906e-13, 0, 1.88618e-11, 0, 0
0.241179, 0, 3.02756e-11, 0, 1.41421, -3.02756e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.43229e-14, 0, 5.00669e-16, 1.25275e-12, 0, 2.8938e-11, 0, 0
0.249044, 0, 4.62593e-11, 0, 1.41421, -4.62593e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28623e-13, 0, 7.87985e-16, 1.99832e-12, 0, 4.41316e-11, 0, 0
0.256908, 0, 7.02722e-11, 0, 1.41421, -7.02722e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95037e-13, 0, 1.23518e-15, 3.17402e-12, 0, 6.69019e-11, 0, 0
0.264773, 0, 1.06136e-10, 0, 1.41421, -1.06136e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94009e-13, 0, 1.92887e-15, 5.02071e-12, 0, 1.0082e-10, 0, 0
0.272638, 0, 1.59391e-10, 1.12104e-44, 1.41421, -1.59391e-10, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 4.40617e-13, 1.12104e-44, 3.00178e-15, 7.91041e-12, 1.12104e-44, 1.51037e-10, 1.12104e-44, 1.12104e-44
