   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_711.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.162821, 0, 5.53814e-13, 0, 1.41421, -5.53814e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86896e-15, 0, 0, 1.10614e-17, 0, 0, 5.51934e-13, 0, 0, 0
0.170688, 0, 8.94413e-13, 0, 1.41421, -8.94413e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01846e-15, 0, 0, 1.82538e-17, 0, 0, 8.91377e-13, 0, 0, 0
0.178554, 0, 1.43553e-12, 0, 1.41421, -1.43553e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84477e-15, 0, 0, 2.99536e-17, 0, 0, 1.43066e-12, 0, 0, 0
0.186421, 0, 2.28984e-12, 0, 1.41421, -2.28984e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72828e-15, 0, 0, 4.88811e-17, 0, 0, 2.28207e-12, 0, 0, 0
0.194287, 0, 3.6302e-12, 0, 1.41421, -3.6302e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22526e-14, 0, 0, 7.93372e-17, 0, 0, 3.61787e-12, 0, 0, 0
0.202154, 0, 5.72008e-12, 0, 1.41421, -5.72008e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93077e-14, 0, 0, 1.28093e-16, 0, 0, 5.70065e-12, 0, 0, 0
0.21002, 0, 8.9585e-12, 0, 1.41421, -8.9585e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02412e-14, 0, 0, 2.05751e-16, 0, 0, 8.92805e-12, 0, 0, 0
0.217886, 0, 1.39458e-11, 0, 1.41421, -1.39458e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70817e-14, 0, 0, 3.28845e-16, 0, 0, 1.38983e-11, 0, 0, 0
0.225753, 0, 2.15792e-11, 0, 1.41421, -2.15792e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28625e-14, 0, 0, 5.23059e-16, 0, 0, 2.15058e-11, 0, 0, 0
0.233619, 0, 3.31915e-11, 0, 1.41421, -3.31915e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1209e-13, 0, 0, 8.2814e-16, 0, 0, 3.30786e-11, 0, 0, 0
0.241486, 0, 5.07491e-11, 0, 1.41421, -5.07491e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71419e-13, 0, 0, 1.30541e-15, 0, 0, 5.05763e-11, 0, 0, 0
0.249352, 0, 7.71347e-11, 0, 1.41421, -7.71347e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60609e-13, 0, 0, 2.04918e-15, 0, 0, 7.68721e-11, 0, 0, 0
0.257219, 0, 1.16548e-10, 0, 1.41421, -1.16548e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93894e-13, 0, 0, 3.20423e-15, 0, 0, 1.16151e-10, 0, 0, 0
0.265085, 0, 1.75066e-10, 0, 1.41421, -1.75066e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91888e-13, 0, 0, 4.99234e-15, 0, 0, 1.74469e-10, 0, 0, 0
0.272952, 0, 2.61471e-10, 2.41023e-43, 1.41421, -2.61471e-10, 0, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 2.41023e-43, 8.84443e-13, 2.41023e-43, 2.41023e-43, 7.76662e-15, 2.41023e-43, 2.41023e-43, 2.60579e-10, 2.41023e-43, 2.41023e-43, 2.41023e-43
0.280818, 0, 3.88176e-10, 3.5635e-42, 1.41421, -3.88176e-10, 0, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 3.5635e-42, 1.31375e-12, 3.5635e-42, 3.5635e-42, 1.20261e-14, 3.5635e-42, 3.5635e-42, 3.8685e-10, 3.5635e-42, 3.5635e-42, 3.5635e-42
0.288684, 0, 5.72943e-10, 4.79987e-41, 1.41421, -5.72943e-10, 0, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 4.79987e-41, 1.94035e-12, 4.79987e-41, 4.79987e-41, 1.85737e-14, 4.79987e-41, 4.79987e-41, 5.70984e-10, 4.79987e-41, 4.79987e-41, 4.79987e-41
0.296551, 0, 8.40779e-10, 5.80351e-40, 1.41421, -8.40779e-10, 0, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 5.80351e-40, 2.84963e-12, 5.80351e-40, 5.80351e-40, 2.86231e-14, 5.80351e-40, 5.80351e-40, 8.37901e-10, 5.80351e-40, 5.80351e-40, 5.80351e-40
0.304417, 0, 1.22673e-09, 6.32264e-39, 1.41421, -1.22673e-09, 0, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 6.32264e-39, 4.16158e-12, 6.32264e-39, 6.32264e-39, 4.40299e-14, 6.32264e-39, 6.32264e-39, 1.22253e-09, 6.32264e-39, 6.32264e-39, 6.32264e-39
0.312284, 0, 1.77964e-09, 6.23187e-38, 1.41421, -1.77964e-09, 0, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.23187e-38, 6.04384e-12, 6.23187e-38, 6.23187e-38, 6.76331e-14, 6.23187e-38, 6.23187e-38, 1.77352e-09, 6.23187e-38, 6.23187e-38, 6.23187e-38
0.32015, 0, 2.56705e-09, 5.5884e-37, 1.41421, -2.56705e-09, 0, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 5.5884e-37, 8.72918e-12, 5.5884e-37, 5.5884e-37, 1.0378e-13, 5.5884e-37, 5.5884e-37, 2.55822e-09, 5.5884e-37, 5.5884e-37, 5.5884e-37
0.328017, 0, 3.68191e-09, 4.58289e-36, 1.41421, -3.68191e-09, 0, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 4.58289e-36, 1.25391e-11, 4.58289e-36, 4.58289e-36, 1.59135e-13, 4.58289e-36, 4.58289e-36, 3.66922e-09, 4.58289e-36, 4.58289e-36, 4.58289e-36
0.335883, 0, 5.25122e-09, 3.45378e-35, 1.41421, -5.25122e-09, 0, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 3.45378e-35, 1.7915e-11, 3.45378e-35, 3.45378e-35, 2.43918e-13, 3.45378e-35, 3.45378e-35, 5.23307e-09, 3.45378e-35, 3.45378e-35, 3.45378e-35
0.34375, 0, 7.44749e-09, 2.40269e-34, 1.41421, -7.44749e-09, 0, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.40269e-34, 2.54598e-11, 2.40269e-34, 2.40269e-34, 3.73821e-13, 2.40269e-34, 2.40269e-34, 7.42166e-09, 2.40269e-34, 2.40269e-34, 2.40269e-34
0.351616, 0, 1.05036e-08, 1.63738e-33, 1.41421, -1.05036e-08, 0, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 1.63738e-33, 3.59924e-11, 1.63738e-33, 1.63738e-33, 5.7294e-13, 1.63738e-33, 1.63738e-33, 1.0467e-08, 1.63738e-33, 1.63738e-33, 1.63738e-33
0.359482, 0, 1.47317e-08, 1.03176e-32, 1.41421, -1.47317e-08, 0, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 1.03176e-32, 5.06191e-11, 1.03176e-32, 1.03176e-32, 8.78273e-13, 1.03176e-32, 1.03176e-32, 1.46802e-08, 1.03176e-32, 1.03176e-32, 1.03176e-32
0.367349, 0, 2.05484e-08, 6.09123e-32, 1.41421, -2.05484e-08, 0, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 6.09123e-32, 7.08277e-11, 6.09123e-32, 6.09123e-32, 1.34661e-12, 6.09123e-32, 6.09123e-32, 2.04762e-08, 6.09123e-32, 6.09123e-32, 6.09123e-32
0.375215, 0, 2.85053e-08, 3.42715e-31, 1.41421, -2.85053e-08, 0, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 3.42715e-31, 9.86079e-11, 3.42715e-31, 3.42715e-31, 2.06501e-12, 3.42715e-31, 3.42715e-31, 2.84047e-08, 3.42715e-31, 3.42715e-31, 3.42715e-31
0.383082, 0, 3.93293e-08, 1.8151e-30, 1.41421, -3.93293e-08, 0, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.8151e-30, 1.36609e-10, 1.8151e-30, 1.8151e-30, 3.16675e-12, 1.8151e-30, 1.8151e-30, 3.91895e-08, 1.8151e-30, 1.8151e-30, 1.8151e-30
0.390948, 0, 5.39715e-08, 9.03308e-30, 1.41421, -5.39715e-08, 0, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 9.03308e-30, 1.88341e-10, 9.03308e-30, 9.03308e-30, 4.8554e-12, 9.03308e-30, 9.03308e-30, 5.37783e-08, 9.03308e-30, 9.03308e-30, 9.03308e-30
0.398815, 0, 7.367e-08, 4.24521e-29, 1.41421, -7.367e-08, 0, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 4.24521e-29, 2.58434e-10, 4.24521e-29, 4.24521e-29, 7.44102e-12, 4.24521e-29, 4.24521e-29, 7.34041e-08, 4.24521e-29, 4.24521e-29, 4.24521e-29
0.406681, 0, 1.00026e-07, 1.89721e-28, 1.41421, -1.00026e-07, 0, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 1.89721e-28, 3.52966e-10, 1.89721e-28, 1.89721e-28, 1.13944e-11, 1.89721e-28, 1.89721e-28, 9.96618e-08, 1.89721e-28, 1.89721e-28, 1.89721e-28
0.414547, 0, 1.351e-07, 8.05297e-28, 1.41421, -1.351e-07, 0, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 8.05297e-28, 4.79887e-10, 8.05297e-28, 8.05297e-28, 1.74274e-11, 8.05297e-28, 8.05297e-28, 1.34602e-07, 8.05297e-28, 8.05297e-28, 8.05297e-28
0.422414, 0, 1.81523e-07, 3.25009e-27, 1.41421, -1.81523e-07, 0, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 3.25009e-27, 6.49545e-10, 3.25009e-27, 3.25009e-27, 2.66123e-11, 3.25009e-27, 3.25009e-27, 1.80847e-07, 3.25009e-27, 3.25009e-27, 3.25009e-27
0.43028, 0, 2.42644e-07, 1.24981e-26, 1.41421, -2.42644e-07, 0, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 1.24981e-26, 8.75352e-10, 1.24981e-26, 1.24981e-26, 4.05556e-11, 1.24981e-26, 1.24981e-26, 2.41728e-07, 1.24981e-26, 1.24981e-26, 1.24981e-26
0.438147, 0, 3.22691e-07, 4.58935e-26, 1.41421, -3.22691e-07, 0, 4.58935e-26, 4.58935e-26, 4.58935e-26, 4.58935e-26, 4.58935e-26, 4.58935e-26, 4.58935e-26, 2.86658e-14, 4.58935e-26, 4.58935e-26, 4.58935e-26, 1.17463e-09, 4.58935e-26, 4.58935e-26, 6.16529e-11, 4.58935e-26, 4.58935e-26, 3.21455e-07, 4.58935e-26, 4.58935e-26, 4.58935e-26
0.446013, 0, 4.2698e-07, 1.61281e-25, 1.41421, -4.2698e-07, 0, 1.61281e-25, 1.61281e-25, 1.61281e-25, 1.61281e-25, 1.61281e-25, 1.61281e-25, 1.61281e-25, 9.05115e-14, 1.61281e-25, 1.61281e-25, 1.61281e-25, 1.56964e-09, 1.61281e-25, 1.61281e-25, 9.34555e-11, 1.61281e-25, 1.61281e-25, 4.25317e-07, 1.61281e-25, 1.61281e-25, 1.61281e-25
0.45388, 0, 5.63476e-07, 5.50599e-25, 1.41421, -5.63476e-07, 0, 9.07845e-15, 3.99906e-14, 1.02103e-10, 7.18396e-13, 4.54235e-11, 2.87632e-10, 1.19055e-11, 1.51527e-12, 6.50385e-12, 1.55293e-11, 7.31563e-10, 2.08894e-09, 3.18117e-11, 7.58429e-13, 1.41198e-10, 1.19223e-13, 1.04383e-15, 5.59985e-07, 5.50599e-25, 5.50599e-25, 2.52509e-11
0.461746, 0, 7.40903e-07, 2.80852e-10, 1.41421, -7.40903e-07, 2.80852e-10, 2.80881e-10, 2.80978e-10, 6.02002e-10, 2.83112e-10, 4.23726e-10, 1.18556e-09, 3.18299e-10, 2.85413e-10, 3.01309e-10, 3.29698e-10, 2.58188e-09, 3.04971e-09, 3.80911e-10, 2.83238e-10, 4.93413e-10, 2.82424e-10, 2.80855e-10, 7.33954e-07, 2.80852e-10, 2.80852e-10, 3.60275e-10
0.469613, 0, 9.71108e-07, 8.78479e-10, 1.41421, -9.71108e-07, 8.78479e-10, 8.78549e-10, 8.78785e-10, 1.65946e-09, 8.83974e-10, 1.22592e-09, 3.07856e-09, 9.69544e-10, 8.89414e-10, 9.28227e-10, 9.97262e-10, 6.47415e-09, 4.53405e-09, 1.1218e-09, 8.8428e-10, 1.19719e-09, 8.84147e-10, 8.78487e-10, 9.57486e-07, 8.78479e-10, 8.78479e-10, 1.07162e-09
0.477479, 0, 1.27029e-06, 2.12801e-09, 1.41421, -1.27029e-06, 2.12801e-09, 2.12816e-09, 2.12869e-09, 3.85547e-09, 2.14016e-09, 2.89652e-09, 6.99441e-09, 2.32944e-09, 2.15203e-09, 2.23805e-09, 2.39075e-09, 1.45052e-08, 6.93546e-09, 2.66623e-09, 2.14084e-09, 2.60381e-09, 2.14299e-09, 2.12803e-09, 1.24366e-06, 2.12801e-09, 2.12801e-09, 2.55522e-09
0.485345, 0, 1.66064e-06, 4.69285e-09, 1.41421, -1.66064e-06, 4.69285e-09, 4.69318e-09, 4.69428e-09, 8.33235e-09, 4.71846e-09, 6.312e-09, 1.49456e-08, 5.11723e-09, 4.74322e-09, 4.92469e-09, 5.2464e-09, 3.07698e-08, 1.09908e-08, 5.82679e-09, 4.71989e-09, 5.39987e-09, 4.72787e-09, 4.69289e-09, 1.60866e-06, 4.69285e-09, 4.69285e-09, 5.59293e-09
0.493212, 0, 2.17412e-06, 9.86661e-09, 1.41421, -2.17412e-06, 9.86661e-09, 9.86727e-09, 9.86952e-09, 1.7299e-08, 9.91891e-09, 1.31731e-08, 3.08042e-08, 1.07333e-08, 9.96908e-09, 1.034e-08, 1.0997e-08, 6.31194e-08, 1.80858e-08, 1.21823e-08, 9.92182e-09, 1.09121e-08, 9.94319e-09, 9.86669e-09, 2.07301e-06, 9.86661e-09, 9.86661e-09, 1.17047e-08
0.501078, 0, 2.85832e-06, 2.01171e-08, 1.41421, -2.85832e-06, 2.01171e-08, 2.01184e-08, 2.01229e-08, 3.4939e-08, 2.02214e-08, 2.67111e-08, 6.18714e-08, 2.18454e-08, 2.03441e-08, 2.10613e-08, 2.23714e-08, 1.26315e-07, 3.0803e-08, 2.47351e-08, 2.02272e-08, 2.16552e-08, 2.02777e-08, 2.01173e-08, 2.66291e-06, 2.01171e-08, 2.01171e-08, 2.37827e-08
0.508945, 0, 3.78657e-06, 4.00668e-08, 1.41421, -3.78657e-06, 4.00668e-08, 4.00693e-08, 4.00781e-08, 6.90307e-08, 4.02705e-08, 5.29523e-08, 1.21661e-07, 4.34441e-08, 4.05369e-08, 4.19117e-08, 4.4472e-08, 2.47593e-07, 5.39077e-08, 4.90909e-08, 4.02819e-08, 4.23176e-08, 4.03935e-08, 4.0067e-08, 3.41246e-06, 4.00668e-08, 4.00668e-08, 4.72298e-08
0.516811, 0, 5.07524e-06, 7.82066e-08, 1.41421, -5.07524e-06, 7.82066e-08, 7.82115e-08, 7.82284e-08, 1.33759e-07, 7.85975e-08, 1.02921e-07, 2.34703e-07, 8.46842e-08, 7.944e-08, 8.17452e-08, 8.66559e-08, 4.76238e-07, 9.60673e-08, 9.55148e-08, 7.86192e-08, 8.14825e-08, 7.88556e-08, 7.82072e-08, 4.36708e-06, 7.82066e-08, 7.82066e-08, 9.19452e-08
0.524678, 0, 6.91155e-06, 1.4984e-07, 1.41421, -6.91155e-06, 1.4984e-07, 1.49849e-07, 1.49881e-07, 2.54505e-07, 1.50576e-07, 1.96403e-07, 4.44689e-07, 1.62044e-07, 1.52591e-07, 1.56507e-07, 1.65759e-07, 8.9976e-07, 1.72803e-07, 1.8245e-07, 1.50617e-07, 1.54583e-07, 1.51102e-07, 1.49841e-07, 5.58898e-06, 1.4984e-07, 1.4984e-07, 1.75724e-07
0.532544, 0, 9.60029e-06, 2.82019e-07, 1.41421, -9.60029e-06, 2.82019e-07, 2.82037e-07, 2.82095e-07, 4.75814e-07, 2.83383e-07, 3.68235e-07, 8.27954e-07, 3.04616e-07, 2.87736e-07, 2.94364e-07, 3.11495e-07, 1.67055e-06, 3.11433e-07, 3.42399e-07, 2.83459e-07, 2.88848e-07, 2.84429e-07, 2.82021e-07, 7.16582e-06, 2.82019e-07, 2.82019e-07, 3.29946e-07
0.540411, 0, 1.3638e-05, 5.21659e-07, 1.41421, -1.3638e-05, 5.21659e-07, 5.2169e-07, 5.21797e-07, 8.74389e-07, 5.24141e-07, 6.78582e-07, 1.51533e-06, 5.62788e-07, 5.33075e-07, 5.44127e-07, 5.75307e-07, 3.04896e-06, 5.59198e-07, 6.31557e-07, 5.24279e-07, 5.31432e-07, 5.26177e-07, 5.21662e-07, 9.22446e-06, 5.21659e-07, 5.21659e-07, 6.08892e-07
0.548277, 0, 1.98297e-05, 9.48542e-07, 1.41421, -1.98297e-05, 9.48542e-07, 9.48598e-07, 9.48789e-07, 1.57976e-06, 9.52983e-07, 1.22936e-06, 2.72673e-06, 1.02214e-06, 9.7047e-07, 9.88749e-07, 1.04455e-06, 5.47118e-06, 9.96281e-07, 1.14521e-06, 9.5323e-07, 9.62452e-07, 9.5687e-07, 9.48548e-07, 1.19529e-05, 9.48542e-07, 9.48542e-07, 1.10465e-06
0.556144, 0, 2.94691e-05, 1.69576e-06, 1.41421, -2.94691e-05, 1.69576e-06, 1.69585e-06, 1.69619e-06, 2.80648e-06, 1.70357e-06, 2.18989e-06, 4.82474e-06, 1.82527e-06, 1.73731e-06, 1.76651e-06, 1.86469e-06, 9.65402e-06, 1.75625e-06, 2.04182e-06, 1.70401e-06, 1.71544e-06, 1.71085e-06, 1.69577e-06, 1.56336e-05, 1.69576e-06, 1.69576e-06, 1.97045e-06
0.56401, 0, 4.46086e-05, 2.98097e-06, 1.41421, -4.46086e-05, 2.98097e-06, 2.98114e-06, 2.98172e-06, 4.90303e-06, 2.9945e-06, 3.83606e-06, 8.39555e-06, 3.20509e-06, 3.05864e-06, 3.1034e-06, 3.27331e-06, 1.67524e-05, 3.05737e-06, 3.57982e-06, 2.99525e-06, 3.00868e-06, 3.00789e-06, 2.98099e-06, 2.06949e-05, 2.98097e-06, 2.98097e-06, 3.45631e-06
0.571876, 0, 6.84606e-05, 5.15338e-06, 1.41421, -6.84606e-05, 5.15338e-06, 5.15367e-06, 5.15466e-06, 8.42459e-06, 5.17639e-06, 6.60867e-06, 1.43686e-05, 5.53481e-06, 5.29659e-06, 5.36175e-06, 5.65091e-06, 2.85915e-05, 5.24955e-06, 6.17257e-06, 5.17768e-06, 5.19217e-06, 5.20061e-06, 5.15341e-06, 2.77909e-05, 5.15338e-06, 5.15338e-06, 5.96238e-06
0.579743, 0, 0.00010596, 8.76199e-06, 1.41421, -0.00010596, 8.76199e-06, 8.76248e-06, 8.76414e-06, 1.42381e-05, 8.80052e-06, 1.11982e-05, 2.41885e-05, 9.40052e-06, 9.02243e-06, 9.11081e-06, 9.59487e-06, 4.79978e-05, 8.88267e-06, 1.04681e-05, 8.80267e-06, 8.81603e-06, 8.84354e-06, 8.76205e-06, 3.79061e-05, 8.76199e-06, 8.76199e-06, 1.01163e-05
