   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_406.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00983667, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00193717, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00596233, 0, 1.677e-17, 0, 1.41421, -1.677e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87421e-20, 0, 0, 4.90192e-20, 0, 5.16804e-21, 1.66171e-17, 0, 0
0.0138618, 0, 2.96084e-17, 0, 1.41421, -2.96084e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74325e-19, 0, 0, 8.80423e-20, 0, 9.3109e-21, 2.93367e-17, 0, 0
0.0217613, 0, 5.19344e-17, 0, 1.41421, -5.19344e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05755e-19, 0, 0, 1.57117e-19, 0, 1.66722e-20, 5.14548e-17, 0, 0
0.0296608, 0, 9.05098e-17, 0, 1.41421, -9.05098e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32829e-19, 0, 0, 2.78617e-19, 0, 2.96743e-20, 8.96687e-17, 0, 0
0.0375603, 0, 1.56741e-16, 0, 1.41421, -1.56741e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22672e-19, 0, 0, 4.91014e-19, 0, 5.25063e-20, 1.55275e-16, 0, 0
0.0454598, 0, 2.69743e-16, 0, 1.41421, -2.69743e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58777e-18, 0, 0, 8.60049e-19, 0, 9.23702e-20, 2.67203e-16, 0, 0
0.0533593, 0, 4.61358e-16, 0, 1.41421, -4.61358e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71549e-18, 0, 0, 1.4974e-18, 0, 1.61581e-19, 4.56984e-16, 0, 0
0.0612588, 0, 7.84295e-16, 0, 1.41421, -7.84295e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61593e-18, 0, 0, 2.59163e-18, 0, 2.81078e-19, 7.76806e-16, 0, 0
0.0691583, 0, 1.32526e-15, 0, 1.41421, -1.32526e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7992e-18, 0, 0, 4.45924e-18, 0, 4.86276e-19, 1.31251e-15, 0, 0
0.0770578, 0, 2.22605e-15, 0, 1.41421, -2.22605e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30995e-17, 0, 0, 7.62852e-18, 0, 8.36755e-19, 2.20449e-15, 0, 0
0.0849573, 0, 3.71711e-15, 0, 1.41421, -3.71711e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18721e-17, 0, 0, 1.29759e-17, 0, 1.4322e-18, 3.68083e-15, 0, 0
0.0928568, 0, 6.17074e-15, 0, 1.41421, -6.17074e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6307e-17, 0, 0, 2.1948e-17, 0, 2.43859e-18, 6.11005e-15, 0, 0
0.100756, 0, 1.01848e-14, 0, 1.41421, -1.01848e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99199e-17, 0, 0, 3.69182e-17, 0, 4.13076e-18, 1.00838e-14, 0, 0
0.108656, 0, 1.67136e-14, 0, 1.41421, -1.67136e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83229e-17, 0, 0, 6.17598e-17, 0, 6.96158e-18, 1.65466e-14, 0, 0
0.116555, 0, 2.72717e-14, 0, 1.41421, -2.72717e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60421e-16, 0, 0, 1.02759e-16, 0, 1.16735e-17, 2.69968e-14, 0, 0
0.124455, 0, 4.42478e-14, 0, 1.41421, -4.42478e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60258e-16, 0, 0, 1.70062e-16, 0, 1.94775e-17, 4.3798e-14, 0, 0
0.132354, 0, 7.13886e-14, 0, 1.41421, -7.13886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1986e-16, 0, 0, 2.79965e-16, 0, 3.23397e-17, 7.06565e-14, 0, 0
0.140254, 0, 1.14534e-13, 0, 1.41421, -1.14534e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73556e-16, 0, 0, 4.58496e-16, 0, 5.34384e-17, 1.13349e-13, 0, 0
0.148153, 0, 1.82737e-13, 0, 1.41421, -1.82737e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07455e-15, 0, 0, 7.47033e-16, 0, 8.78825e-17, 1.80827e-13, 0, 0
0.156053, 0, 2.89943e-13, 0, 1.41421, -2.89943e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70481e-15, 0, 0, 1.21101e-15, 0, 1.43849e-16, 2.86884e-13, 0, 0
0.163952, 0, 4.5752e-13, 0, 1.41421, -4.5752e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68989e-15, 0, 0, 1.95345e-15, 0, 2.34367e-16, 4.52642e-13, 0, 0
0.171852, 0, 7.17999e-13, 0, 1.41421, -7.17999e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22097e-15, 0, 0, 3.13572e-15, 0, 3.80098e-16, 7.10262e-13, 0, 0
0.179751, 0, 1.12064e-12, 0, 1.41421, -1.12064e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5875e-15, 0, 0, 5.00979e-15, 0, 6.13675e-16, 1.10843e-12, 0, 0
0.187651, 0, 1.7396e-12, 0, 1.41421, -1.7396e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02251e-14, 0, 0, 7.96687e-15, 0, 9.864e-16, 1.72043e-12, 0, 0
0.19555, 0, 2.68585e-12, 0, 1.41421, -2.68585e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57858e-14, 0, 0, 1.26125e-14, 0, 1.57862e-15, 2.65587e-12, 0, 0
0.20345, 0, 4.12447e-12, 0, 1.41421, -4.12447e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42396e-14, 0, 0, 1.98802e-14, 0, 2.51561e-15, 4.07783e-12, 0, 0
0.211349, 0, 6.29968e-12, 0, 1.41421, -6.29968e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70213e-14, 0, 0, 3.12046e-14, 0, 3.99202e-15, 6.22747e-12, 0, 0
0.219249, 0, 9.57065e-12, 0, 1.41421, -9.57065e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62412e-14, 0, 0, 4.87838e-14, 0, 6.3091e-15, 9.45932e-12, 0, 0
0.227148, 0, 1.44625e-11, 0, 1.41421, -1.44625e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49852e-14, 0, 0, 7.59761e-14, 0, 9.93145e-15, 1.42916e-11, 0, 0
0.235048, 0, 2.17387e-11, 0, 1.41421, -2.17387e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2774e-13, 0, 0, 1.17902e-13, 0, 1.55733e-14, 2.14775e-11, 0, 0
0.242947, 0, 3.25027e-11, 0, 1.41421, -3.25027e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90992e-13, 0, 0, 1.82355e-13, 0, 2.43287e-14, 3.2105e-11, 0, 0
0.250847, 0, 4.83401e-11, 0, 1.41421, -4.83401e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84065e-13, 0, 0, 2.81176e-13, 0, 3.78696e-14, 4.77369e-11, 0, 0
0.258746, 0, 7.15163e-11, 3.22299e-44, 1.41421, -7.15163e-11, 0, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 3.22299e-44, 4.20283e-13, 3.22299e-44, 3.22299e-44, 4.32344e-13, 3.22299e-44, 5.87428e-14, 7.06049e-11, 3.22299e-44, 3.22299e-44
0.266646, 0, 1.0525e-10, 5.61921e-43, 1.41421, -1.0525e-10, 0, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 5.61921e-43, 6.18588e-13, 5.61921e-43, 5.61921e-43, 6.63145e-13, 5.61921e-43, 9.0819e-14, 1.03878e-10, 5.61921e-43, 5.61921e-43
0.274545, 0, 1.54087e-10, 8.22282e-42, 1.41421, -1.54087e-10, 0, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 8.22282e-42, 9.05742e-13, 8.22282e-42, 8.22282e-42, 1.01497e-12, 8.22282e-42, 1.39966e-13, 1.52027e-10, 8.22282e-42, 8.22282e-42
0.282445, 0, 2.24413e-10, 1.06253e-40, 1.41421, -2.24413e-10, 0, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.06253e-40, 1.31937e-12, 1.06253e-40, 1.06253e-40, 1.55064e-12, 1.06253e-40, 2.15063e-13, 2.21328e-10, 1.06253e-40, 1.06253e-40
0.290344, 0, 3.25144e-10, 1.22867e-39, 1.41421, -3.25144e-10, 0, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.22867e-39, 1.91204e-12, 1.22867e-39, 1.22867e-39, 2.36552e-12, 1.22867e-39, 3.29517e-13, 3.20537e-10, 1.22867e-39, 1.22867e-39
0.298244, 0, 4.68664e-10, 1.28067e-38, 1.41421, -4.68664e-10, 0, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 1.28067e-38, 2.75684e-12, 1.28067e-38, 1.28067e-38, 3.60455e-12, 1.28067e-38, 5.0354e-13, 4.61799e-10, 1.28067e-38, 1.28067e-38
0.306143, 0, 6.72073e-10, 1.20945e-37, 1.41421, -6.72073e-10, 0, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 1.20945e-37, 3.95481e-12, 1.20945e-37, 1.20945e-37, 5.48812e-12, 1.20945e-37, 7.67548e-13, 6.61862e-10, 1.20945e-37, 1.20945e-37
0.314043, 0, 9.58854e-10, 1.04009e-36, 1.41421, -9.58854e-10, 0, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 1.04009e-36, 5.64488e-12, 1.04009e-36, 1.04009e-36, 8.35165e-12, 1.04009e-36, 1.16725e-12, 9.4369e-10, 1.04009e-36, 1.04009e-36
0.321942, 0, 1.36108e-09, 8.18873e-36, 1.41421, -1.36108e-09, 0, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.18873e-36, 8.0171e-12, 8.18873e-36, 8.18873e-36, 1.27061e-11, 8.18873e-36, 1.77125e-12, 1.33859e-09, 8.18873e-36, 8.18873e-36
0.329842, 0, 1.92233e-09, 5.93211e-35, 1.41421, -1.92233e-09, 0, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 5.93211e-35, 1.13301e-11, 5.93211e-35, 5.93211e-35, 1.93303e-11, 5.93211e-35, 2.68232e-12, 1.88899e-09, 5.93211e-35, 5.93211e-35
0.337741, 0, 2.70147e-09, 3.98254e-34, 1.41421, -2.70147e-09, 0, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 3.98254e-34, 1.59338e-11, 3.98254e-34, 3.98254e-34, 2.94115e-11, 3.98254e-34, 4.05426e-12, 2.65207e-09, 3.98254e-34, 3.98254e-34
0.345641, 0, 3.77764e-09, 2.6699e-33, 1.41421, -3.77764e-09, 0, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.6699e-33, 2.23e-11, 2.6699e-33, 2.6699e-33, 4.47604e-11, 2.6699e-33, 6.11685e-12, 3.70447e-09, 2.6699e-33, 2.6699e-33
0.35354, 0, 5.25666e-09, 1.69805e-32, 1.41421, -5.25666e-09, 0, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 1.69805e-32, 3.10605e-11, 1.69805e-32, 1.69805e-32, 6.81362e-11, 1.69805e-32, 9.21274e-12, 5.14826e-09, 1.69805e-32, 1.69805e-32
0.36144, 0, 7.27932e-09, 1.00774e-31, 1.41421, -7.27932e-09, 0, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 1.00774e-31, 4.30583e-11, 1.00774e-31, 1.00774e-31, 1.0374e-10, 1.00774e-31, 1.3852e-11, 7.11867e-09, 1.00774e-31, 1.00774e-31
0.369339, 0, 1.00321e-08, 5.59298e-31, 1.41421, -1.00321e-08, 0, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.59298e-31, 5.94125e-11, 5.59298e-31, 5.59298e-31, 1.57961e-10, 5.59298e-31, 2.07921e-11, 9.79389e-09, 5.59298e-31, 5.59298e-31
0.377239, 0, 1.37605e-08, 2.90682e-30, 1.41421, -1.37605e-08, 0, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 2.90682e-30, 8.16019e-11, 2.90682e-30, 2.90682e-30, 2.40495e-10, 2.90682e-30, 3.11553e-11, 1.34073e-08, 2.90682e-30, 2.90682e-30
0.385138, 0, 1.87871e-08, 1.41879e-29, 1.41421, -1.87871e-08, 0, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.41879e-29, 1.11572e-10, 1.41879e-29, 1.41879e-29, 3.66023e-10, 1.41879e-29, 4.65997e-11, 1.82629e-08, 1.41879e-29, 1.41879e-29
0.393038, 0, 2.55327e-08, 6.52861e-29, 1.41421, -2.55327e-08, 0, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 6.52861e-29, 1.51869e-10, 6.52861e-29, 6.52861e-29, 5.56712e-10, 6.52861e-29, 6.95663e-11, 2.47545e-08, 6.52861e-29, 6.52861e-29
0.400937, 0, 3.45449e-08, 2.84033e-28, 1.41421, -3.45449e-08, 0, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.84033e-28, 2.05817e-10, 2.84033e-28, 2.84033e-28, 8.45912e-10, 2.84033e-28, 1.03637e-10, 3.33896e-08, 2.84033e-28, 2.84033e-28
0.408837, 0, 4.65334e-08, 1.17144e-27, 1.41421, -4.65334e-08, 0, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 1.17144e-27, 2.77728e-10, 1.17144e-27, 1.17144e-27, 1.28362e-09, 1.17144e-27, 1.54044e-10, 4.4818e-08, 1.17144e-27, 1.17144e-27
0.416736, 0, 6.24143e-08, 4.59259e-27, 1.41421, -6.24143e-08, 0, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 4.59259e-27, 3.73179e-10, 4.59259e-27, 4.59259e-27, 1.94446e-09, 4.59259e-27, 2.28402e-10, 5.98682e-08, 4.59259e-27, 4.59259e-27
0.424636, 0, 8.33666e-08, 1.71607e-26, 1.41421, -8.33666e-08, 0, 1.71607e-26, 1.71607e-26, 1.71607e-26, 1.71607e-26, 1.71607e-26, 1.71607e-26, 2.71363e-13, 1.71607e-26, 1.71607e-26, 1.71607e-26, 4.99355e-10, 1.71607e-26, 1.71607e-26, 2.93932e-09, 1.71607e-26, 3.3773e-10, 7.959e-08, 1.71607e-26, 1.71607e-26
0.432535, 0, 1.10903e-07, 6.12636e-26, 1.41421, -1.10903e-07, 0, 6.12636e-26, 6.12636e-26, 6.12636e-26, 6.12636e-26, 6.12636e-26, 6.12636e-26, 8.41123e-13, 6.12636e-26, 6.12636e-26, 6.12636e-26, 6.65466e-10, 6.12636e-26, 6.12636e-26, 4.43215e-09, 6.12636e-26, 4.97896e-10, 1.05306e-07, 6.12636e-26, 6.12636e-26
0.440435, 0, 1.46957e-07, 2.10809e-25, 1.41421, -1.46957e-07, 0, 2.10809e-25, 2.10809e-25, 2.10809e-25, 2.10809e-25, 2.10809e-25, 2.10809e-25, 2.01459e-12, 2.10809e-25, 2.10809e-25, 2.10809e-25, 8.83281e-10, 2.10809e-25, 2.10809e-25, 6.6641e-09, 2.10809e-25, 7.31621e-10, 1.38676e-07, 2.10809e-25, 2.10809e-25
0.448334, 0, 1.94477e-07, 9.24062e-12, 1.41421, -1.94477e-07, 9.24062e-12, 9.24415e-12, 1.133e-11, 9.26286e-12, 1.14094e-11, 3.84411e-11, 2.51766e-10, 2.56063e-11, 2.57398e-11, 2.13217e-11, 1.2467e-10, 1.17703e-09, 1.12474e-11, 9.35009e-12, 9.99712e-09, 9.39272e-12, 1.08047e-09, 1.81798e-07, 9.24062e-12, 2.23231e-11
0.456234, 0, 2.56653e-07, 2.89258e-11, 1.41421, -2.56653e-07, 2.89258e-11, 2.89367e-11, 3.53813e-11, 2.89945e-11, 3.56267e-11, 1.19148e-10, 7.78269e-10, 7.50435e-11, 7.99043e-11, 6.62534e-11, 3.85576e-10, 1.5669e-09, 3.51262e-11, 2.9264e-11, 1.49468e-08, 3.21547e-11, 1.59139e-09, 2.3724e-07, 2.89258e-11, 6.93475e-11
0.464133, 0, 3.38063e-07, 6.97675e-11, 1.41421, -3.38063e-07, 6.97675e-11, 6.97936e-11, 8.51922e-11, 6.99317e-11, 8.57786e-11, 2.85344e-10, 1.86024e-09, 1.76541e-10, 1.91575e-10, 1.58958e-10, 9.21943e-10, 2.08754e-09, 8.45826e-11, 7.05757e-11, 2.22655e-08, 7.98278e-11, 2.33928e-09, 3.0825e-07, 6.97675e-11, 1.66351e-10
0.472033, 0, 4.44829e-07, 1.52732e-10, 1.41421, -4.44829e-07, 1.52732e-10, 1.52789e-10, 1.86277e-10, 1.53089e-10, 1.87552e-10, 6.21552e-10, 4.04652e-09, 3.8116e-10, 4.1763e-10, 3.46697e-10, 2.00598e-09, 2.79005e-09, 1.84951e-10, 1.5449e-10, 3.30413e-08, 1.77722e-10, 3.43466e-09, 3.9878e-07, 1.52732e-10, 3.62774e-10
0.479932, 0, 5.8544e-07, 3.18151e-10, 1.41421, -5.8544e-07, 3.18151e-10, 3.18268e-10, 3.87701e-10, 3.18891e-10, 3.90345e-10, 1.29019e-09, 8.39141e-09, 7.86352e-10, 8.67383e-10, 7.20311e-10, 4.16062e-09, 3.75244e-09, 3.84953e-10, 3.21795e-10, 4.88384e-08, 3.74326e-10, 5.04196e-09, 5.13749e-07, 3.18151e-10, 7.53645e-10
0.487832, 0, 7.71961e-07, 6.42274e-10, 1.41421, -7.71961e-07, 6.42274e-10, 6.4251e-10, 7.82207e-10, 6.43763e-10, 7.87526e-10, 2.59798e-09, 1.68854e-08, 1.59861e-09, 1.74731e-09, 1.4514e-09, 8.37318e-09, 5.09796e-09, 7.76676e-10, 6.49606e-10, 7.18969e-08, 7.61661e-10, 7.41484e-09, 6.59254e-07, 6.42274e-10, 1.51847e-09
0.495731, 0, 1.02213e-06, 1.26674e-09, 1.41421, -1.02213e-06, 1.26674e-09, 1.26721e-09, 1.54202e-09, 1.26967e-09, 1.55248e-09, 5.114e-09, 3.32202e-08, 3.37707e-09, 3.44057e-09, 2.85846e-09, 1.6475e-08, 7.02657e-09, 1.53114e-09, 1.28116e-09, 1.05409e-07, 1.51134e-09, 1.09207e-08, 8.42874e-07, 1.26674e-09, 2.9904e-09
0.503631, 0, 1.3643e-06, 2.45018e-09, 1.41421, -1.3643e-06, 2.45018e-09, 2.45108e-09, 2.98151e-09, 2.45583e-09, 3.0017e-09, 9.87603e-09, 6.41257e-08, 8.88628e-09, 6.64602e-09, 5.52247e-09, 3.18046e-08, 9.86907e-09, 2.96051e-09, 2.47802e-09, 1.53911e-07, 2.93801e-09, 1.61392e-08, 1.07413e-06, 2.45018e-09, 5.77712e-09
0.51153, 0, 1.83908e-06, 4.65641e-09, 1.41421, -1.83908e-06, 4.65641e-09, 4.65811e-09, 5.6643e-09, 4.66713e-09, 5.70262e-09, 1.87427e-08, 1.21651e-07, 1.97251e-08, 1.26156e-08, 1.04843e-08, 6.03398e-08, 1.41781e-08, 5.62447e-09, 4.70922e-09, 2.23825e-07, 5.60841e-09, 2.39626e-08, 1.36511e-06, 4.65641e-09, 1.09674e-08
0.51943, 0, 2.51196e-06, 8.70286e-09, 1.41421, -2.51196e-06, 8.70286e-09, 8.70604e-09, 1.05834e-08, 8.72287e-09, 1.06549e-08, 3.49852e-08, 2.26991e-07, 4.07501e-08, 2.35532e-08, 1.95766e-08, 1.12597e-07, 2.08799e-08, 1.05091e-08, 8.80139e-09, 3.2439e-07, 1.05258e-08, 3.57819e-08, 1.73142e-06, 8.70286e-09, 2.04779e-08
