   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_695.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00282839, 0, 1.31109e-13, 0, 1.41421, -1.31109e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63301e-16, 0, 0, 1.04539e-15, 0, 9.63283e-17, 0, 1.29604e-13, 0, 0, 0
0.010682, 0, 1.9503e-13, 0, 1.41421, -1.9503e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40332e-16, 0, 0, 1.58518e-15, 0, 1.47951e-16, 0, 1.92757e-13, 0, 0, 0
0.0185355, 0, 2.88976e-13, 0, 1.41421, -2.88976e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00465e-16, 0, 0, 2.39482e-15, 0, 2.26422e-16, 0, 2.85554e-13, 0, 0, 0
0.0263891, 0, 4.26503e-13, 0, 1.41421, -4.26503e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1812e-15, 0, 0, 3.60483e-15, 0, 3.45277e-16, 0, 4.21372e-13, 0, 0, 0
0.0342427, 0, 6.27035e-13, 0, 1.41421, -6.27035e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73625e-15, 0, 0, 5.40678e-15, 0, 5.24655e-16, 0, 6.19367e-13, 0, 0, 0
0.0420962, 0, 9.18286e-13, 0, 1.41421, -9.18286e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54223e-15, 0, 0, 8.08086e-15, 0, 7.94422e-16, 0, 9.06868e-13, 0, 0, 0
0.0499498, 0, 1.33964e-12, 0, 1.41421, -1.33964e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70802e-15, 0, 0, 1.20364e-14, 0, 1.19871e-15, 0, 1.3227e-12, 0, 0, 0
0.0578034, 0, 1.94685e-12, 0, 1.41421, -1.94685e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38765e-15, 0, 0, 1.78677e-14, 0, 1.80249e-15, 0, 1.92179e-12, 0, 0, 0
0.0656569, 0, 2.81848e-12, 0, 1.41421, -2.81848e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7982e-15, 0, 0, 2.64367e-14, 0, 2.70114e-15, 0, 2.78154e-12, 0, 0, 0
0.0735105, 0, 4.06483e-12, 0, 1.41421, -4.06483e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12443e-14, 0, 0, 3.89894e-14, 0, 4.03411e-15, 0, 4.01056e-12, 0, 0, 0
0.0813641, 0, 5.84012e-12, 0, 1.41421, -5.84012e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61518e-14, 0, 0, 5.73228e-14, 0, 6.00469e-15, 0, 5.76064e-12, 0, 0, 0
0.0892176, 0, 8.3591e-12, 0, 1.41421, -8.3591e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31136e-14, 0, 0, 8.4022e-14, 0, 8.90828e-15, 0, 8.24305e-12, 0, 0, 0
