   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_675.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0152961, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0074138, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000468513, 0, 2.42022e-13, 0, 1.41421, -2.42022e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60087e-16, 0, 1.66539e-14, 0, 2.25208e-13, 0, 0, 0
0.00835082, 0, 3.62829e-13, 0, 1.41421, -3.62829e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44101e-16, 0, 2.57209e-14, 0, 3.36864e-13, 0, 0, 0
0.0162331, 0, 5.41816e-13, 0, 1.41421, -5.41816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70796e-16, 0, 3.95803e-14, 0, 5.01864e-13, 0, 0, 0
0.0241154, 0, 8.05961e-13, 0, 1.41421, -8.05961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61147e-16, 0, 6.06872e-14, 0, 7.44713e-13, 0, 0, 0
0.0319977, 0, 1.19426e-12, 0, 1.41421, -1.19426e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46085e-16, 0, 9.27144e-14, 0, 1.1007e-12, 0, 0, 0
0.03988, 0, 1.76287e-12, 0, 1.41421, -1.76287e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27107e-15, 0, 1.41138e-13, 0, 1.62046e-12, 0, 0, 0
0.0477624, 0, 2.5923e-12, 0, 1.41421, -2.5923e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90271e-15, 0, 2.14092e-13, 0, 2.37631e-12, 0, 0, 0
0.0556447, 0, 3.79757e-12, 0, 1.41421, -3.79757e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83834e-15, 0, 3.23616e-13, 0, 3.47112e-12, 0, 0, 0
0.063527, 0, 5.5423e-12, 0, 1.41421, -5.5423e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2195e-15, 0, 4.87468e-13, 0, 5.05061e-12, 0, 0, 0
0.0714093, 0, 8.05839e-12, 0, 1.41421, -8.05839e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25164e-15, 0, 7.31754e-13, 0, 7.32039e-12, 0, 0, 0
0.0792916, 0, 1.16732e-11, 0, 1.41421, -1.16732e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23202e-15, 0, 1.09472e-12, 0, 1.05693e-11, 0, 0, 0
0.0871739, 0, 1.68472e-11, 0, 1.41421, -1.68472e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35897e-14, 0, 1.6322e-12, 0, 1.52014e-11, 0, 0, 0
0.0950562, 0, 2.42252e-11, 0, 1.41421, -2.42252e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9942e-14, 0, 2.42548e-12, 0, 2.17798e-11, 0, 0, 0
0.102938, 0, 3.47074e-11, 0, 1.41421, -3.47074e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91759e-14, 0, 3.59246e-12, 0, 3.10858e-11, 0, 0, 0
0.110821, 0, 4.95451e-11, 0, 1.41421, -4.95451e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25621e-14, 0, 5.30369e-12, 0, 4.41988e-11, 0, 0, 0
0.118703, 0, 7.04718e-11, 0, 1.41421, -7.04718e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19186e-14, 0, 7.80508e-12, 0, 6.26048e-11, 0, 0, 0
0.126585, 0, 9.98795e-11, 0, 1.41421, -9.98795e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98409e-14, 0, 1.14501e-11, 0, 8.83395e-11, 0, 0, 0
0.134468, 0, 1.41057e-10, 0, 1.41421, -1.41057e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30031e-13, 0, 1.67457e-11, 0, 1.24182e-10, 0, 0, 0
0.14235, 0, 1.98512e-10, 0, 1.41421, -1.98512e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87763e-13, 0, 2.44162e-11, 0, 1.73908e-10, 0, 0, 0
0.150232, 0, 2.78396e-10, 0, 1.41421, -2.78396e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70542e-13, 0, 3.5495e-11, 0, 2.4263e-10, 0, 0, 0
0.158115, 0, 3.8908e-10, 0, 1.41421, -3.8908e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89047e-13, 0, 5.14511e-11, 0, 3.3724e-10, 0, 0, 0
