   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_84.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0821896, 0, 9.36649e-16, 0, 1.41421, -9.36649e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.194e-18, 0, 1.10554e-20, 1.85585e-19, 0, 9.33259e-16, 0, 0, 0
0.0900621, 0, 1.64512e-15, 0, 1.41421, -1.64512e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60988e-18, 0, 1.97477e-20, 3.34044e-19, 0, 1.63916e-15, 0, 0, 0
0.0979345, 0, 2.86899e-15, 0, 1.41421, -2.86899e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78324e-18, 0, 3.50338e-20, 5.97348e-19, 0, 2.85858e-15, 0, 0, 0
0.105807, 0, 4.96831e-15, 0, 1.41421, -4.96831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69418e-17, 0, 6.17352e-20, 1.06137e-18, 0, 4.95025e-15, 0, 0, 0
0.11368, 0, 8.54424e-15, 0, 1.41421, -8.54424e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91354e-17, 0, 1.08067e-19, 1.87404e-18, 0, 8.51312e-15, 0, 0, 0
0.121552, 0, 1.45933e-14, 0, 1.41421, -1.45933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97622e-17, 0, 1.87932e-19, 3.28855e-18, 0, 1.45401e-14, 0, 0, 0
0.129424, 0, 2.47562e-14, 0, 1.41421, -2.47562e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44164e-17, 0, 3.24717e-19, 5.73578e-18, 0, 2.46657e-14, 0, 0, 0
0.137297, 0, 4.17148e-14, 0, 1.41421, -4.17148e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42243e-16, 0, 5.575e-19, 9.94456e-18, 0, 4.15621e-14, 0, 0, 0
0.145169, 0, 6.98232e-14, 0, 1.41421, -6.98232e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38089e-16, 0, 9.51164e-19, 1.71406e-17, 0, 6.95671e-14, 0, 0, 0
0.153042, 0, 1.16101e-13, 0, 1.41421, -1.16101e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95889e-16, 0, 1.61276e-18, 2.93729e-17, 0, 1.15674e-13, 0, 0, 0
0.160914, 0, 1.92128e-13, 0, 1.41421, -1.92128e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55135e-16, 0, 2.72664e-18, 5.02644e-17, 0, 1.9142e-13, 0, 0, 0
0.168787, 0, 3.15247e-13, 0, 1.41421, -3.15247e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07496e-15, 0, 4.56609e-18, 8.51328e-17, 0, 3.14082e-13, 0, 0, 0
0.176659, 0, 5.13942e-13, 0, 1.41421, -5.13942e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75251e-15, 0, 7.60143e-18, 1.43407e-16, 0, 5.12038e-13, 0, 0, 0
0.184532, 0, 8.32525e-13, 0, 1.41421, -8.32525e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8389e-15, 0, 1.25812e-17, 2.40268e-16, 0, 8.29433e-13, 0, 0, 0
0.192404, 0, 1.34004e-12, 0, 1.41421, -1.34004e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56962e-15, 0, 2.07048e-17, 4.00416e-16, 0, 1.33505e-12, 0, 0, 0
0.200277, 0, 2.14333e-12, 0, 1.41421, -2.14333e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30916e-15, 0, 3.38834e-17, 6.63828e-16, 0, 2.13533e-12, 0, 0, 0
0.208149, 0, 3.40666e-12, 0, 1.41421, -3.40666e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16178e-14, 0, 5.51475e-17, 1.09488e-15, 0, 3.39389e-12, 0, 0, 0
0.216022, 0, 5.3808e-12, 0, 1.41421, -5.3808e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83514e-14, 0, 8.9279e-17, 1.79673e-15, 0, 5.36056e-12, 0, 0, 0
0.223894, 0, 8.44618e-12, 0, 1.41421, -8.44618e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88083e-14, 0, 1.43787e-16, 2.93396e-15, 0, 8.41429e-12, 0, 0, 0
0.231767, 0, 1.31758e-11, 0, 1.41421, -1.31758e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49448e-14, 0, 2.30413e-16, 4.76785e-15, 0, 1.31259e-11, 0, 0, 0
0.239639, 0, 2.04274e-11, 0, 1.41421, -2.04274e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96902e-14, 0, 3.67446e-16, 7.71153e-15, 0, 2.03497e-11, 0, 0, 0
0.247512, 0, 3.1476e-11, 0, 1.41421, -3.1476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07401e-13, 0, 5.8327e-16, 1.24154e-14, 0, 3.13556e-11, 0, 0, 0
0.255384, 0, 4.82045e-11, 0, 1.41421, -4.82045e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64515e-13, 0, 9.218e-16, 1.98998e-14, 0, 4.80192e-11, 0, 0, 0
0.263257, 0, 7.33749e-11, 0, 1.41421, -7.33749e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50482e-13, 0, 1.45079e-15, 3.17585e-14, 0, 7.30912e-11, 0, 0, 0
0.271129, 0, 1.11012e-10, 0, 1.41421, -1.11012e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79084e-13, 0, 2.27456e-15, 5.04739e-14, 0, 1.1058e-10, 0, 0, 0
0.279002, 0, 1.66944e-10, 7.70714e-44, 1.41421, -1.66944e-10, 7.70714e-44, 0, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 5.70295e-13, 7.70714e-44, 3.55346e-15, 7.98995e-14, 7.70714e-44, 1.6629e-10, 7.70714e-44, 7.70714e-44, 7.70714e-44
0.286874, 0, 2.49549e-10, 1.28219e-42, 1.41421, -2.49549e-10, 1.28219e-42, 0, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 1.28219e-42, 8.52876e-13, 1.28219e-42, 5.53362e-15, 1.26e-13, 1.28219e-42, 2.48564e-10, 1.28219e-42, 1.28219e-42, 1.28219e-42
0.294747, 0, 3.70799e-10, 1.79674e-41, 1.41421, -3.70799e-10, 1.79674e-41, 0, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.79674e-41, 1.26798e-12, 1.79674e-41, 8.59266e-15, 1.97982e-13, 1.79674e-41, 3.69324e-10, 1.79674e-41, 1.79674e-41, 1.79674e-41
0.302619, 0, 5.47685e-10, 2.22933e-40, 1.41421, -5.47685e-10, 2.22933e-40, 0, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 2.22933e-40, 1.87411e-12, 2.22933e-40, 1.33098e-14, 3.1003e-13, 2.22933e-40, 5.45488e-10, 2.22933e-40, 2.22933e-40, 2.22933e-40
0.310492, 0, 8.04164e-10, 2.48476e-39, 1.41421, -8.04164e-10, 2.48476e-39, 0, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.48476e-39, 2.75394e-12, 2.48476e-39, 2.05734e-14, 4.83937e-13, 2.48476e-39, 8.00905e-10, 2.48476e-39, 2.48476e-39, 2.48476e-39
0.318364, 0, 1.1738e-09, 2.50234e-38, 1.41421, -1.1738e-09, 2.50234e-38, 0, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 2.50234e-38, 4.02361e-12, 2.50234e-38, 3.17472e-14, 7.53144e-13, 2.50234e-38, 1.16899e-09, 2.50234e-38, 2.50234e-38, 2.50234e-38
0.326237, 0, 1.70329e-09, 2.28975e-37, 1.41421, -1.70329e-09, 2.28975e-37, 0, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 2.28975e-37, 5.8452e-12, 2.28975e-37, 4.89254e-14, 1.16885e-12, 2.28975e-37, 1.69622e-09, 2.28975e-37, 2.28975e-37, 2.28975e-37
0.334109, 0, 2.45722e-09, 1.91369e-36, 1.41421, -2.45722e-09, 1.91369e-36, 0, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 1.91369e-36, 8.44365e-12, 1.91369e-36, 7.53271e-14, 1.80936e-12, 1.91369e-36, 2.44689e-09, 1.91369e-36, 1.91369e-36, 1.91369e-36
0.341982, 0, 3.5243e-09, 1.46817e-35, 1.41421, -3.5243e-09, 1.46817e-35, 0, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.46817e-35, 1.21292e-11, 1.46817e-35, 1.15904e-13, 2.7942e-12, 1.46817e-35, 3.50926e-09, 1.46817e-35, 1.46817e-35, 1.46817e-35
0.349854, 0, 5.02564e-09, 1.0371e-34, 1.41421, -5.02564e-09, 1.0371e-34, 0, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.0371e-34, 1.73276e-11, 1.0371e-34, 1.78279e-13, 4.30565e-12, 1.0371e-34, 5.00383e-09, 1.0371e-34, 1.0371e-34, 1.0371e-34
0.357727, 0, 7.12547e-09, 7.08241e-34, 1.41421, -7.12547e-09, 7.08241e-34, 0, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 7.08241e-34, 2.46193e-11, 7.08241e-34, 2.7419e-13, 6.62113e-12, 7.08241e-34, 7.09396e-09, 7.08241e-34, 7.08241e-34, 7.08241e-34
0.365599, 0, 1.00452e-08, 4.70643e-33, 1.41421, -1.00452e-08, 4.70643e-33, 0, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 4.70643e-33, 3.47919e-11, 4.70643e-33, 4.21716e-13, 1.01624e-11, 4.70643e-33, 9.9998e-09, 4.70643e-33, 4.70643e-33, 4.70643e-33
0.373472, 0, 1.40812e-08, 2.943e-32, 1.41421, -1.40812e-08, 2.943e-32, 0, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 2.943e-32, 4.89079e-11, 2.943e-32, 6.4868e-13, 1.55691e-11, 2.943e-32, 1.40161e-08, 2.943e-32, 2.943e-32, 2.943e-32
0.381344, 0, 1.9628e-08, 1.71963e-31, 1.41421, -1.9628e-08, 1.71963e-31, 0, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 1.71963e-31, 6.83934e-11, 1.71963e-31, 9.97878e-13, 2.381e-11, 1.71963e-31, 1.95348e-08, 1.71963e-31, 1.71963e-31, 1.71963e-31
0.389217, 0, 2.72075e-08, 9.39651e-31, 1.41421, -2.72075e-08, 9.39651e-31, 0, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.39651e-31, 9.51531e-11, 9.39651e-31, 1.53503e-12, 3.6348e-11, 9.39651e-31, 2.70745e-08, 9.39651e-31, 9.39651e-31, 9.39651e-31
0.397089, 0, 3.75056e-08, 4.8144e-30, 1.41421, -3.75056e-08, 4.8144e-30, 0, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 4.8144e-30, 1.31718e-10, 4.8144e-30, 2.36084e-12, 5.53867e-11, 4.8144e-30, 3.73161e-08, 4.8144e-30, 4.8144e-30, 4.8144e-30
0.404962, 0, 5.14183e-08, 2.32003e-29, 1.41421, -5.14183e-08, 2.32003e-29, 0, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 2.32003e-29, 1.81434e-10, 2.32003e-29, 3.62924e-12, 8.42343e-11, 2.32003e-29, 5.1149e-08, 2.32003e-29, 2.32003e-29, 2.32003e-29
0.412834, 0, 7.01095e-08, 1.05494e-28, 1.41421, -7.01095e-08, 1.05494e-28, 0, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 1.05494e-28, 2.48706e-10, 1.05494e-28, 5.57476e-12, 1.27839e-10, 1.05494e-28, 6.97274e-08, 1.05494e-28, 1.05494e-28, 1.05494e-28
0.420707, 0, 9.50816e-08, 4.53989e-28, 1.41421, -9.50816e-08, 4.53989e-28, 0, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 4.53989e-28, 3.39307e-10, 4.53989e-28, 8.55339e-12, 1.93573e-10, 4.53989e-28, 9.45401e-08, 4.53989e-28, 4.53989e-28, 4.53989e-28
0.428579, 0, 1.28262e-07, 1.85437e-27, 1.41421, -1.28262e-07, 1.85437e-27, 0, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 1.85437e-27, 4.60761e-10, 1.85437e-27, 1.31031e-11, 2.92365e-10, 1.85437e-27, 1.27496e-07, 1.85437e-27, 1.85437e-27, 1.85437e-27
0.436451, 0, 1.7211e-07, 7.20854e-27, 1.41421, -1.7211e-07, 7.20854e-27, 0, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 7.20854e-27, 6.22845e-10, 7.20854e-27, 2.00333e-11, 4.40336e-10, 7.20854e-27, 1.71027e-07, 7.20854e-27, 7.20854e-27, 7.20854e-27
0.444324, 0, 2.29746e-07, 2.67377e-26, 1.41421, -2.29746e-07, 2.67377e-26, 0, 2.67377e-26, 2.67377e-26, 2.67377e-26, 2.67377e-26, 2.67377e-26, 2.67377e-26, 8.77639e-14, 2.67377e-26, 2.67377e-26, 2.67377e-26, 8.38193e-10, 2.67377e-26, 3.05554e-11, 6.61132e-10, 2.67377e-26, 2.28216e-07, 2.67377e-26, 2.67377e-26, 2.67377e-26
0.452196, 0, 3.05101e-07, 9.48588e-26, 1.41421, -3.05101e-07, 9.48588e-26, 0, 9.48588e-26, 9.48588e-26, 9.48588e-26, 9.48588e-26, 9.48588e-26, 9.48588e-26, 2.78379e-13, 9.48588e-26, 9.48588e-26, 9.48588e-26, 1.12307e-09, 9.48588e-26, 4.64719e-11, 9.8922e-10, 9.48588e-26, 3.02942e-07, 9.48588e-26, 9.48588e-26, 9.48588e-26
0.460069, 0, 4.05101e-07, 3.26004e-25, 1.41421, -4.05101e-07, 3.47762e-12, 0, 1.09213e-14, 4.11116e-14, 9.45123e-14, 3.70656e-13, 2.59856e-11, 2.51981e-13, 4.64946e-12, 1.03685e-11, 2.95492e-12, 1.87148e-09, 1.49834e-09, 3.66547e-14, 7.04506e-11, 1.47452e-09, 2.53715e-15, 4.0012e-07, 3.26004e-25, 3.26004e-25, 1.80114e-11
0.467941, 0, 5.3693e-07, 7.19959e-10, 1.41421, -5.3693e-07, 7.30947e-10, 7.19959e-10, 7.19993e-10, 7.20089e-10, 7.20257e-10, 7.2113e-10, 8.02068e-10, 7.20755e-10, 7.34015e-10, 7.52721e-10, 7.29296e-10, 6.63348e-09, 2.71056e-09, 7.20075e-10, 8.26378e-10, 2.9088e-09, 7.19967e-10, 5.26522e-07, 7.19959e-10, 7.19959e-10, 7.76871e-10
0.475814, 0, 7.10813e-07, 2.27421e-09, 1.41421, -7.10813e-07, 2.30107e-09, 2.27421e-09, 2.27429e-09, 2.27453e-09, 2.27494e-09, 2.27707e-09, 2.47487e-09, 2.27616e-09, 2.30807e-09, 2.35428e-09, 2.29703e-09, 1.6726e-08, 4.90784e-09, 2.27449e-09, 2.43433e-09, 5.50888e-09, 2.27423e-09, 6.89823e-07, 2.27421e-09, 2.27421e-09, 2.4133e-09
0.483686, 0, 9.42094e-07, 5.55473e-09, 1.41421, -9.42094e-07, 5.61443e-09, 5.55473e-09, 5.55492e-09, 5.55544e-09, 5.55636e-09, 5.5611e-09, 6.00083e-09, 5.55906e-09, 5.62947e-09, 5.73273e-09, 5.60546e-09, 3.76826e-08, 9.0249e-09, 5.55536e-09, 5.7946e-09, 1.03119e-08, 5.55478e-09, 9.00367e-07, 5.55473e-09, 5.55473e-09, 5.86393e-09
0.491559, 0, 1.25377e-06, 1.23377e-08, 1.41421, -1.25377e-06, 1.24641e-08, 1.23377e-08, 1.23381e-08, 1.23392e-08, 1.23411e-08, 1.23511e-08, 1.32822e-08, 1.23468e-08, 1.24952e-08, 1.27145e-08, 1.24451e-08, 8.03624e-08, 1.68917e-08, 1.2339e-08, 1.26953e-08, 1.92981e-08, 1.23378e-08, 1.17147e-06, 1.23377e-08, 1.23377e-08, 1.29923e-08
0.499431, 0, 1.68205e-06, 2.61012e-08, 1.41421, -1.68205e-06, 2.63606e-08, 2.61012e-08, 2.6102e-08, 2.61043e-08, 2.61083e-08, 2.61289e-08, 2.80391e-08, 2.612e-08, 2.64231e-08, 2.68745e-08, 2.63216e-08, 1.65669e-07, 3.20537e-08, 2.61039e-08, 2.6632e-08, 3.62302e-08, 2.61014e-08, 1.52096e-06, 2.61012e-08, 2.61012e-08, 2.74444e-08
0.507304, 0, 2.28593e-06, 5.35122e-08, 1.41421, -2.28593e-06, 5.40317e-08, 5.35122e-08, 5.35139e-08, 5.35184e-08, 5.35264e-08, 5.35676e-08, 5.73936e-08, 5.35499e-08, 5.4196e-08, 5.5061e-08, 5.39536e-08, 3.3305e-07, 6.12621e-08, 5.35177e-08, 5.42958e-08, 6.81859e-08, 5.35126e-08, 1.9733e-06, 5.35122e-08, 5.35122e-08, 5.62026e-08
0.515176, 0, 3.16342e-06, 1.07102e-07, 1.41421, -3.16342e-06, 1.08121e-07, 1.07102e-07, 1.07105e-07, 1.07114e-07, 1.0713e-07, 1.07211e-07, 1.14716e-07, 1.07176e-07, 1.08527e-07, 1.1014e-07, 1.07968e-07, 6.55493e-07, 1.17152e-07, 1.07113e-07, 1.08253e-07, 1.28218e-07, 1.07103e-07, 2.56323e-06, 1.07102e-07, 1.07102e-07, 1.1238e-07
0.523049, 0, 4.48075e-06, 2.09966e-07, 1.41421, -4.48075e-06, 2.11927e-07, 2.09966e-07, 2.09972e-07, 2.09989e-07, 2.10019e-07, 2.10175e-07, 2.2462e-07, 2.10108e-07, 2.13721e-07, 2.15813e-07, 2.11632e-07, 1.2654e-06, 2.22949e-07, 2.09986e-07, 2.11646e-07, 2.40171e-07, 2.09967e-07, 3.34195e-06, 2.09966e-07, 2.09966e-07, 2.20123e-07
0.530921, 0, 6.51773e-06, 4.03833e-07, 1.41421, -6.51773e-06, 4.07539e-07, 4.03833e-07, 4.03845e-07, 4.03877e-07, 4.03934e-07, 4.04228e-07, 4.31526e-07, 4.04102e-07, 4.12236e-07, 4.14883e-07, 4.06982e-07, 2.39825e-06, 4.2054e-07, 4.03872e-07, 4.06275e-07, 4.46775e-07, 4.03836e-07, 4.38717e-06, 4.03833e-07, 4.03833e-07, 4.23028e-07
0.538794, 0, 9.74687e-06, 7.62619e-07, 1.41421, -9.74687e-06, 7.69498e-07, 7.62619e-07, 7.6264e-07, 7.627e-07, 7.62805e-07, 7.63352e-07, 8.1402e-07, 7.63117e-07, 7.80135e-07, 7.83128e-07, 7.68464e-07, 4.46457e-06, 7.84036e-07, 7.62691e-07, 7.66145e-07, 8.23291e-07, 7.62624e-07, 5.81993e-06, 7.62619e-07, 7.62619e-07, 7.98247e-07
0.546666, 0, 1.49578e-05, 1.41467e-06, 1.41421, -1.49578e-05, 1.42721e-06, 1.41467e-06, 1.41471e-06, 1.41482e-06, 1.41501e-06, 1.416e-06, 1.50841e-06, 1.41558e-06, 1.44974e-06, 1.45207e-06, 1.42533e-06, 8.16604e-06, 1.44202e-06, 1.4148e-06, 1.41973e-06, 1.49986e-06, 1.41468e-06, 7.83146e-06, 1.41467e-06, 1.41467e-06, 1.47964e-06
0.554539, 0, 2.34529e-05, 2.57839e-06, 1.41421, -2.34529e-05, 2.60087e-06, 2.57839e-06, 2.57846e-06, 2.57866e-06, 2.579e-06, 2.58079e-06, 2.74639e-06, 2.58002e-06, 2.64595e-06, 2.64542e-06, 2.59749e-06, 1.4678e-05, 2.61319e-06, 2.57863e-06, 2.58562e-06, 2.69727e-06, 2.57841e-06, 1.07266e-05, 2.57839e-06, 2.57839e-06, 2.69484e-06
0.562411, 0, 3.73519e-05, 4.61817e-06, 1.41421, -3.73519e-05, 4.65777e-06, 4.61817e-06, 4.61829e-06, 4.61864e-06, 4.61924e-06, 4.62239e-06, 4.91409e-06, 4.62104e-06, 4.74654e-06, 4.73624e-06, 4.65182e-06, 2.59303e-05, 4.66229e-06, 4.61859e-06, 4.62844e-06, 4.78307e-06, 4.6182e-06, 1.49906e-05, 4.61817e-06, 4.61817e-06, 4.82328e-06
0.570284, 0, 6.00449e-05, 8.13e-06, 1.41421, -6.00449e-05, 8.19857e-06, 8.13e-06, 8.13022e-06, 8.13081e-06, 8.13187e-06, 8.13731e-06, 8.64235e-06, 8.13497e-06, 8.37058e-06, 8.33443e-06, 8.18826e-06, 4.50293e-05, 8.18575e-06, 8.13073e-06, 8.14451e-06, 8.35739e-06, 8.13005e-06, 2.13928e-05, 8.13e-06, 8.13e-06, 8.48513e-06
0.578156, 0, 9.68508e-05, 1.40673e-05, 1.41421, -9.68508e-05, 1.4184e-05, 1.40673e-05, 1.40676e-05, 1.40686e-05, 1.40704e-05, 1.40797e-05, 1.49392e-05, 1.40757e-05, 1.45119e-05, 1.44152e-05, 1.41664e-05, 7.6867e-05, 1.41375e-05, 1.40685e-05, 1.40876e-05, 1.43791e-05, 1.40673e-05, 3.11368e-05, 1.40673e-05, 1.40673e-05, 1.46717e-05
0.586029, 0, 0.000155971, 2.39278e-05, 1.41421, -0.000155971, 2.4123e-05, 2.39278e-05, 2.39284e-05, 2.39301e-05, 2.39331e-05, 2.39486e-05, 2.53868e-05, 2.39419e-05, 2.47381e-05, 2.45099e-05, 2.40937e-05, 0.000129005, 2.40159e-05, 2.39298e-05, 2.39563e-05, 2.43531e-05, 2.39279e-05, 4.60826e-05, 2.39278e-05, 2.39278e-05, 2.49391e-05
