   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_84.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00440779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0034647, 0, 2.20862e-18, 0, 1.41421, -2.20862e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53177e-21, 0, 2.23232e-23, 3.50853e-22, 0, 2.20072e-18, 0, 0, 0
0.0113372, 0, 4.19437e-18, 0, 1.41421, -4.19437e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43035e-20, 0, 4.30142e-23, 6.80248e-22, 0, 4.17935e-18, 0, 0, 0
0.0192097, 0, 7.89753e-18, 0, 1.41421, -7.89753e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69317e-20, 0, 8.21926e-23, 1.3079e-21, 0, 7.86921e-18, 0, 0, 0
0.0270822, 0, 1.47464e-17, 0, 1.41421, -1.47464e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02873e-20, 0, 1.55781e-22, 2.49434e-21, 0, 1.46935e-17, 0, 0, 0
0.0349546, 0, 2.73109e-17, 0, 1.41421, -2.73109e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.31336e-20, 0, 2.92915e-22, 4.71971e-21, 0, 2.72128e-17, 0, 0, 0
0.0428271, 0, 5.01783e-17, 0, 1.41421, -5.01783e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71113e-19, 0, 5.46504e-22, 8.86224e-21, 0, 4.99977e-17, 0, 0, 0
0.0506996, 0, 9.1473e-17, 0, 1.41421, -9.1473e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11931e-19, 0, 1.01191e-21, 1.65169e-20, 0, 9.11435e-17, 0, 0, 0
0.0585721, 0, 1.65475e-16, 0, 1.41421, -1.65475e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64281e-19, 0, 1.85976e-21, 3.05596e-20, 0, 1.64878e-16, 0, 0, 0
0.0664446, 0, 2.97091e-16, 0, 1.41421, -2.97091e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0131e-18, 0, 3.39309e-21, 5.61407e-20, 0, 2.96019e-16, 0, 0, 0
0.0743171, 0, 5.29447e-16, 0, 1.41421, -5.29447e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80544e-18, 0, 6.14634e-21, 1.02421e-19, 0, 5.27533e-16, 0, 0, 0
