   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_528.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00810892, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000239449, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00763002, 0, 1.08685e-14, 0, 1.41421, -1.08685e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41424e-17, 0, 4.13927e-16, 0, 1.04205e-14, 0, 0, 0
0.0154995, 0, 1.72542e-14, 0, 1.41421, -1.72542e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51613e-17, 0, 6.75735e-16, 0, 1.65233e-14, 0, 0, 0
0.023369, 0, 2.7259e-14, 0, 1.41421, -2.7259e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86977e-17, 0, 1.09825e-15, 0, 2.60721e-14, 0, 0, 0
0.0312384, 0, 4.2859e-14, 0, 1.41421, -4.2859e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41956e-16, 0, 1.77711e-15, 0, 4.09399e-14, 0, 0, 0
0.0391079, 0, 6.70663e-14, 0, 1.41421, -6.70663e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26141e-16, 0, 2.86313e-15, 0, 6.3977e-14, 0, 0, 0
0.0469774, 0, 1.04452e-13, 0, 1.41421, -1.04452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58604e-16, 0, 4.59303e-15, 0, 9.95002e-14, 0, 0, 0
0.0548468, 0, 1.61918e-13, 0, 1.41421, -1.61918e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66092e-16, 0, 7.3368e-15, 0, 1.54015e-13, 0, 0, 0
0.0627163, 0, 2.49836e-13, 0, 1.41421, -2.49836e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8965e-16, 0, 1.16704e-14, 0, 2.37276e-13, 0, 0, 0
0.0705858, 0, 3.8372e-13, 0, 1.41421, -3.8372e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39199e-15, 0, 1.84868e-14, 0, 3.63841e-13, 0, 0, 0
0.0784553, 0, 5.86659e-13, 0, 1.41421, -5.86659e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16852e-15, 0, 2.9165e-14, 0, 5.55325e-13, 0, 0, 0
0.0863247, 0, 8.92858e-13, 0, 1.41421, -8.92858e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3638e-15, 0, 4.58241e-14, 0, 8.4367e-13, 0, 0, 0
0.0941942, 0, 1.35275e-12, 0, 1.41421, -1.35275e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1959e-15, 0, 7.1709e-14, 0, 1.27584e-12, 0, 0, 0
0.102064, 0, 2.04035e-12, 0, 1.41421, -2.04035e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9926e-15, 0, 1.11769e-13, 0, 1.92059e-12, 0, 0, 0
0.109933, 0, 3.06377e-12, 0, 1.41421, -3.06377e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22453e-14, 0, 1.73524e-13, 0, 2.878e-12, 0, 0, 0
0.117803, 0, 4.58019e-12, 0, 1.41421, -4.58019e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86865e-14, 0, 2.68349e-13, 0, 4.29315e-12, 0, 0, 0
0.125672, 0, 6.81709e-12, 0, 1.41421, -6.81709e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84055e-14, 0, 4.13401e-13, 0, 6.37528e-12, 0, 0, 0
