   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.215424, 0, 5.09293e-22, 0, 1.41421, -5.09293e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96217e-24, 0, 1.54215e-27, 5.54417e-26, 0, 5.07274e-22, 0, 0
0.223641, 0, 1.82713e-21, 0, 1.41421, -1.82713e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03938e-24, 0, 5.5484e-27, 2.07932e-25, 0, 1.81987e-21, 0, 0
0.231858, 0, 6.32576e-21, 0, 1.41421, -6.32576e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43712e-23, 0, 1.92688e-26, 7.49465e-25, 0, 6.30062e-21, 0, 0
0.240075, 0, 2.12008e-20, 0, 1.41421, -2.12008e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16797e-23, 0, 6.4795e-26, 2.60649e-24, 0, 2.11165e-20, 0, 0
0.248292, 0, 6.89577e-20, 0, 1.41421, -6.89577e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6567e-22, 0, 2.11506e-25, 8.77423e-24, 0, 6.86831e-20, 0, 0
0.256509, 0, 2.18126e-19, 0, 1.41421, -2.18126e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4036e-22, 0, 6.71596e-25, 2.86633e-23, 0, 2.17256e-19, 0, 0
0.264727, 0, 6.72164e-19, 0, 1.41421, -6.72164e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58959e-21, 0, 2.07803e-24, 9.1059e-23, 0, 6.69481e-19, 0, 0
0.272944, 0, 2.02077e-18, 0, 1.41421, -2.02077e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78524e-21, 0, 6.2746e-24, 2.81812e-22, 0, 2.0127e-18, 0, 0
0.281161, 0, 5.93425e-18, 0, 1.41421, -5.93425e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28623e-20, 0, 1.8512e-23, 8.509e-22, 0, 5.91052e-18, 0, 0
0.289378, 0, 1.70404e-17, 0, 1.41421, -1.70404e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56495e-20, 0, 5.34219e-23, 2.50972e-21, 0, 1.69722e-17, 0, 0
0.297595, 0, 4.78907e-17, 0, 1.41421, -4.78907e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84502e-19, 0, 1.50933e-22, 7.2388e-21, 0, 4.76988e-17, 0, 0
0.305812, 0, 1.3183e-16, 0, 1.41421, -1.3183e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0788e-19, 0, 4.1782e-22, 2.04362e-20, 0, 1.31302e-16, 0, 0
0.314029, 0, 3.55686e-16, 0, 1.41421, -3.55686e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37028e-18, 0, 1.13408e-21, 5.65167e-20, 0, 3.54258e-16, 0, 0
0.322246, 0, 9.41153e-16, 0, 1.41421, -9.41153e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62573e-18, 0, 3.02002e-21, 1.53214e-19, 0, 9.37371e-16, 0, 0
0.330463, 0, 2.44352e-15, 0, 1.41421, -2.44352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41335e-18, 0, 7.89445e-21, 4.07404e-19, 0, 2.43369e-15, 0, 0
0.33868, 0, 6.22774e-15, 0, 1.41421, -6.22774e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39911e-17, 0, 2.0267e-20, 1.06315e-18, 0, 6.20267e-15, 0, 0
0.346897, 0, 1.55874e-14, 0, 1.41421, -1.55874e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00454e-17, 0, 5.11208e-20, 2.724e-18, 0, 1.55245e-14, 0, 0
