   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_37.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0323193, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0400246, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0477299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0554352, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0631404, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0708457, 0, 1.57749e-29, 0, 1.41421, -1.57749e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02702e-31, 0, 0, 2.31692e-34, 6.89161e-35, 0, 1.55719e-29, 0, 0, 0
0.078551, 0, 1.59002e-28, 0, 1.41421, -1.59002e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04298e-30, 0, 0, 2.33516e-33, 1.20012e-32, 0, 1.56944e-28, 0, 0, 0
0.0862563, 0, 1.00684e-27, 0, 1.41421, -1.00684e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29361e-29, 0, 0, 1.47862e-32, 1.18624e-31, 0, 9.93771e-28, 0, 0, 0
0.0939616, 0, 5.10331e-27, 0, 1.41421, -5.10331e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55665e-29, 0, 0, 7.49438e-32, 7.47352e-31, 0, 5.03692e-27, 0, 0, 0
0.101667, 0, 2.25682e-26, 0, 1.41421, -2.25682e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89947e-28, 0, 0, 3.31996e-31, 3.78104e-30, 0, 2.22741e-26, 0, 0, 0
0.109372, 0, 1.18805e-25, 0, 1.41421, -1.18805e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52631e-27, 0, 0, 1.76061e-30, 2.32127e-29, 0, 1.17254e-25, 0, 0, 0
0.117077, 0, 4.25575e-25, 0, 1.41421, -4.25575e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46739e-27, 0, 0, 6.33817e-30, 8.80337e-29, 0, 4.20013e-25, 0, 0, 0
0.124783, 0, 1.45328e-24, 0, 1.41421, -1.45328e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86703e-26, 0, 0, 2.17628e-29, 3.15295e-28, 0, 1.43428e-24, 0, 0, 0
0.132488, 0, 4.76323e-24, 0, 1.41421, -4.76323e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11924e-26, 0, 0, 7.1748e-29, 1.07666e-27, 0, 4.70089e-24, 0, 0, 0
0.140193, 0, 1.50592e-23, 0, 1.41421, -1.50592e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93461e-25, 0, 0, 2.2824e-28, 3.52915e-27, 0, 1.4862e-23, 0, 0, 0
0.147899, 0, 4.61013e-23, 0, 1.41421, -4.61013e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92246e-25, 0, 0, 7.03248e-28, 1.11598e-26, 0, 4.54972e-23, 0, 0, 0
0.155604, 0, 1.3707e-22, 0, 1.41421, -1.3707e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76087e-24, 0, 0, 2.10505e-27, 3.41737e-26, 0, 1.35273e-22, 0, 0, 0
0.163309, 0, 3.9761e-22, 0, 1.41421, -3.9761e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10787e-24, 0, 0, 6.15257e-27, 1.01974e-25, 0, 3.92394e-22, 0, 0, 0
0.171014, 0, 1.12458e-21, 0, 1.41421, -1.12458e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44468e-23, 0, 0, 1.75368e-26, 2.96033e-25, 0, 1.10982e-21, 0, 0, 0
0.17872, 0, 3.10698e-21, 0, 1.41421, -3.10698e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9913e-23, 0, 0, 4.88362e-26, 8.37968e-25, 0, 3.06618e-21, 0, 0, 0
0.186425, 0, 8.39748e-21, 0, 1.41421, -8.39748e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07875e-22, 0, 0, 1.33075e-25, 2.3171e-24, 0, 8.28715e-21, 0, 0, 0
0.19413, 0, 2.22314e-20, 0, 1.41421, -2.22314e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85587e-22, 0, 0, 3.55269e-25, 6.26818e-24, 0, 2.19392e-20, 0, 0, 0
0.201836, 0, 5.7711e-20, 0, 1.41421, -5.7711e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41357e-22, 0, 0, 9.30248e-25, 1.661e-23, 0, 5.69521e-20, 0, 0, 0
0.209541, 0, 1.47035e-19, 0, 1.41421, -1.47035e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8888e-21, 0, 0, 2.39123e-24, 4.31614e-23, 0, 1.451e-19, 0, 0, 0
0.217246, 0, 3.67954e-19, 0, 1.41421, -3.67954e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72669e-21, 0, 0, 6.03911e-24, 1.10083e-22, 0, 3.63111e-19, 0, 0, 0
0.224951, 0, 9.05061e-19, 0, 1.41421, -9.05061e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16262e-20, 0, 0, 1.49954e-23, 2.758e-22, 0, 8.93144e-19, 0, 0, 0
0.232657, 0, 2.18948e-18, 0, 1.41421, -2.18948e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81255e-20, 0, 0, 3.66315e-23, 6.7925e-22, 0, 2.16064e-18, 0, 0, 0
0.240362, 0, 5.21218e-18, 0, 1.41421, -5.21218e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69538e-20, 0, 0, 8.80854e-23, 1.6455e-21, 0, 5.14349e-18, 0, 0, 0
