   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_251.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00422802, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00364409, 0, 1.87253e-15, 0, 1.41421, -1.87253e-15, 0, 0, 0, 0, 0, 0, 1.10618e-17, 0, 0, 2.63566e-20, 5.19231e-19, 0, 1.86092e-15, 0, 0
0.0115162, 0, 3.57362e-15, 0, 1.41421, -3.57362e-15, 0, 0, 0, 0, 0, 0, 2.11106e-17, 0, 0, 5.1428e-20, 1.02739e-18, 0, 3.55143e-15, 0, 0
0.0193883, 0, 6.74438e-15, 0, 1.41421, -6.74438e-15, 0, 0, 0, 0, 0, 0, 3.98409e-17, 0, 0, 9.92572e-20, 2.01184e-18, 0, 6.70242e-15, 0, 0
0.0272604, 0, 1.25903e-14, 0, 1.41421, -1.25903e-14, 0, 0, 0, 0, 0, 0, 7.43736e-17, 0, 0, 1.89535e-19, 3.89984e-18, 0, 1.25119e-14, 0, 0
0.0351325, 0, 2.3254e-14, 0, 1.41421, -2.3254e-14, 0, 0, 0, 0, 0, 0, 1.37364e-16, 0, 0, 3.5817e-19, 7.48535e-18, 0, 2.31088e-14, 0, 0
0.0430046, 0, 4.25028e-14, 0, 1.41421, -4.25028e-14, 0, 0, 0, 0, 0, 0, 2.51066e-16, 0, 0, 6.69974e-19, 1.42291e-17, 0, 4.22368e-14, 0, 0
0.0508767, 0, 7.68934e-14, 0, 1.41421, -7.68934e-14, 0, 0, 0, 0, 0, 0, 4.54206e-16, 0, 0, 1.24076e-18, 2.67941e-17, 0, 7.64112e-14, 0, 0
0.0587488, 0, 1.38233e-13, 0, 1.41421, -1.38233e-13, 0, 0, 0, 0, 0, 0, 8.16522e-16, 0, 0, 2.2892e-18, 5.04153e-17, 0, 1.37364e-13, 0, 0
0.0666209, 0, 2.45077e-13, 0, 1.41421, -2.45077e-13, 0, 0, 0, 0, 0, 0, 1.44761e-15, 0, 0, 4.15643e-18, 9.31642e-17, 0, 2.43532e-13, 0, 0
0.074493, 0, 4.30328e-13, 0, 1.41421, -4.30328e-13, 0, 0, 0, 0, 0, 0, 2.5418e-15, 0, 0, 7.4763e-18, 1.70641e-16, 0, 4.27608e-13, 0, 0
0.0823651, 0, 7.48479e-13, 0, 1.41421, -7.48479e-13, 0, 0, 0, 0, 0, 0, 4.42092e-15, 0, 0, 1.33249e-17, 3.0984e-16, 0, 7.43735e-13, 0, 0
0.0902372, 0, 1.28977e-12, 0, 1.41421, -1.28977e-12, 0, 0, 0, 0, 0, 0, 7.61792e-15, 0, 0, 2.3536e-17, 5.57798e-16, 0, 1.28157e-12, 0, 0
0.0981093, 0, 2.20222e-12, 0, 1.41421, -2.20222e-12, 0, 0, 0, 0, 0, 0, 1.3007e-14, 0, 0, 4.12066e-17, 9.95782e-16, 0, 2.18818e-12, 0, 0
0.105981, 0, 3.72642e-12, 0, 1.41421, -3.72642e-12, 0, 0, 0, 0, 0, 0, 2.2009e-14, 0, 0, 7.15211e-17, 1.76301e-15, 0, 3.70258e-12, 0, 0
0.113853, 0, 6.24979e-12, 0, 1.41421, -6.24979e-12, 0, 0, 0, 0, 0, 0, 3.69119e-14, 0, 0, 1.23086e-16, 3.09603e-15, 0, 6.20966e-12, 0, 0
0.121726, 0, 1.04024e-11, 0, 1.41421, -1.04024e-11, 0, 0, 0, 0, 0, 0, 6.14371e-14, 0, 0, 2.1056e-16, 5.41296e-15, 0, 1.03354e-11, 0, 0
0.129598, 0, 1.71444e-11, 0, 1.41421, -1.71444e-11, 0, 0, 0, 0, 0, 0, 1.01254e-13, 0, 0, 3.56384e-16, 9.35372e-15, 0, 1.70334e-11, 0, 0
0.13747, 0, 2.80171e-11, 0, 1.41421, -2.80171e-11, 0, 0, 0, 0, 0, 0, 1.65467e-13, 0, 0, 5.98393e-16, 1.60384e-14, 0, 2.7835e-11, 0, 0
0.145342, 0, 4.5404e-11, 0, 1.41421, -4.5404e-11, 0, 0, 0, 0, 0, 0, 2.68152e-13, 0, 0, 9.96916e-16, 2.72909e-14, 0, 4.51075e-11, 0, 0
0.153214, 0, 7.29766e-11, 0, 1.41421, -7.29766e-11, 0, 0, 0, 0, 0, 0, 4.30996e-13, 0, 0, 1.64825e-15, 4.60895e-14, 0, 7.24978e-11, 0, 0
0.161086, 0, 1.16343e-10, 0, 1.41421, -1.16343e-10, 0, 0, 0, 0, 0, 0, 6.87128e-13, 0, 0, 2.70494e-15, 7.72618e-14, 0, 1.15576e-10, 0, 0
0.168958, 0, 1.83998e-10, 0, 1.41421, -1.83998e-10, 0, 0, 0, 0, 0, 0, 1.08674e-12, 0, 0, 4.40707e-15, 1.28575e-13, 0, 1.82779e-10, 0, 0
0.17683, 0, 2.88702e-10, 0, 1.41421, -2.88702e-10, 0, 0, 0, 0, 0, 0, 1.70523e-12, 0, 0, 7.13011e-15, 2.12437e-13, 0, 2.86777e-10, 0, 0
0.184702, 0, 4.49605e-10, 0, 1.41421, -4.49605e-10, 0, 0, 0, 0, 0, 0, 2.65584e-12, 0, 0, 1.14731e-14, 3.49079e-13, 0, 4.46589e-10, 0, 0
0.192574, 0, 6.94564e-10, 0, 1.41421, -6.94564e-10, 0, 0, 0, 0, 0, 0, 4.10325e-12, 0, 0, 1.83177e-14, 5.6872e-13, 0, 6.89874e-10, 0, 0
0.200447, 0, 1.06486e-09, 0, 1.41421, -1.06486e-09, 0, 0, 0, 0, 0, 0, 6.29169e-12, 0, 0, 2.90643e-14, 9.203e-13, 0, 1.05762e-09, 0, 0
0.208319, 0, 1.62035e-09, 0, 1.41421, -1.62035e-09, 0, 0, 0, 0, 0, 0, 9.57557e-12, 0, 0, 4.58443e-14, 1.47937e-12, 0, 1.60925e-09, 0, 0
0.216191, 0, 2.44741e-09, 0, 1.41421, -2.44741e-09, 0, 0, 0, 0, 0, 0, 1.44666e-11, 0, 0, 7.19108e-14, 2.3627e-12, 0, 2.43051e-09, 0, 0
0.224063, 0, 3.66969e-09, 0, 1.41421, -3.66969e-09, 0, 0, 0, 0, 0, 0, 2.1698e-11, 0, 0, 1.12214e-13, 3.74966e-12, 0, 3.64413e-09, 0, 0
0.231935, 0, 5.46277e-09, 0, 1.41421, -5.46277e-09, 0, 0, 0, 0, 0, 0, 3.23124e-11, 0, 0, 1.74268e-13, 5.91428e-12, 0, 5.42437e-09, 0, 0
0.239807, 0, 8.07423e-09, 0, 1.41421, -8.07423e-09, 0, 0, 0, 0, 0, 0, 4.77819e-11, 0, 0, 2.69459e-13, 9.27289e-12, 0, 8.0169e-09, 0, 0
0.247679, 0, 1.18514e-08, 0, 1.41421, -1.18514e-08, 0, 0, 0, 0, 0, 0, 7.01771e-11, 0, 0, 4.15608e-13, 1.44683e-11, 0, 1.17664e-08, 0, 0
0.255551, 0, 1.72736e-08, 8.92627e-43, 1.41421, -1.72736e-08, 0, 8.92627e-43, 8.92627e-43, 8.92627e-43, 8.92627e-43, 8.92627e-43, 1.02357e-10, 8.92627e-43, 8.92627e-43, 6.37981e-13, 2.24279e-11, 8.92627e-43, 1.71482e-08, 8.92627e-43, 8.92627e-43
0.263423, 0, 2.50045e-08, 1.61205e-41, 1.41421, -2.50045e-08, 0, 1.61205e-41, 1.61205e-41, 1.61205e-41, 1.61205e-41, 1.61205e-41, 1.48296e-10, 1.61205e-41, 1.61205e-41, 9.76455e-13, 3.45796e-11, 1.61205e-41, 2.48207e-08, 1.61205e-41, 1.61205e-41
0.271296, 0, 3.59515e-08, 2.44634e-40, 1.41421, -3.59515e-08, 0, 2.44634e-40, 2.44634e-40, 2.44634e-40, 2.44634e-40, 2.44634e-40, 2.13441e-10, 2.44634e-40, 2.44634e-40, 1.49084e-12, 5.304e-11, 2.44634e-40, 3.56835e-08, 2.44634e-40, 2.44634e-40
0.279168, 0, 5.13473e-08, 3.28391e-39, 1.41421, -5.13473e-08, 0, 3.28391e-39, 3.28391e-39, 3.28391e-39, 3.28391e-39, 3.28391e-39, 3.05223e-10, 3.28391e-39, 3.28391e-39, 2.27169e-12, 8.09532e-11, 3.28391e-39, 5.09589e-08, 3.28391e-39, 3.28391e-39
0.28704, 0, 7.28553e-08, 3.95241e-38, 1.41421, -7.28553e-08, 0, 3.95241e-38, 3.95241e-38, 3.95241e-38, 3.95241e-38, 3.95241e-38, 4.33712e-10, 3.95241e-38, 3.95241e-38, 3.45622e-12, 1.22972e-10, 3.95241e-38, 7.22952e-08, 3.95241e-38, 3.95241e-38
0.294912, 0, 1.02704e-07, 4.29071e-37, 1.41421, -1.02704e-07, 0, 4.29071e-37, 4.29071e-37, 4.29071e-37, 4.29071e-37, 4.29071e-37, 6.12465e-10, 4.29071e-37, 4.29071e-37, 5.25245e-12, 1.85956e-10, 4.29071e-37, 1.019e-07, 4.29071e-37, 4.29071e-37
0.302784, 0, 1.43858e-07, 4.22484e-36, 1.41421, -1.43858e-07, 0, 4.22484e-36, 4.22484e-36, 4.22484e-36, 4.22484e-36, 4.22484e-36, 8.59635e-10, 4.22484e-36, 4.22484e-36, 7.97585e-12, 2.79989e-10, 4.22484e-36, 1.4271e-07, 4.22484e-36, 4.22484e-36
0.310656, 0, 2.00241e-07, 1.42944e-34, 1.41421, -2.00241e-07, 0, 1.42944e-34, 1.42944e-34, 1.42944e-34, 1.42944e-34, 1.42944e-34, 1.19943e-09, 1.42944e-34, 1.42944e-34, 1.21194e-11, 4.20051e-10, 1.42944e-34, 1.98609e-07, 1.42944e-34, 1.42944e-34
0.318528, 0, 2.7699e-07, 1.08848e-33, 1.41421, -2.7699e-07, 0, 1.08848e-33, 1.08848e-33, 1.08848e-33, 1.08848e-33, 1.08848e-33, 1.66373e-09, 1.08848e-33, 1.08848e-33, 1.83864e-11, 6.27364e-10, 1.08848e-33, 2.7468e-07, 1.08848e-33, 1.08848e-33
0.3264, 0, 3.80818e-07, 7.97334e-33, 1.41421, -3.80818e-07, 0, 7.97334e-33, 7.97334e-33, 7.97334e-33, 7.97334e-33, 7.97334e-33, 2.29465e-09, 7.97334e-33, 7.97334e-33, 2.78856e-11, 9.33459e-10, 7.97334e-33, 3.77562e-07, 7.97334e-33, 7.97334e-33
0.334272, 0, 5.20422e-07, 5.69336e-32, 1.41421, -5.20422e-07, 0, 5.69336e-32, 5.69336e-32, 5.69336e-32, 5.69336e-32, 5.69336e-32, 3.14731e-09, 5.69336e-32, 5.69336e-32, 4.22782e-11, 1.38384e-09, 5.69336e-32, 5.15849e-07, 5.69336e-32, 5.69336e-32
0.342144, 0, 7.07e-07, 3.81917e-31, 1.41421, -7.07e-07, 0, 3.81917e-31, 3.81917e-31, 3.81917e-31, 3.81917e-31, 3.81917e-31, 4.29349e-09, 3.81917e-31, 3.81917e-31, 6.40696e-11, 2.04427e-09, 3.81917e-31, 7.00598e-07, 3.81917e-31, 3.81917e-31
0.350017, 0, 9.54885e-07, 2.38943e-30, 1.41421, -9.54885e-07, 0, 2.38943e-30, 2.38943e-30, 2.38943e-30, 2.38943e-30, 2.38943e-30, 5.8263e-09, 2.38943e-30, 2.38943e-30, 9.70266e-11, 3.00941e-09, 2.38943e-30, 9.45952e-07, 2.38943e-30, 2.38943e-30
