   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_143.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00307335, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00479278, 0, 1.59053e-17, 0, 1.41421, -1.59053e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99857e-20, 0, 1.95863e-22, 3.60969e-19, 0, 1.54541e-17, 0, 0
0.0126589, 0, 2.87527e-17, 0, 1.41421, -2.87527e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62593e-19, 0, 3.59466e-22, 6.6607e-19, 0, 2.79237e-17, 0, 0
0.020525, 0, 5.16041e-17, 0, 1.41421, -5.16041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91669e-19, 0, 6.55093e-22, 1.22066e-18, 0, 5.00911e-17, 0, 0
0.0283912, 0, 9.19632e-17, 0, 1.41421, -9.19632e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1951e-19, 0, 1.18562e-21, 2.2221e-18, 0, 8.92204e-17, 0, 0
0.0362573, 0, 1.6275e-16, 0, 1.41421, -1.6275e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18893e-19, 0, 2.1313e-21, 4.01878e-18, 0, 1.5781e-16, 0, 0
0.0441234, 0, 2.86058e-16, 0, 1.41421, -2.86058e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61417e-18, 0, 3.80582e-21, 7.22183e-18, 0, 2.77218e-16, 0, 0
0.0519896, 0, 4.99408e-16, 0, 1.41421, -4.99408e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8164e-18, 0, 6.75156e-21, 1.28967e-17, 0, 4.83688e-16, 0, 0
0.0598557, 0, 8.66103e-16, 0, 1.41421, -8.66103e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88134e-18, 0, 1.19003e-20, 2.289e-17, 0, 8.3832e-16, 0, 0
0.0677219, 0, 1.49222e-15, 0, 1.41421, -1.49222e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40465e-18, 0, 2.08425e-20, 4.03828e-17, 0, 1.44341e-15, 0, 0
0.075588, 0, 2.55437e-15, 0, 1.41421, -2.55437e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43772e-17, 0, 3.62761e-20, 7.08238e-17, 0, 2.46913e-15, 0, 0
0.0834541, 0, 4.34463e-15, 0, 1.41421, -4.34463e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4436e-17, 0, 6.27485e-20, 1.23492e-16, 0, 4.19664e-15, 0, 0
0.0913203, 0, 7.34299e-15, 0, 1.41421, -7.34299e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12689e-17, 0, 1.07879e-19, 2.14101e-16, 0, 7.08752e-15, 0, 0
0.0991864, 0, 1.23331e-14, 0, 1.41421, -1.23331e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92594e-17, 0, 1.84355e-19, 3.69114e-16, 0, 1.18946e-14, 0, 0
0.107053, 0, 2.05864e-14, 0, 1.41421, -2.05864e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15511e-16, 0, 3.13181e-19, 6.32845e-16, 0, 1.98378e-14, 0, 0
0.114919, 0, 3.41524e-14, 0, 1.41421, -3.41524e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91461e-16, 0, 5.28919e-19, 1.07911e-15, 0, 3.28813e-14, 0, 0
0.122785, 0, 5.6314e-14, 0, 1.41421, -5.6314e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15407e-16, 0, 8.8811e-19, 1.83022e-15, 0, 5.41675e-14, 0, 0
0.130651, 0, 9.22977e-14, 0, 1.41421, -9.22977e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1644e-16, 0, 1.48272e-18, 3.0877e-15, 0, 8.86921e-14, 0, 0
0.138517, 0, 1.50371e-13, 0, 1.41421, -1.50371e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40511e-16, 0, 2.46149e-18, 5.18196e-15, 0, 1.44346e-13, 0, 0
0.146383, 0, 2.43532e-13, 0, 1.41421, -2.43532e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35976e-15, 0, 4.06364e-18, 8.65182e-15, 0, 2.33516e-13, 0, 0
0.154249, 0, 3.92089e-13, 0, 1.41421, -3.92089e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18669e-15, 0, 6.67181e-18, 1.43726e-14, 0, 3.75523e-13, 0, 0
