   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_724.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00430313, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00356292, 0, 1.40335e-22, 0, 1.41421, -1.40335e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.44051e-25, 0, 0, 2.26011e-27, 0, 4.32955e-23, 0, 9.63937e-23, 0, 0
0.011429, 0, 3.42561e-22, 0, 1.41421, -3.42561e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56223e-24, 0, 0, 5.57829e-27, 0, 1.07178e-22, 0, 2.33815e-22, 0, 0
0.019295, 0, 8.20862e-22, 0, 1.41421, -8.20862e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72069e-24, 0, 0, 1.35181e-26, 0, 2.60261e-22, 0, 5.56867e-22, 0, 0
0.0271611, 0, 1.93321e-21, 0, 1.41421, -1.93321e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71064e-24, 0, 0, 3.22011e-26, 0, 6.20762e-22, 0, 1.3037e-21, 0, 0
0.0350271, 0, 4.48391e-21, 0, 1.41421, -4.48391e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00826e-23, 0, 0, 7.55893e-26, 0, 1.45803e-21, 0, 3.00572e-21, 0, 0
0.0428932, 0, 1.02388e-20, 0, 1.41421, -1.02388e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55884e-23, 0, 0, 1.74696e-25, 0, 3.36992e-21, 0, 6.82311e-21, 0, 0
0.0507592, 0, 2.30362e-20, 0, 1.41421, -2.30362e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01975e-22, 0, 0, 3.97823e-25, 0, 7.6715e-21, 0, 1.52624e-20, 0, 0
0.0586253, 0, 5.1104e-20, 0, 1.41421, -5.1104e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24924e-22, 0, 0, 8.93292e-25, 0, 1.72144e-20, 0, 3.36638e-20, 0, 0
0.0664913, 0, 1.11853e-19, 0, 1.41421, -1.11853e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89479e-22, 0, 0, 1.97906e-24, 0, 3.81025e-20, 0, 7.32592e-20, 0, 0
