   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_580.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00517803, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00268642, 0, 1.9796e-19, 0, 1.41421, -1.9796e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75959e-20, 0, 1.60364e-19, 0, 0, 0
0.0105509, 0, 3.96919e-19, 0, 1.41421, -3.96919e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64482e-20, 0, 3.20471e-19, 0, 0, 0
0.0184153, 0, 7.87917e-19, 0, 1.41421, -7.87917e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5391e-19, 0, 6.34007e-19, 0, 0, 0
0.0262798, 0, 1.54903e-18, 0, 1.41421, -1.54903e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06906e-19, 0, 1.24213e-18, 0, 0, 0
0.0341442, 0, 3.01697e-18, 0, 1.41421, -3.01697e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06351e-19, 0, 2.41061e-18, 0, 0, 0
0.0420087, 0, 5.82279e-18, 0, 1.41421, -5.82279e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18729e-18, 0, 4.6355e-18, 0, 0, 0
0.0498731, 0, 1.11391e-17, 0, 1.41421, -1.11391e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30475e-18, 0, 8.83436e-18, 0, 0, 0
0.0577376, 0, 2.11265e-17, 0, 1.41421, -2.11265e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43646e-18, 0, 1.66901e-17, 0, 0, 0
0.065602, 0, 3.97331e-17, 0, 1.41421, -3.97331e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4702e-18, 0, 3.12629e-17, 0, 0, 0
0.0734665, 0, 7.41152e-17, 0, 1.41421, -7.41152e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60431e-17, 0, 5.80721e-17, 0, 0, 0
0.081331, 0, 1.37142e-16, 0, 1.41421, -1.37142e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01516e-17, 0, 1.0699e-16, 0, 0, 0
0.0891954, 0, 2.51773e-16, 0, 1.41421, -2.51773e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6239e-17, 0, 1.95534e-16, 0, 0, 0
0.0970599, 0, 4.58661e-16, 0, 1.41421, -4.58661e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04122e-16, 0, 3.54538e-16, 0, 0, 0
0.104924, 0, 8.29232e-16, 0, 1.41421, -8.29232e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91381e-16, 0, 6.37851e-16, 0, 0, 0
0.112789, 0, 1.48807e-15, 0, 1.41421, -1.48807e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49276e-16, 0, 1.13879e-15, 0, 0, 0
0.120653, 0, 2.65082e-15, 0, 1.41421, -2.65082e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33014e-16, 0, 2.01781e-15, 0, 0, 0
0.128518, 0, 4.68817e-15, 0, 1.41421, -4.68817e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13944e-15, 0, 3.54873e-15, 0, 0, 0
0.136382, 0, 8.23257e-15, 0, 1.41421, -8.23257e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0373e-15, 0, 6.19527e-15, 0, 0, 0
0.144247, 0, 1.43556e-14, 0, 1.41421, -1.43556e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61871e-15, 0, 1.07369e-14, 0, 0, 0
0.152111, 0, 2.48603e-14, 0, 1.41421, -2.48603e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38617e-15, 0, 1.84741e-14, 0, 0, 0
0.159976, 0, 4.27589e-14, 0, 1.41421, -4.27589e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11984e-14, 0, 3.15605e-14, 0, 0, 0
0.16784, 0, 7.30507e-14, 0, 1.41421, -7.30507e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95142e-14, 0, 5.35365e-14, 0, 0, 0
0.175704, 0, 1.23975e-13, 0, 1.41421, -1.23975e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37954e-14, 0, 9.01795e-14, 0, 0, 0
0.183569, 0, 2.09022e-13, 0, 1.41421, -2.09022e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81728e-14, 0, 1.50849e-13, 0, 0, 0
0.191433, 0, 3.50872e-13, 0, 1.41421, -3.50872e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99003e-14, 0, 2.50972e-13, 0, 0, 0
0.199298, 0, 5.83891e-13, 0, 1.41421, -5.83891e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69892e-13, 0, 4.13998e-13, 0, 0, 0
0.207162, 0, 9.65577e-13, 0, 1.41421, -9.65577e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8727e-13, 0, 6.78307e-13, 0, 0, 0
0.215027, 0, 1.5869e-12, 0, 1.41421, -1.5869e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83013e-13, 0, 1.10389e-12, 0, 0, 0
0.222891, 0, 2.59214e-12, 0, 1.41421, -2.59214e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07655e-13, 0, 1.78448e-12, 0, 0, 0
0.230756, 0, 4.20873e-12, 0, 1.41421, -4.20873e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3432e-12, 0, 2.86553e-12, 0, 0, 0
0.23862, 0, 6.79312e-12, 0, 1.41421, -6.79312e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22207e-12, 0, 4.57105e-12, 0, 0, 0
0.246484, 0, 1.09008e-11, 0, 1.41421, -1.09008e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65706e-12, 0, 7.24374e-12, 0, 0, 0
0.254349, 0, 1.73927e-11, 0, 1.41421, -1.73927e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98861e-12, 0, 1.14041e-11, 0, 0, 0
0.262213, 0, 2.75959e-11, 0, 1.41421, -2.75959e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75905e-12, 0, 1.78368e-11, 0, 0, 0
0.270078, 0, 4.35462e-11, 0, 1.41421, -4.35462e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58289e-11, 0, 2.77173e-11, 0, 0, 0
0.277942, 0, 6.83514e-11, 0, 1.41421, -6.83514e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55583e-11, 0, 4.27931e-11, 0, 0, 0
