   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_826.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0241234, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162325, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00834161, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000450726, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00744016, 0, 2.11451e-14, 0, 1.41421, -2.11451e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91997e-16, 0, 0, 5.18071e-16, 0, 3.43387e-17, 2.03007e-14, 0, 0, 0
0.0153311, 0, 3.20701e-14, 0, 1.41421, -3.20701e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4263e-16, 0, 0, 8.00583e-16, 0, 5.37326e-17, 3.07732e-14, 0, 0, 0
0.0232219, 0, 4.84357e-14, 0, 1.41421, -4.84357e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68146e-16, 0, 0, 1.2322e-15, 0, 8.37563e-17, 4.64516e-14, 0, 0, 0
0.0311128, 0, 7.28478e-14, 0, 1.41421, -7.28478e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00434e-15, 0, 0, 1.88902e-15, 0, 1.30065e-16, 6.98244e-14, 0, 0, 0
0.0390037, 0, 1.0911e-13, 0, 1.41421, -1.0911e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50342e-15, 0, 0, 2.88465e-15, 0, 2.01219e-16, 1.04521e-13, 0, 0, 0
0.0468946, 0, 1.62749e-13, 0, 1.41421, -1.62749e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24118e-15, 0, 0, 4.38809e-15, 0, 3.10133e-16, 1.55809e-13, 0, 0, 0
