   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_553.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00298402, 0, 3.52894e-16, 0, 1.41421, -3.52894e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08113e-18, 0, 0, 1.36839e-18, 0, 0, 3.50444e-16, 0, 0, 0
0.0108364, 0, 5.91688e-16, 0, 1.41421, -5.91688e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81258e-18, 0, 0, 2.33561e-18, 0, 0, 5.8754e-16, 0, 0, 0
0.0186888, 0, 9.86478e-16, 0, 1.41421, -9.86478e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02177e-18, 0, 0, 3.96445e-18, 0, 0, 9.79491e-16, 0, 0, 0
0.0265412, 0, 1.63553e-15, 0, 1.41421, -1.63553e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00955e-18, 0, 0, 6.6925e-18, 0, 0, 1.62382e-15, 0, 0, 0
0.0343936, 0, 2.6967e-15, 0, 1.41421, -2.6967e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25926e-18, 0, 0, 1.1237e-17, 0, 0, 2.6772e-15, 0, 0, 0
0.042246, 0, 4.42223e-15, 0, 1.41421, -4.42223e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3543e-17, 0, 0, 1.87674e-17, 0, 0, 4.38992e-15, 0, 0, 0
0.0500984, 0, 7.21284e-15, 0, 1.41421, -7.21284e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20875e-17, 0, 0, 3.11798e-17, 0, 0, 7.15957e-15, 0, 0, 0
0.0579508, 0, 1.17018e-14, 0, 1.41421, -1.17018e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58307e-17, 0, 0, 5.15332e-17, 0, 0, 1.16144e-14, 0, 0, 0
0.0658031, 0, 1.88842e-14, 0, 1.41421, -1.88842e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78184e-17, 0, 0, 8.47395e-17, 0, 0, 1.87416e-14, 0, 0, 0
0.0736555, 0, 3.03156e-14, 0, 1.41421, -3.03156e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28106e-17, 0, 0, 1.38642e-16, 0, 0, 3.00842e-14, 0, 0, 0
