   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_679.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00543999, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00242629, 0, 3.79811e-16, 0, 1.41421, -3.79811e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46103e-20, 0, 6.60034e-17, 0, 3.13723e-16, 0, 0, 0
0.0102926, 0, 6.45108e-16, 0, 1.41421, -6.45108e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45799e-19, 0, 1.14406e-16, 0, 5.30556e-16, 0, 0, 0
0.0181589, 0, 1.08936e-15, 0, 1.41421, -1.08936e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49759e-19, 0, 1.97219e-16, 0, 8.91891e-16, 0, 0, 0
0.0260251, 0, 1.84178e-15, 0, 1.41421, -1.84178e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29226e-19, 0, 3.41839e-16, 0, 1.49951e-15, 0, 0, 0
0.0338914, 0, 3.07298e-15, 0, 1.41421, -3.07298e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26236e-19, 0, 5.82517e-16, 0, 2.48974e-15, 0, 0, 0
0.0417577, 0, 5.09909e-15, 0, 1.41421, -5.09909e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22192e-18, 0, 9.87536e-16, 0, 4.11033e-15, 0, 0, 0
0.049624, 0, 8.41524e-15, 0, 1.41421, -8.41524e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04459e-18, 0, 1.66566e-15, 0, 6.74754e-15, 0, 0, 0
0.0574903, 0, 1.38137e-14, 0, 1.41421, -1.38137e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40255e-18, 0, 2.79535e-15, 0, 1.10149e-14, 0, 0, 0
0.0653566, 0, 2.25555e-14, 0, 1.41421, -2.25555e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63211e-18, 0, 4.66804e-15, 0, 1.78818e-14, 0, 0, 0
0.0732229, 0, 3.66369e-14, 0, 1.41421, -3.66369e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27332e-18, 0, 7.75717e-15, 0, 2.88705e-14, 0, 0, 0
0.0810891, 0, 5.92019e-14, 0, 1.41421, -5.92019e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51888e-17, 0, 1.28283e-14, 0, 4.63584e-14, 0, 0, 0
0.0889554, 0, 9.5176e-14, 0, 1.41421, -9.5176e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47493e-17, 0, 2.11131e-14, 0, 7.40381e-14, 0, 0, 0
0.0968217, 0, 1.52236e-13, 0, 1.41421, -1.52236e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01218e-17, 0, 3.4584e-14, 0, 1.17611e-13, 0, 0, 0
0.104688, 0, 2.42285e-13, 0, 1.41421, -2.42285e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47151e-17, 0, 5.63847e-14, 0, 1.85836e-13, 0, 0, 0
0.112554, 0, 3.83696e-13, 0, 1.41421, -3.83696e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03864e-16, 0, 9.15084e-14, 0, 2.92084e-13, 0, 0, 0
0.120421, 0, 6.04668e-13, 0, 1.41421, -6.04668e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65879e-16, 0, 1.47835e-13, 0, 4.56667e-13, 0, 0, 0
0.128287, 0, 9.48282e-13, 0, 1.41421, -9.48282e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6364e-16, 0, 2.37757e-13, 0, 7.10261e-13, 0, 0, 0
0.136153, 0, 1.48003e-12, 0, 1.41421, -1.48003e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17026e-16, 0, 3.8067e-13, 0, 1.09894e-12, 0, 0, 0
0.144019, 0, 2.299e-12, 0, 1.41421, -2.299e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56571e-16, 0, 6.06806e-13, 0, 1.69154e-12, 0, 0, 0
0.151886, 0, 3.5544e-12, 0, 1.41421, -3.5544e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02902e-15, 0, 9.63079e-13, 0, 2.59029e-12, 0, 0, 0
0.159752, 0, 5.46985e-12, 0, 1.41421, -5.46985e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60554e-15, 0, 1.52199e-12, 0, 3.94626e-12, 0, 0, 0
0.167618, 0, 8.37901e-12, 0, 1.41421, -8.37901e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49416e-15, 0, 2.39511e-12, 0, 5.98141e-12, 0, 0, 0
0.175485, 0, 1.27774e-11, 0, 1.41421, -1.27774e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85822e-15, 0, 3.75348e-12, 0, 9.02008e-12, 0, 0, 0
0.183351, 0, 1.93979e-11, 0, 1.41421, -1.93979e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94389e-15, 0, 5.85831e-12, 0, 1.35337e-11, 0, 0, 0
0.191217, 0, 2.93196e-11, 0, 1.41421, -2.93196e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12098e-15, 0, 9.10697e-12, 0, 2.02035e-11, 0, 0, 0
0.199083, 0, 4.4125e-11, 0, 1.41421, -4.4125e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39436e-14, 0, 1.41019e-11, 0, 3.00091e-11, 0, 0, 0
0.20695, 0, 6.61252e-11, 0, 1.41421, -6.61252e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12398e-14, 0, 2.17532e-11, 0, 4.43508e-11, 0, 0, 0
0.214816, 0, 9.86836e-11, 0, 1.41421, -9.86836e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22448e-14, 0, 3.34314e-11, 0, 6.52199e-11, 0, 0, 0
0.222682, 0, 1.46675e-10, 0, 1.41421, -1.46675e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87979e-14, 0, 5.11942e-11, 0, 9.54323e-11, 0, 0, 0
0.230549, 0, 2.17145e-10, 0, 1.41421, -2.17145e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36346e-14, 0, 7.81217e-11, 0, 1.38949e-10, 0, 0, 0
0.238415, 0, 3.20234e-10, 0, 1.41421, -3.20234e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10819e-13, 0, 1.18812e-10, 0, 2.01311e-10, 0, 0, 0
0.246281, 0, 4.70506e-10, 2.38221e-43, 1.41421, -4.70506e-10, 2.38221e-43, 0, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 1.6639e-13, 2.38221e-43, 1.80111e-10, 2.38221e-43, 2.90229e-10, 2.38221e-43, 2.38221e-43, 2.38221e-43
0.254147, 0, 6.88811e-10, 3.98529e-42, 1.41421, -6.88811e-10, 3.98529e-42, 0, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 3.98529e-42, 2.49311e-13, 3.98529e-42, 2.72191e-10, 3.98529e-42, 4.16371e-10, 3.98529e-42, 3.98529e-42, 3.98529e-42
0.262014, 0, 1.00492e-09, 5.62383e-41, 1.41421, -1.00492e-09, 5.62383e-41, 0, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 5.62383e-41, 3.729e-13, 5.62383e-41, 4.10126e-10, 5.62383e-41, 5.94423e-10, 5.62383e-41, 5.62383e-41, 5.62383e-41
0.26988, 0, 1.46126e-09, 7.05564e-40, 1.41421, -1.46126e-09, 7.05564e-40, 0, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 7.05564e-40, 5.56946e-13, 7.05564e-40, 6.16215e-10, 7.05564e-40, 8.44486e-10, 7.05564e-40, 7.05564e-40, 7.05564e-40
0.277746, 0, 2.11815e-09, 7.92276e-39, 1.41421, -2.11815e-09, 7.92276e-39, 0, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 7.92276e-39, 8.3088e-13, 7.92276e-39, 9.23385e-10, 7.92276e-39, 1.19394e-09, 7.92276e-39, 7.92276e-39, 7.92276e-39
0.285613, 0, 3.06123e-09, 8.03963e-38, 1.41421, -3.06123e-09, 8.03963e-38, 0, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 8.03963e-38, 1.23849e-12, 8.03963e-38, 1.38015e-09, 8.03963e-38, 1.67984e-09, 8.03963e-38, 8.03963e-38, 8.03963e-38
0.293479, 0, 4.41189e-09, 7.40597e-37, 1.41421, -4.41189e-09, 7.40597e-37, 0, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 7.40597e-37, 1.84502e-12, 7.40597e-37, 2.0579e-09, 7.40597e-37, 2.35215e-09, 7.40597e-37, 7.40597e-37, 7.40597e-37
0.301345, 0, 6.34197e-09, 6.23162e-36, 1.41421, -6.34197e-09, 6.23162e-36, 0, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 6.23162e-36, 2.74768e-12, 6.23162e-36, 3.06146e-09, 6.23162e-36, 3.27777e-09, 6.23162e-36, 6.23162e-36, 6.23162e-36
0.309211, 0, 9.09452e-09, 4.80973e-35, 1.41421, -9.09452e-09, 4.80973e-35, 0, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.80973e-35, 4.09145e-12, 4.80973e-35, 4.54455e-09, 4.80973e-35, 4.54588e-09, 4.80973e-35, 4.80973e-35, 4.80973e-35
0.317078, 0, 1.3013e-08, 3.42082e-34, 1.41421, -1.3013e-08, 3.42082e-34, 0, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 3.42082e-34, 6.09264e-12, 3.42082e-34, 6.73217e-09, 3.42082e-34, 6.27472e-09, 3.42082e-34, 3.42082e-34, 3.42082e-34
0.324944, 0, 1.85823e-08, 2.27029e-33, 1.41421, -1.85823e-08, 2.27029e-33, 0, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 2.27029e-33, 9.07394e-12, 2.27029e-33, 9.95307e-09, 2.27029e-33, 8.62021e-09, 2.27029e-33, 2.27029e-33, 2.27029e-33
0.33281, 0, 2.6487e-08, 1.31697e-32, 1.41421, -2.6487e-08, 1.31697e-32, 0, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.31697e-32, 1.35166e-11, 1.31697e-32, 1.46866e-08, 1.31697e-32, 1.17869e-08, 1.31697e-32, 1.31697e-32, 1.31697e-32
0.340677, 0, 3.76923e-08, 7.76494e-32, 1.41421, -3.76923e-08, 7.76494e-32, 0, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 7.76494e-32, 2.01379e-11, 7.76494e-32, 2.16304e-08, 7.76494e-32, 1.60417e-08, 7.76494e-32, 7.76494e-32, 7.76494e-32
0.348543, 0, 5.35584e-08, 4.08043e-31, 1.41421, -5.35584e-08, 4.08043e-31, 0, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 4.08043e-31, 3.00054e-11, 4.08043e-31, 3.17972e-08, 4.08043e-31, 2.17312e-08, 4.08043e-31, 4.08043e-31, 4.08043e-31
