   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_576.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00801583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000150141, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00771554, 0, 1.13246e-21, 0, 1.41421, -1.13246e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17727e-24, 0, 0, 0, 2.14106e-22, 0, 9.13173e-22, 0, 0
0.0155812, 0, 2.6133e-21, 0, 1.41421, -2.6133e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19127e-23, 0, 0, 0, 5.00212e-22, 0, 2.10118e-21, 0, 0
0.0234469, 0, 5.93839e-21, 0, 1.41421, -5.93839e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69912e-23, 0, 0, 0, 1.15067e-21, 0, 4.76073e-21, 0, 0
0.0313126, 0, 1.3299e-20, 0, 1.41421, -1.3299e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02683e-23, 0, 0, 0, 2.60852e-21, 0, 1.06302e-20, 0, 0
0.0391783, 0, 2.93733e-20, 0, 1.41421, -2.93733e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32716e-22, 0, 0, 0, 5.83196e-21, 0, 2.34086e-20, 0, 0
0.047044, 0, 6.40247e-20, 0, 1.41421, -6.40247e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88401e-22, 0, 0, 0, 1.28677e-20, 0, 5.08686e-20, 0, 0
0.0549097, 0, 1.37799e-19, 0, 1.41421, -1.37799e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18801e-22, 0, 0, 0, 2.80355e-20, 0, 1.09145e-19, 0, 0
0.0627753, 0, 2.92999e-19, 0, 1.41421, -2.92999e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31158e-21, 0, 0, 0, 6.03484e-20, 0, 2.31339e-19, 0, 0
0.070641, 0, 6.15739e-19, 0, 1.41421, -6.15739e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7474e-21, 0, 0, 0, 1.28403e-19, 0, 4.84589e-19, 0, 0
0.0785067, 0, 1.27942e-18, 0, 1.41421, -1.27942e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68978e-21, 0, 0, 0, 2.70158e-19, 0, 1.00357e-18, 0, 0
0.0863724, 0, 2.62947e-18, 0, 1.41421, -2.62947e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16539e-20, 0, 0, 0, 5.62293e-19, 0, 2.05553e-18, 0, 0
0.0942381, 0, 5.3469e-18, 0, 1.41421, -5.3469e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36146e-20, 0, 0, 0, 1.15812e-18, 0, 4.16516e-18, 0, 0
0.102104, 0, 1.07607e-17, 0, 1.41421, -1.07607e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73527e-20, 0, 0, 0, 2.36118e-18, 0, 8.35213e-18, 0, 0
0.109969, 0, 2.14385e-17, 0, 1.41421, -2.14385e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3989e-20, 0, 0, 0, 4.76667e-18, 0, 1.65779e-17, 0, 0
0.117835, 0, 4.22936e-17, 0, 1.41421, -4.22936e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84704e-19, 0, 0, 0, 9.53066e-18, 0, 3.25782e-17, 0, 0
0.125701, 0, 8.26367e-17, 0, 1.41421, -8.26367e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59443e-19, 0, 0, 0, 1.88782e-17, 0, 6.33991e-17, 0, 0
0.133567, 0, 1.59948e-16, 0, 1.41421, -1.59948e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92827e-19, 0, 0, 0, 3.70531e-17, 0, 1.22202e-16, 0, 0
0.141432, 0, 3.06739e-16, 0, 1.41421, -3.06739e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32292e-18, 0, 0, 0, 7.20786e-17, 0, 2.33338e-16, 0, 0
0.149298, 0, 5.8294e-16, 0, 1.41421, -5.8294e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50278e-18, 0, 0, 0, 1.38993e-16, 0, 4.41444e-16, 0, 0
0.157164, 0, 1.09802e-15, 0, 1.41421, -1.09802e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69202e-18, 0, 0, 0, 2.65742e-16, 0, 8.27586e-16, 0, 0
0.165029, 0, 2.0502e-15, 0, 1.41421, -2.0502e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7177e-18, 0, 0, 0, 5.03836e-16, 0, 1.53764e-15, 0, 0
0.172895, 0, 3.79524e-15, 0, 1.41421, -3.79524e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60547e-17, 0, 0, 0, 9.47432e-16, 0, 2.83176e-15, 0, 0
0.180761, 0, 6.96629e-15, 0, 1.41421, -6.96629e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93095e-17, 0, 0, 0, 1.76729e-15, 0, 5.16969e-15, 0, 0
0.188626, 0, 1.26804e-14, 0, 1.41421, -1.26804e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3048e-17, 0, 0, 0, 3.27063e-15, 0, 9.35676e-15, 0, 0
0.196492, 0, 2.28925e-14, 0, 1.41421, -2.28925e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51978e-17, 0, 0, 0, 6.006e-15, 0, 1.67913e-14, 0, 0
0.204358, 0, 4.09942e-14, 0, 1.41421, -4.09942e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69402e-16, 0, 0, 0, 1.09452e-14, 0, 2.98796e-14, 0, 0
0.212223, 0, 7.28239e-14, 0, 1.41421, -7.28239e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98939e-16, 0, 0, 0, 1.97974e-14, 0, 5.27276e-14, 0, 0
0.220089, 0, 1.28658e-13, 0, 1.41421, -1.28658e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24153e-16, 0, 0, 0, 3.56827e-14, 0, 9.24507e-14, 0, 0
0.227955, 0, 2.24931e-13, 0, 1.41421, -2.24931e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09607e-16, 0, 0, 0, 6.3585e-14, 0, 1.60436e-13, 0, 0
0.23582, 0, 3.90246e-13, 0, 1.41421, -3.90246e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56578e-15, 0, 0, 0, 1.12512e-13, 0, 2.76169e-13, 0, 0
0.243686, 0, 6.71964e-13, 0, 1.41421, -6.71964e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67372e-15, 0, 0, 0, 1.97715e-13, 0, 4.71576e-13, 0, 0
0.251552, 0, 1.14846e-12, 0, 1.41421, -1.14846e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52936e-15, 0, 0, 0, 3.45094e-13, 0, 7.98839e-13, 0, 0
0.259417, 0, 1.94848e-12, 0, 1.41421, -1.94848e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61226e-15, 0, 0, 0, 5.9835e-13, 0, 1.34252e-12, 0, 0
0.267283, 0, 3.28193e-12, 0, 1.41421, -3.28193e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26932e-14, 0, 0, 0, 1.03076e-12, 0, 2.23848e-12, 0, 0
0.275149, 0, 5.48872e-12, 0, 1.41421, -5.48872e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10005e-14, 0, 0, 0, 1.76448e-12, 0, 3.70324e-12, 0, 0
0.283015, 0, 9.11541e-12, 0, 1.41421, -9.11541e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4476e-14, 0, 0, 0, 3.002e-12, 0, 6.07894e-12, 0, 0
0.29088, 0, 1.5035e-11, 0, 1.41421, -1.5035e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61631e-14, 0, 0, 0, 5.0772e-12, 0, 9.90167e-12, 0, 0
0.298746, 0, 2.46331e-11, 0, 1.41421, -2.46331e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07933e-14, 0, 0, 0, 8.53784e-12, 0, 1.60045e-11, 0, 0
0.306612, 0, 4.00955e-11, 8.96831e-44, 1.41421, -4.00955e-11, 8.96831e-44, 0, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 8.96831e-44, 1.45663e-13, 8.96831e-44, 8.96831e-44, 8.96831e-44, 1.42785e-11, 8.96831e-44, 2.56713e-11, 8.96831e-44, 8.96831e-44
0.314477, 0, 6.48505e-11, 1.6185e-42, 1.41421, -6.48505e-11, 1.6185e-42, 0, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 1.6185e-42, 2.31929e-13, 1.6185e-42, 1.6185e-42, 1.6185e-42, 2.37543e-11, 1.6185e-42, 4.08643e-11, 1.6185e-42, 1.6185e-42
0.322343, 0, 1.04247e-10, 2.43378e-41, 1.41421, -1.04247e-10, 2.43378e-41, 0, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 2.43378e-41, 3.66523e-13, 2.43378e-41, 2.43378e-41, 2.43378e-41, 3.93231e-11, 2.43378e-41, 6.45579e-11, 2.43378e-41, 2.43378e-41
0.330209, 0, 1.66592e-10, 3.22195e-40, 1.41421, -1.66592e-10, 3.22195e-40, 0, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 3.22195e-40, 5.7492e-13, 3.22195e-40, 3.22195e-40, 3.22195e-40, 6.47934e-11, 3.22195e-40, 1.01223e-10, 3.22195e-40, 3.22195e-40
0.338074, 0, 2.64722e-10, 3.81758e-39, 1.41421, -2.64722e-10, 3.81758e-39, 0, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 3.81758e-39, 8.95158e-13, 3.81758e-39, 3.81758e-39, 3.81758e-39, 1.063e-10, 3.81758e-39, 1.57527e-10, 3.81758e-39, 3.81758e-39
0.34594, 0, 4.18415e-10, 4.08309e-38, 1.41421, -4.18415e-10, 4.08309e-38, 0, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 4.08309e-38, 1.38358e-12, 4.08309e-38, 4.08309e-38, 4.08309e-38, 1.73703e-10, 4.08309e-38, 2.43328e-10, 4.08309e-38, 4.08309e-38
0.353806, 0, 6.58035e-10, 3.95758e-37, 1.41421, -6.58035e-10, 3.95758e-37, 0, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 3.95758e-37, 2.123e-12, 3.95758e-37, 3.95758e-37, 3.95758e-37, 2.82823e-10, 3.95758e-37, 3.73089e-10, 3.95758e-37, 3.95758e-37
0.361671, 0, 1.03009e-09, 3.49833e-36, 1.41421, -1.03009e-09, 3.49833e-36, 0, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.49833e-36, 3.2342e-12, 3.49833e-36, 3.49833e-36, 3.49833e-36, 4.59005e-10, 3.49833e-36, 5.67848e-10, 3.49833e-36, 3.49833e-36
0.369537, 0, 1.60568e-09, 2.83377e-35, 1.41421, -1.60568e-09, 2.83377e-35, 0, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 2.83377e-35, 4.89201e-12, 2.83377e-35, 2.83377e-35, 2.83377e-35, 7.42812e-10, 2.83377e-35, 8.57971e-10, 2.83377e-35, 2.83377e-35
0.377403, 0, 2.49339e-09, 2.11256e-34, 1.41421, -2.49339e-09, 2.11256e-34, 0, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 2.11256e-34, 7.34758e-12, 2.11256e-34, 2.11256e-34, 2.11256e-34, 1.19911e-09, 2.11256e-34, 1.28692e-09, 2.11256e-34, 2.11256e-34
0.385268, 0, 3.85898e-09, 1.43465e-33, 1.41421, -3.85898e-09, 1.43465e-33, 0, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.09591e-11, 1.43465e-33, 1.43465e-33, 1.43465e-33, 1.93158e-09, 1.43465e-33, 1.91644e-09, 1.43465e-33, 1.43465e-33
0.393134, 0, 5.9555e-09, 8.58749e-33, 1.41421, -5.9555e-09, 8.58749e-33, 0, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 8.58749e-33, 1.62339e-11, 8.58749e-33, 8.58749e-33, 8.58749e-33, 3.10577e-09, 8.58749e-33, 2.83349e-09, 8.58749e-33, 8.58749e-33
0.401, 0, 9.16937e-09, 5.23809e-32, 1.41421, -9.16937e-09, 5.23809e-32, 0, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 5.23809e-32, 2.38852e-11, 5.23809e-32, 5.23809e-32, 5.23809e-32, 4.98585e-09, 5.23809e-32, 4.15963e-09, 5.23809e-32, 5.23809e-32
